# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.340
metadata : {}


# id : NWRW1800000045.340.1.1
[단독]선관위 “국회의 선거구 수정권한 제한해야”

[단독]선관위	[/SS+단독/NNG+]/SS+선관위/NNG
선거구획정안에	선거구/NNG+획정/NNG+안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수정	수정/NNG
의결을	의결/NNG+을/JKO
제한하겠다는	제한/NNG+하/XSV+겠/EP+다는/ETM
건	거/NNB+ㄴ/JX
입법권자의	입법권자/NNG+의/JKG
법률	법률/NNG
개정으로	개정/NNG+으로/JKB
실현되는	실현/NNG+되/XSV+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“전면적인	“/SS+전면/NNG+적/XSN+이/VCP+ㄴ/ETM
금지에	금지/NNG+에/JKB
문제가	문제/NNG+가/JKS
있다면	있/VA+다면/EC
(국회의)	(/SS+국회/NNG+의/JKG+)/SS
의결	의결/NNG
절차를	절차/NNG+를/JKO
까다롭게	까다롭/VA+게/EC
하거나	하/VX+거나/EC
(국회가)	(/SS+국회/NNG+가/JKS+)/SS
거부할	거부/NNG+하/XSV+ㄹ/ETM
권한을	권한/NNG+을/JKO
주는	주/VV+는/ETM
식의	식/NNB+의/JKG
보완	보완/NNG
방안이	방안/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.340.7.1
또 선거구획정위 설치와 관련해선 “국회에 소속돼 있는 한 국회가 아무리 객관적이고 합리적 방안을 제시해도 국민으로부터 그 진정성을 지지받기가 쉽지 않은 상황”이라며 “국회로부터 독립시켜 외부에 설치하는 게 정치개혁의 시작”이라고 강조했다.

또	또/MAG
선거구획정위	선거구/NNG+획정위/NNG
설치와	설치/NNG+와/JKB
관련해선	관련/NNG+하/XSV+아서/EC+ㄴ/JX
“국회에	“/SS+국회/NNG+에/JKB
소속돼	소속/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
한	한/NNG
국회가	국회/NNG+가/JKS
아무리	아무리/MAG
객관적이고	객관/NNG+적/XSN+이/VCP+고/EC
합리적	합리/NNG+적/XSN
방안을	방안/NNG+을/JKO
제시해도	제시/NNG+하/XSV+아도/EC
국민으로부터	국민/NNG+으로부터/JKB
그	그/MMD
진정성을	진정/NNG+성/XSN+을/JKO
지지받기가	지지/NNG+받/XSV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
상황”이라며	상황/NNG+”/SS+이/VCP+라며/EC
“국회로부터	“/SS+국회/NNG+로부터/JKB
독립시켜	독립/NNG+시키/XSV+어/EC
외부에	외부/NNG+에/JKB
설치하는	설치/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
정치개혁의	정치/NNG+개혁/NNG+의/JKG
시작”이라고	시작/NNG+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.340.7.2
현재 선관위 산하에 선거구획정위를 독립기구로 두는 방안과 별도의 독립기구로 두는 방안이 논의되고 있다.

현재	현재/MAG
선관위	선관위/NNG
산하에	산하/NNG+에/JKB
선거구획정위를	선거구/NNG+획정위/NNG+를/JKO
독립기구로	독립/NNG+기구/NNG+로/JKB
두는	두/VV+는/ETM
방안과	방안/NNG+과/JC
별도의	별도/NNG+의/JKG
방안이	방안/NNG+이/JKS
논의되고	논의/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.340.8.1
선관위는 선거구획정위의 위원 구성을 두고 “(현재) 정당이 직접 추천 권한을 갖지는 않지만 실질적으로 국회 교섭단체를 구성한 정당의 의사가 반영되고 있다”며 “정당이나 국회의원은 제도적으로 개입할 수 없도록 해야 한다”고 밝혔다.

선관위는	선관위/NNG+는/JX
선거구획정위의	선거구/NNG+획정위/NNG+의/JKG
위원	위원/NNG
구성을	구성/NNG+을/JKO
두고	두/VV+고/EC
“(현재)	“/SS+(/SS+현재/NNG+)/SS
정당이	정당/NNG+이/JKS
직접	직접/MAG
추천	추천/NNG
권한을	권한/NNG+을/JKO
갖지는	갖/VV+지/EC+는/JX
않지만	않/VX+지만/EC
실질적으로	실질/NNG+적/XSN+으로/JKB
국회	국회/NNG
교섭단체를	교섭/NNG+단체/NNG+를/JKO
구성한	구성/NNG+하/XSV+ㄴ/ETM
정당의	정당/NNG+의/JKG
의사가	의사/NNG+가/JKS
반영되고	반영/NNG+되/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“정당이나	“/SS+정당/NNG+이나/JC
국회의원은	국회/NNG+의원/NNG+은/JX
제도적으로	제도/NNG+적/XSN+으로/JKB
개입할	개입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
해야	하/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.340.9.1
현재 선거구획정위 위원들은 국회의장이 교섭단체를 구성한 정당 원내대표들과 협의해 학계, 법조계, 언론계, 시민단체 및 선관위가 추천한 인사 중 11명 이내에서 위촉하고 있다.

현재	현재/MAG
선거구획정위	선거구/NNG+획정위/NNG
위원들은	위원/NNG+들/XSN+은/JX
국회의장이	국회/NNG+의장/NNG+이/JKS
교섭단체를	교섭/NNG+단체/NNG+를/JKO
구성한	구성/NNG+하/XSV+ㄴ/ETM
정당	정당/NNG
원내대표들과	원내/NNG+대표/NNG+들/XSN+과/JKB
협의해	협의/NNG+하/XSV+아/EC
학계,	학계/NNG+,/SP
법조계,	법조/NNG+계/XSN+,/SP
언론계,	언론/NNG+계/XSN+,/SP
시민단체	시민/NNG+단체/NNG
및	및/MAG
선관위가	선관위/NNG+가/JKS
추천한	추천/NNG+하/XSV+ㄴ/ETM
인사	인사/NNG
중	중/NNB
11명	11/SN+명/NNB
이내에서	이내/NNG+에서/JKB
위촉하고	위촉/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


