# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.183
metadata : {}


# id : NWRW1800000026.183.1.1
[모닝커피] 남아공월드컵 코앞인데 '붉은 티셔츠'는 잘 안 팔려

[모닝커피]	[/SS+모닝커피/NNG+]/SS
온통	온통/MAG
얘기였던	얘기/NNG+이/VCP+었/EP+던/ETM
예전과	예전/NNG+과/JKB
달리	달리/MAG
SBS가	SBS/SL+가/JKS
단독중계를	단독/NNG+중계/NNG+를/JKO
하는	하/VV+는/ETM
것을	것/NNB+을/JKO
이유로	이유/NNG+로/JKB
꼽는다.	꼽/VV+는다/EF+./SF


# id : NWRW1800000026.183.5.2
그러나 티셔츠가 잘 팔리지 않는 직접적인 이유는 최근 두 차례 월드컵을 지내면서 많은 사람들이 붉은 티셔츠를 한 장씩은 갖게 됐기 때문이라는 분석이 유력하다.

그러나	그러나/MAJ
티셔츠가	티셔츠/NNG+가/JKS
잘	잘/MAG
팔리지	팔리/VV+지/EC
않는	않/VX+는/ETM
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
이유는	이유/NNG+는/JX
최근	최근/NNG
두	두/MMN
차례	차례/NNG
월드컵을	월드컵/NNG+을/JKO
지내면서	지내/VV+면서/EC
많은	많/VA+은/ETM
사람들이	사람/NNG+들/XSN+이/JKS
붉은	붉/VA+은/ETM
티셔츠를	티셔츠/NNG+를/JKO
한	한/MMN
장씩은	장/NNB+씩/XSN+은/JX
갖게	갖/VV+게/EC
됐기	되/VV+었/EP+기/ETN
때문이라는	때문/NNB+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
유력하다.	유력/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000026.183.5.3
2002년 1500만장, 2006년 1000만장이나 팔려나간 붉은 티셔츠가 소비자들의 '장롱 속'에 다 들어 있다는 것이다.

2002년	2002/SN+년/NNB
1500만장,	1500/SN+만/NR+장/NNB+,/SP
2006년	2006/SN+년/NNB
1000만장이나	1000/SN+만/NR+장/NNB+이나/JX
팔려나간	팔리/VV+어/EC+나가/VX+ㄴ/ETM
붉은	붉/VA+은/ETM
티셔츠가	티셔츠/NNG+가/JKS
소비자들의	소비자/NNG+들/XSN+의/JKG
'장롱	'/SS+장롱/NNG
속'에	속/NNG+'/SS+에/JKB
다	다/MAG
들어	들/VV+어/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.183.6.1
한 패션업체 관계자는 "응원용 티셔츠 100만장을 만드는 데 100억원 넘게 투입돼야 하는데 이대로라면 큰 손해를 볼 것"이라고 걱정하면서도 "2002·2006년에 학생이었던 응원단들이 이번엔 성인용을 다시 사야 할 것"이라는 기대 섞인 전망을 내놨다.

한	한/MMN
패션업체	패션업체/NNG
관계자는	관계자/NNG+는/JX
"응원용	"/SS+응원/NNG+용/XSN
티셔츠	티셔츠/NNG
100만장을	100/SN+만/NR+장/NNB+을/JKO
만드는	만들/VV+는/ETM
데	데/NNB
100억원	100/SN+억/NR+원/NNB
넘게	넘/VV+게/EC
투입돼야	투입/NNG+되/XSV+어야/EC
하는데	하/VX+는데/EC
이대로라면	이대로/MAG+이/VCP+라면/EC
큰	크/VA+ㄴ/ETM
손해를	손해/NNG+를/JKO
볼	보/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
걱정하면서도	걱정/NNG+하/XSV+면서/EC+도/JX
"2002·2006년에	"/SS+2002/SN+·/SP+2006/SN+년/NNB+에/JKB
학생이었던	학생/NNG+이/VCP+었/EP+던/ETM
응원단들이	응원단/NNG+들/XSN+이/JKS
이번엔	이번/NNG+에/JKB+ㄴ/JX
성인용을	성인/NNG+용/XSN+을/JKO
다시	다시/MAG
사야	사/VV+아야/EC
할	하/VX+ㄹ/ETM
것"이라는	것/NNB+"/SS+이/VCP+라는/ETM
기대	기대/NNG
섞인	섞이/VV+ㄴ/ETM
전망을	전망/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.183.6.2
그 전망이 실현되려면 무엇보다 대표팀이 16강에 진출해야 한다고 업계 관계자들은 말했다.

그	그/MMD
전망이	전망/NNG+이/JKS
실현되려면	실현/NNG+되/XSV+려면/EC
무엇보다	무엇/NP+보다/JKB
대표팀이	대표/NNG+팀/NNG+이/JKS
16강에	16/SN+강/NNB+에/JKB
진출해야	진출/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
업계	업계/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


