# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.137
metadata : {}


# id : NWRW1800000045.137.1.1
여름만 되면 밤새 ‘벅벅’… 괴로우시죠?

여름만	여름/NNG+만/JX
# id : NWRW1800000045.137.4.1
16일 병원을 찾은 이 씨는 ‘알레르기성 접촉 피부염’이라는 진단을 받았다.

16일	16/SN+일/NNB
병원을	병원/NNG+을/JKO
찾은	찾/VV+은/ETM
이	이/NNP
씨는	씨/NNB+는/JX
‘알레르기성	‘/SS+알레르기/NNG+성/XSN
접촉	접촉/NNG
피부염’이라는	피부염/NNG+’/SS+이/VCP+라는/ETM
진단을	진단/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.137.4.2
여름철이어서 땀이 많이 나 예민해진 피부에 옷이 자주 쓸리면서 생긴 피부병이었다.

여름철이어서	여름철/NNG+이/VCP+어서/EC
땀이	땀/NNG+이/JKS
많이	많이/MAG
나	나/NP
예민해진	예민하/VA+아/EC+지/VX+ㄴ/ETM
피부에	피부/NNG+에/JKB
옷이	옷/NNG+이/JKS
자주	자주/MAG
쓸리면서	쓸리/VV+면서/EC
생긴	생기/VV+ㄴ/ETM
피부병이었다.	피부병/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.137.4.3
국민건강보험 통계(2009∼2013년)에 따르면 여름철인 7, 8월에 환자들이 가장 많이 발생하는 알레르기성 접촉 피부염은 우리나라에서 매년 증가하는 추세다.

국민건강보험	국민/NNG+건강/NNG+보험/NNG
통계(2009∼2013년)에	통계/NNG+(/SS+2009/SN+∼/SO+2013/SN+년/NNB+)/SS+에/JKB
따르면	따르/VV+면/EC
여름철인	여름철/NNG+이/VCP+ㄴ/ETM
7,	7/SN+,/SP
8월에	8/SN+월/NNB+에/JKB
환자들이	환자/NNG+들/XSN+이/JKS
가장	가장/MAG
많이	많이/MAG
발생하는	발생/NNG+하/XSV+는/ETM
알레르기성	알레르기/NNG+성/XSN
접촉	접촉/NNG
피부염은	피부염/NNG+은/JX
우리나라에서	우리나라/NNG+에서/JKB
매년	매년/MAG
증가하는	증가/NNG+하/XSV+는/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.137.4.4
2009년 391만1866명에서 2013년 479만1502명으로 연평균 5.2% 증가한 알레르기성 접촉 피부염 환자는 여성이 남성보다 1.5배 많은 것(2013년 기준)으로 나타났다.

2009년	2009/SN+년/NNB
391만1866명에서	391/SN+만/NR+1866/SN+명/NNB+에서/JKB
2013년	2013/SN+년/NNB
479만1502명으로	479/SN+만/NR+1502/SN+명/NNB+으로/JKB
연평균	연평균/NNG
5.2%	5/SN+./SP+2/SN+%/SW
증가한	증가/NNG+하/XSV+ㄴ/ETM
알레르기성	알레르기/NNG+성/XSN
접촉	접촉/NNG
피부염	피부염/NNG
환자는	환자/NNG+는/JX
여성이	여성/NNG+이/JKS
남성보다	남성/NNG+보다/JKB
1.5배	1/SN+./SP+5/SN+배/NNG
많은	많/VA+은/ETM
것(2013년	것/NNB+(/SS+2013/SN+년/NNB
기준)으로	기준/NNG+)/SS+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.137.5.1
○ 자주 접하는 물건들 의심해 봐야

○	○/SW
자주	자주/MAG
접하는	접하/VV+는/ETM
물건들	물건/NNG+들/XSN
의심해	의심/NNG+하/XSV+아/EC
봐야	보/VV+아야/EC


# id : NWRW1800000045.137.6.1
이 씨처럼 여름철에 특정 부위가 갑자기 가렵고 진물이 나면 ‘여름철 불청객’인 알레르기성 접촉 피부염을 의심해야 한다.

이	이/NNP
씨처럼	씨/NNB+처럼/JKB
여름철에	여름철/NNG+에/JKB
특정	특정/NNG
부위가	부위/NNG+가/JKS
갑자기	갑자기/MAG
가렵고	가렵/VA+고/EC
진물이	진물/NNG+이/JKS
나면	나/VV+면/EC
‘여름철	‘/SS+여름철/NNG
불청객’인	불청객/NNG+’/SS+이/VCP+ㄴ/ETM
알레르기성	알레르기/NNG+성/XSN
접촉	접촉/NNG
피부염을	피부염/NNG+을/JKO
의심해야	의심/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.137.6.2
알레르기성 접촉 피부염이란 습하고 더운 환경에서 얼굴이나 손, 발에 주로 발병하는 습진의 일종.

알레르기성	알레르기/NNG+성/XSN
접촉	접촉/NNG
피부염이란	피부염/NNG+이란/JX
습하고	습하/VA+고/EC
더운	덥/VA+ㄴ/ETM
환경에서	환경/NNG+에서/JKB
얼굴이나	얼굴/NNG+이나/JC
손,	손/NNG+,/SP
발에	발/NNG+에/JKB
주로	주로/MAG
발병하는	발병/NNG+하/XSV+는/ETM
습진의	습진/NNG+의/JKG
일종.	일종/NNG+./SF


# id : NWRW1800000045.137.6.3
발병을 하면 가려움증과 홍반(피부가 붉게 변하는 현상), 구진(1cm 미만 크기로 솟아 오른 종기)이나 물집이 나타나는 증상을 보인다.

발병을	발병/NNG+을/JKO
하면	하/VV+면/EC
가려움증과	가려움증/NNG+과/JC
홍반(피부가	홍반/NNG+(/SS+피부/NNG+가/JKS
붉게	붉/VA+게/EC
변하는	변하/VV+는/ETM
현상),	현상/NNG+)/SS+,/SP
구진(1cm	구진/NNG+(/SS+1/SN+cm/SW
미만	미만/NNG
크기로	크기/NNG+로/JKB
솟아	솟/VV+아/EC
오른	오르/VV+ㄴ/ETM
종기)이나	종기/NNG+)/SS+이나/JC
물집이	물집/NNG+이/JKS
나타나는	나타나/VV+는/ETM
증상을	증상/NNG+을/JKO
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.137.6.4
처음에는 주로 홍반과 잔 물집이 많이 보이고, 오래되거나 반복적으로 병이 발생하면 그 부위의 피부가 두꺼워지게 된다.

처음에는	처음/NNG+에/JKB+는/JX
주로	주로/MAG
홍반과	홍반/NNG+과/JC
잔	잘/VA+ㄴ/ETM
물집이	물집/NNG+이/JKS
많이	많이/MAG
보이고,	보이/VV+고/EC+,/SP
오래되거나	오래/MAG+되/XSA+거나/EC
반복적으로	반복/NNG+적/XSN+으로/JKB
병이	병/NNG+이/JKS
발생하면	발생/NNG+하/XSV+면/EC
그	그/MMD
부위의	부위/NNG+의/JKG
피부가	피부/NNG+가/JKS
두꺼워지게	두껍/VA+어/EC+지/VX+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.137.7.1
알레르기성 접촉 피부염은 이 씨처럼 중장년층이 걸리기 쉬운 질병이다.

알레르기성	알레르기/NNG+성/XSN
접촉	접촉/NNG
피부염은	피부염/NNG+은/JX
이	이/NNP
씨처럼	씨/NNB+처럼/JKB
중장년층이	중장년/NNG+층/XSN+이/JKS
걸리기	걸리/VV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
질병이다.	질병/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.137.7.2
박천욱 한림대 강남성심병원 피부과 교수는 “여름에는 습도가 많고 땀 분비량이 증가할 뿐만 아니라 외부로 피부 노출이 많다 보니 알레르기성 접촉 피부염이 증가하는 것”이라고 말했다.

박천욱	박천욱/NNP
한림대	한림대/NNP
강남성심병원	강남성심병원/NNP
피부과	피부과/NNG
교수는	교수/NNG+는/JX
“여름에는	“/SS+여름/NNG+에/JKB+는/JX
습도가	습도/NNG+가/JKS
많고	많/VA+고/EC
땀	땀/NNG
분비량이	분비량/NNG+이/JKS
증가할	증가/NNG+하/XSV+ㄹ/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
외부로	외부/NNG+로/JKB
피부	피부/NNG
노출이	노출/NNG+이/JKS
많다	많/VA+다/EF
보니	보/VX+니/EC
알레르기성	알레르기/NNG+성/XSN
접촉	접촉/NNG
피부염이	피부염/NNG+이/JKS
증가하는	증가/NNG+하/XSV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.137.8.1
알레르기성 접촉 피부염을 유발하는 물질은 화장품과 살균제, 꽃가루와 연고 등.

알레르기성	알레르기/NNG+성/XSN
접촉	접촉/NNG
피부염을	피부염/NNG+을/JKO
유발하는	유발/NNG+하/XSV+는/ETM
물질은	물질/NNG+은/JX
화장품과	화장품/NNG+과/JC
살균제,	살균제/NNG+,/SP
꽃가루와	꽃가루/NNG+와/JC
연고	연고/NNG
등.	등/NNB+./SF


# id : NWRW1800000045.137.8.2
모두 일상생활에서 흔히 접하는 것들이다.

모두	모두/MAG
일상생활에서	일상생활/NNG+에서/JKB
흔히	흔히/MAG
접하는	접하/VV+는/ETM
것들이다.	것/NNB+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000045.137.8.3
이 외에도 니켈, 코발트와 같은 금속류(주로 벨트, 장신구 등에 사용)나 합성수지로 된 의류 등 3700여 가지가 알레르기성 접촉 피부염을 유발하는 물질이다.

이	이/NP
외에도	외/NNB+에/JKB+도/JX
니켈,	니켈/NNG+,/SP
코발트와	코발트/NNG+와/JKB
같은	같/VA+은/ETM
금속류(주로	금속/NNG+류/XSN+(/SS+주로/MAG
벨트,	벨트/NNG+,/SP
장신구	장신구/NNG
등에	등/NNB+에/JKB
사용)나	사용/NNG+)/SS+나/JC
합성수지로	합성수지/NNG+로/JKB
된	되/VV+ㄴ/ETM
의류	의류/NNG
등	등/NNB
3700여	3700/SN+여/XSN
가지가	가지/NNB+가/JKS
알레르기성	알레르기/NNG+성/XSN
접촉	접촉/NNG
피부염을	피부염/NNG+을/JKO
유발하는	유발/NNG+하/XSV+는/ETM
물질이다.	물질/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.137.8.4
박 교수는 “남녀노소를 가리지 않고 외모에 대한 관심이 늘어 화장품 사용이 증가하고 있기 때문에 알레르기성 접촉 피부염은 젊은 여성에게서 더 많이 발생하는 추세”라고 말했다.

박	박/NNP
교수는	교수/NNG+는/JX
“남녀노소를	“/SS+남녀노소/NNG+를/JKO
가리지	가리/VV+지/EC
않고	않/VX+고/EC
외모에	외모/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심이	관심/NNG+이/JKS
늘어	늘/VV+어/EC
화장품	화장품/NNG
사용이	사용/NNG+이/JKS
증가하고	증가/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
알레르기성	알레르기/NNG+성/XSN
접촉	접촉/NNG
피부염은	피부염/NNG+은/JX
젊은	젊/VA+은/ETM
여성에게서	여성/NNG+에게서/JKB
더	더/MAG
많이	많이/MAG
발생하는	발생/NNG+하/XSV+는/ETM
추세”라고	추세/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.137.9.1
○ 알레르기 유발 특정 물질 찾아내야

○	○/SW
알레르기	알레르기/NNG
유발	유발/NNG
특정	특정/NNG
물질	물질/NNG
찾아내야	찾아내/VV+어야/EC


# id : NWRW1800000045.137.10.1
알레르기성 접촉 피부염에 가장 쉽게 노출되는 사람들은 꽃가루 등 특정 물질에 알레르기가 있는 사람들이다.

알레르기성	알레르기/NNG+성/XSN
접촉	접촉/NNG
피부염에	피부염/NNG+에/JKB
가장	가장/MAG
쉽게	쉽/VA+게/EC
노출되는	노출/NNG+되/XSV+는/ETM
사람들은	사람/NNG+들/XSN+은/JX
꽃가루	꽃가루/NNG
등	등/NNB
특정	특정/NNG
물질에	물질/NNG+에/JKB
알레르기가	알레르기/NNG+가/JKS
있는	있/VA+는/ETM
사람들이다.	사람/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000045.137.10.2
이들의 경우 자신에게 알레르기를 유발하는 물질이 닿으면 그 부위와 손을 즉시 깨끗이 씻는 게 예방의 지름길이다.

이들의	이/NP+들/XSN+의/JKG
경우	경우/NNG
자신에게	자신/NNG+에게/JKB
알레르기를	알레르기/NNG+를/JKO
유발하는	유발/NNG+하/XSV+는/ETM
물질이	물질/NNG+이/JKS
닿으면	닿/VV+으면/EC
그	그/MMD
부위와	부위/NNG+와/JKB
손을	손/NNG+을/JKO
즉시	즉시/MAG
깨끗이	깨끗이/MAG
씻는	씻/VV+는/ETM
게	거/NNB+이/JKS
예방의	예방/NNG+의/JKG
지름길이다.	지름길/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.137.11.1
평소 자신에게 어떤 물질이 알레르기를 유발하는지 모르는 상태에서 알레르기성 접촉 피부염이 발생한다면 병원을 찾아 검사해야 한다.

평소	평소/NNG
자신에게	자신/NNG+에게/JKB
어떤	어떤/MMD
물질이	물질/NNG+이/JKS
알레르기를	알레르기/NNG+를/JKO
유발하는지	유발/NNG+하/XSV+는지/EC
모르는	모르/VV+는/ETM
상태에서	상태/NNG+에서/JKB
알레르기성	알레르기/NNG+성/XSN
접촉	접촉/NNG
피부염이	피부염/NNG+이/JKS
발생한다면	발생/NNG+하/XSV+ㄴ다면/EC
병원을	병원/NNG+을/JKO
찾아	찾/VV+아/EC
검사해야	검사/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.137.11.2
검사를 받을 때는 의사의 질문에 성실히 답하는 게 중요하다.

검사를	검사/NNG+를/JKO
받을	받/VV+을/ETM
때는	때/NNG+는/JX
의사의	의사/NNG+의/JKG
질문에	질문/NNG+에/JKB
성실히	성실히/MAG
답하는	답/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000045.137.11.3
발병을 유발하는 물질이 워낙 다양한 데다 나이와 취미, 직업 등에 대한 다각적인 검토 없이는 발병 원인을 찾아내기 어렵기 때문이다.

발병을	발병/NNG+을/JKO
유발하는	유발/NNG+하/XSV+는/ETM
물질이	물질/NNG+이/JKS
워낙	워낙/MAG
다양한	다양/NNG+하/XSA+ㄴ/ETM
데다	데/NNB+다/JX
나이와	나이/NNG+와/JC
취미,	취미/NNG+,/SP
직업	직업/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
다각적인	다각/NNG+적/XSN+이/VCP+ㄴ/ETM
검토	검토/NNG
없이는	없이/MAG+는/JX
발병	발병/NNG
원인을	원인/NNG+을/JKO
찾아내기	찾아내/VV+기/ETN
어렵기	어렵/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.137.11.4
물론 구두로 진행되는 검사 외에도 원인 물질을 찾아내기 위해서 피부에 수십 가지의 원인 물질들을 붙여 알레르기 반응을 체크하는 피부접촉반응검사도 진행된다.

물론	물론/MAG
구두로	구두/NNG+로/JKB
진행되는	진행/NNG+되/XSV+는/ETM
검사	검사/NNG
외에도	외/NNB+에/JKB+도/JX
원인	원인/NNG
물질을	물질/NNG+을/JKO
찾아내기	찾아내/VV+기/ETN
위해서	위하/VV+아서/EC
피부에	피부/NNG+에/JKB
수십	수십/NR
가지의	가지/NNB+의/JKG
물질들을	물질/NNG+들/XSN+을/JKO
붙여	붙이/VV+어/EC
알레르기	알레르기/NNG
반응을	반응/NNG+을/JKO
체크하는	체크/NNG+하/XSV+는/ETM
피부접촉반응검사도	피부/NNG+접촉/NNG+반응/NNG+검사/NNG+도/JX
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.137.12.1
알레르기성 접촉 피부염의 치료는 대체로 스테로이드 성분의 연고를 사용하고 증상이 심할 경우 스테로이드제나 항히스타민제를 복용한다.

알레르기성	알레르기/NNG+성/XSN
접촉	접촉/NNG
피부염의	피부염/NNG+의/JKG
치료는	치료/NNG+는/JX
대체로	대체로/MAG
스테로이드	스테로이드/NNG
성분의	성분/NNG+의/JKG
연고를	연고/NNG+를/JKO
사용하고	사용/NNG+하/XSV+고/EC
증상이	증상/NNG+이/JKS
심할	심하/VA+ㄹ/ETM
경우	경우/NNG
스테로이드제나	스테로이드제/NNG+나/JX
항히스타민제를	항히스타민제/NNG+를/JKO
복용한다.	복용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.137.12.2
박 교수는 “알레르기성 접촉 피부염의 증상이 나타났을 때는 병원을 빨리 찾아가는 것이 가장 중요하다”고 강조했다.

박	박/NNP
교수는	교수/NNG+는/JX
“알레르기성	“/SS+알레르기/NNG+성/XSN
접촉	접촉/NNG
피부염의	피부염/NNG+의/JKG
증상이	증상/NNG+이/JKS
나타났을	나타나/VV+았/EP+을/ETM
때는	때/NNG+는/JX
병원을	병원/NNG+을/JKO
빨리	빨리/MAG
찾아가는	찾아가/VV+는/ETM
것이	것/NNB+이/JKS
가장	가장/MAG
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


