# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.398
metadata : {}


# id : NWRW1800000033.398.1.1
[수도권]청계천에 3만5000개 등의 향연

[수도권]청계천에	[/SS+수도/NNG+권/XSN+]/SS+청계천/NNP+에/JKB
더	더/MAG
길어졌다.	길어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.398.4.1
가장 눈길을 끄는 등은 ‘한양도성등(燈)’이다.

가장	가장/MAG
눈길을	눈길/NNG+을/JKO
끄는	끌/VV+는/ETM
등은	등/NNG+은/JX
‘한양도성등(燈)’이다.	‘/SS+한양도성/NNP+등/NNG+(/SS+燈/SH+)/SS+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000033.398.4.2
등축제 시작점인 청계광장 분수대 위에 띄워진다.

등축제	등/NNG+축제/NNG
시작점인	시작점/NNG+이/VCP+ㄴ/ETM
청계광장	청계광장/NNP
분수대	분수대/NNG
위에	위/NNG+에/JKB
띄워진다.	띄우/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.398.4.3
가로 12m, 세로 12m에 높이 1.5m 크기로 한양도성을 둘러싼 지형, 경복궁과 경희궁 보신각 봉수대 종로 청계천 등 한양도성 내 주요 건물과 지점들이 표현됐다.

가로	가로/NNG
12m,	12/SN+m/SW+,/SP
세로	세로/NNG
12m에	12/SN+m/SW+에/JKB
높이	높이/NNG
1.5m	1/SN+./SP+5/SN+m/SW
크기로	크기/NNG+로/JKB
한양도성을	한양도성/NNP+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
지형,	지형/NNG+,/SP
경복궁과	경복궁/NNP+과/JC
경희궁	경희궁/NNP
보신각	보신각/NNP
봉수대	봉수대/NNG
종로	종로/NNP
청계천	청계천/NNP
등	등/NNB
한양도성	한양도성/NNP
내	내/NNB
주요	주요/NNG
건물과	건물/NNG+과/JC
지점들이	지점/NNG+들/XSN+이/JKS
표현됐다.	표현/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.398.5.1
모전교 쪽으로 내려오면 자격루 혼천의 등 세종대왕 때 발명품을 형상화한 등과 조선 군인의 늠름한 모습, 궁녀들이 등을 들고 있는 모습이 표현된 등을 볼 수 있다.

모전교	모전교/NNP
쪽으로	쪽/NNB+으로/JKB
내려오면	내려오/VV+면/EC
자격루	자격루/NNG
혼천의	혼천의/NNG
등	등/NNB
세종대왕	세종/NNP+대왕/NNG
때	때/NNG
발명품을	발명품/NNG+을/JKO
형상화한	형상/NNG+화/XSN+하/XSV+ㄴ/ETM
등과	등/NNG+과/JC
조선	조선/NNP
군인의	군인/NNG+의/JKG
늠름한	늠름하/VA+ㄴ/ETM
모습,	모습/NNG+,/SP
궁녀들이	궁녀/NNG+들/XSN+이/JKS
등을	등/NNG+을/JKO
들고	들/VV+고/EC
있는	있/VX+는/ETM
모습이	모습/NNG+이/JKS
표현된	표현/NNG+되/XSV+ㄴ/ETM
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.398.5.2
장통교부터는 일본 아오모리 현 고쇼가와라 시에서 매년 8월 열리는 다치네푸타 축제에 사용됐던 등과 싱가포르 중추절(우리나라의 추석) 등불축제 때 사용된 파인애플등 등 아시아 도시 4곳의 등이 전시된다.

장통교부터는	장통교/NNP+부터/JX+는/JX
일본	일본/NNP
아오모리	아오모리/NNP
현	현/NNG
고쇼가와라	고쇼가와라/NNP
시에서	시/NNG+에서/JKB
매년	매년/MAG
8월	8/SN+월/NNB
열리는	열리/VV+는/ETM
다치네푸타	다치네푸타/NNG
축제에	축제/NNG+에/JKB
사용됐던	사용/NNG+되/XSV+었/EP+던/ETM
등과	등/NNG+과/JC
싱가포르	싱가포르/NNP
중추절(우리나라의	중추절/NNG+(/SS+우리나라/NNG+의/JKG
추석)	추석/NNG+)/SS
등불축제	등불/NNG+축제/NNG
때	때/NNG
사용된	사용/NNG+되/XSV+ㄴ/ETM
파인애플등	파인애플/NNG+등/NNG
등	등/NNB
아시아	아시아/NNP
도시	도시/NNG
4곳의	4/SN+곳/NNG+의/JKG
등이	등/NNG+이/JKS
전시된다.	전시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.398.5.3
이어 부탄 몽골 핀란드 체코 뉴질랜드 등 세계 39개국 어린이들이 전통의상을 입고 있는 모습을 형상화한 등을 감상할 수 있다.

이어	이어/MAG
부탄	부탄/NNP
몽골	몽골/NNP
핀란드	핀란드/NNP
체코	체코/NNP
뉴질랜드	뉴질랜드/NNP
등	등/NNB
세계	세계/NNG
39개국	39/SN+개국/NNB
어린이들이	어린이/NNG+들/XSN+이/JKS
전통의상을	전통/NNG+의상/NNG+을/JKO
입고	입/VV+고/EC
있는	있/VX+는/ETM
모습을	모습/NNG+을/JKO
형상화한	형상/NNG+화/XSN+하/XSV+ㄴ/ETM
등을	등/NNG+을/JKO
감상할	감상/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.398.5.4
등 축제 마지막 구간은 뽀로로, 로봇 태권V, 로보카 폴리 등 아이들이 좋아하는 캐릭터 등과 두루미가 날아가는 모습을 실감나게 표현한 등이 장식한다.

등	등/NNB
축제	축제/NNG
마지막	마지막/NNG
구간은	구간/NNG+은/JX
뽀로로,	뽀로로/NNP+,/SP
로봇	로봇/NNG
태권V,	태권V/NNP+,/SP
로보카	로보카/NNP
폴리	폴리/NNP
아이들이	아이/NNG+들/XSN+이/JKS
좋아하는	좋아하/VV+는/ETM
캐릭터	캐릭터/NNG
등과	등/NNG+과/JC
두루미가	두루미/NNG+가/JKS
날아가는	날아가/VV+는/ETM
모습을	모습/NNG+을/JKO
실감나게	실감/NNG+나/VV+게/EC
표현한	표현/NNG+하/XSV+ㄴ/ETM
등이	등/NNG+이/JKS
장식한다.	장식/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.398.6.1
광교 아래의 광교갤러리에서는 다양한 체험행사가 열린다.

광교	광교/NNP
아래의	아래/NNG+의/JKG
광교갤러리에서는	광교갤러리/NNP+에서/JKB+는/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
체험행사가	체험/NNG+행사/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.398.6.2
전통등 틀에 원하는 색을 직접 입혀보는 ‘전통등 제작체험’은 참가비 5000∼1만 원을 내면 참여할 수 있다.

전통등	전통/NNG+등/NNG
틀에	틀/NNG+에/JKB
원하는	원/NNG+하/XSV+는/ETM
색을	색/NNG+을/JKO
직접	직접/MAG
입혀보는	입히/VV+어/EC+보/VX+는/ETM
‘전통등	‘/SS+전통/NNG+등/NNG
제작체험’은	제작/NNG+체험/NNG+’/SS+은/JX
참가비	참가비/NNG
5000∼1만	5000/SN+∼/SO+1/SN+만/NR
원을	원/NNB+을/JKO
내면	내/VV+면/EC
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.398.6.3
2013년 계사년을 맞아 뱀 캐릭터 구조물에 소원을 적은 한지를 붙이는 ‘새해 기원 소원지 달기’(참가비 1000원), 유등에 원하는 메시지를 적어 불을 붙이고 청계천에 띄우는 ‘희망유등 띄우기’(참가비 3000원)도 열린다.

2013년	2013/SN+년/NNB
계사년을	계사년/NNG+을/JKO
맞아	맞/VV+아/EC
뱀	뱀/NNG
캐릭터	캐릭터/NNG
구조물에	구조물/NNG+에/JKB
소원을	소원/NNG+을/JKO
적은	적/VV+은/ETM
한지를	한지/NNG+를/JKO
붙이는	붙이/VV+는/ETM
‘새해	‘/SS+새해/NNG
기원	기원/NNG
소원지	소원지/NNG
달기’(참가비	달/VV+기/ETN+’/SS+(/SS+참가비/NNG
1000원),	1000/SN+원/NNB+)/SS+,/SP
유등에	유등/NNG+에/JKB
원하는	원/NNG+하/XSV+는/ETM
메시지를	메시지/NNG+를/JKO
적어	적/VV+어/EC
불을	불/NNG+을/JKO
붙이고	붙이/VV+고/EC
청계천에	청계천/NNP+에/JKB
띄우는	띄우/VV+는/ETM
‘희망유등	‘/SS+희망/NNG+유등/NNG
띄우기’(참가비	띄우/VV+기/ETN+’/SS+(/SS+참가비/NNG
3000원)도	3000/SN+원/NNB+)/SS+도/JX
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.398.6.4
광교와 모전교 사이 구간에서는 서울성곽 세계문화유산 등재를 기원하는 ‘한양도성 성곽등 쌓기’ 행사(참가비 3000원)도 열린다.

광교와	광교/NNP+와/JC
모전교	모전교/NNP
사이	사이/NNG
구간에서는	구간/NNG+에서/JKB+는/JX
서울성곽	서울성곽/NNP
세계문화유산	세계/NNG+문화유산/NNG
등재를	등재/NNG+를/JKO
기원하는	기원/NNG+하/XSV+는/ETM
‘한양도성	‘/SS+한양도성/NNP
성곽등	성곽/NNG+등/NNG
쌓기’	쌓/VV+기/ETN+’/SS
행사(참가비	행사/NNG+(/SS+참가비/NNG
3000원)도	3000/SN+원/NNB+)/SS+도/JX
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.398.7.1
점등 시간은 오후 5시부터 오후 11시이며 체험행사도 이 시간에 함께 열린다.

점등	점등/NNG
시간은	시간/NNG+은/JX
오후	오후/NNG
5시부터	5/SN+시/NNB+부터/JX
11시이며	11/SN+시/NNB+이/VCP+며/EC
체험행사도	체험/NNG+행사/NNG+도/JX
이	이/MMD
시간에	시간/NNG+에/JKB
함께	함께/MAG
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.398.7.2
전체 구간을 관람한다면 넉넉잡아 1시간 정도가 걸린다.

전체	전체/NNG
구간을	구간/NNG+을/JKO
관람한다면	관람/NNG+하/XSV+ㄴ다면/EC
넉넉잡아	넉넉잡/VV+아/EC
1시간	1/SN+시간/NNB
정도가	정도/NNG+가/JKS
걸린다.	걸리/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.398.7.3
금요일부터 일요일까지는 관람객 수가 많아 정해진 출입구만 사용해야 한다.

금요일부터	금요일/NNG+부터/JX
일요일까지는	일요일/NNG+까지/JX+는/JX
관람객	관람객/NNG
수가	수/NNG+가/JKS
많아	많/VA+아/EC
정해진	정하/VV+아/EC+지/VX+ㄴ/ETM
출입구만	출입구/NNG+만/JX
사용해야	사용/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.398.7.4
청계광장 삼일교 세운교에서만 청계천으로 내려갈 수 있고 광교 장통교 수표교 관수교 청계광장에서만 다시 올라올 수 있다.

청계광장	청계광장/NNP
삼일교	삼일교/NNP
세운교에서만	세운교/NNP+에서/JKB+만/JX
청계천으로	청계천/NNP+으로/JKB
내려갈	내려가/VV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
광교	광교/NNP
장통교	장통교/NNP
수표교	수표교/NNP
관수교	관수교/NNP
청계광장에서만	청계광장/NNP+에서/JKB+만/JX
다시	다시/MAG
올라올	올라오/VV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.398.7.5
주말에 관람객이 집중되기 때문에 편안하게 관람하거나 사진을 찍고 싶다면 평일 저녁 시간대를 이용하는 것이 좋다.

주말에	주말/NNG+에/JKB
관람객이	관람객/NNG+이/JKS
집중되기	집중/NNG+되/XSV+기/ETN
때문에	때문/NNB+에/JKB
편안하게	편안/NNG+하/XSA+게/EC
관람하거나	관람/NNG+하/XSV+거나/EC
사진을	사진/NNG+을/JKO
찍고	찍/VV+고/EC
싶다면	싶/VX+다면/EC
평일	평일/NNG
저녁	저녁/NNG
시간대를	시간대/NNG+를/JKO
이용하는	이용/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000033.398.7.6
서울등축제 홈페이지(seoullantern.visitseoul.net)나 공식 블로그(blog.naver.com/seoullantern) 다산콜센터(120) 참조.

서울등축제	서울/NNP+등/NNG+축제/NNG
홈페이지(seoullantern.visitseoul.net)나	홈페이지/NNG+(/SS+seoullantern/SL+./SP+visitseoul/SL+./SP+net/SL+)/SS+나/JC
공식	공식/NNG
블로그(blog.naver.com/seoullantern)	블로그/NNG+(/SS+blog/SL+./SP+naver/SL+./SP+com/SL+//SP+seoullantern/SL+)/SS
다산콜센터(120)	다산콜센터/NNP+(/SS+120/SN+)/SS
참조.	참조/NNG+./SF


