# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.19
metadata : {}


# id : NWRW1800000052.19.1.1
한-이란 경제협력, 넘어야 할 장애물은?

한-이란	한/NNP+-/SO+이란/NNP
미국이 풀어주지 않기 때문이다.

미국이	미국/NNP+이/JKS
풀어주지	풀/VV+어/EC+주/VX+지/EC
않기	않/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.19.6.4
그래서 한국이 이란에 치른 원유 대금 3조원가량도 이란으로 가지 못하고 서울에 있는 이란 중앙은행 계좌에 예치돼 있다.

그래서	그래서/MAJ
한국이	한국/NNP+이/JKS
이란에	이란/NNP+에/JKB
치른	치르/VV+ㄴ/ETM
원유	원유/NNG
대금	대금/NNG
3조원가량도	3/SN+조/NR+원/NNB+가량/XSN+도/JX
이란으로	이란/NNP+으로/JKB
가지	가/VV+지/EC
못하고	못하/VX+고/EC
서울에	서울/NNP+에/JKB
있는	있/VA+는/ETM
이란	이란/NNP
중앙은행	중앙은행/NNG
계좌에	계좌/NNG+에/JKB
예치돼	예치/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.19.6.5
이렇게 전 세계 은행에 묶인 이란 자금은 30조~100조원으로 추산된다.

이렇게	이렇/VA+게/EC
전	전/MMN
세계	세계/NNG
은행에	은행/NNG+에/JKB
묶인	묶이/VV+ㄴ/ETM
이란	이란/NNP
자금은	자금/NNG+은/JX
30조~100조원으로	30/SN+조/NR+~/SO+100/SN+조/NR+원/NNB+으로/JKB
추산된다.	추산/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.19.6.6
결제와 송금이 자유롭지 못하면 이란의 경제 활동과 이란에 대한 투자는 위축될 수밖에 없다.

결제와	결제/NNG+와/JC
송금이	송금/NNG+이/JKS
자유롭지	자유/NNG+롭/XSA+지/EC
못하면	못하/VX+면/EC
이란의	이란/NNP+의/JKG
경제	경제/NNG
활동과	활동/NNG+과/JC
이란에	이란/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
투자는	투자/NNG+는/JX
위축될	위축/NNG+되/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000052.19.7.1
유로를 이용한 결제와 송금은 가능하다.

유로를	유로/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
결제와	결제/NNG+와/JC
송금은	송금/NNG+은/JX
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000052.19.7.2
그러나 김승욱 코트라 테헤란무역관장은 “유럽 은행들이 미국을 의식해 여전히 이란과의 거래를 꺼린다”고 말했다.

그러나	그러나/MAJ
김승욱	김승욱/NNP
코트라	코트라/NNP
테헤란무역관장은	테헤란무역관장/NNG+은/JX
“유럽	“/SS+유럽/NNP
은행들이	은행/NNG+들/XSN+이/JKS
미국을	미국/NNP+을/JKO
의식해	의식/NNG+하/XSV+아/EC
여전히	여전히/MAG
이란과의	이란/NNP+과/JKB+의/JKG
거래를	거래/NNG+를/JKO
꺼린다”고	꺼리/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.19.8.1
중국과의 경쟁도 큰 산이다.

중국과의	중국/NNP+과/JKB+의/JKG
경쟁도	경쟁/NNG+도/JX
큰	크/VA+ㄴ/ETM
산이다.	산/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.19.8.2
중국은 경제 제재 때 이란과 가장 많은 거래를 한 나라다.

중국은	중국/NNP+은/JX
경제	경제/NNG
제재	제재/NNG
때	때/NNG
이란과	이란/NNP+과/JKB
가장	가장/MAG
많은	많/VA+은/ETM
거래를	거래/NNG+를/JKO
한	하/VV+ㄴ/ETM
나라다.	나라/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.19.8.3
특히 중국의 시진핑 주석은 제재가 풀린 뒤 가장 먼저 이란을 방문해 앞으로 10년 동안 두 나라의 교역 규모를 현재의 10배인 6천억달러까지 늘리겠다고 공언했다.

특히	특히/MAG
중국의	중국/NNP+의/JKG
시진핑	시진핑/NNP
주석은	주석/NNG+은/JX
제재가	제재/NNG+가/JKS
풀린	풀리/VV+ㄴ/ETM
뒤	뒤/NNG
가장	가장/MAG
먼저	먼저/MAG
이란을	이란/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
앞으로	앞/NNG+으로/JKB
10년	10/SN+년/NNB
동안	동안/NNG
두	두/MMN
나라의	나라/NNG+의/JKG
교역	교역/NNG
규모를	규모/NNG+를/JKO
현재의	현재/NNG+의/JKG
10배인	10/SN+배/NNG+이/VCP+ㄴ/ETM
6천억달러까지	6/SN+천억/NR+달러/NNB+까지/JX
늘리겠다고	늘리/VV+겠/EP+다고/EC
공언했다.	공언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.19.8.4
중국이 이란에 500억달러를 투자할 것이라는 보도도 나왔다.

중국이	중국/NNP+이/JKS
이란에	이란/NNP+에/JKB
500억달러를	500/SN+억/NR+달러/NNB+를/JKO
투자할	투자/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
보도도	보도/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.19.8.5
중국의 이란 내 위상과 관련해 이란무역진흥공사의 모즈타바 무사비안 총국장은 “경제 제재 시기에 중국은 이란의 첫 번째 경제 파트너였고, 이미 이란에서 많은 투자를 해 기반을 잡았다”고 평가했다.

중국의	중국/NNP+의/JKG
이란	이란/NNP
내	내/NNB
위상과	위상/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
이란무역진흥공사의	이란무역진흥공사/NNP+의/JKG
모즈타바	모즈타바/NNP
무사비안	무사비안/NNP
총국장은	총국장/NNG+은/JX
“경제	“/SS+경제/NNG
제재	제재/NNG
시기에	시기/NNG+에/JKB
중국은	중국/NNP+은/JX
이란의	이란/NNP+의/JKG
첫	첫/MMN
번째	번/NNB+째/XSN
경제	경제/NNG
파트너였고,	파트너/NNG+이/VCP+었/EP+고/EC+,/SP
이미	이미/MAG
이란에서	이란/NNP+에서/JKB
많은	많/VA+은/ETM
투자를	투자/NNG+를/JKO
해	하/VV+아/EC
기반을	기반/NNG+을/JKO
잡았다”고	잡/VV+았/EP+다/EF+”/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.19.9.1
한국이 이란 시장에서 성공하려면 중국과의 경쟁이 불가피하다.

한국이	한국/NNP+이/JKS
이란	이란/NNP
시장에서	시장/NNG+에서/JKB
성공하려면	성공/NNG+하/XSV+려면/EC
중국과의	중국/NNP+과/JKB+의/JKG
경쟁이	경쟁/NNG+이/JKS
불가피하다.	불가피하/VA+다/EF+./SF


# id : NWRW1800000052.19.9.2
가전에서 자동차, 조선, 정보통신에 이르기까지 겹치는 산업이 많기 때문이다.

가전에서	가전/NNG+에서/JKB
자동차,	자동차/NNG+,/SP
조선,	조선/NNG+,/SP
정보통신에	정보/NNG+통신/NNG+에/JKB
이르기까지	이르/VV+기/ETN+까지/JX
겹치는	겹치/VV+는/ETM
산업이	산업/NNG+이/JKS
많기	많/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.19.9.3
중국은 가격과 물량으로, 한국은 기술력으로 승부해야 한다.

중국은	중국/NNP+은/JX
가격과	가격/NNG+과/JC
물량으로,	물량/NNG+으로/JKB+,/SP
한국은	한국/NNP+은/JX
기술력으로	기술력/NNG+으로/JKB
승부해야	승부/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000052.19.9.4
이번 상품전에 절단기 등 기계 제품을 갖고 참가한 건우기계의 나인찬 대표는 “최근에 우리 업계에도 중국이 들어오기 시작했다.

이번	이번/NNG
상품전에	상품전/NNG+에/JKB
절단기	절단기/NNG
등	등/NNB
기계	기계/NNG
제품을	제품/NNG+을/JKO
갖고	갖/VV+고/EC
참가한	참가/NNG+하/XSV+ㄴ/ETM
건우기계의	건우기계/NNP+의/JKG
나인찬	나인찬/NNP
대표는	대표/NNG+는/JX
“최근에	“/SS+최근/NNG+에/JKB
우리	우리/NP
업계에도	업계/NNG+에/JKB+도/JX
중국이	중국/NNP+이/JKS
들어오기	들어오/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.19.9.5
중국이 들어오면 우리는 가격을 낮춰 경쟁하거나 경쟁을 피해 고급 시장으로 옮겨가야 한다”고 말했다.

중국이	중국/NNP+이/JKS
들어오면	들어오/VV+면/EC
우리는	우리/NP+는/JX
가격을	가격/NNG+을/JKO
낮춰	낮추/VV+어/EC
경쟁하거나	경쟁/NNG+하/XSV+거나/EC
경쟁을	경쟁/NNG+을/JKO
피해	피하/VV+아/EC
고급	고급/NNG
시장으로	시장/NNG+으로/JKB
옮겨가야	옮기/VV+어/EC+가/VX+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.19.10.1
사우디아라비아와의 관계도 한국으로서는 부담이다.

사우디아라비아와의	사우디아라비아/NNP+와/JKB+의/JKG
관계도	관계/NNG+도/JX
한국으로서는	한국/NNP+으로서/JKB+는/JX
부담이다.	부담/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.19.10.2
사우디는 한국에 대한 주요 원유 수출국이고, 2015년 중동 최대의 한국 상품 수입국이다.

사우디는	사우디/NNP+는/JX
한국에	한국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
주요	주요/NNG
원유	원유/NNG
수출국이고,	수출국/NNG+이/VCP+고/EC+,/SP
2015년	2015/SN+년/NNB
중동	중동/NNP
최대의	최대/NNG+의/JKG
한국	한국/NNP
상품	상품/NNG
수입국이다.	수입국/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.19.10.3
이란 역시 한국에 대한 주요 원유 수출국이고, 한국 상품 수입 규모는 중동에서 2위다.

이란	이란/NNP
역시	역시/MAG
한국에	한국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
주요	주요/NNG
원유	원유/NNG
수출국이고,	수출국/NNG+이/VCP+고/EC+,/SP
한국	한국/NNP
상품	상품/NNG
수입	수입/NNG
규모는	규모/NNG+는/JX
중동에서	중동/NNP+에서/JKB
2위다.	2/SN+위/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.19.11.1
그런데 사우디와 이란은 석유 생산량과 가격, 나아가 중동 패권을 두고 경쟁한다.

그런데	그런데/MAJ
사우디와	사우디/NNP+와/JC
이란은	이란/NNP+은/JX
석유	석유/NNG
생산량과	생산량/NNG+과/JC
가격,	가격/NNG+,/SP
나아가	나아가/VV+아/EC
중동	중동/NNP
패권을	패권/NNG+을/JKO
두고	두/VV+고/EC
경쟁한다.	경쟁/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.19.11.2
저유가의 원인이 사우디와 이란의 증산 경쟁 때문이라는 분석이 있을 정도다.

저유가의	저/XPN+유가/NNG+의/JKG
원인이	원인/NNG+이/JKS
사우디와	사우디/NNP+와/JC
이란의	이란/NNP+의/JKG
증산	증산/NNG
경쟁	경쟁/NNG
때문이라는	때문/NNB+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
있을	있/VA+을/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.19.11.3
따라서 한국이 이란과 밀착한다면 전통적 우방인 사우디와 멀어질 우려도 있다.

따라서	따라서/MAJ
한국이	한국/NNP+이/JKS
이란과	이란/NNP+과/JKB
밀착한다면	밀착/NNG+하/XSV+ㄴ다면/EC
전통적	전통/NNG+적/XSN
우방인	우방/NNG+이/VCP+ㄴ/ETM
사우디와	사우디/NNP+와/JKB
멀어질	멀어지/VV+ㄹ/ETM
우려도	우려/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.19.11.4
무역업계 관계자는 “사우디 업체가 한국에서 부품을 수입하는 조건으로 이란과 거래하지 않을 것을 요구한 일도 있었다”고 말했다.

무역업계	무역업/NNG+계/XSN
관계자는	관계자/NNG+는/JX
“사우디	“/SS+사우디/NNP
업체가	업체/NNG+가/JKS
한국에서	한국/NNP+에서/JKB
부품을	부품/NNG+을/JKO
수입하는	수입/NNG+하/XSV+는/ETM
조건으로	조건/NNG+으로/JKB
이란과	이란/NNP+과/JKB
거래하지	거래/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
것을	것/NNB+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
일도	일/NNG+도/JX
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.19.11.5
5월 초 박근혜 대통령이 대규모 경제사절단을 이끌고 이란을 방문한 뒤 20일도 안 돼 황교안 총리가 사우디를 방문한 것은 이런 우려 때문으로 보인다.

5월	5/SN+월/NNB
초	초/NNB
박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
대규모	대/XPN+규모/NNG
경제사절단을	경제/NNG+사절단/NNG+을/JKO
이끌고	이끌/VV+고/EC
이란을	이란/NNP+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
20일도	20/SN+일/NNB+도/JX
안	안/MAG
돼	되/VV+어/EC
황교안	황교안/NNP
총리가	총리/NNG+가/JKS
사우디를	사우디/NNP+를/JKO
것은	것/NNB+은/JX
이런	이런/MMD
우려	우려/NNG
때문으로	때문/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


