# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.225
metadata : {}


# id : NWRW1800000038.225.1.1
韓水原 '주식 로비' 업체, 부품성적서도 위조 의혹

韓水原	韓水原/SH
체포했다.	체포/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.225.4.2
검찰은 주식 로비(배임증재)와 회사 자금 횡령 등의 혐의로 전날 체포한 회사 대표 김모(51)씨가 윤씨에게 서류 위조를 지시했는지도 조사 중이다.

검찰은	검찰/NNG+은/JX
주식	주식/NNG
로비(배임증재)와	로비/NNG+(/SS+배임/NNG+증재/NNG+)/SS+와/JC
회사	회사/NNG
자금	자금/NNG
횡령	횡령/NNG
등의	등/NNB+의/JKG
혐의로	혐의/NNG+로/JKB
전날	전날/NNG
체포한	체포/NNG+하/XSV+ㄴ/ETM
대표	대표/NNG
김모(51)씨가	김/NNP+모/NP+(/SS+51/SN+)/SS+씨/NNB+가/JKS
윤씨에게	윤/NNP+씨/NNB+에게/JKB
서류	서류/NNG
위조를	위조/NNG+를/JKO
지시했는지도	지시/NNG+하/XSV+았/EP+는지/EF+도/JX
조사	조사/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.225.5.1
검찰은 S사 주식을 보유한 한수원 직원들이 S사의 부품 시험성적서 위조를 눈감아 줬을 가능성이 있다고 보고 조만간 한수원 직원들도 소환 조사키로 했다.

검찰은	검찰/NNG+은/JX
S사	S/SL+사/NNG
주식을	주식/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
한수원	한수원/NNP
직원들이	직원/NNG+들/XSN+이/JKS
S사의	S/SL+사/NNG+의/JKG
부품	부품/NNG
시험성적서	시험/NNG+성적서/NNG
위조를	위조/NNG+를/JKO
눈감아	눈감/VV+아/EC
줬을	주/VX+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다고	있/VA+다고/EC
보고	보/VV+고/EC
조만간	조만간/MAG
직원들도	직원/NNG+들/XSN+도/JX
소환	소환/NNG
조사키로	조사/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.225.5.2
S사는 건설 중인 신울진 1·2호기와 화력발전소 등에 제어밸브를 납품하고 있다.

S사는	S/SL+사/NNG+는/JX
건설	건설/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
신울진	신울진/NNP
1·2호기와	1/SN+·/SP+2/SN+호기/NNB+와/JC
화력발전소	화력/NNG+발전소/NNG
등에	등/NNB+에/JKB
제어밸브를	제어/NNG+밸브/NNG+를/JKO
납품하고	납품/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.225.6.1
검찰은 또 자신 또는 가족 이름으로 S사 주식을 보유한 한수원 직원 30여명 가운데 상당수가 시세보다 훨씬 싼 가격에 주식을 넘겨받은 사실을 확인한 것으로 알려졌다.

검찰은	검찰/NNG+은/JX
또	또/MAG
자신	자신/NNG
또는	또는/MAG
가족	가족/NNG
이름으로	이름/NNG+으로/JKB
S사	S/SL+사/NNG
주식을	주식/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
한수원	한수원/NNP
직원	직원/NNG
30여명	30/SN+여/XSN+명/NNB
가운데	가운데/NNG
상당수가	상당수/NNG+가/JKS
시세보다	시세/NNG+보다/JKB
훨씬	훨씬/MAG
싼	싸/VA+ㄴ/ETM
가격에	가격/NNG+에/JKB
넘겨받은	넘겨받/VV+은/ETM
사실을	사실/NNG+을/JKO
확인한	확인/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.225.6.2
검찰에 따르면 S사는 2009년 하반기 사모펀드들로부터 1주(株)당 액면가의 6배(3만원)~7배(3만5000원)씩에 투자를 받았으나 비슷한 시기 한수원 직원들에는 액면가인 1주당 5000원이나 액면가의 2배인 1만원씩만 받고 주식을 넘겼다는 것이다.

검찰에	검찰/NNG+에/JKB
따르면	따르/VV+면/EC
S사는	S/SL+사/NNG+는/JX
2009년	2009/SN+년/NNB
하반기	하반기/NNG
사모펀드들로부터	사모/NNG+펀드/NNG+들/XSN+로부터/JKB
1주(株)당	1/SN+주/NNG+(/SS+株/SH+)/SS+당/XSN
액면가의	액면/NNG+가/XSN+의/JKG
6배(3만원)~7배(3만5000원)씩에	6/SN+배/NNG+(/SS+3/SN+만/NR+원/NNB+)/SS+~/SO+7/SN+배/NNG+(/SS+3/SN+만/NR+5000/SN+원/NNB+)/SS+씩/XSN+에/JKB
투자를	투자/NNG+를/JKO
받았으나	받/VV+았/EP+으나/EC
비슷한	비슷하/VA+ㄴ/ETM
시기	시기/NNG
한수원	한수원/NNP
직원들에는	직원/NNG+들/XSN+에/JKB+는/JX
액면가인	액면/NNG+가/XSN+이/VCP+ㄴ/ETM
1주당	1/SN+주/NNG+당/XSN
5000원이나	5000/SN+원/NNB+이나/JX
2배인	2/SN+배/NNG+이/VCP+ㄴ/ETM
1만원씩만	1/SN+만/NR+원/NNB+씩/XSN+만/JX
받고	받/VV+고/EC
주식을	주식/NNG+을/JKO
넘겼다는	넘기/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.225.7.1
자녀 3명의 명의로 8000주를 보유했던 한수원 팀장급 간부 배모씨는 본지와 통화에서 "2010년 5월 S사로부터 제의를 받고 1주당 1만원씩 8000만원에 8000주를 샀다"며 "(한수원 퇴직 직원인) S사 대표 김씨와는 오래전부터 아는 사이"라고 말했다.

자녀	자녀/NNG
3명의	3/SN+명/NNB+의/JKG
명의로	명의/NNG+로/JKB
8000주를	8000/SN+주/NNG+를/JKO
보유했던	보유/NNG+하/XSV+았/EP+던/ETM
한수원	한수원/NNP
팀장급	팀장급/NNG
간부	간부/NNG
배모씨는	배/NNP+모/NP+씨/NNB+는/JX
본지와	본지/NNG+와/JKB
통화에서	통화/NNG+에서/JKB
"2010년	"/SS+2010/SN+년/NNB
5월	5/SN+월/NNB
S사로부터	S/SL+사/NNG+로부터/JKB
제의를	제의/NNG+를/JKO
받고	받/VV+고/EC
1주당	1/SN+주/NNG+당/XSN
1만원씩	1/SN+만/NR+원/NNB+씩/XSN
8000만원에	8000/SN+만/NR+원/NNB+에/JKB
샀다"며	사/VV+았/EP+다/EF+"/SS+며/EC
"(한수원	"/SS+(/SS+한수원/NNP
퇴직	퇴직/NNG
직원인)	직원/NNG+이/VCP+ㄴ/ETM+)/SS
S사	S/SL+사/NNG
대표	대표/NNG
김씨와는	김/NNP+씨/NNB+와/JKB+는/JX
오래전부터	오래전/NNG+부터/JX
아는	알/VV+는/ETM
사이"라고	사이/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.225.8.1
배씨는 "자녀 명의로 주식을 산 이유는 장기(長期) 보유 목적이라서 그런 것"이라고 했다가 "올 6월쯤 S사에서 갑자기 주식을 되팔아달라는 요청이 와서 처분했다"고 말했다.

배씨는	배/NNP+씨/NNB+는/JX
"자녀	"/SS+자녀/NNG
명의로	명의/NNG+로/JKB
주식을	주식/NNG+을/JKO
산	살/VV+ㄴ/ETM
이유는	이유/NNG+는/JX
장기(長期)	장기/NNG+(/SS+長期/SH+)/SS
보유	보유/NNG
목적이라서	목적/NNG+이/VCP+라서/EC
그런	그런/MMD
것"이라고	것/NNB+"/SS+이라고/JKQ
했다가	하/VV+았/EP+다가/EC
"올	"/SS+올/NNG
6월쯤	6/SN+월/NNB+쯤/XSN
S사에서	S/SL+사/NNG+에서/JKB
갑자기	갑자기/MAG
되팔아달라는	되팔/VV+아/EC+달/VX+라는/ETM
요청이	요청/NNG+이/JKS
와서	오/VV+아서/EC
처분했다"고	처분/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.225.9.1
검찰은 S사 주식을 시세보다 싸게 산 납품 관련 업무 담당 한수원 직원들은 배임수재 혐의로 형사처벌할 방침이다.

검찰은	검찰/NNG+은/JX
S사	S/SL+사/NNG
주식을	주식/NNG+을/JKO
시세보다	시세/NNG+보다/JKB
싸게	싸/VA+게/EC
산	사/VV+ㄴ/ETM
납품	납품/NNG
관련	관련/NNG
업무	업무/NNG
담당	담당/NNG
한수원	한수원/NNP
직원들은	직원/NNG+들/XSN+은/JX
배임수재	배임/NNG+수재/NNG
혐의로	혐의/NNG+로/JKB
형사처벌할	형사/NNG+처벌/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


