# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.230
metadata : {}


# id : NWRW1800000046.230.1.1
中 수영스타 쑨양, 심장이 안 좋아서…

中	中/SH
쑨양은 경기 후 "앞서 자유형 800m 때부터 심장이 좋지 않았다"면서 "1500m에 출전하지 못해 유감이며, 귀국하면 꼼꼼하게 검진하겠다"라고 밝혔다.

쑨양은	쑨양/NNP+은/JX
경기	경기/NNG
후	후/NNG
"앞서	"/SS+앞서/MAG
자유형	자유/NNG+형/XSN
800m	800/SN+m/SW
때부터	때/NNG+부터/JX
심장이	심장/NNG+이/JKS
좋지	좋/VA+지/EC
않았다"면서	않/VX+았/EP+다/EF+"/SS+면서/EC
"1500m에	"/SS+1500/SN+m/SW+에/JKB
출전하지	출전/NNG+하/XSV+지/EC
못해	못하/VX+아/EC
유감이며,	유감/NNG+이/VCP+며/EC+,/SP
귀국하면	귀국/NNG+하/XSV+면/EC
꼼꼼하게	꼼꼼/MAG+하/XSA+게/EC
검진하겠다"라고	검진/NNG+하/XSV+겠/EP+다/EF+"/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.230.5.2
그의 심장 문제는 작년에 불거졌다.

그의	그/NP+의/JKG
심장	심장/NNG
문제는	문제/NNG+는/JX
작년에	작년/NNG+에/JKB
불거졌다.	불거지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.230.5.3
작년 5월 자국 선수권 대회 기간 중 협심증 완화 성분인 트리메타지딘(Trimetazidine)에 양성반응을 보여 3개월 선수 자격정지 처분을 받은 것이다.

작년	작년/NNG
5월	5/SN+월/NNB
자국	자국/NNG
선수권	선수/NNG+권/XSN
대회	대회/NNG
기간	기간/NNG
중	중/NNB
협심증	협심증/NNG
완화	완화/NNG
성분인	성분/NNG+이/VCP+ㄴ/ETM
트리메타지딘(Trimetazidine)에	트리메타지딘/NNG+(/SS+Trimetazidine/SL+)/SS+에/JKB
양성반응을	양성/NNG+반응/NNG+을/JKO
보여	보이/VV+어/EC
3개월	3/SN+개월/NNB
선수	선수/NNG
자격정지	자격/NNG+정지/NNG
처분을	처분/NNG+을/JKO
받은	받/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.230.5.4
당시 쑨양과 그의 주치의는 중국 반도핑기구(CHINADA)에 '심장 치료 목적으로 약을 썼다'고 소명했다.

당시	당시/NNG
쑨양과	쑨양/NNP+과/JC
그의	그/NP+의/JKG
주치의는	주치의/NNG+는/JX
중국	중국/NNP
반도핑기구(CHINADA)에	반/XPN+도핑/NNG+기구/NNG+(/SS+CHINADA/SL+)/SS+에/JKB
'심장	'/SS+심장/NNG
치료	치료/NNG
목적으로	목적/NNG+으로/JKB
약을	약/NNG+을/JKO
썼다'고	쓰/VV+었/EP+다/EF+'/SS+고/JKQ
소명했다.	소명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.230.5.5
트리메타지딘은 흥분제로 분류돼 작년 1월부터 세계반도핑기구(WADA)의 금지약물에 포함됐다.

트리메타지딘은	트리메타지딘/NNG+은/JX
흥분제로	흥분제/NNG+로/JKB
분류돼	분류/NNG+되/XSV+어/EC
작년	작년/NNG
1월부터	1/SN+월/NNB+부터/JX
세계반도핑기구(WADA)의	세계반도핑기구/NNP+(/SS+WADA/SL+)/SS+의/JKG
금지약물에	금지/NNG+약물/NNG+에/JKB
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.230.5.6
다만 경기 기간 중에만 복용이 금지될 뿐, 경기 기간이 아니면 허용된다.

다만	다만/MAG
경기	경기/NNG
기간	기간/NNG
중에만	중/NNB+에/JKB+만/JX
복용이	복용/NNG+이/JKS
금지될	금지/NNG+되/XSV+ㄹ/ETM
뿐,	뿐/NNB+,/SP
기간이	기간/NNG+이/JKC
아니면	아니/VCN+면/EC
허용된다.	허용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.230.6.1
쑨양은 자유형 1500m를 기권했지만, 남자부 최우수선수상(국제수영연맹 선정)을 받았다.

쑨양은	쑨양/NNP+은/JX
자유형	자유/NNG+형/XSN
1500m를	1500/SN+m/SW+를/JKO
기권했지만,	기권/NNG+하/XSV+았/EP+지만/EC+,/SP
남자부	남자부/NNG
최우수선수상(국제수영연맹	최/XPN+우수/NNG+선수/NNG+상/NNG+(/SS+국제수영연맹/NNP
선정)을	선정/NNG+)/SS+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.230.6.2
여자부에선 5관왕에 오른 미국의 케이티 레데키가 수상의 영예를 안았다.

여자부에선	여자부/NNG+에서/JKB+ㄴ/JX
5관왕에	5관왕/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
미국의	미국/NNP+의/JKG
케이티	케이티/NNP
레데키가	레데키/NNP+가/JKS
수상의	수상/NNG+의/JKG
영예를	영예/NNG+를/JKO
안았다.	안/VV+았/EP+다/EF+./SF


