# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.267
metadata : {}


# id : NWRW1800000026.267.1.1
살냄새 진동하는 3D;국내 성인영화 속속 제작, 감독 "생생한 화면 나도 놀라" 日 '부분 3D'는 이미 개봉

살냄새	살냄새/NNG
'나탈리'는 극중 조각가로 나오는 이성재가 자신이 사랑한 여자를 모델로 만든 조각상의 이름.

'나탈리'는	'/SS+나탈리/NNP+'/SS+는/JX
극중	극/NNG+중/NNB
조각가로	조각가/NNG+로/JKB
나오는	나오/VV+는/ETM
이성재가	이성재/NNP+가/JKS
자신이	자신/NNG+이/JKS
사랑한	사랑/NNG+하/XSV+ㄴ/ETM
여자를	여자/NNG+를/JKO
모델로	모델/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
조각상의	조각상/NNG+의/JKG
이름.	이름/NNG+./SF


# id : NWRW1800000026.267.3.2
10월 초 개봉할 예정이다.

10월	10/SN+월/NNB
초	초/NNB
개봉할	개봉/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.267.4.1
제작비 13억 원에 17회차 촬영으로 완성한 이 저예산 3D 영화는 국내 최초로 3D 베드신을 선보인다.

제작비	제작비/NNG
13억	13/SN+억/NR
원에	원/NNB+에/JKB
17회차	17/SN+회차/NNG
촬영으로	촬영/NNG+으로/JKB
완성한	완성/NNG+하/XSV+ㄴ/ETM
이	이/MMD
저예산	저/XPN+예산/NNG
3D	3/SN+D/SL
영화는	영화/NNG+는/JX
국내	국내/NNG
최초로	최초/NNG+로/JKB
베드신을	베드신/NNG+을/JKO
선보인다.	선보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.267.4.2
주 감독은 "베드신에서의 3D 효과는 경이로울 정도"라며 "배우의 살결을 손으로 만질 수 있을 것처럼 생생해서 나도 깜짝 놀랐다"고 말했다.

주	주/NNP
감독은	감독/NNG+은/JX
"베드신에서의	"/SS+베드신/NNG+에서/JKB+의/JKG
3D	3/SN+D/SL
효과는	효과/NNG+는/JX
경이로울	경이/NNG+롭/XSA+ㄹ/ETM
정도"라며	정도/NNG+"/SS+이/VCP+라며/EC
"배우의	"/SS+배우/NNG+의/JKG
살결을	살결/NNG+을/JKO
손으로	손/NNG+으로/JKB
만질	만지/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것처럼	것/NNB+처럼/JKB
생생해서	생생하/VA+아서/EC
나도	나/NP+도/JX
깜짝	깜짝/MAG
놀랐다"고	놀라/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.267.5.1
주 감독은 베드신의 3D 효과를 극대화하기 위해 배우들이 좌우가 아닌 앞뒤로 움직이도록 주문했고 심도(深度)를 느낄 수 있도록 배우들 앞쪽에서 촬영했다.

주	주/NNP
감독은	감독/NNG+은/JX
베드신의	베드신/NNG+의/JKG
3D	3/SN+D/SL
효과를	효과/NNG+를/JKO
극대화하기	극대/NNG+화/XSN+하/XSV+기/ETN
위해	위하/VV+아/EC
배우들이	배우/NNG+들/XSN+이/JKS
좌우가	좌우/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
앞뒤로	앞뒤/NNG+로/JKB
움직이도록	움직이/VV+도록/EC
주문했고	주문/NNG+하/XSV+았/EP+고/EC
심도(深度)를	심도/NNG+(/SS+深度/SH+)/SS+를/JKO
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
배우들	배우/NNG+들/XSN
앞쪽에서	앞쪽/NNG+에서/JKB
촬영했다.	촬영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.267.5.2
3D 망원렌즈가 없는 악조건에도 불구하고 클로즈업 장면을 최대한 늘렸다.

3D	3/SN+D/SL
망원렌즈가	망원/NNG+렌즈/NNG+가/JKS
없는	없/VA+는/ETM
악조건에도	악조건/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
클로즈업	클로즈업/NNG
장면을	장면/NNG+을/JKO
최대한	최대한/MAG
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.267.5.3
통상 베드신이 남녀가 가로로 길게 누운 상태를 찍는 것과 달리, 이 영화는 배우들의 자세도 최대한 세로로 유지토록 했다.

통상	통상/MAG
베드신이	베드신/NNG+이/JKS
남녀가	남녀/NNG+가/JKS
가로로	가로/NNG+로/JKB
길게	길/VA+게/EC
누운	눕/VV+ㄴ/ETM
상태를	상태/NNG+를/JKO
찍는	찍/VV+는/ETM
것과	것/NNB+과/JKB
달리,	달리/MAG+,/SP
이	이/MMD
영화는	영화/NNG+는/JX
배우들의	배우/NNG+들/XSN+의/JKG
자세도	자세/NNG+도/JX
최대한	최대한/MAG
세로로	세로/NNG+로/JKB
유지토록	유지/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.267.5.4
3D 효과를 위해 주인공 직업도 화가에서 조각가로 바꿨다.

3D	3/SN+D/SL
효과를	효과/NNG+를/JKO
위해	위하/VV+아/EC
주인공	주인공/NNG
직업도	직업/NNG+도/JX
화가에서	화가/NNG+에서/JKB
조각가로	조각가/NNG+로/JKB
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.267.5.5
주 감독은 "'아바타'처럼 액션과 움직임이 많은 영화 뿐 아니라 좁은 공간에서 이뤄지는 이야기에도 3D가 대단히 효과적이라는 확신을 얻었다"고 말했다.

주	주/NNP
감독은	감독/NNG+은/JX
"'아바타'처럼	"/SS+'/SS+아바타/NNP+'/SS+처럼/JKB
액션과	액션/NNG+과/JC
움직임이	움직임/NNG+이/JKS
많은	많/VA+은/ETM
영화	영화/NNG
뿐	뿐/JX
아니라	아니/VCN+라/EC
좁은	좁/VA+은/ETM
공간에서	공간/NNG+에서/JKB
이뤄지는	이뤄지/VV+는/ETM
이야기에도	이야기/NNG+에/JKB+도/JX
3D가	3/SN+D/SL+가/JKS
대단히	대단히/MAG
효과적이라는	효과/NNG+적/XSN+이/VCP+라는/ETM
확신을	확신/NNG+을/JKO
얻었다"고	얻/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.267.6.1
'나탈리'는 '현의 노래'를 위한 테스트 작품의 성격도 띠고 있다.

'나탈리'는	'/SS+나탈리/NNP+'/SS+는/JX
'현의	'/SS+현/NNG+의/JKG
노래'를	노래/NNG+'/SS+를/JKO
위한	위하/VV+ㄴ/ETM
테스트	테스트/NNG
작품의	작품/NNG+의/JKG
성격도	성격/NNG+도/JX
띠고	띠/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.267.6.2
주 감독은 "'나탈리'를 시험삼아 찍었으니 이제 '현의 노래'를 찍을 만반의 준비를 갖췄다"고 말했다.

주	주/NNP
감독은	감독/NNG+은/JX
"'나탈리'를	"/SS+'/SS+나탈리/NNP+'/SS+를/JKO
시험삼아	시험/NNG+삼/VV+아/EC
찍었으니	찍/VV+었/EP+으니/EC
이제	이제/MAG
'현의	'/SS+현/NNG+의/JKG
노래'를	노래/NNG+'/SS+를/JKO
찍을	찍/VV+을/ETM
만반의	만반/NNG+의/JKG
준비를	준비/NNG+를/JKO
갖췄다"고	갖추/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.267.6.3
'현의 노래'는 30일 크랭크인해서 내년 프랑스 칸영화제 출품을 목표로 하고 있다.

'현의	'/SS+현/NNG+의/JKG
노래'는	노래/NNG+'/SS+는/JX
30일	30/SN+일/NNB
크랭크인해서	크랭크인/NNG+하/XSV+아서/EC
내년	내년/NNG
프랑스	프랑스/NNP
칸영화제	칸/NNP+영화제/NNG
출품을	출품/NNG+을/JKO
목표로	목표/NNG+로/JKB
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.267.7.1
멀티플렉스 회사인 앳나인(At9)도 내년 봄 개봉을 목표로 3D 성인영화를 준비하고 있다.

멀티플렉스	멀티플렉스/NNG
회사인	회사/NNG+이/VCP+ㄴ/ETM
앳나인(At9)도	앳나인/NNP+(/SS+At/SL+9/SN+)/SS+도/JX
내년	내년/NNG
봄	봄/NNG
개봉을	개봉/NNG+을/JKO
목표로	목표/NNG+로/JKB
3D	3/SN+D/SL
성인영화를	성인/NNG+영화/NNG+를/JKO
준비하고	준비/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.267.7.2
'저예산 에로영화'를 뜻하는 일본의 '핑크영화'들을 모아 매년 영화제를 열고 있는 이 회사는 이번 영화가 첫 제작 작품이다.

'저예산	'/SS+저/XPN+예산/NNG
에로영화'를	에로/NNG+영화/NNG+'/SS+를/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
일본의	일본/NNP+의/JKG
'핑크영화'들을	'/SS+핑크/NNG+영화/NNG+'/SS+들/XSN+을/JKO
모아	모으/VV+아/EC
매년	매년/MAG
영화제를	영화제/NNG+를/JKO
열고	열/VV+고/EC
있는	있/VX+는/ETM
이	이/MMD
회사는	회사/NNG+는/JX
이번	이번/NNG
영화가	영화/NNG+가/JKS
첫	첫/MMN
제작	제작/NNG
작품이다.	작품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.267.7.3
현재 시놉시스만 마련한 채 시나리오 작업 중인 이 영화는 각본과 연출 모두 여성에게 맡길 계획이다.

현재	현재/MAG
시놉시스만	시놉시스/NNG+만/JX
마련한	마련/NNG+하/XSV+ㄴ/ETM
채	채/NNB
시나리오	시나리오/NNG
작업	작업/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
이	이/MMD
영화는	영화/NNG+는/JX
각본과	각본/NNG+과/JC
연출	연출/NNG
모두	모두/MAG
여성에게	여성/NNG+에게/JKB
맡길	맡기/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.267.7.4
앳나인 정상진 대표는 "그간 에로영화의 시각이 남성 위주였다면 우리가 제작할 영화는 여성의 시각으로 보는 에로티시즘을 다룰 것"이라며 "세미포르노 장르인 일본 '로망포르노' 수준의 강도 높은 섹스신을 3D로 찍을 계획"이라고 말했다.

앳나인	앳나인/NNP
정상진	정상진/NNP
대표는	대표/NNG+는/JX
"그간	"/SS+그/NP+간/XSN
에로영화의	에로/NNG+영화/NNG+의/JKG
시각이	시각/NNG+이/JKS
남성	남성/NNG
위주였다면	위주/NNG+이/VCP+었/EP+다면/EC
우리가	우리/NP+가/JKS
제작할	제작/NNG+하/XSV+ㄹ/ETM
영화는	영화/NNG+는/JX
여성의	여성/NNG+의/JKG
시각으로	시각/NNG+으로/JKB
보는	보/VV+는/ETM
에로티시즘을	에로티시즘/NNG+을/JKO
다룰	다루/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"세미포르노	"/SS+세미포르노/NNG
장르인	장르/NNG+이/VCP+ㄴ/ETM
일본	일본/NNP
'로망포르노'	'/SS+로망포르노/NNG+'/SS
수준의	수준/NNG+의/JKG
강도	강도/NNG
높은	높/VA+은/ETM
섹스신을	섹스신/NNG+을/JKO
3D로	3/SN+D/SL+로/JKB
찍을	찍/VV+을/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.267.8.1
일본의 대표적 로망포르노 시리즈인 '완전한 사육'의 7번째 작품인 '아키하바라의 하녀카페:완전한 사육'은 총 5분간의 정사장면을 3D로 만들어 지난달 29일 국내 개봉했다.

일본의	일본/NNP+의/JKG
대표적	대표/NNG+적/XSN
로망포르노	로망포르노/NNG
시리즈인	시리즈/NNG+이/VCP+ㄴ/ETM
'완전한	'/SS+완전/NNG+하/XSA+ㄴ/ETM
사육'의	사육/NNG+'/SS+의/JKG
7번째	7/SN+번/NNB+째/XSN
작품인	작품/NNG+이/VCP+ㄴ/ETM
'아키하바라의	'/SS+아키하바라/NNP+의/JKG
하녀카페:완전한	하녀/NNG+카페/NNG+:/SP+완전/NNG+하/XSA+ㄴ/ETM
사육'은	사육/NNG+'/SS+은/JX
총	총/MMA
5분간의	5/SN+분/NNB+간/XSN+의/JKG
정사장면을	정사/NNG+장면/NNG+을/JKO
3D로	3/SN+D/SL+로/JKB
만들어	만들/VV+어/EC
지난달	지난달/NNG
29일	29/SN+일/NNB
국내	국내/NNG
개봉했다.	개봉/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.267.8.2
DVD와 유료 TV 등 부가판권 시장을 겨냥해 수입된 이 영화는 화면이 3D로 전환될 때 '3D' 마크가 화면에 뜨며, 그때마다 입체 안경을 써야 한다.

DVD와	DVD/SL+와/JC
유료	유료/NNG
TV	TV/SL
등	등/NNB
부가판권	부가/NNG+판권/NNG
시장을	시장/NNG+을/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
수입된	수입/NNG+되/XSV+ㄴ/ETM
이	이/MMD
영화는	영화/NNG+는/JX
화면이	화면/NNG+이/JKS
3D로	3/SN+D/SL+로/JKB
전환될	전환/NNG+되/XSV+ㄹ/ETM
때	때/NNG
'3D'	'/SS+3/SN+D/SL+'/SS
마크가	마크/NNG+가/JKS
화면에	화면/NNG+에/JKB
뜨며,	뜨/VV+며/EC+,/SP
그때마다	그때/NNG+마다/JX
입체	입체/NNG
안경을	안경/NNG+을/JKO
써야	쓰/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.267.8.3
현재 극장에서는 이 영화를 볼 수 없으며 곧 DVD로 출시될 예정이다.

현재	현재/MAG
극장에서는	극장/NNG+에서/JKB+는/JX
이	이/MMD
영화를	영화/NNG+를/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
없으며	없/VA+으며/EC
곧	곧/MAG
DVD로	DVD/SL+로/JKB
출시될	출시/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.267.9.1
미국 포르노업계도 '3D의 강자'로 떠오르고 있다.

미국	미국/NNP
포르노업계도	포르노/NNG+업계/NNG+도/JX
'3D의	'/SS+3/SN+D/SL+의/JKG
강자'로	강자/NNG+'/SS+로/JKB
떠오르고	떠오르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.267.9.2
유명 포르노업체인 '허슬러'는 올 9월 '아바타'를 3D 포르노로 패러디한 DVD를 출시한다.

유명	유명/NNG
포르노업체인	포르노/NNG+업체/NNG+이/VCP+ㄴ/ETM
'허슬러'는	'/SS+허슬러/NNP+'/SS+는/JX
올	올/NNG
9월	9/SN+월/NNB
'아바타'를	'/SS+아바타/NNP+'/SS+를/JKO
3D	3/SN+D/SL
포르노로	포르노/NNG+로/JKB
패러디한	패러디/NNG+하/XSV+ㄴ/ETM
DVD를	DVD/SL+를/JKO
출시한다.	출시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.267.9.3
미국 IT전문 웹사이트인 'PC맥닷컴'은 최근 "포르노 업체들이 TV용 3D 제작 장비를 대량으로 주문하고 있다"며 "포르노는 3D 시장에 커다란 영향을 미칠 중요한 변수"라고 전했다.

미국	미국/NNP
IT전문	IT/SL+전문/NNG
웹사이트인	웹/NNG+사이트/NNG+이/VCP+ㄴ/ETM
'PC맥닷컴'은	'/SS+PC맥닷컴/NNP+'/SS+은/JX
최근	최근/NNG
"포르노	"/SS+포르노/NNG
업체들이	업체/NNG+들/XSN+이/JKS
TV용	TV/SL+용/XSN
3D	3/SN+D/SL
제작	제작/NNG
장비를	장비/NNG+를/JKO
대량으로	대량/NNG+으로/JKB
주문하고	주문/NNG+하/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"포르노는	"/SS+포르노/NNG+는/JX
시장에	시장/NNG+에/JKB
커다란	커다랗/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
중요한	중요/NNG+하/XSA+ㄴ/ETM
변수"라고	변수/NNG+"/SS+라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


