# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.329
metadata : {}


# id : NWRW1800000052.329.1.1
정부, 방사성 제논 미량 탐지…핵실험 확인 못해

정부,	정부/NNG+,/SP
고정식	고정식/NNG
방사성	방사/NNG+성/XSN
제논	제논/NNG
탐지장비에서	탐지/NNG+장비/NNG+에서/JKB
평소	평소/NNG
검출되는	검출/NNG+되/XSV+는/ETM
수준에도	수준/NNG+에/JKB+도/JX
미치지	미치/VV+지/EC
못하는	못하/VX+는/ETM
농도다.	농도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.329.3.4
원안위는 “핵실험 여부를 확인하려면 4종의 제논 동위원소가 확인돼야 하는데 제논-133Xe 외의 나머지 3가지가 검출되지 않았다.

원안위는	원안위/NNG+는/JX
“핵실험	“/SS+핵/NNG+실험/NNG
여부를	여부/NNG+를/JKO
확인하려면	확인/NNG+하/XSV+려면/EC
4종의	4/SN+종/NNG+의/JKG
제논	제논/NNG
동위원소가	동위/NNG+원소/NNG+가/JKS
확인돼야	확인/NNG+되/XSV+어야/EC
하는데	하/VX+는데/EC
제논-133Xe	제논/NNG+-/SO+133/SN+Xe/SL
외의	외/NNB+의/JKG
나머지	나머지/NNG
3가지가	3/SN+가지/NNB+가/JKS
검출되지	검출/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.329.3.5
제논-133Xe가 북한 핵실험에 의한 것인지 판단하기 위해서는 추가 분석이 필요하다”고 덧붙였다.

제논-133Xe가	제논/NNG+-/SO+133/SN+Xe/SL+가/JKS
북한	북한/NNP
핵실험에	핵/NNG+실험/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EF
판단하기	판단/NNG+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
추가	추가/NNG
분석이	분석/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.329.3.6
원안위는 2차 포집한 공기를 분석중이며 이르면 9일 아침에 결과가 나온다.

원안위는	원안위/NNG+는/JX
2차	2/SN+차/NNB
포집한	포집/NNG+하/XSV+ㄴ/ETM
공기를	공기/NNG+를/JKO
분석중이며	분석/NNG+중/NNB+이/VCP+며/EC
이르면	이르/VV+면/EC
9일	9/SN+일/NNB
아침에	아침/NNG+에/JKB
결과가	결과/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.329.4.1
원안위 관계자는 “방사성 제논 탐지는 핵실험 여부만 확인할 수 있어 추가 분석을 하더라도 북한이 수소폭탄 실험을 했는지는 알 수 없다.

원안위	원안위/NNG
관계자는	관계자/NNG+는/JX
“방사성	“/SS+방사/NNG+성/XSN
제논	제논/NNG
탐지는	탐지/NNG+는/JX
핵실험	핵/NNG+실험/NNG
여부만	여부/NNG+만/JX
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
추가	추가/NNG
분석을	분석/NNG+을/JKO
하더라도	하/VV+더라도/EC
북한이	북한/NNP+이/JKS
수소폭탄	수소/NNG+폭탄/NNG
실험을	실험/NNG+을/JKO
했는지는	하/VV+았/EP+는지/EF+는/JX
알	알/VV+ㄹ/ETM
없다.	없/VA+다/EF+./SF


# id : NWRW1800000052.329.4.2
수소탄 실험 때 방출되는 헬륨 등은 가벼운 불활성기체여서 포집해 분석하기 쉽지 않다”고 말했다.

수소탄	수소탄/NNG
실험	실험/NNG
때	때/NNG
방출되는	방출/NNG+되/XSV+는/ETM
헬륨	헬륨/NNG
등은	등/NNB+은/JX
가벼운	가볍/VA+ㄴ/ETM
불활성기체여서	불/XPN+활성/NNG+기체/NNG+이/VCP+어서/EC
포집해	포집/NNG+하/XSV+아/EC
분석하기	분석/NNG+하/XSV+기/ETN
쉽지	쉽/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


