# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.336
metadata : {}


# id : NWRW1800000041.336.1.1
[단독]‘철도비리 의혹’ 조현룡 의원 出禁… 내주 피의자로 소환

[단독]‘철도비리	[/SS+단독/NNG+]/SS+‘/SS+철도/NNG+비리/NNG
당시 공단은 조 의원 이사장직 퇴임을 불과 2주 앞두고 삼표와 179억 원 규모의 수의 계약을 맺는다는 방침을 밝혔다.

당시	당시/NNG
공단은	공단/NNG+은/JX
조	조/NNP
의원	의원/NNG
이사장직	이사장/NNG+직/NNG
퇴임을	퇴임/NNG+을/JKO
불과	불과/MAG
2주	2/SN+주/NNB
앞두고	앞두/VV+고/EC
삼표와	삼표/NNP+와/JKB
179억	179/SN+억/NR
원	원/NNB
규모의	규모/NNG+의/JKG
수의	수의/NNG
계약을	계약/NNG+을/JKO
맺는다는	맺/VV+는다는/ETM
방침을	방침/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.336.5.3
하지만 2009년 해당 부품의 성능 검증 기준을 제정하고 ‘적합’ 판정 보고서를 제출했던 업체가 계약 당사자인 삼표였다는 사실이 뒤늦게 알려지면서 업계에서는 “수험생이 시험 문제를 내고 채점까지 한 셈”이라는 의혹이 불거졌다.

하지만	하지만/MAJ
2009년	2009/SN+년/NNB
해당	해당/NNG
부품의	부품/NNG+의/JKG
성능	성능/NNG
검증	검증/NNG
기준을	기준/NNG+을/JKO
제정하고	제정/NNG+하/XSV+고/EC
‘적합’	‘/SS+적합/NNG+’/SS
판정	판정/NNG
보고서를	보고서/NNG+를/JKO
제출했던	제출/NNG+하/XSV+았/EP+던/ETM
업체가	업체/NNG+가/JKS
계약	계약/NNG
당사자인	당사자/NNG+이/VCP+ㄴ/ETM
삼표였다는	삼표/NNP+이/VCP+었/EP+다는/ETM
사실이	사실/NNG+이/JKS
뒤늦게	뒤늦/VA+게/EC
알려지면서	알려지/VV+면서/EC
업계에서는	업계/NNG+에서/JKB+는/JX
“수험생이	“/SS+수험/NNG+생/XSN+이/JKS
시험	시험/NNG
문제를	문제/NNG+를/JKO
내고	내/VV+고/EC
채점까지	채점/NNG+까지/JX
한	하/VV+ㄴ/ETM
셈”이라는	셈/NNB+”/SS+이/VCP+라는/ETM
의혹이	의혹/NNG+이/JKS
불거졌다.	불거지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.336.5.4
공단은 비판을 의식해 지난해 3월 해당 계약을 경쟁 입찰 방식으로 바꿨지만 삼표가 두 차례에 걸쳐 단독으로 응찰해 지난해 8월 최종 계약자로 선정됐다.

공단은	공단/NNG+은/JX
비판을	비판/NNG+을/JKO
의식해	의식/NNG+하/XSV+아/EC
지난해	지난해/NNG
3월	3/SN+월/NNB
해당	해당/NNG
계약을	계약/NNG+을/JKO
경쟁	경쟁/NNG
입찰	입찰/NNG
방식으로	방식/NNG+으로/JKB
바꿨지만	바꾸/VV+었/EP+지만/EC
삼표가	삼표/NNP+가/JKS
두	두/MMN
차례에	차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
단독으로	단독/NNG+으로/JKB
응찰해	응찰/NNG+하/XSV+아/EC
8월	8/SN+월/NNB
최종	최종/NNG
계약자로	계약자/NNG+로/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.336.6.1
조 의원이 지난해 국회 국토교통위원회에서 삼표 측에 유리한 의정 활동을 벌인 정황도 확인됐다.

조	조/NNP
의원이	의원/NNG+이/JKS
지난해	지난해/NNG
국회	국회/NNG
국토교통위원회에서	국토/NNG+교통/NNG+위원회/NNG+에서/JKB
삼표	삼표/NNP
측에	측/NNB+에/JKB
유리한	유리/NNG+하/XSA+ㄴ/ETM
의정	의정/NNG
활동을	활동/NNG+을/JKO
벌인	벌이/VV+ㄴ/ETM
정황도	정황/NNG+도/JX
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.336.6.2
지난해 4월 국토교통위 기관 보고에서 조 의원은 김광재 당시 철도시설공단 이사장(58·사망)에게 경부고속철도 2단계 공사에 대해 “국산 제품을 쓰지 않는 것은 창피한 일”이라고 지적했다.

지난해	지난해/NNG
4월	4/SN+월/NNB
국토교통위	국토/NNG+교통위/NNG
기관	기관/NNG
보고에서	보고/NNG+에서/JKB
조	조/NNP
의원은	의원/NNG+은/JX
김광재	김광재/NNP
당시	당시/NNG
철도시설공단	철도시설공단/NNP
이사장(58·사망)에게	이사장/NNG+(/SS+58/SN+·/SP+사망/NNG+)/SS+에게/JKB
경부고속철도	경부고속철도/NNP
2단계	2/SN+단계/NNG
공사에	공사/NNG+에/JKB
대해	대하/VV+아/EC
“국산	“/SS+국산/NNG
제품을	제품/NNG+을/JKO
쓰지	쓰/VV+지/EC
않는	않/VX+는/ETM
것은	것/NNB+은/JX
창피한	창피/NNG+하/XSA+ㄴ/ETM
일”이라고	일/NNG+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.336.6.3
국산 부품 사용을 강요할 경우 국내 철도부품 업체 1위인 삼표 측에 관련 납품 계약이 집중될 수밖에 없는 구조라는 게 업계 얘기다.

국산	국산/NNG
부품	부품/NNG
사용을	사용/NNG+을/JKO
강요할	강요/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
국내	국내/NNG
철도부품	철도/NNG+부품/NNG
업체	업체/NNG
1위인	1/SN+위/NNB+이/VCP+ㄴ/ETM
삼표	삼표/NNP
측에	측/NNB+에/JKB
관련	관련/NNG
납품	납품/NNG
계약이	계약/NNG+이/JKS
집중될	집중/NNG+되/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
구조라는	구조/NNG+이/VCP+라는/ETM
게	거/NNB+이/JKS
업계	업계/NNG
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.336.6.4
조 의원 측은 1일 취재팀의 해명 요청을 “할 얘기가 없다”며 거절했다.

조	조/NNP
의원	의원/NNG
측은	측/NNB+은/JX
1일	1/SN+일/NNB
취재팀의	취재/NNG+팀/NNG+의/JKG
해명	해명/NNG
요청을	요청/NNG+을/JKO
“할	“/SS+하/VV+ㄹ/ETM
얘기가	얘기/NNG+가/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
거절했다.	거절/NNG+하/XSV+았/EP+다/EF+./SF


