# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.301
metadata : {}


# id : NWRW1800000021.301.1.1
[달라도 다함께/4부 다문화, 해외서 배운다]<2> 유럽-일본의 이민자 보호

[달라도	[/SS+다르/VA+아도/EC
나왔지만	나오/VV+았/EP+지만/EC
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.301.3.1
대개의 노동 이주는 일반적으로 가난한 국가에서 부유한 국가로 이동하는 것을 말한다.

대개의	대개/NNG+의/JKG
노동	노동/NNG
이주는	이주/NNG+는/JX
일반적으로	일반/NNG+적/XSN+으로/JKB
가난한	가난/NNG+하/XSA+ㄴ/ETM
국가에서	국가/NNG+에서/JKB
부유한	부유/NNG+하/XSA+ㄴ/ETM
국가로	국가/NNG+로/JKB
이동하는	이동/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.301.3.2
따라서 이주 근로자는 원주민들의 편견과 중개인에 의한 착취, 저임금, 열악한 근로조건, 경제적 소외, 공공서비스 접근 제한 등의 문제에 취약하다.

따라서	따라서/MAJ
이주	이주/NNG
근로자는	근로자/NNG+는/JX
원주민들의	원주민/NNG+들/XSN+의/JKG
편견과	편견/NNG+과/JC
중개인에	중개인/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
착취,	착취/NNG+,/SP
저임금,	저/XPN+임금/NNG+,/SP
열악한	열악하/VA+ㄴ/ETM
근로조건,	근로/NNG+조건/NNG+,/SP
경제적	경제/NNG+적/XSN
소외,	소외/NNG+,/SP
공공서비스	공공/NNG+서비스/NNG
접근	접근/NNG
제한	제한/NNG
등의	등/NNB+의/JKG
문제에	문제/NNG+에/JKB
취약하다.	취약/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000021.301.3.3
이런 문제에 부닥치면 언어 구사 능력이 불완전해 신속하고 효율적으로 대응하기도 어렵다.

이런	이런/MMD
문제에	문제/NNG+에/JKB
부닥치면	부닥치/VV+면/EC
언어	언어/NNG
구사	구사/NNG
능력이	능력/NNG+이/JKS
불완전해	불/XPN+완전/NNG+하/XSA+아/EC
신속하고	신속/NNG+하/XSA+고/EC
효율적으로	효율/NNG+적/XSN+으로/JKB
대응하기도	대응/NNG+하/XSV+기/ETN+도/JX
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000021.301.3.4
이는 이민의 역사가 수백 년을 거슬러 올라가는 유럽도 크게 다르지 않다.

이는	이/NP+는/JX
이민의	이민/NNG+의/JKG
역사가	역사/NNG+가/JKS
수백	수백/NR
년을	년/NNB+을/JKO
거슬러	거스르/VV+어/EC
올라가는	올라가/VV+는/ETM
유럽도	유럽/NNP+도/JX
크게	크/VA+게/EC
다르지	다르/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000021.301.4.1
○ 모니터링-법적 조치로 이민자 인권 보호

○	○/SW
모니터링-법적	모니터링/NNG+-/SO+법/NNG+적/XSN
조치로	조치/NNG+로/JKB
이민자	이민자/NNG
인권	인권/NNG
보호	보호/NNG


# id : NWRW1800000021.301.5.1
오랜 이민 역사를 지닌 유럽의 경우 사회 결속뿐 아니라 국가 안보를 위해서라도 이주민 대책을 마련해야 했다.

오랜	오랜/MMA
이민	이민/NNG
역사를	역사/NNG+를/JKO
지닌	지니/VV+ㄴ/ETM
유럽의	유럽/NNP+의/JKG
경우	경우/NNG
사회	사회/NNG
결속뿐	결속/NNG+뿐/JX
아니라	아니/VCN+라/EC
국가	국가/NNG
안보를	안보/NNG+를/JKO
위해서라도	위하/VV+아서/EC+라도/JX
이주민	이주민/NNG
대책을	대책/NNG+을/JKO
마련해야	마련/NNG+하/XSV+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.301.5.2
유럽연합(EU)은 1997년 ‘유럽 인종주의 및 외국인 혐오 모니터링 센터(EUMC·European Monitoring Centre on Racism and Xenophobia)’라는 특별 기관을 설립했다.

유럽연합(EU)은	유럽연합/NNP+(/SS+EU/SL+)/SS+은/JX
1997년	1997/SN+년/NNB
‘유럽	‘/SS+유럽/NNP
인종주의	인종주의/NNG
및	및/MAG
외국인	외국인/NNG
혐오	혐오/NNG
모니터링	모니터링/NNG
센터(EUMC·European	센터/NNG+(/SS+EUMC/SL+·/SP+European/SL
Monitoring	Monitoring/SL
Centre	Centre/SL
on	on/SL
Racism	Racism/SL
and	and/SL
Xenophobia)’라는	Xenophobia/SL+)/SS+’/SS+이/VCP+라는/ETM
특별	특별/NNG
기관을	기관/NNG+을/JKO
설립했다.	설립/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.301.5.3
EUMC는 각 회원국 전문가 및 연구센터의 네트워크를 만들고, 회원국 내 이주자와 소수집단이 처한 주거 불안, 차별 등의 이슈에 대해 모니터링하면서 연례보고서를 작성하는 일을 한다.

EUMC는	EUMC/SL+는/JX
각	각/MMD
회원국	회원국/NNG
전문가	전문가/NNG
및	및/MAG
연구센터의	연구/NNG+센터/NNG+의/JKG
네트워크를	네트워크/NNG+를/JKO
만들고,	만들/VV+고/EC+,/SP
내	내/NNB
이주자와	이주자/NNG+와/JC
소수집단이	소수/NNG+집단/NNG+이/JKS
처한	처하/VV+ㄴ/ETM
주거	주거/NNG
불안,	불안/NNG+,/SP
차별	차별/NNG
등의	등/NNB+의/JKG
이슈에	이슈/NNG+에/JKB
대해	대하/VV+아/EC
모니터링하면서	모니터링/NNG+하/XSV+면서/EC
연례보고서를	연례/NNG+보고서/NNG+를/JKO
작성하는	작성/NNG+하/XSV+는/ETM
일을	일/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.301.6.1
영국 런던 킹스크로스 주변에서 슈퍼마켓을 하는 방글라데시 출신 무굴 히라 씨(44)는 “20년 전만 해도 길에서 백인들이 시비를 걸고 외국인과 백인 갱 간에 싸움도 많았다”며 “하지만 지금은 외국인이 많아진 데다 인종차별적인 발언은 범죄로 신고할 수 있기 때문에 차별을 그렇게 느끼지는 않는다”고 말했다.

영국	영국/NNP
런던	런던/NNP
킹스크로스	킹스크로스/NNP
주변에서	주변/NNG+에서/JKB
슈퍼마켓을	슈퍼마켓/NNG+을/JKO
하는	하/VV+는/ETM
방글라데시	방글라데시/NNP
출신	출신/NNG
무굴	무굴/NNP
히라	히라/NNP
씨(44)는	씨/NNB+(/SS+44/SN+)/SS+는/JX
“20년	“/SS+20/SN+년/NNB
전만	전/NNG+만/JX
해도	하/VV+아도/EC
길에서	길/NNG+에서/JKB
백인들이	백인/NNG+들/XSN+이/JKS
시비를	시비/NNG+를/JKO
걸고	걸/VV+고/EC
외국인과	외국인/NNG+과/JC
백인	백인/NNG
갱	갱/NNG
간에	간/NNB+에/JKB
싸움도	싸움/NNG+도/JX
많았다”며	많/VA+았/EP+다/EF+”/SS+며/EC
“하지만	“/SS+하지만/MAJ
지금은	지금/NNG+은/JX
외국인이	외국인/NNG+이/JKS
많아진	많아지/VV+ㄴ/ETM
데다	데/NNB+다/JX
인종차별적인	인종/NNG+차별/NNG+적/XSN+이/VCP+ㄴ/ETM
발언은	발언/NNG+은/JX
범죄로	범죄/NNG+로/JKB
신고할	신고/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
차별을	차별/NNG+을/JKO
그렇게	그렇/VA+게/EC
느끼지는	느끼/VV+지/EC+는/JX
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.301.7.1
EUMC는 2007년 ‘기본권 기구(FRA·Fundamental Rights Agency)’에 흡수 통합돼 기존 역할 이외에도 성별, 종교나 신념, 장애, 연령, 성(性)적 지향성에 대한 차별 이슈도 함께 다룬다.

EUMC는	EUMC/SL+는/JX
2007년	2007/SN+년/NNB
‘기본권	‘/SS+기본/NNG+권/XSN
기구(FRA·Fundamental	기구/NNG+(/SS+FRA/SL+·/SP+Fundamental/SL
Rights	Rights/SL
Agency)’에	Agency/SL+)/SS+’/SS+에/JKB
흡수	흡수/NNG
통합돼	통합/NNG+되/XSV+어/EC
기존	기존/NNG
역할	역할/NNG
이외에도	이외/NNG+에/JKB+도/JX
성별,	성별/NNG+,/SP
종교나	종교/NNG+나/JC
신념,	신념/NNG+,/SP
장애,	장애/NNG+,/SP
연령,	연령/NNG+,/SP
성(性)적	성/NNG+(/SS+性/SH+)/SS+적/XSN
지향성에	지향/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
차별	차별/NNG
이슈도	이슈/NNG+도/JX
함께	함께/MAG
다룬다.	다루/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.301.8.1
이민자 중 가장 취약한 계층은 난민과 망명자다.

이민자	이민자/NNG
중	중/NNB
가장	가장/MAG
취약한	취약/NNG+하/XSA+ㄴ/ETM
계층은	계층/NNG+은/JX
난민과	난민/NNG+과/JC
망명자다.	망명자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.301.8.2
이들은 불법 브로커의 덫에 걸릴 위험에 항상 노출돼 있다.

이들은	이/NP+들/XSN+은/JX
불법	불법/NNG
브로커의	브로커/NNG+의/JKG
덫에	덫/NNG+에/JKB
걸릴	걸리/VV+ㄹ/ETM
위험에	위험/NNG+에/JKB
항상	항상/MAG
노출돼	노출/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.301.8.3
이에 영국 정부는 2001년 ‘이민서비스 대행기관(OISC·Office of the Immigration Services Commissioner)’을 만들었다.

이에	이/NP+에/JKB
영국	영국/NNP
정부는	정부/NNG+는/JX
2001년	2001/SN+년/NNB
‘이민서비스	‘/SS+이민/NNG+서비스/NNG
대행기관(OISC·Office	대행/NNG+기관/NNG+(/SS+OISC/SL+·/SP+Office/SL
of	of/SL
the	the/SL
Immigration	Immigration/SL
Services	Services/SL
Commissioner)’을	Commissioner/SL+)/SS+’/SS+을/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.301.8.4
OISC는 브로커로 인한 피해를 막기 위해 자격을 갖춘 ‘이민자문가’ 직종을 만들고 난민과 망명자들에게 이들과 접촉하는 방법을 알려준다.

OISC는	OISC/SL+는/JX
브로커로	브로커/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
피해를	피해/NNG+를/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
자격을	자격/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
‘이민자문가’	‘/SS+이민/NNG+자문가/NNG+’/SS
직종을	직종/NNG+을/JKO
만들고	만들/VV+고/EC
난민과	난민/NNG+과/JC
망명자들에게	망명자/NNG+들/XSN+에게/JKB
이들과	이/NP+들/XSN+과/JKB
접촉하는	접촉/NNG+하/XSV+는/ETM
방법을	방법/NNG+을/JKO
알려준다.	알리/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.301.8.5
불법적 이민자문가에 대해서는 기소권도 가지고 있다.

불법적	불법/NNG+적/XSN
이민자문가에	이민/NNG+자문가/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
기소권도	기소/NNG+권/XSN+도/JX
가지고	가지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.301.8.6
수전 매커시 OISC 대표는 “불법 이민자문가가 난민과 망명자들의 삶을 망치고 있다”며 “적발될 경우 6∼9개월의 징역, 혹은 사회봉사 명령이 내려진다”고 말했다.

수전	수전/NNP
매커시	매커시/NNP
OISC	OISC/SL
대표는	대표/NNG+는/JX
“불법	“/SS+불법/NNG
이민자문가가	이민/NNG+자문가/NNG+가/JKS
난민과	난민/NNG+과/JC
망명자들의	망명자/NNG+들/XSN+의/JKG
삶을	삶/NNG+을/JKO
망치고	망치/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“적발될	“/SS+적발/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
6∼9개월의	6/SN+∼/SO+9/SN+개월/NNB+의/JKG
징역,	징역/NNG+,/SP
혹은	혹은/MAG
사회봉사	사회봉사/NNG
명령이	명령/NNG+이/JKS
내려진다”고	내려지/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.301.9.1
○ 문화 교류와 교육으로 관계 증진 노력

○	○/SW
문화	문화/NNG
교류와	교류/NNG+와/JC
교육으로	교육/NNG+으로/JKB
관계	관계/NNG
증진	증진/NNG
노력	노력/NNG


# id : NWRW1800000021.301.10.1
이민자와 원주민의 대화를 통해 이해와 관용을 촉진하려는 다양한 시도도 이루어지고 있다.

이민자와	이민자/NNG+와/JC
원주민의	원주민/NNG+의/JKG
대화를	대화/NNG+를/JKO
통해	통하/VV+아/EC
이해와	이해/NNG+와/JC
관용을	관용/NNG+을/JKO
촉진하려는	촉진/NNG+하/XSV+려는/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
시도도	시도/NNG+도/JX
이루어지고	이루어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.301.10.2
EU는 2008년을 ‘유럽 문화 간 대화의 해(European Year of Intercultural Dialogue)’로 정하고 ‘다양성 속에서 함께(Together in Diversity)’라는 슬로건 아래 사진 콘테스트, 아트 페스티벌 등 여러 가지 행사를 진행했다.

EU는	EU/SL+는/JX
2008년을	2008/SN+년/NNB+을/JKO
‘유럽	‘/SS+유럽/NNP
문화	문화/NNG
간	간/NNB
대화의	대화/NNG+의/JKG
해(European	해/NNG+(/SS+European/SL
Year	Year/SL
of	of/SL
Intercultural	Intercultural/SL
Dialogue)’로	Dialogue/SL+)/SS+’/SS+로/JKB
정하고	정하/VV+고/EC
‘다양성	‘/SS+다양/NNG+성/XSN
속에서	속/NNG+에서/JKB
함께(Together	함께/MAG+(/SS+Together/SL
in	in/SL
Diversity)’라는	Diversity/SL+)/SS+’/SS+이/VCP+라는/ETM
슬로건	슬로건/NNG
아래	아래/NNG
사진	사진/NNG
콘테스트,	콘테스트/NNG+,/SP
아트	아트/NNG
페스티벌	페스티벌/NNG
등	등/NNB
여러	여러/MMN
가지	가지/NNB
행사를	행사/NNG+를/JKO
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.301.11.1
일본 지방자치단체들은 1990년대 초반 ‘다문화 공생’이라는 슬로건을 정하고 2001년 5월에는 ‘외국인집주도시(集住都市)회의’를 설립했다.

일본	일본/NNP
지방자치단체들은	지방/NNG+자치/NNG+단체/NNG+들/XSN+은/JX
1990년대	1990/SN+년대/NNB
초반	초반/NNG
‘다문화	‘/SS+다문화/NNG
공생’이라는	공생/NNG+’/SS+이/VCP+라는/ETM
슬로건을	슬로건/NNG+을/JKO
정하고	정하/VV+고/EC
2001년	2001/SN+년/NNB
5월에는	5/SN+월/NNB+에/JKB+는/JX
‘외국인집주도시(集住都市)회의’를	‘/SS+외국인/NNG+집주/NNG+도시/NNG+(/SS+集住都市/SH+)/SS+회의/NNG+’/SS+를/JKO
설립했다.	설립/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.301.11.2
‘외국인집주도시회의’는 외국인이 많이 사는 지방정부와 국제교류협회가 주최가 된 것으로, 현재 27개 도시가 회원이다.

‘외국인집주도시회의’는	‘/SS+외국인집주도시회의/NNP+’/SS+는/JX
외국인이	외국인/NNG+이/JKS
많이	많이/MAG
사는	살/VV+는/ETM
지방정부와	지방/NNG+정부/NNG+와/JC
국제교류협회가	국제교류협회/NNP+가/JKS
주최가	주최/NNG+가/JKC
된	되/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
현재	현재/MAG
27개	27/SN+개/NNB
도시가	도시/NNG+가/JKS
회원이다.	회원/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.301.11.3
이들은 2001년 총무성, 법무성 등 다문화 관련 중앙부처에 외국인 대책 수립을 요구하는 ‘긴급 하마마쓰 선언’을 발표한 데 이어 2008년에는 이주민의 일본어 교육기회 보장 및 이주민 정책 전담 부서 설치 등을 중앙정부에 요구하는 ‘미노카모(美濃加茂) 도시 선언’을 발표했다.

이들은	이/NP+들/XSN+은/JX
2001년	2001/SN+년/NNB
총무성,	총무성/NNP+,/SP
법무성	법무성/NNG
등	등/NNB
다문화	다문화/NNG
관련	관련/NNG
중앙부처에	중앙/NNG+부처/NNG+에/JKB
외국인	외국인/NNG
대책	대책/NNG
수립을	수립/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
‘긴급	‘/SS+긴급/NNG
하마마쓰	하마마쓰/NNP
선언’을	선언/NNG+’/SS+을/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
2008년에는	2008/SN+년/NNB+에/JKB+는/JX
이주민의	이주민/NNG+의/JKG
일본어	일본어/NNP
교육기회	교육/NNG+기회/NNG
보장	보장/NNG
및	및/MAG
이주민	이주민/NNG
정책	정책/NNG
전담	전담/NNG
부서	부서/NNG
설치	설치/NNG
등을	등/NNB+을/JKO
중앙정부에	중앙/NNG+정부/NNG+에/JKB
‘미노카모(美濃加茂)	‘/SS+미노카모/NNP+(/SS+美濃加茂/SH+)/SS
도시	도시/NNG
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.301.12.1
○ 끝나지 않은 숙제

○	○/SW
끝나지	끝나/VV+지/EC
않은	않/VX+은/ETM
숙제	숙제/NNG


# id : NWRW1800000021.301.13.1
이민의 역사가 오래됐다고 해서 모범 답안만 가지고 있는 것은 아니다.

이민의	이민/NNG+의/JKG
역사가	역사/NNG+가/JKS
오래됐다고	오래/MAG+되/XSA+었/EP+다고/EC
해서	하/VV+아서/EC
모범	모범/NNG
답안만	답안/NNG+만/JX
가지고	가지/VV+고/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000021.301.13.2
9·11테러 이후 유럽에서는 외국인, 특히 무슬림을 보는 시선이 사나워졌고 세계 경제위기로 실업이 증가하는 현 상황에서는 외국인 혐오와 극우 성향이 확산되고 있다.

9·11테러	9/SN+·/SP+11/SN+테러/NNG
이후	이후/NNG
유럽에서는	유럽/NNP+에서/JKB+는/JX
외국인,	외국인/NNG+,/SP
특히	특히/MAG
무슬림을	무슬림/NNG+을/JKO
보는	보/VV+는/ETM
시선이	시선/NNG+이/JKS
사나워졌고	사납/VA+어/EC+지/VX+었/EP+고/EC
세계	세계/NNG
경제위기로	경제/NNG+위기/NNG+로/JKB
실업이	실업/NNG+이/JKS
증가하는	증가/NNG+하/XSV+는/ETM
현	현/MMD
상황에서는	상황/NNG+에서/JKB+는/JX
외국인	외국인/NNG
혐오와	혐오/NNG+와/JC
극우	극우/NNG
성향이	성향/NNG+이/JKS
확산되고	확산/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.301.14.1
영국은 2007년 런던 테러 이후 행인을 대상으로 무작위 검문(Stop and Search)을 강화했는데, 런던 테러 발생 이전보다 흑인 대상 검문이 322%, 아시아인 대상 검문이 277% 증가하는 등 백인(185%)에 비해 현저히 높아져 인종 차별 논란이 거세게 일었다.

영국은	영국/NNP+은/JX
2007년	2007/SN+년/NNB
런던	런던/NNP
테러	테러/NNG
이후	이후/NNG
행인을	행인/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
무작위	무/XPN+작위/NNG
검문(Stop	검문/NNG+(/SS+Stop/SL
and	and/SL
Search)을	Search/SL+)/SS+을/JKO
강화했는데,	강화/NNG+하/XSV+았/EP+는데/EC+,/SP
발생	발생/NNG
이전보다	이전/NNG+보다/JKB
흑인	흑인/NNG
대상	대상/NNG
검문이	검문/NNG+이/JKS
322%,	322/SN+%/SW+,/SP
아시아인	아시아인/NNG
277%	277/SN+%/SW
증가하는	증가/NNG+하/XSV+는/ETM
등	등/NNB
백인(185%)에	백인/NNG+(/SS+185/SN+%/SW+)/SS+에/JKB
비해	비/NNG+하/XSV+아/EC
현저히	현저히/MAG
높아져	높아지/VV+어/EC
인종	인종/NNG
차별	차별/NNG
논란이	논란/NNG+이/JKS
거세게	거세/VA+게/EC
일었다.	일/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.301.14.2
또 유럽 국가에서 강화되는 동화주의적 접근법에 대한 경고의 목소리도 나온다.

또	또/MAG
유럽	유럽/NNP
국가에서	국가/NNG+에서/JKB
강화되는	강화/NNG+되/XSV+는/ETM
동화주의적	동화주의/NNG+적/XSN
접근법에	접근법/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
경고의	경고/NNG+의/JKG
목소리도	목소리/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.301.15.1
북아일랜드의 인권기구 HRTEC(Human Right Training and Evaluation Consultancy)의 키아란 오 마오레인 이사는 지난해 11월 국가인권위원회 주최로 서울에서 열린 ‘다문화사회에서 이주자 권리에 관한 국제회의’에 참가해 “유럽이 거둔 성과의 상당 부분이 경제위기로 위태로운 상황에 빠졌다”며 “이주자와 소수집단, 기타 취약 집단 권리를 위해 지속적으로 노력하는 것은 여전히 무겁고 어려운 과제”라고 말했다.

북아일랜드의	북아일랜드/NNP+의/JKG
인권기구	인권/NNG+기구/NNG
HRTEC(Human	HRTEC/SL+(/SS+Human/SL
Right	Right/SL
Training	Training/SL
and	and/SL
Evaluation	Evaluation/SL
Consultancy)의	Consultancy/SL+)/SS+의/JKG
키아란	키아란/NNP
오	오/NNP
마오레인	마오레인/NNP
이사는	이사/NNG+는/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
국가인권위원회	국가인권위원회/NNP
주최로	주최/NNG+로/JKB
서울에서	서울/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘다문화사회에서	‘/SS+다문화/NNG+사회/NNG+에서/JKB
이주자	이주자/NNG
권리에	권리/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
국제회의’에	국제회의/NNG+’/SS+에/JKB
참가해	참가/NNG+하/XSV+아/EC
“유럽이	“/SS+유럽/NNP+이/JKS
거둔	거두/VV+ㄴ/ETM
성과의	성과/NNG+의/JKG
상당	상당/NNG
부분이	부분/NNG+이/JKS
경제위기로	경제/NNG+위기/NNG+로/JKB
위태로운	위태롭/VA+ㄴ/ETM
상황에	상황/NNG+에/JKB
빠졌다”며	빠지/VV+었/EP+다/EF+”/SS+며/EC
“이주자와	“/SS+이주자/NNG+와/JC
소수집단,	소수/NNG+집단/NNG+,/SP
기타	기타/NNG
취약	취약/NNG
집단	집단/NNG
권리를	권리/NNG+를/JKO
위해	위하/VV+아/EC
지속적으로	지속/NNG+적/XSN+으로/JKB
노력하는	노력/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
여전히	여전히/MAG
무겁고	무겁/VA+고/EC
어려운	어렵/VA+ㄴ/ETM
과제”라고	과제/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.301.16.1
■ 국내 사정은 어떤가… 다문화가족 자녀 10만명… ‘차별 대물림’ 걱정

■	■/SW
국내	국내/NNG
사정은	사정/NNG+은/JX
어떤가…	어떻/VA+ㄴ가/EF+…/SE
다문화가족	다문화/NNG+가족/NNG
자녀	자녀/NNG
10만명…	10/SN+만/NR+명/NNB+…/SE
‘차별	‘/SS+차별/NNG
대물림’	대물림/NNG+’/SS
걱정	걱정/NNG


# id : NWRW1800000021.301.17.1
10년 전 필리핀에서 한국으로 결혼 이주한 야네스 씨(32)는 올해 한국 이름으로 개명했다.

10년	10/SN+년/NNB
전	전/NNG
필리핀에서	필리핀/NNP+에서/JKB
한국으로	한국/NNP+으로/JKB
결혼	결혼/NNG
이주한	이주/NNG+하/XSV+ㄴ/ETM
야네스	야네스/NNP
씨(32)는	씨/NNB+(/SS+32/SN+)/SS+는/JX
올해	올해/NNG
한국	한국/NNP
이름으로	이름/NNG+으로/JKB
개명했다.	개명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.301.17.2
초등학교 2학년 딸(8)이 “엄마가 동남아 사람이냐” “너는 혼혈아냐”는 친구들의 놀림을 받아 집에 울고 오는 날이 많아서다.

초등학교	초등학교/NNG
2학년	2/SN+학년/NNG
딸(8)이	딸/NNG+(/SS+8/SN+)/SS+이/JKS
“엄마가	“/SS+엄마/NNG+가/JKS
동남아	동남아/NNP
사람이냐”	사람/NNG+이/VCP+냐/EF+”/SS
