# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.16
metadata : {}


# id : NWRW1800000049.16.1.1
입주기업 평균 2.3배 성장 ‘결실’

입주기업	입주/NNG+기업/NNG
‘엄마를	‘/SS+엄마/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
캠퍼스’를	캠퍼스/NNG+’/SS+를/JKO
통해	통하/VV+아/EC
창업한	창업/NNG+하/XSV+ㄴ/ETM
‘모이’의	‘/SS+모이/NNP+’/SS+의/JKG
최정윤	최정윤/NNP
공동대표는	공동/NNG+대표/NNG+는/JX
“임신	“/SS+임신/NNG
후	후/NNG
회사를	회사/NNG+를/JKO
그만두면서	그만두/VV+면서/EC
항상	항상/MAG
창업을	창업/NNG+을/JKO
꿈꿨다”며	꿈꾸/VV+었/EP+다/EF+”/SS+며/EC
“캠퍼스	“/SS+캠퍼스/NNG
서울은	서울/NNP+은/JX
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
방법과	방법/NNG+과/JC
살아있는	살/VV+아/EC+있/VX+는/ETM
정보를	정보/NNG+를/JKO
얻을	얻/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
최고의	최고/NNG+의/JKG
환경”이라고	환경/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.16.8.1
캠퍼스 서울은 스타트업 기업들을 심사해 ‘입주사’를 뽑고 이들에게 사무공간과 개발 관련 장비와 해외 구글캠퍼스와의 교환 프로그램 등 혜택을 제공하고 있다.

캠퍼스	캠퍼스/NNG
서울은	서울/NNP+은/JX
스타트업	스타트업/NNG
기업들을	기업/NNG+들/XSN+을/JKO
심사해	심사/NNG+하/XSV+아/EC
‘입주사’를	‘/SS+입주사/NNG+’/SS+를/JKO
뽑고	뽑/VV+고/EC
이들에게	이/NP+들/XSN+에게/JKB
사무공간과	사무/NNG+공간/NNG+과/JC
개발	개발/NNG
관련	관련/NNG
장비와	장비/NNG+와/JC
해외	해외/NNG
구글캠퍼스와의	구글캠퍼스/NNP+와/JKB+의/JKG
교환	교환/NNG
프로그램	프로그램/NNG
등	등/NNB
혜택을	혜택/NNG+을/JKO
제공하고	제공/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.16.8.2
지금까지 총 16개 스타트업이 캠퍼스 서울에 입주해 사업을 키웠다.

지금까지	지금/NNG+까지/JX
총	총/MMA
16개	16/SN+개/NNB
스타트업이	스타트업/NNG+이/JKS
캠퍼스	캠퍼스/NNG
서울에	서울/NNP+에/JKB
입주해	입주/NNG+하/XSV+아/EC
사업을	사업/NNG+을/JKO
키웠다.	키우/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.16.8.3
입주사를 심사하는 ‘마루180’의 이희윤 매니저는 “경쟁률이 17 대 1에 이른다”며 “입주사들은 입주 후 총 121억 원을 투자받아 평균 2.3배 이상 성장한 것으로 집계됐다”고 전했다.

입주사를	입주사/NNG+를/JKO
심사하는	심사/NNG+하/XSV+는/ETM
‘마루180’의	‘/SS+마루180/NNP+’/SS+의/JKG
이희윤	이희윤/NNP
매니저는	매니저/NNG+는/JX
“경쟁률이	“/SS+경쟁/NNG+률/XSN+이/JKS
17	17/SN
대	대/NNB
1에	1/SN+에/JKB
이른다”며	이르/VV+ㄴ다/EF+”/SS+며/EC
“입주사들은	“/SS+입주사/NNG+들/XSN+은/JX
입주	입주/NNG
후	후/NNG
총	총/MMA
121억	121/SN+억/NR
원을	원/NNB+을/JKO
투자받아	투자/NNG+받/XSV+아/EC
평균	평균/NNG
2.3배	2/SN+./SP+3/SN+배/NNG
이상	이상/NNG
성장한	성장/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
집계됐다”고	집계/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.16.8.4
입주사였던 ‘데이블’의 이채현 대표는 “교육이나 멘토링은 물론이고 구글 캠퍼스 입주사란 브랜드 자체가 스타트업에는 큰 도움이 된다”고 말했다.

입주사였던	입주사/NNG+이/VCP+었/EP+던/ETM
‘데이블’의	‘/SS+데이블/NNP+’/SS+의/JKG
이채현	이채현/NNP
대표는	대표/NNG+는/JX
“교육이나	“/SS+교육/NNG+이나/JC
멘토링은	멘토링/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
구글	구글/NNP
캠퍼스	캠퍼스/NNG
입주사란	입주사/NNG+란/JX
브랜드	브랜드/NNG
자체가	자체/NNG+가/JKS
스타트업에는	스타트업/NNG+에/JKB+는/JX
큰	크/VA+ㄴ/ETM
도움이	도움/NNG+이/JKC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


