# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.244
metadata : {}


# id : NWRW1800000045.244.1.1
꿈 부서진 강정호

꿈	꿈/NNG
결국 동료들의 부축을 받아 더그아웃으로 들어간 뒤 병원으로 이송됐다.

결국	결국/MAG
동료들의	동료/NNG+들/XSN+의/JKG
부축을	부축/NNG+을/JKO
받아	받/VV+아/EC
더그아웃으로	더그아웃/NNG+으로/JKB
들어간	들어가/VV+ㄴ/ETM
뒤	뒤/NNG
병원으로	병원/NNG+으로/JKB
이송됐다.	이송/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.244.5.6
경기는 피츠버그의 6-9 패배로 끝났다.

경기는	경기/NNG+는/JX
피츠버그의	피츠버그/NNP+의/JKG
6-9	6/SN+-/SO+9/SN
패배로	패배/NNG+로/JKB
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.244.6.1
피츠버그는 팀 트위터를 통해 “강정호가 왼쪽 무릎 정강이뼈가 골절되고 외측 반월상연골판(반달 모양의 바깥쪽 연골판·lateral meniscus)을 다쳐 앨러게니 종합병원에서 수술을 받았다.

피츠버그는	피츠버그/NNP+는/JX
팀	팀/NNG
트위터를	트위터/NNP+를/JKO
통해	통하/VV+아/EC
“강정호가	“/SS+강정호/NNP+가/JKS
왼쪽	왼쪽/NNG
무릎	무릎/NNG
정강이뼈가	정강이뼈/NNG+가/JKS
골절되고	골절/NNG+되/XSV+고/EC
외측	외측/NNG
반월상연골판(반달	반월상/NNG+연골판/NNG+(/SS+반달/NNG
모양의	모양/NNG+의/JKG
바깥쪽	바깥쪽/NNG
연골판·lateral	연골판/NNG+·/SP+lateral/SL
meniscus)을	meniscus/SL+)/SS+을/JKO
다쳐	다치/VV+어/EC
앨러게니	앨러게니/NNP
종합병원에서	종합/NNG+병원/NNG+에서/JKB
수술을	수술/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.244.6.2
6∼8개월 후에 경기에 나설 수 있다”고 밝혔다.

6∼8개월	6/SN+∼/SO+8/SN+개월/NNB
후에	후/NNG+에/JKB
경기에	경기/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.244.6.3
빠르면 내년 3월 시범경기, 늦으면 시즌 개막 후 5월에나 복귀가 가능하다.

빠르면	빠르/VA+면/EC
내년	내년/NNG
3월	3/SN+월/NNB
시범경기,	시범/NNG+경기/NNG+,/SP
늦으면	늦/VA+으면/EC
시즌	시즌/NNG
개막	개막/NNG
후	후/NNG
5월에나	5/SN+월/NNB+에/JKB+나/JX
복귀가	복귀/NNG+가/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000045.244.7.1
축구 국가대표 주치의를 지낸 송준섭 서울제이에스병원장은 “다행히 내측이 아닌 외측 부위여서 후유증은 작을 것 같다.

축구	축구/NNG
국가대표	국가/NNG+대표/NNG
주치의를	주치의/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
송준섭	송준섭/NNP
서울제이에스병원장은	서울/NNP+제이에스/NNP+병원장/NNG+은/JX
“다행히	“/SS+다행히/MAG
내측이	내측/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
외측	외측/NNG
부위여서	부위/NNG+이/VCP+어서/EC
후유증은	후유증/NNG+은/JX
작을	작/VA+을/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000045.244.7.2
내측 연골판은 체중을 더 받는 부위이기 때문에 후에 관절염이 올 수 있지만 외측은 그런 염려가 작다”고 말했다.

내측	내측/NNG
연골판은	연골판/NNG+은/JX
체중을	체중/NNG+을/JKO
더	더/MAG
받는	받/VV+는/ETM
부위이기	부위/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
후에	후/NNG+에/JKB
관절염이	관절염/NNG+이/JKS
올	오/VV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
외측은	외측/NNG+은/JX
그런	그런/MMD
염려가	염려/NNG+가/JKS
작다”고	작/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.244.7.3
이어 “다친 뒤 바로 수술에 들어가 찢어진 곳을 봉합했기에 수술 결과가 좋을 것 같다.

이어	이어/MAG
“다친	“/SS+다치/VV+ㄴ/ETM
뒤	뒤/NNG
바로	바로/MAG
수술에	수술/NNG+에/JKB
들어가	들어가/VV+아/EC
찢어진	찢어지/VV+ㄴ/ETM
곳을	곳/NNG+을/JKO
봉합했기에	봉합/NNG+하/XSV+았/EP+기에/EC
수술	수술/NNG
결과가	결과/NNG+가/JKS
좋을	좋/VA+을/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000045.244.7.4
찢어진 연골판은 빨리 수술할수록 더욱 잘 붙는다”고 덧붙였다.

찢어진	찢어지/VV+ㄴ/ETM
연골판은	연골판/NNG+은/JX
빨리	빨리/MAG
수술할수록	수술/NNG+하/XSV+ㄹ수록/EC
더욱	더욱/MAG
잘	잘/MAG
붙는다”고	붙/VV+는다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.244.8.1
은승표 코리아정형외과 원장은 정강이뼈 상태에 주목했다.

은승표	은승표/NNP
코리아정형외과	코리아정형외과/NNP
원장은	원장/NNG+은/JX
정강이뼈	정강이뼈/NNG
상태에	상태/NNG+에/JKB
주목했다.	주목/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.244.8.2
강정호의 부상 동영상을 본 은 원장은 “정강이뼈 가장 위쪽 부분이 내려앉은 것으로 보인다.

강정호의	강정호/NNP+의/JKG
부상	부상/NNG
동영상을	동영상/NNG+을/JKO
본	보/VV+ㄴ/ETM
은	은/NNP
원장은	원장/NNG+은/JX
“정강이뼈	“/SS+정강이뼈/NNG
가장	가장/MAG
위쪽	위쪽/NNG
부분이	부분/NNG+이/JKS
내려앉은	내려앉/VV+은/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.244.8.3
정강이뼈가 골절되면 십자인대가 끊어질 수가 있는데, 구단 발표에서 십자인대 이야기가 없는 것은 다행이다.

정강이뼈가	정강이뼈/NNG+가/JKS
골절되면	골절/NNG+되/XSV+면/EC
십자인대가	십자/NNG+인대/NNG+가/JKS
끊어질	끊어지/VV+ㄹ/ETM
수가	수/NNB+가/JKS
있는데,	있/VA+는데/EC+,/SP
구단	구단/NNG
발표에서	발표/NNG+에서/JKB
십자인대	십자/NNG+인대/NNG
이야기가	이야기/NNG+가/JKS
없는	없/VA+는/ETM
것은	것/NNB+은/JX
다행이다.	다행/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.244.8.4
십자인대를 다치면 후유증도 크고 치료 기간이 더 오래 걸린다.

십자인대를	십자/NNG+인대/NNG+를/JKO
다치면	다치/VV+면/EC
후유증도	후유증/NNG+도/JX
크고	크/VA+고/EC
치료	치료/NNG
기간이	기간/NNG+이/JKS
더	더/MAG
오래	오래/MAG
걸린다.	걸리/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.244.8.5
십자인대를 다치지 않았다면 내년 시즌 복귀에는 무리가 없을 것으로 보인다”고 말했다.

십자인대를	십자/NNG+인대/NNG+를/JKO
다치지	다치/VV+지/EC
않았다면	않/VX+았/EP+다면/EC
내년	내년/NNG
시즌	시즌/NNG
복귀에는	복귀/NNG+에/JKB+는/JX
무리가	무리/NNG+가/JKS
없을	없/VA+을/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.244.9.1
이 부위는 선수 간 몸싸움이 많은 축구에서 자주 발생하는 부상 부위다.

이	이/MMD
부위는	부위/NNG+는/JX
선수	선수/NNG
간	간/NNB
몸싸움이	몸싸움/NNG+이/JKS
많은	많/VA+은/ETM
축구에서	축구/NNG+에서/JKB
자주	자주/MAG
발생하는	발생/NNG+하/XSV+는/ETM
부상	부상/NNG
부위다.	부위/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.244.9.2
박지성은 2003년과 2007년 오른쪽 무릎 내측 반월상연골판 제거와 재생 수술을 받았다.

박지성은	박지성/NNP+은/JX
2003년과	2003/SN+년/NNB+과/JC
2007년	2007/SN+년/NNB
오른쪽	오른쪽/NNG
무릎	무릎/NNG
내측	내측/NNG
반월상연골판	반월상/NNG+연골판/NNG
제거와	제거/NNG+와/JC
재생	재생/NNG
수술을	수술/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.244.9.3
박지성은 은퇴 뒤 지속적인 무릎 고통을 참고 뛰었다고 밝혔다.

박지성은	박지성/NNP+은/JX
은퇴	은퇴/NNG
뒤	뒤/NNG
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
무릎	무릎/NNG
고통을	고통/NNG+을/JKO
참고	참/VV+고/EC
뛰었다고	뛰/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.244.10.1
코글린의 슬라이딩에 대해서는 비신사적이었다는 비난이 일고 있다.

코글린의	코글린/NNP+의/JKG
슬라이딩에	슬라이딩/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
비신사적이었다는	비/XPN+신사/NNG+적/XSN+이/VCP+었/EP+다는/ETM
비난이	비난/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.244.10.2
코글린이 강정호의 1루 송구를 방해하기 위해 강정호의 왼쪽 무릎을 겨냥했다는 것이다.

코글린이	코글린/NNP+이/JKS
강정호의	강정호/NNP+의/JKG
1루	1루/NNG
송구를	송구/NNG+를/JKO
방해하기	방해/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
왼쪽	왼쪽/NNG
무릎을	무릎/NNG+을/JKO
겨냥했다는	겨냥/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.244.10.3
미국 스포츠전문채널 ESPN의 칼럼니스트 마이클 윌본은 코글린이 처음으로 거친 슬라이딩을 한 것이 아니라는 점을 지적했다.

미국	미국/NNP
스포츠전문채널	스포츠/NNG+전문/NNG+채널/NNG
ESPN의	ESPN/SL+의/JKG
칼럼니스트	칼럼니스트/NNG
마이클	마이클/NNP
윌본은	윌본/NNP+은/JX
코글린이	코글린/NNP+이/JKS
처음으로	처음/NNG+으로/JKB
거친	거칠/VA+ㄴ/ETM
슬라이딩을	슬라이딩/NNG+을/JKO
한	하/VV+ㄴ/ETM
것이	것/NNB+이/JKC
아니라는	아니/VCN+라는/ETM
점을	점/NNG+을/JKO
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.244.10.4
코글린은 2009년 탬파베이의 2루수 이와무라 아키노리를 향해 거친 슬라이딩을 해 이와무라의 왼쪽 무릎 십자인대를 파열시켰다.

코글린은	코글린/NNP+은/JX
2009년	2009/SN+년/NNB
탬파베이의	탬파베이/NNP+의/JKG
2루수	2루수/NNG
이와무라	이와무라/NNP
아키노리를	아키노리/NNP+를/JKO
향해	향하/VV+아/EC
거친	거칠/VA+ㄴ/ETM
슬라이딩을	슬라이딩/NNG+을/JKO
해	하/VV+아/EC
이와무라의	이와무라/NNP+의/JKG
왼쪽	왼쪽/NNG
무릎	무릎/NNG
십자인대를	십자/NNG+인대/NNG+를/JKO
파열시켰다.	파열/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.244.10.5
국내 팬들은 ‘살인 태클’이라며 코글린에게 비난을 쏟아냈다.

국내	국내/NNG
팬들은	팬/NNG+들/XSN+은/JX
‘살인	‘/SS+살인/NNG
태클’이라며	태클/NNG+’/SS+이/VCP+라며/EC
코글린에게	코글린/NNP+에게/JKB
비난을	비난/NNG+을/JKO
쏟아냈다.	쏟/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.244.11.1
하지만 강정호는 에이전트를 통해 “운이 나빴을 뿐이다.

하지만	하지만/MAJ
강정호는	강정호/NNP+는/JX
에이전트를	에이전트/NNG+를/JKO
통해	통하/VV+아/EC
“운이	“/SS+운/NNG+이/JKS
나빴을	나쁘/VA+았/EP+을/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.244.11.2
나를 해치려는 의도는 없었을 것이다”고 말했다.

나를	나/NP+를/JKO
해치려는	해치/VV+려는/ETM
의도는	의도/NNG+는/JX
없었을	없/VA+었/EP+을/ETM
것이다”고	것/NNB+이/VCP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.244.11.3
코글린은 경기 후 유감의 뜻을 담은 편지를 피츠버그 구단에 보냈다.

코글린은	코글린/NNP+은/JX
경기	경기/NNG
후	후/NNG
유감의	유감/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
담은	담/VV+은/ETM
편지를	편지/NNG+를/JKO
피츠버그	피츠버그/NNP
구단에	구단/NNG+에/JKB
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.244.11.4
그러나 그는 “나는 명백하게 룰에 맞게 슬라이딩을 했다.

그러나	그러나/MAJ
그는	그/NP+는/JX
“나는	“/SS+나/NP+는/JX
명백하게	명백하/VA+게/EC
룰에	룰/NNG+에/JKB
맞게	맞/VV+게/EC
슬라이딩을	슬라이딩/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.244.11.5
강정호가 점프할 시간이 없었다는 것이 고약했다”고 말했다.

강정호가	강정호/NNP+가/JKS
점프할	점프/NNG+하/XSV+ㄹ/ETM
시간이	시간/NNG+이/JKS
없었다는	없/VA+었/EP+다는/ETM
것이	것/NNB+이/JKS
고약했다”고	고약하/VA+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.244.11.6
일부 선수는 국내 팬들과는 달리 코글린의 플레이를 이해한다는 입장을 보였다.

일부	일부/NNG
선수는	선수/NNG+는/JX
국내	국내/NNG
팬들과는	팬/NNG+들/XSN+과/JKB+는/JX
달리	달리/MAG
코글린의	코글린/NNP+의/JKG
플레이를	플레이/NNG+를/JKO
이해한다는	이해/NNG+하/XSV+ㄴ다는/ETM
입장을	입장/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.244.12.1
강정호는 올 시즌 메이저리그에 데뷔해 타율 0.287, 출루율 0.355, 장타율 0.461, 홈런 15개, 타점 58개를 기록했으며 신인왕 경쟁에도 뛰어들 만큼 좋은 활약을 펼쳤으나 거친 플레이의 희생양이 됐다.

강정호는	강정호/NNP+는/JX
올	올/NNG
시즌	시즌/NNG
메이저리그에	메이저리그/NNG+에/JKB
데뷔해	데뷔/NNG+하/XSV+아/EC
타율	타율/NNG
0.287,	0/SN+./SP+287/SN+,/SP
출루율	출루/NNG+율/XSN
0.355,	0/SN+./SP+355/SN+,/SP
장타율	장타/NNG+율/XSN
0.461,	0/SN+./SP+461/SN+,/SP
홈런	홈런/NNG
15개,	15/SN+개/NNB+,/SP
타점	타점/NNG
58개를	58/SN+개/NNB+를/JKO
기록했으며	기록/NNG+하/XSV+았/EP+으며/EC
신인왕	신인왕/NNG
경쟁에도	경쟁/NNG+에/JKB+도/JX
뛰어들	뛰어들/VV+ㄹ/ETM
만큼	만큼/NNB
좋은	좋/VA+은/ETM
활약을	활약/NNG+을/JKO
펼쳤으나	펼치/VV+었/EP+으나/EC
거친	거칠/VA+ㄴ/ETM
플레이의	플레이/NNG+의/JKG
희생양이	희생양/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


