# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.380
metadata : {}


# id : NWRW1800000036.380.1.1
광주찍고 대구간 안철수 기성정당 독점구도 깨기?

광주찍고	광주/NNP+찍/VV+고/EC
12월	12/SN+월/NNB
자신의	자신/NNG+의/JKG
발언을	발언/NNG+을/JKO
재론했다.	재론/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.380.6.3
그는 “창당했으면 나름대로 확보를 많이 할 수 있었을 테지만, 그렇게 안 한 이유는 사회 발전에 도구로 쓰이겠다는 쪽으로 결정한 것”이라며 “지금도 마찬가지다.

그는	그/NP+는/JX
“창당했으면	“/SS+창당/NNG+하/XSV+았/EP+으면/EC
나름대로	나름/NNB+대로/JX
확보를	확보/NNG+를/JKO
많이	많이/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
있었을	있/VA+었/EP+을/ETM
테지만,	터/NNB+이/VCP+지만/EC+,/SP
그렇게	그렇/VA+게/EC
안	안/MAG
한	하/VV+ㄴ/ETM
이유는	이유/NNG+는/JX
사회	사회/NNG
발전에	발전/NNG+에/JKB
도구로	도구/NNG+로/JKB
쓰이겠다는	쓰이/VV+겠/EP+다는/ETM
쪽으로	쪽/NNB+으로/JKB
결정한	결정/NNG+하/XSV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“지금도	“/SS+지금/NNG+도/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.380.6.4
제가 선택하는 게 아니라 저한테 주어진다는 생각에 변함이 없다”고 말했다.

제가	제/NP+가/JKS
선택하는	선택/NNG+하/XSV+는/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
저한테	저/NP+한테/JKB
주어진다는	주어지/VV+ㄴ다는/ETM
생각에	생각/NNG+에/JKB
변함이	변하/VV+ㅁ/ETN+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.380.6.5
강연 말미엔 질문에 대한 답변 형식을 빌어 “투표에 참가해야 한다”는 메시지를 거듭 강조했다.

강연	강연/NNG
말미엔	말미/NNG+에/JKB+ㄴ/JX
질문에	질문/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
답변	답변/NNG
형식을	형식/NNG+을/JKO
빌어	빌/VV+어/EC
“투표에	“/SS+투표/NNG+에/JKB
참가해야	참가/NNG+하/XSV+아야/EC
한다”는	하/VX+ㄴ다/EF+”/SS+는/ETM
메시지를	메시지/NNG+를/JKO
거듭	거듭/MAG
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.380.6.6
안 원장 쪽은 “당분간 학교 강의 이외에 예정된 강연은 없다”고 밝혔다.

안	안/NNP
원장	원장/NNG
쪽은	쪽/NNB+은/JX
“당분간	“/SS+당분간/MAG
학교	학교/NNG
강의	강의/NNG
이외에	이외/NNG+에/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
강연은	강연/NNG+은/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.380.7.1
총선을 목전에 둔 시점에서 진행된 그의 강연을 정치권에선 예사롭지 않게 바라본다.

총선을	총선/NNG+을/JKO
목전에	목전/NNG+에/JKB
둔	두/VV+ㄴ/ETM
시점에서	시점/NNG+에서/JKB
진행된	진행/NNG+되/XSV+ㄴ/ETM
그의	그/NP+의/JKG
강연을	강연/NNG+을/JKO
정치권에선	정치/NNG+권/XSN+에서/JKB+ㄴ/JX
예사롭지	예사/NNG+롭/XSA+지/EC
않게	않/VX+게/EC
바라본다.	바라보/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.380.7.2
강연에서 정치와 관련한 민감한 얘기들이 적지 않았기 때문이다.

강연에서	강연/NNG+에서/JKB
정치와	정치/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
민감한	민감/NNG+하/XSA+ㄴ/ETM
얘기들이	얘기/NNG+들/XSN+이/JKS
적지	적/VA+지/EC
않았기	않/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.380.7.3
안 원장은 지난달 27일 서울대 강연에서 ‘대통령의 자격’을 거론하며 가정법의 형태로나마 현실 정치에 나설 수도 있음을 비쳤다.

안	안/NNP
원장은	원장/NNG+은/JX
지난달	지난달/NNG
27일	27/SN+일/NNB
서울대	서울대/NNP
강연에서	강연/NNG+에서/JKB
‘대통령의	‘/SS+대통령/NNG+의/JKG
자격’을	자격/NNG+’/SS+을/JKO
거론하며	거론/NNG+하/XSV+며/EC
가정법의	가정법/NNG+의/JKG
형태로나마	형태/NNG+로/JKB+나마/JX
현실	현실/NNG
정치에	정치/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
수도	수/NNB+도/JX
있음을	있/VA+음/ETN+을/JKO
비쳤다.	비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.380.7.4
전남대 강연에선 적극적인 선거 참여를 독려하며 정당이 아닌 인물 중심 투표를 설파했다.

전남대	전남대/NNP
강연에선	강연/NNG+에서/JKB+ㄴ/JX
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
선거	선거/NNG
참여를	참여/NNG+를/JKO
독려하며	독려/NNG+하/XSV+며/EC
정당이	정당/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
인물	인물/NNG
중심	중심/NNG
투표를	투표/NNG+를/JKO
설파했다.	설파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.380.7.5
‘강연정치’ 행보로 비칠 여지가 충분한 게 사실이다.

‘강연정치’	‘/SS+강연/NNG+정치/NNG+’/SS
행보로	행보/NNG+로/JKB
비칠	비치/VV+ㄹ/ETM
여지가	여지/NNB+가/JKS
충분한	충분하/VA+ㄴ/ETM
게	거/NNB+이/JKS
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.380.8.1
정치권에선 안 원장이 총선 국면에서 매우 정교하게 계산한 듯한 정치적 메시지를 던지고 있다는 얘기가 나온다.

정치권에선	정치/NNG+권/XSN+에서/JKB+ㄴ/JX
안	안/NNP
원장이	원장/NNG+이/JKS
총선	총선/NNG
국면에서	국면/NNG+에서/JKB
매우	매우/MAG
정교하게	정교하/VA+게/EC
계산한	계산/NNG+하/XSV+ㄴ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
정치적	정치/NNG+적/XSN
메시지를	메시지/NNG+를/JKO
던지고	던지/VV+고/EC
있다는	있/VX+다는/ETM
얘기가	얘기/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.380.8.2
서울대 강연에서 진보와 보수를 동시에 비판하고, 광주, 대구 강연에서 두 지역 연고가 강한 기성 정당 독점구조를 겨냥함으로써 자신의 정치적 공간을 최대한 넓히려는 전략이라는 분석이다.

서울대	서울대/NNP
강연에서	강연/NNG+에서/JKB
진보와	진보/NNG+와/JC
보수를	보수/NNG+를/JKO
동시에	동시/NNG+에/JKB
비판하고,	비판/NNG+하/XSV+고/EC+,/SP
광주,	광주/NNP+,/SP
대구	대구/NNP
두	두/MMN
지역	지역/NNG
연고가	연고/NNG+가/JKS
강한	강하/VA+ㄴ/ETM
기성	기성/NNG
정당	정당/NNG
독점구조를	독점/NNG+구조/NNG+를/JKO
겨냥함으로써	겨냥/NNG+하/XSV+ㅁ/ETN+으로써/JKB
자신의	자신/NNG+의/JKG
정치적	정치/NNG+적/XSN
공간을	공간/NNG+을/JKO
최대한	최대한/MAG
넓히려는	넓히/VV+려는/ETM
전략이라는	전략/NNG+이/VCP+라는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.380.8.3
진보와 보수 어느 쪽에도 속하지 않은 중도적 유권자층을 끌어들이는 동시에, 여야 기성 정당의 영호남 독점구조를 뒤흔들어 자신의 잠재적 지지층을 확보하려는 계산일 수도 있다.

진보와	진보/NNG+와/JC
보수	보수/NNG
어느	어느/MMD
쪽에도	쪽/NNB+에/JKB+도/JX
속하지	속하/VV+지/EC
않은	않/VX+은/ETM
중도적	중도/NNG+적/XSN
유권자층을	유권자/NNG+층/XSN+을/JKO
끌어들이는	끌어들이/VV+는/ETM
동시에,	동시/NNG+에/JKB+,/SP
여야	여야/NNG
기성	기성/NNG
정당의	정당/NNG+의/JKG
영호남	영호남/NNP
독점구조를	독점/NNG+구조/NNG+를/JKO
뒤흔들어	뒤흔들/VV+어/EC
자신의	자신/NNG+의/JKG
잠재적	잠재/NNG+적/XSN
지지층을	지지/NNG+층/XSN+을/JKO
확보하려는	확보/NNG+하/XSV+려는/ETM
계산일	계산/NNG+이/VCP+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.380.9.1
정치학자들 사이에선 안 원장의 최근 정치적 발언을 비판하는 목소리도 있다.

정치학자들	정치학자/NNG+들/XSN
사이에선	사이/NNG+에서/JKB+ㄴ/JX
안	안/NNP
원장의	원장/NNG+의/JKG
최근	최근/NNG
정치적	정치/NNG+적/XSN
발언을	발언/NNG+을/JKO
비판하는	비판/NNG+하/XSV+는/ETM
목소리도	목소리/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.380.9.2
신율 명지대 교수는 4일 <평화방송> 라디오 인터뷰에서 “(안 원장이) 정당보다 사람을 보고 투표하자고 했는데 정치학자로서 동의할수 없는 주장”이라며 “자꾸 대의민주주의의 핵심인 정당제를 약화시키려 한다”고 지적했다.

신율	신율/NNP
명지대	명지대/NNP
교수는	교수/NNG+는/JX
4일	4/SN+일/NNB
<평화방송>	</SS+평화방송/NNP+>/SS
라디오	라디오/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
“(안	“/SS+(/SS+안/NNP
원장이)	원장/NNG+이/JKS+)/SS
정당보다	정당/NNG+보다/JKB
사람을	사람/NNG+을/JKO
보고	보/VV+고/EC
투표하자고	투표/NNG+하/XSV+자고/EC
했는데	하/VV+았/EP+는데/EC
정치학자로서	정치학자/NNG+로서/JKB
동의할수	동의/NNG+하/XSV+ㄹ/ETM+수/NNB
없는	없/VA+는/ETM
주장”이라며	주장/NNG+”/SS+이/VCP+라며/EC
“자꾸	“/SS+자꾸/MAG
대의민주주의의	대의/NNG+민주주의/NNG+의/JKG
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
정당제를	정당/NNG+제/XSN+를/JKO
약화시키려	약화/NNG+시키/XSV+려/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.380.9.3
안 원장이 기성 정당들 사이의 차이를 구별하지 않은 채 싸잡아 비판함으로써 정치혐오를 부추기고 결과적으로 투표 참여 열기를 떨어뜨릴 수 있다는 우려도 있다.

안	안/NNP
원장이	원장/NNG+이/JKS
기성	기성/NNG
정당들	정당/NNG+들/XSN
사이의	사이/NNG+의/JKG
차이를	차이/NNG+를/JKO
구별하지	구별/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
채	채/NNB
싸잡아	싸잡/VV+아/EC
비판함으로써	비판/NNG+하/XSV+ㅁ/ETN+으로써/JKB
정치혐오를	정치/NNG+혐오/NNG+를/JKO
부추기고	부추기/VV+고/EC
결과적으로	결과/NNG+적/XSN+으로/JKB
투표	투표/NNG
참여	참여/NNG
열기를	열기/NNG+를/JKO
떨어뜨릴	떨어뜨리/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려도	우려/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.380.9.4
안 원장이 광주, 대구 강연에서 투표 참여를 강조한 것은 이런 시각을 의식한 측면도 있는 것 같다.

안	안/NNP
원장이	원장/NNG+이/JKS
광주,	광주/NNP+,/SP
대구	대구/NNP
강연에서	강연/NNG+에서/JKB
투표	투표/NNG
참여를	참여/NNG+를/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이런	이런/MMD
시각을	시각/NNG+을/JKO
의식한	의식/NNG+하/XSV+ㄴ/ETM
측면도	측면/NNG+도/JX
있는	있/VA+는/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


