# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.7
metadata : {}


# id : NWRW1800000021.7.1.1
[도시의 표정을 바꾼다]

[도시의	[/SS+도시/NNG+의/JKG
# id : NWRW1800000021.7.6.1
박 회장은 남산, 서울시청 앞 서울광장, 덕수궁 등 서울을 대표하는 명소에서 바라본 시선을 우선적으로 고려할 것을 원했다.

박	박/NNP
회장은	회장/NNG+은/JX
남산,	남산/NNP+,/SP
서울시청	서울시청/NNP
앞	앞/NNG
서울광장,	서울광장/NNP+,/SP
덕수궁	덕수궁/NNP
등	등/NNB
서울을	서울/NNP+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
명소에서	명소/NNG+에서/JKB
바라본	바라보/VV+ㄴ/ETM
시선을	시선/NNG+을/JKO
우선적으로	우선/NNG+적/XSN+으로/JKB
고려할	고려/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
원했다.	원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.7.6.2
건물 안에서 바깥을 바라보는 시선보다 바깥에서 건물을 바라보는 시선이 중요하다고 생각한 것.

건물	건물/NNG
안에서	안/NNG+에서/JKB
바깥을	바깥/NNG+을/JKO
바라보는	바라보/VV+는/ETM
시선보다	시선/NNG+보다/JKB
바깥에서	바깥/NNG+에서/JKB
건물을	건물/NNG+을/JKO
시선이	시선/NNG+이/JKS
중요하다고	중요/NNG+하/XSA+다고/EC
생각한	생각/NNG+하/XSV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000021.7.6.3
서울을 방문한 사람들이 한 번쯤 머무는 장소에서 바라본 각도에 기업을 상징하는 사옥의 ‘얼굴’을 배치한 셈이 됐다.

서울을	서울/NNP+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
한	한/MMN
번쯤	번/NNB+쯤/XSN
머무는	머물/VV+는/ETM
장소에서	장소/NNG+에서/JKB
바라본	바라보/VV+ㄴ/ETM
각도에	각도/NNG+에/JKB
기업을	기업/NNG+을/JKO
상징하는	상징/NNG+하/XSV+는/ETM
사옥의	사옥/NNG+의/JKG
‘얼굴’을	‘/SS+얼굴/NNG+’/SS+을/JKO
배치한	배치/NNG+하/XSV+ㄴ/ETM
셈이	셈/NNB+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.7.7.1
LED 캔버스에는 서울의 영문 알파벳 등을 소재로 한 26개의 타이포그래피 영상 작품이 날마다 번갈아 전시되고 있다.

LED	LED/SL
캔버스에는	캔버스/NNG+에/JKB+는/JX
서울의	서울/NNP+의/JKG
영문	영문/NNG
알파벳	알파벳/NNG
등을	등/NNB+을/JKO
소재로	소재/NNG+로/JKB
한	하/VV+ㄴ/ETM
26개의	26/SN+개/NNB+의/JKG
타이포그래피	타이포그래피/NNG
영상	영상/NNG
작품이	작품/NNG+이/JKS
날마다	날/NNG+마다/JX
번갈아	번갈/VV+아/EC
전시되고	전시/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.7.7.2
오후 7∼11시 가동되는 LED 캔버스는 고층건물이 없는 정동 쪽 야경을 다이내믹하게 만든다.

오후	오후/NNG
7∼11시	7/SN+∼/SO+11/SN+시/NNB
가동되는	가동/NNG+되/XSV+는/ETM
LED	LED/SL
캔버스는	캔버스/NNG+는/JX
고층건물이	고층/NNG+건물/NNG+이/JKS
없는	없/VA+는/ETM
정동	정동/NNP
쪽	쪽/NNB
야경을	야경/NNG+을/JKO
다이내믹하게	다이내믹/NNG+하/XSA+게/EC
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.7.7.3
지난해 12월 31일 밤 남산에 오른 시민들은 오후 11시 반부터 진행된 신년 카운트다운 쇼를 관람할 수 있었다.

지난해	지난해/NNG
12월	12/SN+월/NNB
31일	31/SN+일/NNB
밤	밤/NNG
남산에	남산/NNP+에/JKB
오른	오르/VV+ㄴ/ETM
시민들은	시민/NNG+들/XSN+은/JX
오후	오후/NNG
11시	11/SN+시/NNB
반부터	반/NNG+부터/JX
진행된	진행/NNG+되/XSV+ㄴ/ETM
신년	신년/NNG
카운트다운	카운트다운/NNG
쇼를	쇼/NNG+를/JKO
관람할	관람/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.7.8.1
유리 커튼월로 감싼 외벽 디자인의 뼈대는 주변 경관에 자연스레 녹아들면서 기업의 이미지를 간결하게 형상화한 2개의 곡면이다.

유리	유리/NNG
커튼월로	커튼월/NNG+로/JKB
감싼	감싸/VV+ㄴ/ETM
외벽	외벽/NNG
디자인의	디자인/NNG+의/JKG
뼈대는	뼈대/NNG+는/JX
주변	주변/NNG
경관에	경관/NNG+에/JKB
자연스레	자연스레/MAG
녹아들면서	녹아들/VV+면서/EC
기업의	기업/NNG+의/JKG
이미지를	이미지/NNG+를/JKO
간결하게	간결하/VA+게/EC
형상화한	형상/NNG+화/XSN+하/XSV+ㄴ/ETM
2개의	2/SN+개/NNB+의/JKG
곡면이다.	곡면/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.7.9.1
건물 뒤쪽 완만한 수평 오목 곡면은 길이 흐르는 형태를 그대로 끌어들였다.

건물	건물/NNG
뒤쪽	뒤쪽/NNG
완만한	완만하/VA+ㄴ/ETM
수평	수평/NNG
오목	오목/MAG
곡면은	곡면/NNG+은/JX
길이	길/NNG+이/JKS
흐르는	흐르/VV+는/ETM
형태를	형태/NNG+를/JKO
그대로	그대로/MAG
끌어들였다.	끌어들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.7.9.2
건물 뒤 풍광을 은근히 감싸 안으며 보행자에게 편안한 느낌을 준다.

건물	건물/NNG
뒤	뒤/NNG
풍광을	풍광/NNG+을/JKO
은근히	은근히/MAG
감싸	감싸/VV+아/EC
안으며	안/VV+으며/EC
보행자에게	보행자/NNG+에게/JKB
편안한	편안/NNG+하/XSA+ㄴ/ETM
느낌을	느낌/NNG+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.7.9.3
위아래로 볼록하게 부풀어 오른 대로변의 회색 곡면 벽체는 순풍을 가득 받고 항해하는 범선의 돛을 연상시킨다.

위아래로	위아래/NNG+로/JKB
볼록하게	볼록/MAG+하/XSA+게/EC
부풀어	부풀/VV+어/EC
오른	오르/VV+ㄴ/ETM
대로변의	대로변/NNG+의/JKG
회색	회색/NNG
곡면	곡면/NNG
벽체는	벽체/NNG+는/JX
순풍을	순풍/NNG+을/JKO
가득	가득/MAG
받고	받/VV+고/EC
항해하는	항해/NNG+하/XSV+는/ETM
범선의	범선/NNG+의/JKG
돛을	돛/NNG+을/JKO
연상시킨다.	연상/NNG+시키/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.7.10.1
2005년 개최된 현상설계에 당선한 삼우종합건축사사무소 한종률 전무는 “건축가의 제안을 지지하면서 적극적으로 의견을 내 준 건축주의 역할이 컸다”며 “기존 거리가 갖고 있던 분위기에 신축 건물이 유연하게 어울리도록 하는 데 디자인의 초점을 뒀다”고 말했다.

2005년	2005/SN+년/NNB
개최된	개최/NNG+되/XSV+ㄴ/ETM
현상설계에	현상/NNG+설계/NNG+에/JKB
당선한	당선/NNG+하/XSV+ㄴ/ETM
삼우종합건축사사무소	삼우종합건축사사무소/NNP
한종률	한종률/NNP
전무는	전무/NNG+는/JX
“건축가의	“/SS+건축가/NNG+의/JKG
제안을	제안/NNG+을/JKO
지지하면서	지지/NNG+하/XSV+면서/EC
적극적으로	적극/NNG+적/XSN+으로/JKB
의견을	의견/NNG+을/JKO
내	내/VV+어/EC
준	주/VX+ㄴ/ETM
건축주의	건축주/NNG+의/JKG
역할이	역할/NNG+이/JKS
컸다”며	크/VA+었/EP+다/EF+”/SS+며/EC
“기존	“/SS+기존/NNG
거리가	거리/NNG+가/JKS
갖고	갖/VV+고/EC
있던	있/VX+던/ETM
분위기에	분위기/NNG+에/JKB
신축	신축/NNG
건물이	건물/NNG+이/JKS
유연하게	유연하/VA+게/EC
어울리도록	어울리/VV+도록/EC
하는	하/VX+는/ETM
데	데/NNB
디자인의	디자인/NNG+의/JKG
초점을	초점/NNG+을/JKO
뒀다”고	두/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.7.11.1
건축면적 1441m²에 지하 8층, 지상 29층으로 올려진 철골철근콘크리트 건물.

건축면적	건축/NNG+면적/NNG
1441m²에	1441/SN+m²/SW+에/JKB
지하	지하/NNG
8층,	8/SN+층/NNG+,/SP
지상	지상/NNG
29층으로	29/SN+층/NNG+으로/JKB
올려진	올리/VV+어/EC+지/VX+ㄴ/ETM
철골철근콘크리트	철골/NNG+철근/NNG+콘크리트/NNG
건물.	건물/NNG+./SF


# id : NWRW1800000021.7.11.2
한 전무는 “20년 이상 묵은 딱딱한 직육면체 건물이 대부분인 가로에 곡면을 더해 부드러운 느낌을 살리고 싶었다”고 했다.

한	한/NNP
전무는	전무/NNG+는/JX
“20년	“/SS+20/SN+년/NNB
이상	이상/NNG
묵은	묵/VV+은/ETM
딱딱한	딱딱하/VA+ㄴ/ETM
직육면체	직육면체/NNG
건물이	건물/NNG+이/JKS
대부분인	대/XPN+부분/NNG+이/VCP+ㄴ/ETM
가로에	가로/NNG+에/JKB
곡면을	곡면/NNG+을/JKO
더해	더/MAG+하/XSV+아/EC
부드러운	부드럽/VA+ㄴ/ETM
느낌을	느낌/NNG+을/JKO
살리고	살리/VV+고/EC
싶었다”고	싶/VX+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.7.12.1
건설 공사가 진행된 2006년 11월부터 2008년 8월까지 현장 옆 보행길 가림 막에는 우제길 씨 등 화가 4명의 7개 판화 작품 사본이 붙여졌다.

건설	건설/NNG
공사가	공사/NNG+가/JKS
진행된	진행/NNG+되/XSV+ㄴ/ETM
2006년	2006/SN+년/NNB
11월부터	11/SN+월/NNB+부터/JX
2008년	2008/SN+년/NNB
8월까지	8/SN+월/NNB+까지/JX
현장	현장/NNG
옆	옆/NNG
보행길	보행/NNG+길/NNG
가림	가림/NNG
막에는	막/NNG+에/JKB+는/JX
우제길	우제길/NNP
씨	씨/NNB
등	등/NNB
화가	화가/NNG
4명의	4/SN+명/NNB+의/JKG
7개	7/SN+개/NNB
판화	판화/NNG
작품	작품/NNG
사본이	사본/NNG+이/JKS
붙여졌다.	붙이/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.7.12.2
이제는 당연한 것으로 자리 잡았지만 보는 이의 시선을 배려하겠다는 시도가 신선하게 받아들여졌다.

이제는	이제/NNG+는/JX
당연한	당연/NNG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
자리	자리/NNG
잡았지만	잡/VV+았/EP+지만/EC
보는	보/VV+는/ETM
이의	이/NNB+의/JKG
시선을	시선/NNG+을/JKO
배려하겠다는	배려/NNG+하/XSV+겠/EP+다는/ETM
시도가	시도/NNG+가/JKS
신선하게	신선하/VA+게/EC
받아들여졌다.	받아들이/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.7.13.1
1층 로비에 방문객을 위해 놓여진 설치미술가 존 폴 필립 씨의 작품은 출근길 이곳을 지나는 행인들의 시선에 상쾌함을 더해준다.

1층	1/SN+층/NNG
로비에	로비/NNG+에/JKB
방문객을	방문객/NNG+을/JKO
위해	위하/VV+아/EC
놓여진	놓이/VV+어/EC+지/VX+ㄴ/ETM
설치미술가	설치/NNG+미술가/NNG
존	존/NNP
폴	폴/NNP
필립	필립/NNP
씨의	씨/NNB+의/JKG
작품은	작품/NNG+은/JX
출근길	출근길/NNG
이곳을	이곳/NP+을/JKO
지나는	지나/VV+는/ETM
행인들의	행인/NNG+들/XSN+의/JKG
시선에	시선/NNG+에/JKB
상쾌함을	상쾌하/VA+ㅁ/ETN+을/JKO
더해준다.	더/MAG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.7.14.1
매일 아침 근처 어학원에 들렀다가 이 건물 앞을 지나 출근하는 최진경(30·회사원) 씨는 “깔끔하게 정돈된 로비를 틔워 놓아 잠깐이나마 시야가 밝아지는 느낌이 든다”며 “재미있는 조형물을 조금 더 늘려 줬으면 좋겠다”고 말했다.

매일	매일/MAG
아침	아침/NNG
근처	근처/NNG
어학원에	어학원/NNG+에/JKB
들렀다가	들르/VV+었/EP+다가/EC
이	이/MMD
건물	건물/NNG
앞을	앞/NNG+을/JKO
지나	지나/VV+아/EC
출근하는	출근/NNG+하/XSV+는/ETM
최진경(30·회사원)	최진경/NNP+(/SS+30/SN+·/SP+회사원/NNG+)/SS
씨는	씨/NNB+는/JX
“깔끔하게	“/SS+깔끔/NNG+하/XSA+게/EC
정돈된	정돈/NNG+되/XSV+ㄴ/ETM
로비를	로비/NNG+를/JKO
틔워	틔우/VV+어/EC
놓아	놓/VX+아/EC
잠깐이나마	잠깐/NNG+이나마/JX
시야가	시야/NNG+가/JKS
밝아지는	밝/VA+아/EC+지/VX+는/ETM
느낌이	느낌/NNG+이/JKS
든다”며	들/VV+ㄴ다/EF+”/SS+며/EC
“재미있는	“/SS+재미있/VA+는/ETM
조형물을	조형물/NNG+을/JKO
조금	조금/MAG
더	더/MAG
늘려	늘리/VV+어/EC
줬으면	주/VX+었/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


