# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.68
metadata : {}


# id : NWRW1800000052.68.1.1
“세무사 사라진다면 세무고 다니는 전 어떡해요?”

“세무사	“/SS+세무사/NNG
세무 전문직의 꿈을 품고 미래를 준비하는 고교생에게 돌려줄 답변이 난감했다.

세무	세무/NNG
전문직의	전문직/NNG+의/JKG
꿈을	꿈/NNG+을/JKO
품고	품/VV+고/EC
미래를	미래/NNG+를/JKO
준비하는	준비/NNG+하/XSV+는/ETM
고교생에게	고교/NNG+생/XSN+에게/JKB
돌려줄	돌려주/VV+ㄹ/ETM
답변이	답변/NNG+이/JKS
난감했다.	난감하/VA+았/EP+다/EF+./SF


# id : NWRW1800000052.68.4.2
기자가 기사를 쓰는 일도, 약사가 약을 조제하고, 의사가 병을 진단하고, 변호사가 소송용 문서를 준비하는 일도 로봇이 투입돼 사람보다 더 뛰어난 수준을 보이고 있다는 주변 전문직들의 사례를 더 많이 소개한다고 해서 안도할 수 있는 문제가 아니었다.

기자가	기자/NNG+가/JKS
기사를	기사/NNG+를/JKO
쓰는	쓰/VV+는/ETM
일도,	일/NNG+도/JX+,/SP
약사가	약사/NNG+가/JKS
약을	약/NNG+을/JKO
조제하고,	조제/NNG+하/XSV+고/EC+,/SP
의사가	의사/NNG+가/JKS
병을	병/NNG+을/JKO
진단하고,	진단/NNG+하/XSV+고/EC+,/SP
변호사가	변호사/NNG+가/JKS
소송용	소송/NNG+용/XSN
문서를	문서/NNG+를/JKO
준비하는	준비/NNG+하/XSV+는/ETM
일도	일/NNG+도/JX
로봇이	로봇/NNG+이/JKS
투입돼	투입/NNG+되/XSV+어/EC
사람보다	사람/NNG+보다/JKB
더	더/MAG
뛰어난	뛰어나/VA+ㄴ/ETM
수준을	수준/NNG+을/JKO
보이고	보이/VV+고/EC
있다는	있/VX+다는/ETM
주변	주변/NNG
전문직들의	전문직/NNG+들/XSN+의/JKG
사례를	사례/NNG+를/JKO
많이	많이/MAG
소개한다고	소개/NNG+하/XSV+ㄴ다고/EC
해서	하/VV+아서/EC
안도할	안도/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
문제가	문제/NNG+가/JKC
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000052.68.4.3
하지만 인공지능과 자동화로 인해 평생직장은 물론 평생직업도 사라지게 되고 대부분의 직업의 전망이 불투명해진 시대에 특정 직군의 미래만은 여전히 밝다고 말할 수 있는 것도 아니었다.

하지만	하지만/MAJ
인공지능과	인공/NNG+지능/NNG+과/JC
자동화로	자동/NNG+화/XSN+로/JKB
인해	인/NNG+하/XSV+아/EC
평생직장은	평생직장/NNG+은/JX
물론	물론/MAG
평생직업도	평생/NNG+직업/NNG+도/JX
사라지게	사라지/VV+게/EC
되고	되/VV+고/EC
대부분의	대/XPN+부분/NNG+의/JKG
직업의	직업/NNG+의/JKG
전망이	전망/NNG+이/JKS
불투명해진	불/XPN+투명/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
시대에	시대/NNG+에/JKB
특정	특정/NNG
직군의	직군/NNG+의/JKG
미래만은	미래/NNG+만/JX+은/JX
여전히	여전히/MAG
밝다고	밝/VA+다고/EC
말할	말/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것도	것/NNB+도/JX
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000052.68.5.1
기술의 충격으로부터 자유로운 직업 분야는 사실상 없다.

기술의	기술/NNG+의/JKG
충격으로부터	충격/NNG+으로부터/JKB
자유로운	자유/NNG+롭/XSA+ㄴ/ETM
직업	직업/NNG
분야는	분야/NNG+는/JX
사실상	사실/NNG+상/XSN
없다.	없/VA+다/EF+./SF


# id : NWRW1800000052.68.5.2
거의 모든 일자리가 불안해진 만큼, 특정 직업군이 안전할 것이라는 기대와 그를 기반으로 한 준비는 위험하다.

거의	거의/MAG
모든	모든/MMN
일자리가	일자리/NNG+가/JKS
불안해진	불안/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
만큼,	만큼/NNB+,/SP
특정	특정/NNG
직업군이	직업군/NNG+이/JKS
안전할	안전/NNG+하/XSA+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
기대와	기대/NNG+와/JC
그를	그/NP+를/JKO
기반으로	기반/NNG+으로/JKB
한	하/VV+ㄴ/ETM
준비는	준비/NNG+는/JX
위험하다.	위험/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000052.68.5.3
미래는 소프트웨어와 데이터가 중요해지는 세상이라며 컴퓨터 프로그래밍을 가르치는 코딩 교육 열풍이 불고 있지만, 정작 국내 굴지의 소프트웨어 회사에 다니는 직원들은 인공지능이 가장 쉽게 구현해낼 수 있는 기술이 현재의 소프트웨어 프로그래밍이라고 말하고 있는 상황이다.

미래는	미래/NNG+는/JX
소프트웨어와	소프트웨어/NNG+와/JC
데이터가	데이터/NNG+가/JKS
중요해지는	중요/NNG+하/XSA+아/EC+지/VX+는/ETM
세상이라며	세상/NNG+이/VCP+라며/EC
컴퓨터	컴퓨터/NNG
프로그래밍을	프로그래밍/NNG+을/JKO
가르치는	가르치/VV+는/ETM
코딩	코딩/NNG
교육	교육/NNG
열풍이	열풍/NNG+이/JKS
불고	불/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
정작	정작/MAG
국내	국내/NNG
굴지의	굴지/NNG+의/JKG
소프트웨어	소프트웨어/NNG
회사에	회사/NNG+에/JKB
다니는	다니/VV+는/ETM
직원들은	직원/NNG+들/XSN+은/JX
인공지능이	인공/NNG+지능/NNG+이/JKS
가장	가장/MAG
쉽게	쉽/VA+게/EC
구현해낼	구현/NNG+하/XSV+아/EC+내/VX+ㄹ/ETM
수	수/NNB
있는	있/VX+는/ETM
기술이	기술/NNG+이/JKS
현재의	현재/NNG+의/JKG
프로그래밍이라고	프로그래밍/NNG+이/VCP+라고/EC
말하고	말/NNG+하/XSV+고/EC
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.68.6.1
질문한 학생에게 부족한 답변을 했다.

질문한	질문/NNG+하/XSV+ㄴ/ETM
학생에게	학생/NNG+에게/JKB
부족한	부족/NNG+하/XSA+ㄴ/ETM
답변을	답변/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.68.6.2
“어차피 모든 직업은 불안합니다.

“어차피	“/SS+어차피/MAG
모든	모든/MMN
직업은	직업/NNG+은/JX
불안합니다.	불안/NNG+하/XSA+ㅂ니다/EF+./SF


# id : NWRW1800000052.68.6.3
자신의 직업이 미래에 안정적일 것이라는 생각을 갖고 안주하는 학생보다 오히려 불안한 미래와 씨름하면서 스스로의 미래를 고민해야 하는 학생의 환경이 그 점에서 더 나은 것일 수 있습니다.

자신의	자신/NNG+의/JKG
직업이	직업/NNG+이/JKS
미래에	미래/NNG+에/JKB
안정적일	안정/NNG+적/XSN+이/VCP+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
생각을	생각/NNG+을/JKO
갖고	갖/VV+고/EC
안주하는	안주/NNG+하/XSV+는/ETM
학생보다	학생/NNG+보다/JKB
오히려	오히려/MAG
불안한	불안/NNG+하/XSA+ㄴ/ETM
미래와	미래/NNG+와/JKB
씨름하면서	씨름/NNG+하/XSV+면서/EC
스스로의	스스로/NNG+의/JKG
미래를	미래/NNG+를/JKO
고민해야	고민/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
학생의	학생/NNG+의/JKG
환경이	환경/NNG+이/JKS
그	그/MMD
점에서	점/NNG+에서/JKB
더	더/MAG
나은	낫/VA+은/ETM
것일	것/NNB+이/VCP+ㄹ/ETM
수	수/NNB
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000052.68.6.4
그리고 직업의 세계에서 기계는 하루아침에, 모든 사람을 대체하는 형태로 나타나지 않습니다.

그리고	그리고/MAJ
직업의	직업/NNG+의/JKG
세계에서	세계/NNG+에서/JKB
기계는	기계/NNG+는/JX
하루아침에,	하루아침/NNG+에/JKB+,/SP
모든	모든/MMN
사람을	사람/NNG+을/JKO
대체하는	대체/NNG+하/XSV+는/ETM
형태로	형태/NNG+로/JKB
나타나지	나타나/VV+지/EC
않습니다.	않/VX+습니다/EF+./SF


# id : NWRW1800000052.68.6.5
남들보다 최신 도구를 더 잘 활용하는 방법을 배워 업무 기술을 개발하고, 또 내 직업 너머의 세계에도 끊임없이 관심을 갖고 변화를 읽어내려 노력해야 합니다.

남들보다	남/NNG+들/XSN+보다/JKB
최신	최신/NNG
도구를	도구/NNG+를/JKO
더	더/MAG
잘	잘/MAG
활용하는	활용/NNG+하/XSV+는/ETM
방법을	방법/NNG+을/JKO
배워	배우/VV+어/EC
업무	업무/NNG
기술을	기술/NNG+을/JKO
개발하고,	개발/NNG+하/XSV+고/EC+,/SP
또	또/MAG
내	나/NP+의/JKG
직업	직업/NNG
너머의	너머/NNG+의/JKG
세계에도	세계/NNG+에/JKB+도/JX
끊임없이	끊임없이/MAG
관심을	관심/NNG+을/JKO
갖고	갖/VV+고/EC
변화를	변화/NNG+를/JKO
읽어내려	읽/VV+어/EC+내리/VV+어/EC
노력해야	노력/NNG+하/XSV+아야/EC
합니다.	하/VX+ㅂ니다/EF+./SF


# id : NWRW1800000052.68.6.6
그리고 마지막으로 중요한 것은 사람은 함께 일하고 싶은 사람으로 덕성을 갖춘 사람을 선택할 것인 만큼, 기계가 줄 수 없는 인격을 갖추는 게 필요합니다.”

그리고	그리고/MAJ
마지막으로	마지막/NNG+으로/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
사람은	사람/NNG+은/JX
함께	함께/MAG
일하고	일/NNG+하/XSV+고/EC
싶은	싶/VX+은/ETM
사람으로	사람/NNG+으로/JKB
덕성을	덕성/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
사람을	사람/NNG+을/JKO
선택할	선택/NNG+하/XSV+ㄹ/ETM
것인	것/NNB+이/VCP+ㄴ/ETM
만큼,	만큼/NNB+,/SP
기계가	기계/NNG+가/JKS
줄	주/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
인격을	인격/NNG+을/JKO
갖추는	갖추/VV+는/ETM
게	거/NNB+이/JKS
필요합니다.”	필요/NNG+하/XSA+ㅂ니다/EF+./SF+”/SS


