# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.63
metadata : {}


# id : NWRW1800000046.63.1.1
7~8월 해외여행 간다면 지금 예방주사 맞으세요

7~8월	7/SN+~/SO+8/SN+월/NNB
# id : NWRW1800000046.63.4.4
늦어도 여행 10일 전에는 주사를 맞아야 한다.

늦어도	늦/VA+어도/EC
여행	여행/NNG
10일	10/SN+일/NNB
전에는	전/NNG+에/JKB+는/JX
주사를	주사/NNG+를/JKO
맞아야	맞/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.63.4.5
아프리카와 중남미 지역을 중심으로 적도 20도 내외 국가에서 주로 발생한다.

아프리카와	아프리카/NNP+와/JC
중남미	중남미/NNP
지역을	지역/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
적도	적도/NNG
20도	20/SN+도/NNB
내외	내외/NNG
국가에서	국가/NNG+에서/JKB
주로	주로/MAG
발생한다.	발생/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.63.5.1
▷A형간염(동남아·남미·아프리카)=A형간염 바이러스에 오염된 음식이나 물을 먹거나, A형간염 바이러스 감염자와 접촉해 생긴다.

▷A형간염(동남아·남미·아프리카)=A형간염	▷/SW+A/SL+형/XSN+간염/NNG+(/SS+동남아/NNP+·/SP+남미/NNP+·/SP+아프리카/NNP+)/SS+=/SW+A/SL+형/XSN+간염/NNG
바이러스에	바이러스/NNG+에/JKB
오염된	오염/NNG+되/XSV+ㄴ/ETM
음식이나	음식/NNG+이나/JC
물을	물/NNG+을/JKO
먹거나,	먹/VV+거나/EC+,/SP
A형간염	A/SL+형/XSN+간염/NNG
바이러스	바이러스/NNG
감염자와	감염자/NNG+와/JKB
접촉해	접촉/NNG+하/XSV+아/EC
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.63.5.2
구토가 생기고, 소변색이 콜라색으로 진해지며, 눈에 황달이 생긴다.

구토가	구토/NNG+가/JKS
생기고,	생기/VV+고/EC+,/SP
소변색이	소변/NNG+색/NNG+이/JKS
콜라색으로	콜라/NNG+색/NNG+으로/JKB
진해지며,	진하/VA+아/EC+지/VX+며/EC+,/SP
눈에	눈/NNG+에/JKB
황달이	황달/NNG+이/JKS
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.63.5.3
심하면 간부전이 올 수 있고, 드물게는 사망한다.

심하면	심하/VA+면/EC
간부전이	간/NNG+부전/NNG+이/JKS
올	오/VV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
드물게는	드물/VA+게/EC+는/JX
사망한다.	사망/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.63.5.4
최소 여행 2주 전에는 백신 주사를 맞아야 하며, 여행 전 1회와 6~12개월 후 1회, 총 2회를 맞아야 한다.

최소	최소/NNG
여행	여행/NNG
2주	2/SN+주/NNB
전에는	전/NNG+에/JKB+는/JX
백신	백신/NNG
주사를	주사/NNG+를/JKO
맞아야	맞/VV+아야/EC
하며,	하/VX+며/EC+,/SP
전	전/NNG
1회와	1/SN+회/NNB+와/JC
6~12개월	6/SN+~/SO+12/SN+개월/NNB
후	후/NNG
1회,	1/SN+회/NNB+,/SP
총	총/MMA
2회를	2/SN+회/NNB+를/JKO
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.63.6.1
▷장티푸스(동남아·서남아·아프리카) =장티푸스균(살모넬라타이피)에 오염된 물이나 음식을 먹어 발생한다.

▷장티푸스(동남아·서남아·아프리카)	▷/SW+장티푸스/NNG+(/SS+동남아/NNP+·/SP+서남아/NNP+·/SP+아프리카/NNP+)/SS
=장티푸스균(살모넬라타이피)에	=/SW+장티푸스균/NNG+(/SS+살모넬라타이피/NNG+)/SS+에/JKB
오염된	오염/NNG+되/XSV+ㄴ/ETM
물이나	물/NNG+이나/JC
음식을	음식/NNG+을/JKO
먹어	먹/VV+어/EC
발생한다.	발생/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.63.6.2
두통·구토·설사 등이 나타난다.

두통·구토·설사	두통/NNG+·/SP+구토/NNG+·/SP+설사/NNG
등이	등/NNB+이/JKS
나타난다.	나타나/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.63.6.3
초기에 항생제로 치료하면 사망률은 1%에 그치지만, 치료하지 못하면 10~20%가 사망한다.

초기에	초기/NNG+에/JKB
항생제로	항생제/NNG+로/JKB
치료하면	치료/NNG+하/XSV+면/EC
사망률은	사망/NNG+률/XSN+은/JX
1%에	1/SN+%/SW+에/JKB
그치지만,	그치/VV+지만/EC+,/SP
치료하지	치료/NNG+하/XSV+지/EC
못하면	못하/VX+면/EC
10~20%가	10/SN+~/SO+20/SN+%/SW+가/JKS
사망한다.	사망/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.63.6.4
사망의 90%가 아시아 지역에서 발생한다.

사망의	사망/NNG+의/JKG
90%가	90/SN+%/SW+가/JKS
아시아	아시아/NNP
지역에서	지역/NNG+에서/JKB
발생한다.	발생/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.63.6.5
여행 2주 전에는 주사를 맞아야 한다.

여행	여행/NNG
2주	2/SN+주/NNB
전에는	전/NNG+에/JKB+는/JX
주사를	주사/NNG+를/JKO
맞아야	맞/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.63.7.1
▷말라리아(동남아·아프리카)=말라리아 원충(기생충)에 감염된 모기에 물려 생긴다.

▷말라리아(동남아·아프리카)=말라리아	▷/SW+말라리아/NNG+(/SS+동남아/NNP+·/SP+아프리카/NNP+)/SS+=/SW+말라리아/NNG
원충(기생충)에	원충/NNG+(/SS+기생충/NNG+)/SS+에/JKB
감염된	감염/NNG+되/XSV+ㄴ/ETM
모기에	모기/NNG+에/JKB
물려	물리/VV+어/EC
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.63.7.2
말라리아 원충은 몸에 보통 2주 정도, 길게는 1년까지 잠복해 있는다.

말라리아	말라리아/NNG
원충은	원충/NNG+은/JX
몸에	몸/NNG+에/JKB
보통	보통/MAG
2주	2/SN+주/NNB
정도,	정도/NNG+,/SP
길게는	길/VA+게/EC+는/JX
1년까지	1/SN+년/NNB+까지/JX
잠복해	잠복/NNG+하/XSV+아/EC
있는다.	있/VX+는다/EF+./SF


# id : NWRW1800000046.63.7.3
이후 발열이 생기고, 빈혈·두통 등이 나타날 수 있다.

이후	이후/NNG
발열이	발열/NNG+이/JKS
생기고,	생기/VV+고/EC+,/SP
빈혈·두통	빈혈/NNG+·/SP+두통/NNG
등이	등/NNB+이/JKS
나타날	나타나/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.63.7.4
심하면 사구체신염이나 혈소판 감소증·세뇨관(소변 생성에 관여하는 관) 괴사증이 생긴다.

심하면	심하/VA+면/EC
사구체신염이나	사구체/NNG+신염/NNG+이나/JC
혈소판	혈소판/NNG
감소증·세뇨관(소변	감소증/NNG+·/SP+세뇨관/NNG+(/SS+소변/NNG
생성에	생성/NNG+에/JKB
관여하는	관여/NNG+하/XSV+는/ETM
관)	관/NNG+)/SS
괴사증이	괴사증/NNG+이/JKS
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.63.7.5
치료하면 4% 사망하고, 치료하지 않으면 10%가 사망한다.

치료하면	치료/NNG+하/XSV+면/EC
4%	4/SN+%/SW
사망하고,	사망/NNG+하/XSV+고/EC+,/SP
치료하지	치료/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
10%가	10/SN+%/SW+가/JKS
사망한다.	사망/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.63.7.6
백신이 없기 때문에, 혹시 몸 안에 들어올지 모르는 말라이아 원충을 죽이는 약을 여행 2주~1달 전부터 여행 후 4주 정도까지 계속 복용해야 한다.

백신이	백신/NNG+이/JKS
없기	없/VA+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
혹시	혹시/MAG
몸	몸/NNG
안에	안/NNG+에/JKB
들어올지	들어오/VV+ㄹ지/EC
모르는	모르/VV+는/ETM
말라이아	말라이아/NNG
원충을	원충/NNG+을/JKO
죽이는	죽이/VV+는/ETM
약을	약/NNG+을/JKO
여행	여행/NNG
2주~1달	2/SN+주/NNB+~/SO+1/SN+달/NNB
전부터	전/NNG+부터/JX
후	후/NNG
4주	4/SN+주/NNB
정도까지	정도/NNG+까지/JX
계속	계속/MAG
복용해야	복용/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


