# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.345
metadata : {}


# id : NWRW1800000046.345.1.1
['성완종 리스트' 파문] "충청도 말투가…" 이완구, 또 말 때문에 논란

['성완종	[/SS+'/SS+성완종/NNP
하다	하/VV+다/EC
보니	보/VX+니/EC
오해의	오해/NNG+의/JKG
소지가	소지/NNG+가/JKS
생긴	생기/VV+ㄴ/ETM
것	것/NNB
같다'는	같/VA+다/EF+'/SS+는/ETM
취지였다.	취지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.345.4.4
그러자 의석에 앉아있던 야당 의원들은 "충청도하고 거짓말이 무슨 상관이냐"고 항의했다.

그러자	그러/VV+자/EC
의석에	의석/NNG+에/JKB
앉아있던	앉/VV+아/EC+있/VX+던/ETM
야당	야당/NNG
의원들은	의원/NNG+들/XSN+은/JX
"충청도하고	"/SS+충청도/NNP+하고/JC
거짓말이	거짓말/NNG+이/JKS
무슨	무슨/MMD
상관이냐"고	상관/NNG+이/VCP+냐/EF+"/SS+고/JKQ
항의했다.	항의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.345.5.1
이 총리는 또 지난 14일 대정부 질문에서 했던 '증거가 나오면 목숨을 내놓겠다'는 발언에 대한 지적이 이어지자 "인간의 양심과 신앙에 따라 격정적으로 말을 하다가 나온 말로 송구하다"고 말했다.

이	이/NNP
총리는	총리/NNG+는/JX
또	또/MAG
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
대정부	대정부/NNG
질문에서	질문/NNG+에서/JKB
했던	하/VV+았/EP+던/ETM
'증거가	'/SS+증거/NNG+가/JKS
나오면	나오/VV+면/EC
목숨을	목숨/NNG+을/JKO
내놓겠다'는	내놓/VV+겠/EP+다/EF+'/SS+는/ETM
발언에	발언/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지적이	지적/NNG+이/JKS
이어지자	이어지/VV+자/EC
"인간의	"/SS+인간/NNG+의/JKG
양심과	양심/NNG+과/JC
신앙에	신앙/NNG+에/JKB
따라	따르/VV+아/EC
격정적으로	격정/NNG+적/XSN+으로/JKB
말을	말/NNG+을/JKO
하다가	하/VV+다가/EC
나온	나오/VV+ㄴ/ETM
말로	말/NNG+로/JKB
송구하다"고	송구하/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.345.6.1
이 총리는 "한 나라의 총리이기 전에 한 사람의 인간이고 저도 신앙과 양심, 나름의 소신이 있다. 그런 각도에서 (발언을) 받아 주길 바란다. 제가 너무 격해서 저의 속내를 말하기 위해 그런 표현을 했다"고 했다.

이	이/NNP
총리는	총리/NNG+는/JX
"한	"/SS+한/MMN
나라의	나라/NNG+의/JKG
총리이기	총리/NNG+이/VCP+기/ETN
전에	전/NNG+에/JKB
한	한/MMN
사람의	사람/NNG+의/JKG
인간이고	인간/NNG+이/VCP+고/EC
저도	저/NP+도/JX
신앙과	신앙/NNG+과/JC
양심,	양심/NNG+,/SP
나름의	나름/NNB+의/JKG
소신이	소신/NNG+이/JKS
있다.	있/VA+다/EF+./SF
그런	그런/MMD
각도에서	각도/NNG+에서/JKB
(발언을)	(/SS+발언/NNG+을/JKO+)/SS
받아	받/VV+아/EC
주길	주/VX+기/ETN+ㄹ/JKO
바란다.	바라/VV+ㄴ다/EF+./SF
제가	제/NP+가/JKS
너무	너무/MAG
격해서	격하/VA+아서/EC
저의	저/NP+의/JKG
속내를	속내/NNG+를/JKO
말하기	말/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
표현을	표현/NNG+을/JKO
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


