# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.148
metadata : {}


# id : NWRW1800000029.148.1.1
英폭도 잡고보니 11세소년-교사까지…

英폭도	英/SH+폭/NNG+도/JX
흑인이	흑인/NNG+이/JKS
몰려	몰리/VV+어/EC
사는	살/VV+는/ETM
이곳의	이곳/NP+의/JKG
지하철역	지하철역/NNG
주변에는	주변/NNG+에/JKB+는/JX
경찰	경찰/NNG
20여	20/SN+여/XSN
명이	명/NNB+이/JKS
2,	2/SN+,/SP
3인조로	3/SN+인/NNG+조/NNG+로/JKB
나뉘어	나뉘/VV+어/EC
순찰을	순찰/NNG+을/JKO
하고	하/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.148.5.3
역전 브릭스턴로드 오른쪽에 늘어선 환전소와 은행 지점들은 해가 지기 전에 셔터를 내렸다.

역전	역전/NNG
브릭스턴로드	브릭스턴로드/NNP
오른쪽에	오른쪽/NNG+에/JKB
늘어선	늘어서/VV+ㄴ/ETM
환전소와	환전소/NNG+와/JC
은행	은행/NNG
지점들은	지점/NNG+들/XSN+은/JX
해가	해/NNG+가/JKS
지기	지/VV+기/ETN
전에	전/NNG+에/JKB
셔터를	셔터/NNG+를/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.148.5.4
한 레스토랑 관계자는 “유리가 깨지는 피해를 봤지만 다음 날 바로 문을 열었다”면서 “정신적인 충격만 가라앉으면 다시 활기찬 브릭스턴으로 돌아갈 것”이라고 말했다.

한	한/MMN
레스토랑	레스토랑/NNG
관계자는	관계자/NNG+는/JX
“유리가	“/SS+유리/NNG+가/JKS
깨지는	깨지/VV+는/ETM
피해를	피해/NNG+를/JKO
봤지만	보/VV+았/EP+지만/EC
다음	다음/NNG
날	날/NNG
바로	바로/MAG
문을	문/NNG+을/JKO
열었다”면서	열/VV+었/EP+다/EF+”/SS+면서/EC
“정신적인	“/SS+정신/NNG+적/XSN+이/VCP+ㄴ/ETM
충격만	충격/NNG+만/JX
가라앉으면	가라앉/VV+으면/EC
다시	다시/MAG
활기찬	활기차/VA+ㄴ/ETM
브릭스턴으로	브릭스턴/NNP+으로/JKB
돌아갈	돌아가/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.148.6.1
6일 저녁 토트넘에서 시작돼 마구잡이로 번지며 영국 전역을 공포와 충격에 몰아넣었던 폭동과 약탈 행위는 발생 닷새째인 10일 밤 전국에서 거의 자취를 감췄다.

6일	6/SN+일/NNB
저녁	저녁/NNG
토트넘에서	토트넘/NNP+에서/JKB
시작돼	시작/NNG+되/XSV+어/EC
마구잡이로	마구잡이/NNG+로/JKB
번지며	번지/VV+며/EC
영국	영국/NNP
전역을	전역/NNG+을/JKO
공포와	공포/NNG+와/JC
충격에	충격/NNG+에/JKB
몰아넣었던	몰아넣/VV+었/EP+던/ETM
폭동과	폭동/NNG+과/JC
약탈	약탈/NNG
행위는	행위/NNG+는/JX
발생	발생/NNG
닷새째인	닷새/NNG+째/XSN+이/VCP+ㄴ/ETM
10일	10/SN+일/NNB
밤	밤/NNG
전국에서	전국/NNG+에서/JKB
거의	거의/MAG
자취를	자취/NNG+를/JKO
감췄다.	감추/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.148.6.2
이에 따라 폭동 사태가 물대포 사용과 경찰의 고무탄 발사 검토 등 정부의 강경대책에 밀려 사실상 마무리 단계에 들어섰다는 관측이 나온다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
폭동	폭동/NNG
사태가	사태/NNG+가/JKS
물대포	물대포/NNG
사용과	사용/NNG+과/JC
경찰의	경찰/NNG+의/JKG
고무탄	고무탄/NNG
발사	발사/NNG
검토	검토/NNG
등	등/NNB
정부의	정부/NNG+의/JKG
강경대책에	강경/NNG+대책/NNG+에/JKB
밀려	밀리/VV+어/EC
사실상	사실/NNG+상/XSN
마무리	마무리/NNG
단계에	단계/NNG+에/JKB
들어섰다는	들어서/VV+었/EP+다는/ETM
관측이	관측/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.148.7.1
8일 약탈과 방화가 벌어진 런던 북부 해크니 지역에서는 상가를 운영하는 터키인 수십 명이 10일 저녁부터 스스로 자경단을 조직해 시설 보호에 나섰다.

8일	8/SN+일/NNB
약탈과	약탈/NNG+과/JC
방화가	방화/NNG+가/JKS
벌어진	벌어지/VV+ㄴ/ETM
런던	런던/NNP
북부	북부/NNG
해크니	해크니/NNP
지역에서는	지역/NNG+에서/JKB+는/JX
상가를	상가/NNG+를/JKO
운영하는	운영/NNG+하/XSV+는/ETM
터키인	터키인/NNG
수십	수십/NR
명이	명/NNB+이/JKS
10일	10/SN+일/NNB
저녁부터	저녁/NNG+부터/JX
스스로	스스로/MAG
자경단을	자경단/NNG+을/JKO
조직해	조직/NNG+하/XSV+아/EC
시설	시설/NNG
보호에	보호/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.148.7.2
탄탄한 이민자 사회를 구축하고 있는 방글라데시인들도 카레 레스토랑이 많기로 유명한 런던 동부 브릭레인에서 집단으로 가게를 지켰다.

탄탄한	탄탄하/VA+ㄴ/ETM
이민자	이민자/NNG
사회를	사회/NNG+를/JKO
구축하고	구축/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
방글라데시인들도	방글라데시인/NNG+들/XSN+도/JX
카레	카레/NNG
레스토랑이	레스토랑/NNG+이/JKS
많기로	많/VA+기/ETN+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
런던	런던/NNP
동부	동부/NNG
브릭레인에서	브릭레인/NNP+에서/JKB
집단으로	집단/NNG+으로/JKB
가게를	가게/NNG+를/JKO
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.148.7.3
7일 폭도의 습격을 받은 런던 북부 엔필드에선 지역민 200여 명으로 구성된 자경단이 거리 곳곳에 배치됐다.

7일	7/SN+일/NNB
폭도의	폭도/NNG+의/JKG
습격을	습격/NNG+을/JKO
받은	받/VV+은/ETM
런던	런던/NNP
북부	북부/NNG
엔필드에선	엔필드/NNP+에서/JKB+ㄴ/JX
지역민	지역민/NNG
200여	200/SN+여/XSN
명으로	명/NNB+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
자경단이	자경단/NNG+이/JKS
거리	거리/NNG
곳곳에	곳곳/NNG+에/JKB
배치됐다.	배치/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.148.8.1
데이비드 캐머런 영국 총리는 11일 의회 연설에서 “마스크나 복면 착용을 금지할 수 있는 권한을 경찰에 부여하고 비상시에는 SNS 사이트나 메신저 서비스를 중단시킬 수 있게 하겠다”고 밝혔다.

데이비드	데이비드/NNP
캐머런	캐머런/NNP
영국	영국/NNP
총리는	총리/NNG+는/JX
11일	11/SN+일/NNB
의회	의회/NNG
연설에서	연설/NNG+에서/JKB
“마스크나	“/SS+마스크/NNG+나/JC
복면	복면/NNG
착용을	착용/NNG+을/JKO
금지할	금지/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
권한을	권한/NNG+을/JKO
경찰에	경찰/NNG+에/JKB
부여하고	부여/NNG+하/XSV+고/EC
비상시에는	비상시/NNG+에/JKB+는/JX
SNS	SNS/SL
사이트나	사이트/NNG+나/JC
메신저	메신저/NNG
서비스를	서비스/NNG+를/JKO
중단시킬	중단/NNG+시키/XSV+ㄹ/ETM
있게	있/VA+게/EC
하겠다”고	하/VX+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.148.9.1
한편 10일 폭동에 가담해 체포된 피의자들의 법정 심리가 시작되면서 지금까지 가난하고 소외된 10, 20대가 중심이었을 것이라는 관측과 달리 다양한 계층과 인종, 연령대가 폭도에 포함된 것으로 나타났다.

한편	한편/MAG
10일	10/SN+일/NNB
폭동에	폭동/NNG+에/JKB
가담해	가담/NNG+하/XSV+아/EC
체포된	체포/NNG+되/XSV+ㄴ/ETM
피의자들의	피의자/NNG+들/XSN+의/JKG
법정	법정/NNG
심리가	심리/NNG+가/JKS
시작되면서	시작/NNG+되/XSV+면서/EC
지금까지	지금/NNG+까지/JX
가난하고	가난/NNG+하/XSA+고/EC
소외된	소외/NNG+되/XSV+ㄴ/ETM
10,	10/SN+,/SP
20대가	20/SN+대/NNB+가/JKS
중심이었을	중심/NNG+이/VCP+었/EP+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측과	관측/NNG+과/JKB
달리	달리/MAG
다양한	다양/NNG+하/XSA+ㄴ/ETM
계층과	계층/NNG+과/JC
인종,	인종/NNG+,/SP
연령대가	연령대/NNG+가/JKS
폭도에	폭도/NNG+에/JKB
포함된	포함/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.148.9.2
폭동 혐의로 체포된 1000여 명 중 처음으로 법정에 모습을 드러낸 사람들은 교사, 요리사, 관리인 등 직업도 다양했다.

폭동	폭동/NNG
혐의로	혐의/NNG+로/JKB
체포된	체포/NNG+되/XSV+ㄴ/ETM
1000여	1000/SN+여/XSN
명	명/NNB
중	중/NNB
처음으로	처음/NNG+으로/JKB
법정에	법정/NNG+에/JKB
모습을	모습/NNG+을/JKO
드러낸	드러내/VV+ㄴ/ETM
사람들은	사람/NNG+들/XSN+은/JX
교사,	교사/NNG+,/SP
요리사,	요리사/NNG+,/SP
관리인	관리인/NNG
등	등/NNB
직업도	직업/NNG+도/JX
다양했다.	다양/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000029.148.9.3
전자용품점을 약탈하다 체포된 알렉스 베일리 씨(31)는 초등학교 교사로 형편이 힘든 아이들을 담당했다.

전자용품점을	전자/NNG+용품점/NNG+을/JKO
약탈하다	약탈/NNG+하/XSV+다/EC
체포된	체포/NNG+되/XSV+ㄴ/ETM
알렉스	알렉스/NNP
베일리	베일리/NNP
씨(31)는	씨/NNB+(/SS+31/SN+)/SS+는/JX
초등학교	초등학교/NNG
교사로	교사/NNG+로/JKB
형편이	형편/NNG+이/JKS
힘든	힘들/VA+ㄴ/ETM
아이들을	아이/NNG+들/XSN+을/JKO
담당했다.	담당/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.148.9.4
해당 학교 홈페이지에는 어려운 아이들을 도우면서 환하게 웃는 그의 사진이 올라 있다.

해당	해당/NNG
학교	학교/NNG
홈페이지에는	홈페이지/NNG+에/JKB+는/JX
어려운	어렵/VA+ㄴ/ETM
아이들을	아이/NNG+들/XSN+을/JKO
도우면서	돕/VV+으면서/EC
환하게	환하/VA+게/EC
웃는	웃/VV+는/ETM
그의	그/NP+의/JKG
사진이	사진/NNG+이/JKS
올라	오르/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.148.9.5
상점을 약탈한 혐의로 체포돼 법정에 나선 배리 나인 씨(42)는 런던 루이 섬 노숙인 쉼터의 자원봉사자다.

상점을	상점/NNG+을/JKO
약탈한	약탈/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
체포돼	체포/NNG+되/XSV+어/EC
법정에	법정/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
배리	배리/NNP
나인	나인/NNP
씨(42)는	씨/NNB+(/SS+42/SN+)/SS+는/JX
런던	런던/NNP
루이	루이/NNP
섬	섬/NNG
노숙인	노숙인/NNG
쉼터의	쉼터/NNG+의/JKG
자원봉사자다.	자원봉사자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.148.9.6
50파운드 정도의 개사료 통조림을 훔쳐 나오다 체포된 열한 살 소년, 매니큐어 제품 6개를 훔쳐 체포된 28세 여성도 법정에 나왔다.

50파운드	50/SN+파운드/NNB
정도의	정도/NNG+의/JKG
개사료	개/NNG+사료/NNG
통조림을	통조림/NNG+을/JKO
훔쳐	훔치/VV+어/EC
나오다	나오/VV+다/EC
체포된	체포/NNG+되/XSV+ㄴ/ETM
열한	열한/MMN
살	살/NNB
소년,	소년/NNG+,/SP
매니큐어	매니큐어/NNG
제품	제품/NNG
6개를	6/SN+개/NNB+를/JKO
28세	28/SN+세/NNB
여성도	여성/NNG+도/JX
법정에	법정/NNG+에/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.148.9.7
가디언지는 “누가 폭도냐에 대한 간단한 대답은 없다”고 지적했다.

가디언지는	가디언지/NNP+는/JX
“누가	“/SS+누구/NP+가/JKS
폭도냐에	폭도/NNG+이/VCP+냐/EF+에/JKB
대한	대하/VV+ㄴ/ETM
간단한	간단하/VA+ㄴ/ETM
대답은	대답/NNG+은/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


