# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.167
metadata : {}


# id : NWRW1800000028.167.1.1
“사회적 기업가 육성이 양극화 해소 대안”

“사회적	“/SS+사회/NNG+적/XSN


# id : NWRW1800000028.167.4.4
또 금융기관들이 사회적 기업가에 대한 지금지원을 할 수 있는 방안을 모색해야 한다고 덧붙였다.

또	또/MAG
금융기관들이	금융/NNG+기관/NNG+들/XSN+이/JKS
사회적	사회/NNG+적/XSN
기업가에	기업가/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지금지원을	지금/NNG+지원/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방안을	방안/NNG+을/JKO
모색해야	모색/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.167.5.1
심 위원은 아울러 “공공정책을 가르치는 대학원 과정에 사회적 기업가 교육프로그램을 개설하고 중·고등학생들도 청년벤처 등을 통해 훈련을 받을 수 있는 환경을 조성해야 한다”며 “정부도 사회적 기업가 간 네트워크 구축에 필요한 초기자본을 지원할 필요가 있다”고 지적했다.

심	심/NNP
위원은	위원/NNG+은/JX
아울러	아울러/MAG
“공공정책을	“/SS+공공/NNG+정책/NNG+을/JKO
가르치는	가르치/VV+는/ETM
대학원	대학원/NNG
과정에	과정/NNG+에/JKB
사회적	사회/NNG+적/XSN
기업가	기업가/NNG
교육프로그램을	교육/NNG+프로그램/NNG+을/JKO
개설하고	개설/NNG+하/XSV+고/EC
중·고등학생들도	중·고등학생/NNG+들/XSN+도/JX
청년벤처	청년/NNG+벤처/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
훈련을	훈련/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
환경을	환경/NNG+을/JKO
조성해야	조성/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“정부도	“/SS+정부/NNG+도/JX
간	간/NNB
네트워크	네트워크/NNG
구축에	구축/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
초기자본을	초기/NNG+자본/NNG+을/JKO
지원할	지원/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


