# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.444
metadata : {}


# id : NWRW1800000024.444.1.1
신용도 추락, 가혹한 유예조건 감수해야 /두바이 국가부도 사태 가능성 배제 못해

신용도	신용도/NNG
‘디폴트’(default·채무불이행)와	‘/SS+디폴트/NNG+’/SS+(/SS+default/SL+·/SP+채무/NNG+불/XPN+이행/NNG+)/SS+와/JKB
개념상	개념/NNG+상/XSN
구분하기도	구분/NNG+하/XSV+기/ETN+도/JX
합니다.	하/VX+ㅂ니다/EF+./SF


# id : NWRW1800000024.444.4.1
기업이 부도를 내면 법정관리에 들어가고 채권단과 채무재조정을 하는 것처럼 국가가 모라토리엄을 선언하는 경우에도 외국의 채권금융기관들과 채무재조정을 하게 됩니다.

기업이	기업/NNG+이/JKS
부도를	부도/NNG+를/JKO
내면	내/VV+면/EC
법정관리에	법정/NNG+관리/NNG+에/JKB
들어가고	들어가/VV+고/EC
채권단과	채권단/NNG+과/JKB
채무재조정을	채무/NNG+재/XPN+조정/NNG+을/JKO
하는	하/VV+는/ETM
것처럼	것/NNB+처럼/JKB
국가가	국가/NNG+가/JKS
모라토리엄을	모라토리엄/NNG+을/JKO
선언하는	선언/NNG+하/XSV+는/ETM
경우에도	경우/NNG+에/JKB+도/JX
외국의	외국/NNG+의/JKG
채권금융기관들과	채권/NNG+금융/NNG+기관/NNG+들/XSN+과/JKB
하게	하/VV+게/EC
됩니다.	되/VV+ㅂ니다/EF+./SF


# id : NWRW1800000024.444.4.2
채무삭감과 이자감면, 채무 상환기간 연장 등을 놓고 협상을 벌입니다.

채무삭감과	채무/NNG+삭감/NNG+과/JC
이자감면,	이자/NNG+감면/NNG+,/SP
채무	채무/NNG
상환기간	상환/NNG+기간/NNG
연장	연장/NNG
등을	등/NNB+을/JKO
놓고	놓/VV+고/EC
협상을	협상/NNG+을/JKO
벌입니다.	벌이/VV+ㅂ니다/EF+./SF


# id : NWRW1800000024.444.4.3
이를 ‘리스케줄링’(rescheduling)이라고 합니다.

이를	이/NP+를/JKO
‘리스케줄링’(rescheduling)이라고	‘/SS+리스케줄링/NNG+’/SS+(/SS+rescheduling/SL+)/SS+이/VCP+라고/EC
합니다.	하/VV+ㅂ니다/EF+./SF


# id : NWRW1800000024.444.4.4
이 과정에서 자산을 매각해 빚잔치를 벌입니다.

이	이/MMD
과정에서	과정/NNG+에서/JKB
자산을	자산/NNG+을/JKO
매각해	매각/NNG+하/XSV+아/EC
빚잔치를	빚잔치/NNG+를/JKO
벌입니다.	벌이/VV+ㅂ니다/EF+./SF


# id : NWRW1800000024.444.4.5
같은 연방국가 안의 아부다비가 두바이의 채무를 일부 떠안는 것과 같은 외부의 지원을 받기도 합니다.

같은	같/VA+은/ETM
연방국가	연방/NNG+국가/NNG
안의	안/NNG+의/JKG
아부다비가	아부다비/NNP+가/JKS
두바이의	두바이/NNP+의/JKG
채무를	채무/NNG+를/JKO
일부	일부/NNG
떠안는	떠안/VV+는/ETM
것과	것/NNB+과/JKB
외부의	외부/NNG+의/JKG
지원을	지원/NNG+을/JKO
받기도	받/VV+기/ETN+도/JX
합니다.	하/VX+ㅂ니다/EF+./SF


# id : NWRW1800000024.444.5.1
빚 상환 유예로 일시적인 어려움을 넘긴다 해도 모라토리엄을 선언한 국가의 신용은 땅에 떨어져 대외거래를 하기 힘들어지는 등 곤란을 겪게 됩니다.

빚	빚/NNG
상환	상환/NNG
유예로	유예/NNG+로/JKB
일시적인	일시/NNG+적/XSN+이/VCP+ㄴ/ETM
어려움을	어려움/NNG+을/JKO
넘긴다	넘기/VV+ㄴ다/EF
해도	하/VV+아도/EC
모라토리엄을	모라토리엄/NNG+을/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
국가의	국가/NNG+의/JKG
신용은	신용/NNG+은/JX
땅에	땅/NNG+에/JKB
떨어져	떨어지/VV+어/EC
대외거래를	대외/NNG+거래/NNG+를/JKO
하기	하/VV+기/ETN
힘들어지는	힘들어지/VV+는/ETM
등	등/NNB
곤란을	곤란/NNG+을/JKO
겪게	겪/VV+게/EC
됩니다.	되/VV+ㅂ니다/EF+./SF


# id : NWRW1800000024.444.5.2
멕시코는 국제수지 적자 심화로 1982년 모라토리엄을 선언했다가 80년대 내내 침체에서 헤어나지 못했습니다.

멕시코는	멕시코/NNP+는/JX
국제수지	국제/NNG+수지/NNG
적자	적자/NNG
심화로	심화/NNG+로/JKB
1982년	1982/SN+년/NNB
모라토리엄을	모라토리엄/NNG+을/JKO
선언했다가	선언/NNG+하/XSV+았/EP+다가/EC
80년대	80/SN+년대/NNB
내내	내내/MAG
침체에서	침체/NNG+에서/JKB
헤어나지	헤어나/VV+지/EC
못했습니다.	못하/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000024.444.6.1
대외 빚 상환을 미루는 데 따르는 조건은 가혹합니다.

대외	대외/NNG
빚	빚/NNG
상환을	상환/NNG+을/JKO
미루는	미루/VV+는/ETM
데	데/NNB
따르는	따르/VV+는/ETM
조건은	조건/NNG+은/JX
가혹합니다.	가혹/NNG+하/XSA+ㅂ니다/EF+./SF


# id : NWRW1800000024.444.6.2
1997년 외환위기 때 대외채무 지급을 미루고 국제통화기금(IMF)에 구제금융 지원을 받는 대가로 강력한 기업·금융 구조조정을 벌였던 한국의 예가 대표적입니다.

1997년	1997/SN+년/NNB
외환위기	외환/NNG+위기/NNG
때	때/NNG
대외채무	대외/NNG+채무/NNG
지급을	지급/NNG+을/JKO
미루고	미루/VV+고/EC
국제통화기금(IMF)에	국제통화기금/NNP+(/SS+IMF/SL+)/SS+에/JKB
구제금융	구제/NNG+금융/NNG
지원을	지원/NNG+을/JKO
받는	받/VV+는/ETM
대가로	대가/NNG+로/JKB
강력한	강력/NNG+하/XSA+ㄴ/ETM
기업·금융	기업/NNG+·/SP+금융/NNG
구조조정을	구조/NNG+조정/NNG+을/JKO
벌였던	벌이/VV+었/EP+던/ETM
한국의	한국/NNP+의/JKG
예가	예/NNG+가/JKS
대표적입니다.	대표/NNG+적/XSN+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000024.444.7.1
모라토리엄을 선언한 국가가 온갖 수모를 겪고 어렵사리 자금을 다시 융통해 온다고 해도 곤경에서 쉬이 벗어나지 못하는 수가 많습니다.

모라토리엄을	모라토리엄/NNG+을/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
국가가	국가/NNG+가/JKS
온갖	온갖/MMN
수모를	수모/NNG+를/JKO
겪고	겪/VV+고/EC
어렵사리	어렵사리/MAG
자금을	자금/NNG+을/JKO
다시	다시/MAG
융통해	융통/NNG+하/XSV+아/EC
온다고	오/VV+ㄴ다고/EC
해도	하/VV+아도/EC
곤경에서	곤경/NNG+에서/JKB
쉬이	쉬이/MAG
벗어나지	벗어나/VV+지/EC
못하는	못하/VX+는/ETM
수가	수/NNB+가/JKS
많습니다.	많/VA+습니다/EF+./SF


# id : NWRW1800000024.444.7.2
두바이의 사정도 만만치 않은 것으로 알려지고 있습니다.

두바이의	두바이/NNP+의/JKG
사정도	사정/NNG+도/JX
만만치	만만하/VA+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
알려지고	알려지/VV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000024.444.7.3
두바이 ‘정부’가 모라토리엄 사태에 빠진 것은 아니라 해도 두바이월드의 빚이 두바이 전체 부채의 75%에 이르러, 국가부도 사태 가능성을 배제할 수 없다는 것입니다.

두바이	두바이/NNP
‘정부’가	‘/SS+정부/NNG+’/SS+가/JKS
모라토리엄	모라토리엄/NNG
사태에	사태/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
것은	것/NNB+은/JX
아니라	아니/VCN+라/EF
해도	하/VV+아도/EC
두바이월드의	두바이월드/NNP+의/JKG
빚이	빚/NNG+이/JKS
전체	전체/NNG
부채의	부채/NNG+의/JKG
75%에	75/SN+%/SW+에/JKB
이르러,	이르/VV+어/EC+,/SP
국가부도	국가/NNG+부도/NNG
사태	사태/NNG
가능성을	가능/NNG+성/XSN+을/JKO
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
것입니다.	것/NNB+이/VCP+ㅂ니다/EF+./SF


