# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.348
metadata : {}


# id : NWRW1800000045.348.1.1
靑 “미래세대 재앙” 수치 들어가며 국회 성토

靑	靑/SH
김 수석은 또 보험료율을 1%포인트만 올리면 소득대체율 50%를 맞출 수 있다는 새정치연합의 주장에 대해 “(그렇게 되면) 내년에 태어나는 아이가 45세가 되는 2060년 국민연금 기금이 고갈돼 그해부터 보험료율을 25.3%까지 올려야 한다”며 “우리의 아들딸들은 세금을 제외하고도 국민연금 보험료로만 소득의 4분의 1을 내야 한다”고 말했다.

김	김/NNP
수석은	수석/NNG+은/JX
또	또/MAG
보험료율을	보험료/NNG+율/XSN+을/JKO
1%포인트만	1/SN+%포인트/NNG+만/JX
올리면	올리/VV+면/EC
소득대체율	소득/NNG+대체/NNG+율/XSN
50%를	50/SN+%/SW+를/JKO
맞출	맞추/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
새정치연합의	새정치연합/NNP+의/JKG
주장에	주장/NNG+에/JKB
대해	대하/VV+아/EC
“(그렇게	“/SS+(/SS+그렇/VA+게/EC
되면)	되/VV+면/EC+)/SS
내년에	내년/NNG+에/JKB
태어나는	태어나/VV+는/ETM
아이가	아이/NNG+가/JKS
45세가	45/SN+세/NNB+가/JKC
되는	되/VV+는/ETM
2060년	2060/SN+년/NNB
국민연금	국민연금/NNG
기금이	기금/NNG+이/JKS
고갈돼	고갈/NNG+되/XSV+어/EC
그해부터	그해/NNG+부터/JX
25.3%까지	25/SN+./SP+3/SN+%/SW+까지/JX
올려야	올리/VV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“우리의	“/SS+우리/NP+의/JKG
아들딸들은	아들딸/NNG+들/XSN+은/JX
세금을	세금/NNG+을/JKO
제외하고도	제외/NNG+하/XSV+고/EC+도/JX
보험료로만	보험료/NNG+로/JKB+만/JX
소득의	소득/NNG+의/JKG
4분의	4/SN+분/XSN+의/JKG
1을	1/SN+을/JKO
내야	내/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.348.7.2
젊은 세대의 감성에 호소한 것이다.

젊은	젊/VA+은/ETM
세대의	세대/NNG+의/JKG
감성에	감성/NNG+에/JKB
호소한	호소/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.348.8.1
김 수석은 “소득이 적어 보험료를 납부하지 못하는 저소득층과 형편이 어려워 보험료를 장기 체납한 분들이 (국민연금) 2000만 가입자 중 500만 명이 넘는다”며 연금 사각지대 해소 방안을 먼저 논의해야 한다고도 주장했다.

김	김/NNP
수석은	수석/NNG+은/JX
“소득이	“/SS+소득/NNG+이/JKS
적어	적/VA+어/EC
보험료를	보험료/NNG+를/JKO
납부하지	납부/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
저소득층과	저/XPN+소득/NNG+층/XSN+과/JC
형편이	형편/NNG+이/JKS
어려워	어렵/VA+어/EC
장기	장기/NNG
체납한	체납/NNG+하/XSV+ㄴ/ETM
분들이	분/NNB+들/XSN+이/JKS
(국민연금)	(/SS+국민연금/NNG+)/SS
2000만	2000/SN+만/NR
가입자	가입자/NNG
중	중/NNB
500만	500/SN+만/NR
명이	명/NNB+이/JKS
넘는다”며	넘/VV+는다/EF+”/SS+며/EC
연금	연금/NNG
사각지대	사각지대/NNG
해소	해소/NNG
방안을	방안/NNG+을/JKO
먼저	먼저/MAG
논의해야	논의/NNG+하/XSV+아야/EC
한다고도	하/VX+ㄴ다고/EC+도/JX
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.348.9.1
김 수석은 이어 “서비스 관련 규제를 완화하면 35만 개의 일자리가 창출된다”며 “이런 법안들 대신 청년 일자리를 창출할 수 있는 대안이 있는지 진지하게 고민해야 할 것”이라고 했다.

김	김/NNP
수석은	수석/NNG+은/JX
이어	이어/MAG
“서비스	“/SS+서비스/NNG
관련	관련/NNG
규제를	규제/NNG+를/JKO
완화하면	완화/NNG+하/XSV+면/EC
35만	35/SN+만/NR
개의	개/NNB+의/JKG
일자리가	일자리/NNG+가/JKS
창출된다”며	창출/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
“이런	“/SS+이런/MMD
법안들	법안/NNG+들/XSN
대신	대신/NNG
청년	청년/NNG
일자리를	일자리/NNG+를/JKO
창출할	창출/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
대안이	대안/NNG+이/JKS
있는지	있/VA+는지/EF
진지하게	진지하/VA+게/EC
고민해야	고민/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.348.9.2
정치권이 아무런 대안도 없이 일자리 창출을 가로막고 있다는 성토였다.

정치권이	정치/NNG+권/XSN+이/JKS
아무런	아무런/MMD
대안도	대안/NNG+도/JX
없이	없이/MAG
일자리	일자리/NNG
창출을	창출/NNG+을/JKO
가로막고	가로막/VV+고/EC
있다는	있/VX+다는/ETM
성토였다.	성토/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.348.10.1
5월 임시국회 개회를 앞두고 청와대가 여야 정치권을 정조준하자 새정치연합은 즉각 반발했다.

5월	5/SN+월/NNB
임시국회	임시/NNG+국회/NNG
개회를	개회/NNG+를/JKO
앞두고	앞두/VV+고/EC
청와대가	청와대/NNP+가/JKS
여야	여야/NNG
정치권을	정치/NNG+권/XSN+을/JKO
정조준하자	정조준/NNG+하/XSV+자/EC
새정치연합은	새정치연합/NNP+은/JX
즉각	즉각/MAG
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.348.10.2
김영록 수석대변인은 “사회적 대타협기구를 통한 여야 합의를 헌신짝처럼 저버리고 국민과의 약속을 무참히 깬 것은 다름 아닌 청와대”라며 “(청와대가) 끊임없이 국회에 지침을 내리는 것은 삼권분립 의미를 훼손하는 ‘월권’”이라고 비판했다.

김영록	김영록/NNP
수석대변인은	수석/NNG+대변인/NNG+은/JX
“사회적	“/SS+사회/NNG+적/XSN
대타협기구를	대/XPN+타협/NNG+기구/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
여야	여야/NNG
합의를	합의/NNG+를/JKO
헌신짝처럼	헌신짝/NNG+처럼/JKB
저버리고	저버리/VV+고/EC
국민과의	국민/NNG+과/JKB+의/JKG
약속을	약속/NNG+을/JKO
무참히	무참히/MAG
깬	깨/VV+ㄴ/ETM
것은	것/NNB+은/JX
다름	다르/VA+ㅁ/ETN
아닌	아니/VCN+ㄴ/ETM
청와대”라며	청와대/NNP+”/SS+이/VCP+라며/EC
“(청와대가)	“/SS+(/SS+청와대/NNP+가/JKS+)/SS
끊임없이	끊임없이/MAG
국회에	국회/NNG+에/JKB
지침을	지침/NNG+을/JKO
내리는	내리/VV+는/ETM
삼권분립	삼권/NNG+분립/NNG
의미를	의미/NNG+를/JKO
훼손하는	훼손/NNG+하/XSV+는/ETM
‘월권’”이라고	‘/SS+월권/NNG+’/SS+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.348.11.1
새누리당은 청와대 브리핑에 공식 의견을 내진 않았지만 내부적으로 우려의 목소리가 나오고 있다.

새누리당은	새누리당/NNP+은/JX
청와대	청와대/NNP
브리핑에	브리핑/NNG+에/JKB
공식	공식/NNG
의견을	의견/NNG+을/JKO
내진	내/VV+지/EC+ㄴ/JX
않았지만	않/VX+았/EP+지만/EC
내부적으로	내부/NNG+적/XSN+으로/JKB
우려의	우려/NNG+의/JKG
목소리가	목소리/NNG+가/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.348.11.2
여야 원내대표 회동 당일 청와대가 굳이 야당을 자극할 필요가 있느냐는 것이다.

여야	여야/NNG
원내대표	원내/NNG+대표/NNG
회동	회동/NNG
당일	당일/NNG
청와대가	청와대/NNP+가/JKS
굳이	굳이/MAG
야당을	야당/NNG+을/JKO
자극할	자극/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있느냐는	있/VA+느냐는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.348.11.3
더욱이 ‘선 공무원연금 개혁, 후 국민연금 논의’라는 가이드라인을 제시하면서 여야 협상이 더욱 꼬일 수 있다는 지적도 나온다.

더욱이	더욱이/MAG
‘선	‘/SS+선/NNG
공무원연금	공무원/NNG+연금/NNG
개혁,	개혁/NNG+,/SP
후	후/NNG
국민연금	국민연금/NNG
논의’라는	논의/NNG+’/SS+이/VCP+라는/ETM
가이드라인을	가이드라인/NNG+을/JKO
제시하면서	제시/NNG+하/XSV+면서/EC
여야	여야/NNG
협상이	협상/NNG+이/JKS
더욱	더욱/MAG
꼬일	꼬이/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


