# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.112
metadata : {}


# id : NWRW1800000038.112.1.1
터키 축구스타 만시즈, 피겨로 올림픽 도전

터키	터키/NNP
만시즈는 2007년 터키의 한 TV쇼에 출연하면서 처음 피겨스케이트를 신었다.

만시즈는	만시즈/NNP+는/JX
2007년	2007/SN+년/NNB
터키의	터키/NNP+의/JKG
한	한/MMN
TV쇼에	TV/SL+쇼/NNG+에/JKB
출연하면서	출연/NNG+하/XSV+면서/EC
처음	처음/NNG
피겨스케이트를	피겨/NNG+스케이트/NNG+를/JKO
신었다.	신/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.112.5.2
각계 스타들이 피겨 선수와 아이스댄싱 경연을 하는 프로그램이었다.

각계	각계/NNG
스타들이	스타/NNG+들/XSN+이/JKS
피겨	피겨/NNG
선수와	선수/NNG+와/JKB
아이스댄싱	아이스댄싱/NNG
경연을	경연/NNG+을/JKO
하는	하/VV+는/ETM
프로그램이었다.	프로그램/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.112.5.3
만시즈는 베스탄디고바와 짝을 이뤘다.

만시즈는	만시즈/NNP+는/JX
베스탄디고바와	베스탄디고바/NNP+와/JKB
짝을	짝/NNG+을/JKO
이뤘다.	이루/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.112.5.4
둘은 함께 연습을 하면서 사랑이 싹텄고, 우승까지 차지했다.

둘은	둘/NR+은/JX
함께	함께/MAG
연습을	연습/NNG+을/JKO
하면서	하/VV+면서/EC
사랑이	사랑/NNG+이/JKS
싹텄고,	싹트/VV+었/EP+고/EC+,/SP
우승까지	우승/NNG+까지/JX
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.112.5.5
만시즈는 베스탄디고바와 본격적인 선수 생활을 하기로 마음먹었다.

만시즈는	만시즈/NNP+는/JX
베스탄디고바와	베스탄디고바/NNP+와/JKB
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
선수	선수/NNG
생활을	생활/NNG+을/JKO
하기로	하/VV+기/ETN+로/JKB
마음먹었다.	마음먹/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.112.5.6
작년부터는 소치 동계올림픽을 겨냥해 하루 6~8시간씩 땀 흘리고 있다.

작년부터는	작년/NNG+부터/JX+는/JX
소치	소치/NNP
동계올림픽을	동계/NNG+올림픽/NNG+을/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
하루	하루/NNG
6~8시간씩	6/SN+~/SO+8/SN+시간/NNB+씩/XSN
땀	땀/NNG
흘리고	흘리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.112.6.1
경력이 짧은 만시즈의 실력은 더블 점프를 구사하는 정도.

경력이	경력/NNG+이/JKS
짧은	짧/VA+은/ETM
만시즈의	만시즈/NNP+의/JKG
실력은	실력/NNG+은/JX
더블	더블/NNG
점프를	점프/NNG+를/JKO
구사하는	구사/NNG+하/XSV+는/ETM
정도.	정도/NNG+./SF


# id : NWRW1800000038.112.6.2
하지만 그가 2007년 독일 뮌헨에서 횡단보도를 건너다 자동차에 치여 왼쪽 무릎을 심하게 다쳤다는 점을 고려하면 놀라운 수준이다.

하지만	하지만/MAJ
그가	그/NP+가/JKS
2007년	2007/SN+년/NNB
독일	독일/NNP
뮌헨에서	뮌헨/NNP+에서/JKB
횡단보도를	횡단보도/NNG+를/JKO
건너다	건너/VV+다/EC
자동차에	자동차/NNG+에/JKB
치여	치이/VV+어/EC
왼쪽	왼쪽/NNG
무릎을	무릎/NNG+을/JKO
심하게	심하/VA+게/EC
다쳤다는	다치/VV+었/EP+다는/ETM
점을	점/NNG+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
놀라운	놀랍/VA+ㄴ/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.112.6.3
요가와 발레로 유연성을 키웠다는 만시즈는 "나이가 아무리 많더라도 열심히 노력하면 꿈에 가까이 갈 수 있다는 걸 보여주고 싶다"고 말했다.

요가와	요가/NNG+와/JC
발레로	발레/NNG+로/JKB
유연성을	유연성/NNG+을/JKO
키웠다는	키우/VV+었/EP+다는/ETM
만시즈는	만시즈/NNP+는/JX
"나이가	"/SS+나이/NNG+가/JKS
아무리	아무리/MAG
많더라도	많/VA+더라도/EC
열심히	열심히/MAG
노력하면	노력/NNG+하/XSV+면/EC
꿈에	꿈/NNG+에/JKB
가까이	가까이/MAG
갈	가/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
걸	거/NNB+ㄹ/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


