# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.52
metadata : {}


# id : NWRW1800000037.52.1.1
유엔, 남수단에 6000명 추가 파병… 국제사회 본격 개입

유엔,	유엔/NNP+,/SP
추가	추가/NNG
파병할	파병/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
서한을	서한/NNG+을/JKO
안보리에	안보리/NNG+에/JKB
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.52.4.3
반 총장은 “전 세계가 남수단을 주목하는 만큼 평화유지군과 민간인에 대한 공격을 즉각 중단하라”고 촉구했다.

반	반/NNP
총장은	총장/NNG+은/JX
“전	“/SS+전/MMN
세계가	세계/NNG+가/JKS
남수단을	남수단/NNP+을/JKO
주목하는	주목/NNG+하/XSV+는/ETM
만큼	만큼/NNB
평화유지군과	평화유지군/NNP+과/JC
민간인에	민간인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공격을	공격/NNG+을/JKO
즉각	즉각/MAG
중단하라”고	중단/NNG+하/XSV+라/EF+”/SS+고/JKQ
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.52.5.1
안보리는 서한을 받자마자 긴급회의를 개최했다.

안보리는	안보리/NNG+는/JX
서한을	서한/NNG+을/JKO
받자마자	받/VV+자마자/EC
긴급회의를	긴급회의/NNG+를/JKO
개최했다.	개최/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.52.5.2
안보리 이사국들은 추가 파병에는 시간이 걸리는 만큼 남수단 인근 국가인 콩고민주공화국과 수단 등에 배치되어 있는 평화유지군 가운데 일부 병력을 긴급 배치하는 방안을 검토하고 있다.

안보리	안보리/NNG
이사국들은	이사국/NNG+들/XSN+은/JX
추가	추가/NNG
파병에는	파병/NNG+에/JKB+는/JX
시간이	시간/NNG+이/JKS
걸리는	걸리/VV+는/ETM
만큼	만큼/NNB
남수단	남수단/NNP
인근	인근/NNG
국가인	국가/NNG+이/VCP+ㄴ/ETM
콩고민주공화국과	콩고민주공화국/NNP+과/JC
수단	수단/NNP
등에	등/NNB+에/JKB
배치되어	배치/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
평화유지군	평화유지군/NNP
가운데	가운데/NNG
일부	일부/NNG
병력을	병력/NNG+을/JKO
긴급	긴급/NNG
배치하는	배치/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.52.5.3
유엔 고위관계자는 “남수단 상황이 워낙 급박해 회원국 의회의 인준을 기다릴 상황이 아니다”라고 말했다.

유엔	유엔/NNP
고위관계자는	고위/NNG+관계자/NNG+는/JX
“남수단	“/SS+남수단/NNP
상황이	상황/NNG+이/JKC
워낙	워낙/MAG
급박해	급박/NNG+하/XSA+아/EC
회원국	회원국/NNG
의회의	의회/NNG+의/JKG
인준을	인준/NNG+을/JKO
기다릴	기다리/VV+ㄹ/ETM
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.52.6.1
남수단에는 현재 민간인 약 2000명을 포함해 한국의 한빛부대 280여 명 등 7000명의 평화유지군과 경찰 900명이 활동 중이다.

남수단에는	남수단/NNP+에/JKB+는/JX
현재	현재/MAG
민간인	민간인/NNG
약	약/MMA
2000명을	2000/SN+명/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
한국의	한국/NNP+의/JKG
한빛부대	한빛부대/NNP
280여	280/SN+여/XSN
명	명/NNB
등	등/NNB
7000명의	7000/SN+명/NNB+의/JKG
평화유지군과	평화유지군/NNP+과/JC
경찰	경찰/NNG
900명이	900/SN+명/NNB+이/JKS
활동	활동/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.52.6.2
안보리의 추가 파병안이 승인되면 평화유지군은 1만2500명, 경찰은 1300여 명으로 늘어난다.

안보리의	안보리/NNG+의/JKG
추가	추가/NNG
파병안이	파병안/NNG+이/JKS
승인되면	승인/NNG+되/XSV+면/EC
평화유지군은	평화유지군/NNP+은/JX
1만2500명,	1/SN+만/NR+2500/SN+명/NNB+,/SP
경찰은	경찰/NNG+은/JX
1300여	1300/SN+여/XSN
명으로	명/NNB+으로/JKB
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.52.6.3
평화유지군은 반군이 장악한 주요 유전지대인 유니티 주의 파리앙과 종글레이 주의 주도 보르 등에 투입될 것으로 보인다.

평화유지군은	평화유지군/NNP+은/JX
반군이	반군/NNG+이/JKS
장악한	장악/NNG+하/XSV+ㄴ/ETM
주요	주요/NNG
유전지대인	유전/NNG+지대/NNG+이/VCP+ㄴ/ETM
유니티	유니티/NNP
주의	주/NNG+의/JKG
파리앙과	파리앙/NNP+과/JC
종글레이	종글레이/NNP
주도	주도/NNG
보르	보르/NNP
등에	등/NNB+에/JKB
투입될	투입/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.52.7.1
미국은 23일 스페인에 주둔하던 해병대와 군용기를 추가로 아프리카 북동부에 배치했다고 밝혔다.

미국은	미국/NNP+은/JX
23일	23/SN+일/NNB
스페인에	스페인/NNP+에/JKB
주둔하던	주둔/NNG+하/XSV+던/ETM
해병대와	해병대/NNG+와/JC
군용기를	군용기/NNG+를/JKO
추가로	추가/NNG+로/JKB
아프리카	아프리카/NNP
북동부에	북동부/NNG+에/JKB
배치했다고	배치/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.52.7.2
미 국방부는 “미국민의 안전을 위해 언제라도 대비할 수 있게 병력을 일부 재배치했다”며 “남수단 국경 안팎에 배치되는 군사력은 해병대 150명과 수직 이착륙 수송기 오스프리, C-130 수송기 등 군용기 10대로 늘어난다”고 소개했다.

미	미/NNP
국방부는	국방부/NNG+는/JX
“미국민의	“/SS+미/NNP+국민/NNG+의/JKG
안전을	안전/NNG+을/JKO
위해	위하/VV+아/EC
언제라도	언제/NP+이/VCP+라도/EC
대비할	대비/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
병력을	병력/NNG+을/JKO
일부	일부/NNG
재배치했다”며	재/XPN+배치/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“남수단	“/SS+남수단/NNP
국경	국경/NNG
안팎에	안팎/NNG+에/JKB
배치되는	배치/NNG+되/XSV+는/ETM
군사력은	군사력/NNG+은/JX
해병대	해병대/NNG
150명과	150/SN+명/NNB+과/JC
수직	수직/NNG
이착륙	이착륙/NNG
수송기	수송기/NNG
오스프리,	오스프리/NNP+,/SP
C-130	C/SL+-/SO+130/SN
등	등/NNB
군용기	군용기/NNG
10대로	10/SN+대/NNB+로/JKB
늘어난다”고	늘어나/VV+ㄴ다/EF+”/SS+고/JKQ
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.52.7.3
이 병력 중 45명은 남수단 내에서 공관 보호 등의 임무를 수행하고 있으며, 나머지는 아프리카 북동부에 있는 지부티의 미군 기지에서 대기할 계획이다.

이	이/MMD
병력	병력/NNG
중	중/NNB
45명은	45/SN+명/NNB+은/JX
남수단	남수단/NNP
내에서	내/NNB+에서/JKB
공관	공관/NNG
보호	보호/NNG
등의	등/NNB+의/JKG
임무를	임무/NNG+를/JKO
수행하고	수행/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
나머지는	나머지/NNG+는/JX
아프리카	아프리카/NNP
북동부에	북동부/NNG+에/JKB
있는	있/VA+는/ETM
지부티의	지부티/NNP+의/JKG
미군	미군/NNG
기지에서	기지/NNG+에서/JKB
대기할	대기/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.52.8.1
영국 정부도 자국민 철수를 지원할 항공기를 현지에 보냈고, 남수단의 이웃 국가인 케냐 에티오피아 우간다 지부티 나이지리아 등에 특사를 파견했다.

영국	영국/NNP
정부도	정부/NNG+도/JX
자국민	자국민/NNG
철수를	철수/NNG+를/JKO
지원할	지원/NNG+하/XSV+ㄹ/ETM
항공기를	항공기/NNG+를/JKO
현지에	현지/NNG+에/JKB
보냈고,	보내/VV+었/EP+고/EC+,/SP
남수단의	남수단/NNP+의/JKG
이웃	이웃/NNG
국가인	국가/NNG+이/VCP+ㄴ/ETM
케냐	케냐/NNP
에티오피아	에티오피아/NNP
우간다	우간다/NNP
지부티	지부티/NNP
나이지리아	나이지리아/NNP
등에	등/NNB+에/JKB
특사를	특사/NNG+를/JKO
파견했다.	파견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.52.8.2
유엔 고위당국자에 따르면 남수단엔 현재 미국 영국 캐나다 케냐 등 약 3000명의 외국인이 있으며, 유엔기지로 피신한 난민도 4만5000여 명에 이른다.

유엔	유엔/NNP
고위당국자에	고위/NNG+당국자/NNG+에/JKB
따르면	따르/VV+면/EC
남수단엔	남수단/NNP+에/JKB+ㄴ/JX
현재	현재/MAG
미국	미국/NNP
영국	영국/NNP
캐나다	캐나다/NNP
케냐	케냐/NNP
등	등/NNB
약	약/MMA
3000명의	3000/SN+명/NNB+의/JKG
외국인이	외국인/NNG+이/JKS
있으며,	있/VA+으며/EC+,/SP
유엔기지로	유엔/NNP+기지/NNG+로/JKB
피신한	피신/NNG+하/XSV+ㄴ/ETM
난민도	난민/NNG+도/JX
4만5000여	4/SN+만/NR+5000/SN+여/XSN
명에	명/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.52.9.1
한편 남수단 정부군은 반군 세력이 장악한 보르 지역을 재탈환하기 위한 대규모 군사 작전을 준비하면서 이 일대의 긴장감이 고조되고 있다.

한편	한편/MAG
남수단	남수단/NNP
정부군은	정부군/NNG+은/JX
반군	반군/NNG
세력이	세력/NNG+이/JKS
장악한	장악/NNG+하/XSV+ㄴ/ETM
보르	보르/NNP
지역을	지역/NNG+을/JKO
재탈환하기	재/XPN+탈환/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
대규모	대/XPN+규모/NNG
군사	군사/NNG
작전을	작전/NNG+을/JKO
준비하면서	준비/NNG+하/XSV+면서/EC
이	이/MMD
일대의	일대/NNG+의/JKG
긴장감이	긴장감/NNG+이/JKS
고조되고	고조/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.52.9.2
반군을 이끌고 있는 리에크 마차르 전 부통령은 구금된 자신의 정치적 동지들을 풀어준다면 교전을 끝내기 위한 협상에 들어갈 수 있다는 입장을 밝혔다.

반군을	반군/NNG+을/JKO
이끌고	이끌/VV+고/EC
있는	있/VX+는/ETM
리에크	리에크/NNP
마차르	마차르/NNP
전	전/MMD
부통령은	부통령/NNG+은/JX
구금된	구금/NNG+되/XSV+ㄴ/ETM
자신의	자신/NNG+의/JKG
정치적	정치/NNG+적/XSN
동지들을	동지/NNG+들/XSN+을/JKO
풀어준다면	풀/VV+어/EC+주/VX+ㄴ다면/EC
교전을	교전/NNG+을/JKO
끝내기	끝내/VV+기/ETN
위한	위하/VV+ㄴ/ETM
협상에	협상/NNG+에/JKB
들어갈	들어가/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.52.9.3
그러나 정부 측은 ‘조건 없는 대화’를 요구하고 있어 사태 해결은 여전히 어려운 상태다.

그러나	그러나/MAJ
정부	정부/NNG
측은	측/NNB+은/JX
‘조건	‘/SS+조건/NNG
없는	없/VA+는/ETM
대화’를	대화/NNG+’/SS+를/JKO
요구하고	요구/NNG+하/XSV+고/EC
있어	있/VX+어/EC
사태	사태/NNG
해결은	해결/NNG+은/JX
여전히	여전히/MAG
어려운	어렵/VA+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


