# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.385
metadata : {}


# id : NWRW1800000029.385.1.1
[美, 한미 FTA 비준 완료]정동영 “新 을사늑약… 김종훈은 이완용”

[美,	[/SS+美/SH+,/SP
의회보다	의회/NNG+보다/JKB
(처리에)	(/SS+처리/NNG+에/JKB+)/SS
많은	많/VA+은/ETM
시간이	시간/NNG+이/JKS
필요하다”라고	필요/NNG+하/XSA+다/EF+”/SS+라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.385.6.1
민주당은 정부 여당의 일방통행식 한미 FTA 비준동의안 처리를 수용할 수 없다는 태도다.

민주당은	민주당/NNP+은/JX
정부	정부/NNG
여당의	여당/NNG+의/JKG
일방통행식	일방통행식/NNG
한미	한미/NNP
FTA	FTA/SL
비준동의안	비준/NNG+동의안/NNG
처리를	처리/NNG+를/JKO
수용할	수용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
태도다.	태도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.385.6.2
이용섭 대변인은 이날 “미 의회가 자국 경제에 도움이 된다며 FTA 이행법안을 통과시켰는데 이는 뒤집어 말하면 이익의 균형이 깨졌다는 말”이라면서 “‘우리가 미국보다도 넓은 경제영토를 가지게 됐다’는 이명박 대통령의 발언은 세월 좋은 이야기”라고 비판했다.

이용섭	이용섭/NNP
대변인은	대변인/NNG+은/JX
이날	이날/NNG
“미	“/SS+미/NNP
의회가	의회/NNG+가/JKS
자국	자국/NNG
경제에	경제/NNG+에/JKB
도움이	도움/NNG+이/JKC
된다며	되/VV+ㄴ다며/EC
FTA	FTA/SL
이행법안을	이행/NNG+법안/NNG+을/JKO
통과시켰는데	통과/NNG+시키/XSV+었/EP+는데/EC
이는	이/NP+는/JX
뒤집어	뒤집/VV+어/EC
말하면	말/NNG+하/XSV+면/EC
이익의	이익/NNG+의/JKG
균형이	균형/NNG+이/JKS
깨졌다는	깨지/VV+었/EP+다는/ETM
말”이라면서	말/NNG+”/SS+이/VCP+라면서/EC
“‘우리가	“/SS+‘/SS+우리/NP+가/JKS
미국보다도	미국/NNP+보다/JKB+도/JX
넓은	넓/VA+은/ETM
경제영토를	경제/NNG+영토/NNG+를/JKO
가지게	가지/VV+게/EC
됐다’는	되/VV+었/EP+다/EF+’/SS+는/ETM
이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
발언은	발언/NNG+은/JX
세월	세월/NNG
좋은	좋/VA+은/ETM
이야기”라고	이야기/NNG+”/SS+라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.385.7.1
외교통상통일위원회에 긴급 투입된 정동영 의원은 “한미 FTA는 ‘낯선 식민지’이고, 국회가 이를 비준하는 것은 을사늑약을 추인하는 것과 같다는 말이 있는데 이것이 많은 국민의 생각이고 내 생각”이라면서 김종훈 통상교섭본부장을 향해 “미국과 한통속이다.

외교통상통일위원회에	외교/NNG+통상/NNG+통일/NNG+위원회/NNG+에/JKB
긴급	긴급/NNG
투입된	투입/NNG+되/XSV+ㄴ/ETM
정동영	정동영/NNP
의원은	의원/NNG+은/JX
“한미	“/SS+한미/NNP
FTA는	FTA/SL+는/JX
‘낯선	‘/SS+낯설/VA+ㄴ/ETM
식민지’이고,	식민지/NNG+’/SS+이/VCP+고/EC+,/SP
국회가	국회/NNG+가/JKS
이를	이/NP+를/JKO
비준하는	비준/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
을사늑약을	을사늑약/NNG+을/JKO
추인하는	추인/NNG+하/XSV+는/ETM
것과	것/NNB+과/JKB
같다는	같/VA+다는/ETM
말이	말/NNG+이/JKS
있는데	있/VA+는데/EC
이것이	이것/NP+이/JKS
많은	많/VA+은/ETM
국민의	국민/NNG+의/JKG
생각이고	생각/NNG+이/VCP+고/EC
내	나/NP+의/JKG
생각”이라면서	생각/NNG+”/SS+이/VCP+라면서/EC
김종훈	김종훈/NNP
통상교섭본부장을	통상/NNG+교섭/NNG+본부장/NNG+을/JKO
향해	향하/VV+아/EC
“미국과	“/SS+미국/NNP+과/JKB
한통속이다.	한통속/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.385.7.2
옷만 입은 이완용인지 모르겠다”라고 맹비난했다.

옷만	옷/NNG+만/JX
입은	입/VV+은/ETM
이완용인지	이완용/NNP+이/VCP+ㄴ지/EC
모르겠다”라고	모르/VV+겠/EP+다/EF+”/SS+라고/JKQ
맹비난했다.	맹비난/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.385.7.3
김 본부장은 “말씀이 지나치다”라고 항의했다.

김	김/NNP
본부장은	본부장/NNG+은/JX
“말씀이	“/SS+말씀/NNG+이/JKS
지나치다”라고	지나치/VA+다/EF+”/SS+라고/JKQ
항의했다.	항의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.385.8.1
하지만 민주당 내에선 미국 의회가 한미 FTA 비준안을 이미 처리한 만큼 기존 당론이었던 ‘10+2’는 현실적으로 어렵다고 판단하는 기류가 적지 않다.

하지만	하지만/MAJ
민주당	민주당/NNP
내에선	내/NNB+에서/JKB+ㄴ/JX
미국	미국/NNP
의회가	의회/NNG+가/JKS
한미	한미/NNP
FTA	FTA/SL
비준안을	비준안/NNG+을/JKO
이미	이미/MAG
처리한	처리/NNG+하/XSV+ㄴ/ETM
만큼	만큼/NNB
기존	기존/NNG
당론이었던	당론/NNG+이/VCP+었/EP+던/ETM
‘10+2’는	‘/SS+10/SN++/SW+2/SN+’/SS+는/JX
현실적으로	현실/NNG+적/XSN+으로/JKB
어렵다고	어렵/VA+다고/EC
판단하는	판단/NNG+하/XSV+는/ETM
기류가	기류/NNG+가/JKS
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000029.385.9.1
따라서 한미 FTA 발효로 큰 피해가 예상되는 농축산업의 피해 보전을 위한 정부 예산을 대폭 늘리면 FTA 처리에 동의해 줄 수 있다는 의견이 확산되고 있다.

따라서	따라서/MAJ
한미	한미/NNP
FTA	FTA/SL
발효로	발효/NNG+로/JKB
큰	크/VA+ㄴ/ETM
피해가	피해/NNG+가/JKS
예상되는	예상/NNG+되/XSV+는/ETM
농축산업의	농축산업/NNG+의/JKG
피해	피해/NNG
보전을	보전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정부	정부/NNG
예산을	예산/NNG+을/JKO
대폭	대폭/MAG
늘리면	늘리/VV+면/EC
처리에	처리/NNG+에/JKB
동의해	동의/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
의견이	의견/NNG+이/JKS
확산되고	확산/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.385.9.2
국회 농림수산식품위원장인 최인기 의원은 동아일보와의 통화에서 “정부가 농축산업 피해 보전을 위한 예산을 최소 9000억 원에서 3조 원까지 마련해야 한다”라고 말했다.

국회	국회/NNG
농림수산식품위원장인	농림/NNG+수산/NNG+식품/NNG+위원장/NNG+이/VCP+ㄴ/ETM
최인기	최인기/NNP
의원은	의원/NNG+은/JX
동아일보와의	동아일보/NNP+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“정부가	“/SS+정부/NNG+가/JKS
농축산업	농축산업/NNG
피해	피해/NNG
보전을	보전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
예산을	예산/NNG+을/JKO
최소	최소/NNG
9000억	9000/SN+억/NR
원에서	원/NNB+에서/JKB
3조	3/SN+조/NR
원까지	원/NNB+까지/JX
마련해야	마련/NNG+하/XSV+아야/EC
한다”라고	하/VX+ㄴ다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.385.10.1
한편 여야는 한미 FTA 비준안 처리 시점과 방식이 10·26 서울시장 보궐선거에 영향을 미칠 수 있다고 보고 있다.

한편	한편/MAG
여야는	여야/NNG+는/JX
한미	한미/NNP
FTA	FTA/SL
비준안	비준안/NNG
처리	처리/NNG
시점과	시점/NNG+과/JC
방식이	방식/NNG+이/JKS
10·26	10/SN+·/SP+26/SN
서울시장	서울시장/NNG
보궐선거에	보궐/NNG+선거/NNG+에/JKB
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.385.10.2
여론조사기관인 리얼미터가 지난해 12월 전국 19세 이상 남녀 700명을 대상으로 실시한 전화 여론조사 결과 서울지역 응답자의 52.1%가 한미 FTA에 찬성해 가장 높았다.

여론조사기관인	여론/NNG+조사/NNG+기관/NNG+이/VCP+ㄴ/ETM
리얼미터가	리얼미터/NNP+가/JKS
지난해	지난해/NNG
12월	12/SN+월/NNB
전국	전국/NNG
19세	19/SN+세/NNB
이상	이상/NNG
남녀	남녀/NNG
700명을	700/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
실시한	실시/NNG+하/XSV+ㄴ/ETM
전화	전화/NNG
여론조사	여론/NNG+조사/NNG
결과	결과/NNG
서울지역	서울지역/NNP
응답자의	응답자/NNG+의/JKG
52.1%가	52/SN+./SP+1/SN+%/SW+가/JKS
한미	한미/NNP
FTA에	FTA/SL+에/JKB
찬성해	찬성/NNG+하/XSV+아/EC
가장	가장/MAG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.385.11.1
한나라당은 한미 FTA 이슈가 서울시장 보선에 호재가 되길 기대하는 분위기다.

한나라당은	한나라당/NNP+은/JX
한미	한미/NNP
FTA	FTA/SL
이슈가	이슈/NNG+가/JKS
서울시장	서울시장/NNG
보선에	보선/NNG+에/JKB
호재가	호재/NNG+가/JKS
되길	되/VV+기/ETN+ㄹ/JKO
기대하는	기대/NNG+하/XSV+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.385.11.2
한 핵심 관계자는 “서울은 한미 FTA 찬성 의견이 높은 지역인 만큼 무소속 박원순 후보와 민주당 입장이 곤란해질 것”이라고 말했다.

한	한/MMN
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
“서울은	“/SS+서울/NNP+은/JX
한미	한미/NNP
FTA	FTA/SL
찬성	찬성/NNG
의견이	의견/NNG+이/JKS
높은	높/VA+은/ETM
지역인	지역/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
무소속	무/XPN+소속/NNG
박원순	박원순/NNP
후보와	후보/NNG+와/JC
민주당	민주당/NNP
입장이	입장/NNG+이/JKS
곤란해질	곤란/NNG+하/XSA+아/EC+지/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.385.11.3
다만 비준안을 강행 처리하면 역풍이 불 것이라는 지적도 나온다.

다만	다만/MAG
비준안을	비준안/NNG+을/JKO
강행	강행/NNG
처리하면	처리/NNG+하/XSV+면/EC
역풍이	역풍/NNG+이/JKS
불	불/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.385.11.4
민주당도 이를 감안해 정부 여당과 적극 협상에 나선다는 전략을 갖고 있다.

민주당도	민주당/NNP+도/JX
이를	이/NP+를/JKO
감안해	감안/NNG+하/XSV+아/EC
정부	정부/NNG
여당과	여당/NNG+과/JC
적극	적극/NNG
협상에	협상/NNG+에/JKB
나선다는	나서/VV+ㄴ다는/ETM
전략을	전략/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.385.11.5
국회 외통위 민주당 간사인 김동철 의원이 이날 동아일보 기자와 만나 정부 여당의 강행 처리를 경고하면서도 “우리가 한미 FTA에 다 반대하는 것은 아니다”라고 말한 것은 이런 기류와 무관치 않다.

국회	국회/NNG
외통위	외통위/NNG
민주당	민주당/NNP
간사인	간사/NNG+이/VCP+ㄴ/ETM
김동철	김동철/NNP
의원이	의원/NNG+이/JKS
이날	이날/NNG
동아일보	동아일보/NNP
기자와	기자/NNG+와/JKB
만나	만나/VV+아/EC
정부	정부/NNG
여당의	여당/NNG+의/JKG
강행	강행/NNG
처리를	처리/NNG+를/JKO
경고하면서도	경고/NNG+하/XSV+면서/EC+도/JX
“우리가	“/SS+우리/NP+가/JKS
한미	한미/NNP
FTA에	FTA/SL+에/JKB
다	다/MAG
반대하는	반대/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
이런	이런/MMD
기류와	기류/NNG+와/JKB
무관치	무관하/VA+지/EC
않다.	않/VX+다/EF+./SF


