# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.253
metadata : {}


# id : NWRW1800000048.253.1.1
‘아동학대’ 신고 외면하는 의사들…아이들이 죽어간다

‘아동학대’	‘/SS+아동/NNG+학대/NNG+’/SS
많다.	많/VA+다/EF+./SF
이들은	이/NP+들/XSN+은/JX
평판이	평판/NNG+이/JKS
중요하고,	중요/NNG+하/XSA+고/EC+,/SP
신고	신고/NNG
병원이라고	병원/NNG+이/VCP+라고/EC
낙인찍힐	낙인찍히/VV+ㄹ/ETM
수도	수/NNB+도/JX
있어	있/VA+어/EC
적극적으로	적극/NNG+적/XSN+으로/JKB
신고하기	신고/NNG+하/XSV+기/ETN
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.253.11.1
의사 포함 신고 의무자가 전체 신고자에서 차지하는 비율도 우리나라는 34.1%로 미국(61.6%)의 절반 수준에 불과하다.

의사	의사/NNG
포함	포함/NNG
신고	신고/NNG
의무자가	의무자/NNG+가/JKS
전체	전체/NNG
신고자에서	신고자/NNG+에서/JKB
차지하는	차지/NNG+하/XSV+는/ETM
비율도	비율/NNG+도/JX
우리나라는	우리나라/NNG+는/JX
34.1%로	34/SN+./SP+1/SN+%/SW+로/JKB
미국(61.6%)의	미국/NNP+(/SS+61/SN+./SP+6/SN+%/SW+)/SS+의/JKG
절반	절반/NNG
수준에	수준/NNG+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000048.253.11.2
법상 신고 의무자가 아니더라도 누구든 아동학대를 알게 된 경우 신고(112)하면 된다.

법상	법/NNG+상/XSN
신고	신고/NNG
의무자가	의무자/NNG+가/JKS
아니더라도	아니/VCN+더라도/EC
누구든	누구/NP+든/JX
아동학대를	아동/NNG+학대/NNG+를/JKO
알게	알/VV+게/EC
된	되/VV+ㄴ/ETM
경우	경우/NNG
신고(112)하면	신고/NNG+(/SS+112/SN+)/SS+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


