# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.135
metadata : {}


# id : NWRW1800000021.135.1.1
빗장 건 ‘NO의 입’… 검찰, 盧 진술 ‘모순찾기’ 총력

빗장	빗장/NNG
썼고	쓰/VV+었/EP+고/EC
나는	나/NP+는/JX
최근에	최근/NNG+에/JKB
알았다”고	알/VV+았/EP+다/EF+”/SS+고/JKQ
밝혀	밝히/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.135.5.3
소환조사에서도 이러한 답변은 반복될 것으로 보인다.

소환조사에서도	소환/NNG+조사/NNG+에서/JKB+도/JX
이러한	이러하/VA+ㄴ/ETM
답변은	답변/NNG+은/JX
반복될	반복/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.135.5.4
박 회장의 진술 역시 검찰의 선처를 바라고 한 것이어서 신빙성이 없다는 게 노 전 대통령의 주장이다.

박	박/NNP
회장의	회장/NNG+의/JKG
진술	진술/NNG
역시	역시/MAG
검찰의	검찰/NNG+의/JKG
선처를	선처/NNG+를/JKO
바라고	바라/VV+고/EC
한	하/VV+ㄴ/ETM
것이어서	것/NNB+이/VCP+어서/EC
신빙성이	신빙/NNG+성/XSN+이/JKS
없다는	없/VA+다는/ETM
게	거/NNB+이/JKS
노	노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
주장이다.	주장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.135.6.1
검찰은 노 전 대통령 소환조사에서 완벽한 자백을 받아내려 하기보다는 노 전 대통령의 진술이 사실과 다르다는 것을 보여주는 데 초점을 맞출 것으로 보인다.

검찰은	검찰/NNG+은/JX
노	노/NNP
전	전/MMD
대통령	대통령/NNG
소환조사에서	소환/NNG+조사/NNG+에서/JKB
완벽한	완벽/NNG+하/XSA+ㄴ/ETM
자백을	자백/NNG+을/JKO
받아내려	받/VV+아/EC+내/VX+려/EC
하기보다는	하/VX+기/ETN+보다/JKB+는/JX
대통령의	대통령/NNG+의/JKG
진술이	진술/NNG+이/JKS
사실과	사실/NNG+과/JKB
다르다는	다르/VA+다는/ETM
것을	것/NNB+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
데	데/NNB
초점을	초점/NNG+을/JKO
맞출	맞추/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.135.6.2
설령 혐의를 부인하더라도 진술 자체가 앞뒤가 맞지 않다는 것만 드러내도 소기의 성과를 거두는 셈이기 때문이다.

설령	설령/MAG
혐의를	혐의/NNG+를/JKO
부인하더라도	부인/NNG+하/XSV+더라도/EC
진술	진술/NNG
자체가	자체/NNG+가/JKS
앞뒤가	앞뒤/NNG+가/JKS
맞지	맞/VV+지/EC
않다는	않/VX+다는/ETM
것만	것/NNB+만/JX
드러내도	드러내/VV+어도/EC
소기의	소기/NNG+의/JKG
성과를	성과/NNG+를/JKO
거두는	거두/VV+는/ETM
셈이기	셈/NNB+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.135.6.3
반대로 노 전 대통령은 조사 과정에서 검찰이 아직 파악하지 못한 것으로 보이는 새로운 사실을 들이밀면서 검찰 조사의 허점을 부각하려 할 가능성이 있다.

반대로	반대/NNG+로/JKB
노	노/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
조사	조사/NNG
과정에서	과정/NNG+에서/JKB
검찰이	검찰/NNG+이/JKS
아직	아직/MAG
파악하지	파악/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
보이는	보이/VV+는/ETM
새로운	새롭/VA+ㄴ/ETM
사실을	사실/NNG+을/JKO
들이밀면서	들이밀/VV+면서/EC
검찰	검찰/NNG
조사의	조사/NNG+의/JKG
허점을	허점/NNG+을/JKO
부각하려	부각/NNG+하/XSV+려/EC
할	하/VX+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.135.6.4
예컨대 지금까지 함구하고 있는 100만 달러의 용처는 노 전 대통령이 가장 잘 알고 있는 부분이다.

예컨대	예컨대/MAG
지금까지	지금/NNG+까지/JX
함구하고	함구/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
100만	100/SN+만/NR
달러의	달러/NNB+의/JKG
용처는	용처/NNG+는/JX
노	노/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
가장	가장/MAG
잘	잘/MAG
알고	알/VV+고/EC
부분이다.	부분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.135.6.5
이런 부분을 조사 과정에서 털어놓으면서 검찰이 파악하고 있는 사건의 틀을 흔들 수 있다.

이런	이런/MMD
부분을	부분/NNG+을/JKO
조사	조사/NNG
과정에서	과정/NNG+에서/JKB
털어놓으면서	털어놓/VV+으면서/EC
검찰이	검찰/NNG+이/JKS
파악하고	파악/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
사건의	사건/NNG+의/JKG
틀을	틀/NNG+을/JKO
흔들	흔들/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.135.7.1
○ 박연차와의 대질은 ‘양날의 칼’

○	○/SW
박연차와의	박연차/NNP+와/JKB+의/JKG
대질은	대질/NNG+은/JX
‘양날의	‘/SS+양날/NNG+의/JKG
칼’	칼/NNG+’/SS


# id : NWRW1800000021.135.8.1
30일 소환조사의 최대 관심사는 박 회장과의 대질조사가 이뤄질지다.

30일	30/SN+일/NNB
소환조사의	소환/NNG+조사/NNG+의/JKG
최대	최대/NNG
관심사는	관심사/NNG+는/JX
박	박/NNP
회장과의	회장/NNG+과/JKB+의/JKG
대질조사가	대질/NNG+조사/NNG+가/JKS
이뤄질지다.	이뤄지/VV+ㄹ지/EF+이/VCP+다/EF+./SF


# id : NWRW1800000021.135.8.2
검찰로서는 노 전 대통령의 자백을 받아낼 수 있는 승부수일 수 있다.

검찰로서는	검찰/NNG+로서/JKB+는/JX
노	노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
자백을	자백/NNG+을/JKO
받아낼	받/VV+아/EC+내/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
승부수일	승부수/NNG+이/VCP+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.135.8.3
그러나 최후의 승부수인 만큼 조심스러울 수밖에 없다.

그러나	그러나/MAJ
최후의	최후/NNG+의/JKG
승부수인	승부수/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
조심스러울	조심/NNG+스럽/XSA+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000021.135.8.4
대질조사에서도 성과가 없거나 되레 박 회장이 노 전 대통령의 페이스에 말려 흔들리면 결정적 패착(敗着)이 될 수도 있다.

대질조사에서도	대질/NNG+조사/NNG+에서/JKB+도/JX
성과가	성과/NNG+가/JKS
없거나	없/VA+거나/EC
되레	되레/MAG
박	박/NNP
회장이	회장/NNG+이/JKS
노	노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
페이스에	페이스/NNG+에/JKB
말려	말리/VV+어/EC
흔들리면	흔들리/VV+면/EC
결정적	결정/NNG+적/XSN
패착(敗着)이	패착/NNG+(/SS+敗着/SH+)/SS+이/JKC
될	되/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.135.9.1
그런 점에서 거꾸로 노 전 대통령이 박 회장과의 대질조사를 요구할 가능성도 배제할 수 없다.

그런	그런/MMD
점에서	점/NNG+에서/JKB
거꾸로	거꾸로/MAG
노	노/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
박	박/NNP
회장과의	회장/NNG+과/JKB+의/JKG
대질조사를	대질/NNG+조사/NNG+를/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000021.135.9.2
박 회장의 진술을 뒤엎는 것이야말로 노 전 대통령으로서는 궁지에 몰려 있는 지금의 상황을 타개할 수 있는 반전의 카드이기 때문이다.

박	박/NNP
회장의	회장/NNG+의/JKG
진술을	진술/NNG+을/JKO
뒤엎는	뒤엎/VV+는/ETM
것이야말로	것/NNB+이야말로/JX
노	노/NNP
전	전/MMD
대통령으로서는	대통령/NNG+으로서/JKB+는/JX
궁지에	궁지/NNG+에/JKB
몰려	몰리/VV+어/EC
있는	있/VA+는/ETM
지금의	지금/NNG+의/JKG
상황을	상황/NNG+을/JKO
타개할	타개/NNG+하/XSV+ㄹ/ETM
수	수/NNB
반전의	반전/NNG+의/JKG
카드이기	카드/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.135.9.3
검찰은 박 회장과의 대질조사 가능성을 완전히 차단하고 있지는 않다.

검찰은	검찰/NNG+은/JX
박	박/NNP
회장과의	회장/NNG+과/JKB+의/JKG
대질조사	대질/NNG+조사/NNG
가능성을	가능/NNG+성/XSN+을/JKO
완전히	완전히/MAG
차단하고	차단/NNG+하/XSV+고/EC
있지는	있/VX+지/EC+는/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000021.135.9.4
조사 상황에 따라 할 수도, 하지 않을 수도 있다는 게 검찰 관계자들의 전언이다.

조사	조사/NNG
상황에	상황/NNG+에/JKB
따라	따르/VV+아/EC
할	하/VV+ㄹ/ETM
수도,	수/NNB+도/JX+,/SP
하지	하/VV+지/EC
않을	않/VX+을/ETM
수도	수/NNB+도/JX
있다는	있/VA+다는/ETM
게	거/NNB+이/JKS
검찰	검찰/NNG
관계자들의	관계자/NNG+들/XSN+의/JKG
전언이다.	전언/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.135.10.1
한편 정상문 전 대통령총무비서관(구속)이 30일 이전까지 어떤 진술을 하느냐도 중요한 변수다.

한편	한편/MAG
정상문	정상문/NNP
전	전/MMD
대통령총무비서관(구속)이	대통령/NNG+총무/NNG+비서관/NNG+(/SS+구속/NNG+)/SS+이/JKS
30일	30/SN+일/NNB
이전까지	이전/NNG+까지/JX
어떤	어떤/MMD
진술을	진술/NNG+을/JKO
하느냐도	하/VV+느냐/EF+도/JX
중요한	중요/NNG+하/XSA+ㄴ/ETM
변수다.	변수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.135.10.2
검찰은 매일 정 전 비서관을 불러 조사하고 있다.

검찰은	검찰/NNG+은/JX
매일	매일/MAG
정	정/NNP
전	전/MMD
비서관을	비서관/NNG+을/JKO
불러	부르/VV+어/EC
조사하고	조사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.135.10.3
홍만표 대검 중수부 수사기획관은 정 전 비서관의 진술에 대해 “달라진 게 없다”고 하다가 최근에는 “확인해 줄 수 없다”로 바꿨다.

홍만표	홍만표/NNP
대검	대검/NNG
중수부	중수부/NNG
수사기획관은	수사/NNG+기획관/NNG+은/JX
정	정/NNP
전	전/MMD
비서관의	비서관/NNG+의/JKG
진술에	진술/NNG+에/JKB
대해	대하/VV+아/EC
“달라진	“/SS+달라지/VV+ㄴ/ETM
게	거/NNB+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
하다가	하/VV+다가/EC
최근에는	최근/NNG+에/JKB+는/JX
“확인해	“/SS+확인/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
수	수/NNB
없다”로	없/VA+다/EF+”/SS+로/JKB
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.135.10.4
뭔가 상황이 달라졌다는 얘기다.

뭔가	뭐/NP+이/VCP+ㄴ가/EF
상황이	상황/NNG+이/JKS
달라졌다는	달라지/VV+었/EP+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.135.10.5
검찰이 정 전 비서관에게 기대하는 것은 “600만 달러에 대해 노 전 대통령에게 보고했다”는 식의 간단하고 명료한 진술이다.

검찰이	검찰/NNG+이/JKS
정	정/NNP
전	전/MMD
비서관에게	비서관/NNG+에게/JKB
기대하는	기대/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
“600만	“/SS+600/SN+만/NR
달러에	달러/NNB+에/JKB
대해	대하/VV+아/EC
노	노/NNP
대통령에게	대통령/NNG+에게/JKB
보고했다”는	보고/NNG+하/XSV+았/EP+다/EF+”/SS+는/ETM
식의	식/NNB+의/JKG
간단하고	간단하/VA+고/EC
명료한	명료하/VA+ㄴ/ETM
진술이다.	진술/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.135.10.6
그러나 정 전 비서관이 오랜 친구인 노 전 대통령을 사지로 몰아넣을 진술을 할 가능성은 낮아 보인다.

그러나	그러나/MAJ
정	정/NNP
전	전/MMD
비서관이	비서관/NNG+이/JKS
오랜	오랜/MMA
친구인	친구/NNG+이/VCP+ㄴ/ETM
노	노/NNP
대통령을	대통령/NNG+을/JKO
사지로	사지/NNG+로/JKB
몰아넣을	몰아넣/VV+을/ETM
진술을	진술/NNG+을/JKO
할	하/VV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
낮아	낮/VA+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


