# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.400
metadata : {}


# id : NWRW1800000032.400.1.1
나경원쪽 “박원순 병역 기피” 네거티브 공세

나경원쪽	나경원/NNP+쪽/NNB
<한겨레>와	</SS+한겨레/NNP+>/SS+와/JKB
한	하/VV+ㄴ/ETM
통화에서	통화/NNG+에서/JKB
“박	“/SS+박/NNP
후보는	후보/NNG+는/JX
작은할아버지에게	작은할아버지/NNG+에게/JKB
양손으로	양손/NNG+으로/JKB
입양	입양/NNG
가서	가/VV+아서/EC
부선망	부선망/NNG
독자(아버지가	독자/NNG+(/SS+아버지/NNG+가/JKS
먼저	먼저/MAG
사망한	사망/NNG+하/XSV+ㄴ/ETM
외아들)	외아들/NNG+)/SS
규정으로	규정/NNG+으로/JKB
방위	방위/NNG
처분을	처분/NNG+을/JKO
받았다고	받/VV+았/EP+다고/EC
하는데,	하/VV+는데/EC+,/SP
우리나라	우리나라/NNG
민법상	민법/NNG+상/XSN
양손	양손/NNG
제도라는	제도/NNG+이/VCP+라는/ETM
것	것/NNB
자체가	자체/NNG+가/JKS
존재하지	존재/NNG+하/XSV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.400.5.2
양손 제도를 허용하면 아버지와 아들이 항렬이 같아져 사촌 관계가 되는 문제 때문이라는 것이다.

양손	양손/NNG
제도를	제도/NNG+를/JKO
허용하면	허용/NNG+하/XSV+면/EC
아버지와	아버지/NNG+와/JC
아들이	아들/NNG+이/JKS
항렬이	항렬/NNG+이/JKS
같아져	같아지/VV+어/EC
사촌	사촌/NNG
관계가	관계/NNG+가/JKC
되는	되/VV+는/ETM
문제	문제/NNG
때문이라는	때문/NNB+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.400.5.3
한나라당은 1988년 3월 대법원 판결에 “어떠한 경우에 있어서도 양손 입양은 무효”라고 적시돼 있다고 밝혔다.

한나라당은	한나라당/NNP+은/JX
1988년	1988/SN+년/NNB
3월	3/SN+월/NNB
대법원	대/XPN+법원/NNG
판결에	판결/NNG+에/JKB
“어떠한	“/SS+어떠하/VA+ㄴ/ETM
경우에	경우/NNG+에/JKB
있어서도	있/VA+어서/EC+도/JX
양손	양손/NNG
입양은	입양/NNG+은/JX
무효”라고	무효/NNG+”/SS+라고/JKQ
적시돼	적시/NNG+되/XSV+어/EC
있다고	있/VX+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.400.6.1
박 후보가 1969년 양손으로 갈 때 당시 13살이어서 병역 면탈 의도가 없었다고 박 후보 쪽이 주장하는 데 대해서도 홍 대표는 “당시 박 후보의 형이 만 17살로 제2국민역 편입 직전이었다”며 “박 후보 형의 병역 면탈을 위해 동생인 박 후보를 양손으로 보냄으로써 형제가 모두 ‘독자’로서 6개월 방위 처분을 받도록 한 것”이라고 주장했다.

박	박/NNP
후보가	후보/NNG+가/JKS
1969년	1969/SN+년/NNB
양손으로	양손/NNG+으로/JKB
갈	가/VV+ㄹ/ETM
때	때/NNG
당시	당시/NNG
13살이어서	13/SN+살/NNB+이/VCP+어서/EC
병역	병역/NNG
면탈	면탈/NNG
의도가	의도/NNG+가/JKS
없었다고	없/VA+었/EP+다고/EC
후보	후보/NNG
쪽이	쪽/NNB+이/JKS
주장하는	주장/NNG+하/XSV+는/ETM
데	데/NNB
대해서도	대하/VV+아서/EC+도/JX
홍	홍/NNP
대표는	대표/NNG+는/JX
“당시	“/SS+당시/NNG
후보의	후보/NNG+의/JKG
형이	형/NNG+이/JKS
만	만/NNG
17살로	17/SN+살/NNB+로/JKB
제2국민역	제/XPN+2/SN+국민역/NNG
편입	편입/NNG
직전이었다”며	직전/NNG+이/VCP+었/EP+다/EF+”/SS+며/EC
“박	“/SS+박/NNP
형의	형/NNG+의/JKG
면탈을	면탈/NNG+을/JKO
위해	위하/VV+아/EC
동생인	동생/NNG+이/VCP+ㄴ/ETM
후보를	후보/NNG+를/JKO
보냄으로써	보내/VV+ㅁ/ETN+으로써/JKB
형제가	형제/NNG+가/JKS
모두	모두/MAG
‘독자’로서	‘/SS+독자/NNG+’/SS+로서/JKB
6개월	6/SN+개월/NNB
방위	방위/NNG
처분을	처분/NNG+을/JKO
받도록	받/VV+도록/EC
한	하/VX+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.400.7.1
홍 대표는 또 “설사 양손으로 갔다 해도 입양 주체가 있어야 하는데, 입양 주체인 작은할아버지가 1941년부터 행방불명된 만큼 일방적인 입양이라는 것”이라며 “당시 호적 공무원과 공모하지 않고는 불가능한 일이다.

홍	홍/NNP
대표는	대표/NNG+는/JX
또	또/MAG
“설사	“/SS+설사/MAG
양손으로	양손/NNG+으로/JKB
갔다	가/VV+았/EP+다/EC
해도	하/VV+아도/EC
입양	입양/NNG
주체가	주체/NNG+가/JKS
있어야	있/VA+어야/EC
하는데,	하/VX+는데/EC+,/SP
주체인	주체/NNG+이/VCP+ㄴ/ETM
작은할아버지가	작은할아버지/NNG+가/JKS
1941년부터	1941/SN+년/NNB+부터/JX
행방불명된	행방불명/NNG+되/XSV+ㄴ/ETM
만큼	만큼/NNB
일방적인	일방/NNG+적/XSN+이/VCP+ㄴ/ETM
입양이라는	입양/NNG+이/VCP+라는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“당시	“/SS+당시/NNG
호적	호적/NNG
공무원과	공무원/NNG+과/JKB
공모하지	공모/NNG+하/XSV+지/EC
않고는	않/VX+고/EC+는/JX
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.400.7.2
이건 노블레스 오블리주의 문제”라고 공세를 폈다.

이건	이거/NP+ㄴ/JX
노블레스	노블레스/NNG
오블리주의	오블리주/NNG+의/JKG
문제”라고	문제/NNG+”/SS+라고/JKQ
공세를	공세/NNG+를/JKO
폈다.	펴/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.400.7.3
김기현 대변인은 “사문서위조에 해당하는 범죄”라고 주장했다.

김기현	김기현/NNP
대변인은	대변인/NNG+은/JX
“사문서위조에	“/SS+사문서/NNG+위조/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
범죄”라고	범죄/NNG+”/SS+라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.400.8.1
이에 대해 박 후보 쪽은 “양손 입양 제도가 없었다면 어떻게 호적에 ‘양손 입양’이라는 단어를 쓸 수가 있겠느냐”며 “양손 입양이 민법에 존재하지 않았다는 말은 양손 입양이 사회상규로 존재하지 않았다는 말과 다르다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
박	박/NNP
후보	후보/NNG
쪽은	쪽/NNB+은/JX
“양손	“/SS+양손/NNG
입양	입양/NNG
제도가	제도/NNG+가/JKS
없었다면	없/VA+었/EP+다면/EC
어떻게	어떻/VA+게/EC
호적에	호적/NNG+에/JKB
‘양손	‘/SS+양손/NNG
입양’이라는	입양/NNG+’/SS+이/VCP+라는/ETM
단어를	단어/NNG+를/JKO
쓸	쓰/VV+ㄹ/ETM
수가	수/NNB+가/JKS
있겠느냐”며	있/VA+겠/EP+느냐/EF+”/SS+며/EC
입양이	입양/NNG+이/JKS
민법에	민법/NNG+에/JKB
존재하지	존재/NNG+하/XSV+지/EC
않았다는	않/VX+았/EP+다는/ETM
말은	말/NNG+은/JX
양손	양손/NNG
사회상규로	사회/NNG+상규/NNG+로/JKB
말과	말/NNG+과/JKB
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000032.400.8.2
한나라당 주장대로 1988년 대법원 판결이 있었다는 것은 그 전에는 사회적으로 양손 입양이 존재하는 제도였다는 의미”라고 반박했다.

한나라당	한나라당/NNP
주장대로	주장/NNG+대로/JX
1988년	1988/SN+년/NNB
대법원	대/XPN+법원/NNG
판결이	판결/NNG+이/JKS
있었다는	있/VA+었/EP+다는/ETM
것은	것/NNB+은/JX
그	그/MMD
전에는	전/NNG+에/JKB+는/JX
사회적으로	사회/NNG+적/XSN+으로/JKB
양손	양손/NNG
입양이	입양/NNG+이/JKS
존재하는	존재/NNG+하/XSV+는/ETM
제도였다는	제도/NNG+이/VCP+었/EP+다는/ETM
의미”라고	의미/NNG+”/SS+라고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.400.9.1
박 후보 쪽은 입양 주체 및 호적 조작 공모 의혹에 대해서는 “당시 입양 관련 행정처리를 했던 박 후보의 할아버지와 아버지가 모두 돌아가신데다 박 후보와 형은 입양 과정을 알지 못해 정확하게 설명하기가 어렵다”며 “주변 친척 어르신들을 모두 수소문했으나 너무 오래된 일이라 정확하게 사정을 기억하는 분이 없다”고 밝혔다.

박	박/NNP
후보	후보/NNG
쪽은	쪽/NNB+은/JX
입양	입양/NNG
주체	주체/NNG
및	및/MAG
호적	호적/NNG
조작	조작/NNG
공모	공모/NNG
의혹에	의혹/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“당시	“/SS+당시/NNG
관련	관련/NNG
행정처리를	행정/NNG+처리/NNG+를/JKO
했던	하/VV+았/EP+던/ETM
후보의	후보/NNG+의/JKG
할아버지와	할아버지/NNG+와/JC
아버지가	아버지/NNG+가/JKS
모두	모두/MAG
돌아가신데다	돌아가/VV+시/EP+ㄴ/ETM+데/NNB+다/JX
후보와	후보/NNG+와/JC
형은	형/NNG+은/JX
과정을	과정/NNG+을/JKO
알지	알/VV+지/EC
못해	못하/VX+아/EC
정확하게	정확/NNG+하/XSA+게/EC
설명하기가	설명/NNG+하/XSV+기/ETN+가/JKS
어렵다”며	어렵/VA+다/EF+”/SS+며/EC
“주변	“/SS+주변/NNG
친척	친척/NNG
어르신들을	어르신/NNG+들/XSN+을/JKO
수소문했으나	수소문/NNG+하/XSV+았/EP+으나/EC
너무	너무/MAG
오래된	오래/MAG+되/XSA+ㄴ/ETM
일이라	일/NNG+이/VCP+라/EC
사정을	사정/NNG+을/JKO
기억하는	기억/NNG+하/XSV+는/ETM
분이	분/NNB+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.400.9.2
박 후보 쪽은 이어 “박 후보의 할아버지가 징용에서 돌아오지 못하고 있는 동생의 제사라도 지내게 하려고 그랬던 게 아닌가 짐작만 한다”고 말했다.

박	박/NNP
후보	후보/NNG
쪽은	쪽/NNB+은/JX
이어	이어/MAG
“박	“/SS+박/NNP
후보의	후보/NNG+의/JKG
할아버지가	할아버지/NNG+가/JKS
징용에서	징용/NNG+에서/JKB
돌아오지	돌아오/VV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
동생의	동생/NNG+의/JKG
제사라도	제사/NNG+이/VCP+라도/EC
지내게	지내/VV+게/EC
하려고	하/VX+려고/EC
그랬던	그러/VV+었/EP+던/ETM
게	거/NNB+이/JKC
아닌가	아니/VCN+ㄴ가/EF
짐작만	짐작/NNG+만/JX
한다”고	하/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.400.10.1
박 후보 선대위의 우상호 대변인은 “아무리 선거라지만 한나라당이 일제시기 징용(작은할아버지) 때문에 빚어진 불행한 가족사를 물고 늘어지는 게 이해가 되지 않는다”며 “이미 망자가 되신 박 후보의 할아버지와 아버지를 마치 병역 면탈을 위해 행동한 사람들처럼 몰아가는 행동은 한나라당이 자제해야 한다”고 말했다.

박	박/NNP
후보	후보/NNG
선대위의	선대위/NNG+의/JKG
우상호	우상호/NNP
대변인은	대변인/NNG+은/JX
“아무리	“/SS+아무리/MAG
선거라지만	선거/NNG+이/VCP+라지만/EC
한나라당이	한나라당/NNP+이/JKS
일제시기	일제/NNG+시기/NNG
징용(작은할아버지)	징용/NNG+(/SS+작은할아버지/NNG+)/SS
때문에	때문/NNB+에/JKB
빚어진	빚어지/VV+ㄴ/ETM
불행한	불행/NNG+하/XSA+ㄴ/ETM
가족사를	가족사/NNG+를/JKO
물고	물/VV+고/EC
늘어지는	늘어지/VV+는/ETM
게	거/NNB+이/JKS
이해가	이해/NNG+가/JKC
되지	되/VV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“이미	“/SS+이미/MAG
망자가	망자/NNG+가/JKC
되신	되/VV+시/EP+ㄴ/ETM
후보의	후보/NNG+의/JKG
할아버지와	할아버지/NNG+와/JC
아버지를	아버지/NNG+를/JKO
마치	마치/MAG
병역	병역/NNG
면탈을	면탈/NNG+을/JKO
위해	위하/VV+아/EC
행동한	행동/NNG+하/XSV+ㄴ/ETM
사람들처럼	사람/NNG+들/XSN+처럼/JKB
몰아가는	몰아가/VV+는/ETM
행동은	행동/NNG+은/JX
자제해야	자제/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


