# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.42
metadata : {}


# id : NWRW1800000026.42.1.1
[새로 상장합니다] 차이나하오란리사이클링

[새로	[/SS+새로/MAG
청약에서	청약/NNG+에서/JKB
42.6대	42/SN+./SP+6/SN+대/NNB
1의	1/SN+의/JKG
경쟁률을	경쟁/NNG+률/XSN+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.42.6.1
◆액면가=1홍콩달러(149원)

◆액면가=1홍콩달러(149원)	◆/SW+액면/NNG+가/XSN+=/SW+1/SN+홍콩/NNP+달러/NNG+(/SS+149/SN+원/NNB+)/SS


# id : NWRW1800000026.42.7.1
◆자본금=59.55억원

◆자본금=59.55억원	◆/SW+자본금/NNG+=/SW+59/SN+./SP+55/SN+억/NR+원/NNB


# id : NWRW1800000026.42.8.1
◆주요주주=루리 60.6%

◆주요주주=루리	◆/SW+주요/NNG+주주/NNG+=/SW+루리/NNP
60.6%	60/SN+./SP+6/SN+%/SW


# id : NWRW1800000026.42.9.1
◆상장 후 유통 가능 물량=1000만주(25%).

◆상장	◆/SW+상장/NNG
후	후/NNG
유통	유통/NNG
가능	가능/NNG
물량=1000만주(25%).	물량/NNG+=/SW+1000/SN+만/NR+주/NNG+(/SS+25/SN+%/SW+)/SS+./SF


# id : NWRW1800000026.42.9.2
최대주주 등 물량 3000만주(75%)는 1년간 보호예수.

최대주주	최대/NNG+주주/NNG
등	등/NNB
물량	물량/NNG
3000만주(75%)는	3000/SN+만/NR+주/NNG+(/SS+75/SN+%/SW+)/SS+는/JX
1년간	1/SN+년/NNB+간/XSN
보호예수.	보호/NNG+예수/NNG+./SF


# id : NWRW1800000026.42.10.1
◆주관 회사(신한금융투자)가 보는 투자 위험=코팅백판지 제조 및 원료용지 재생사업은 중국 내수 소비재 산업의 경기 변동에 큰 영향을 받기 때문에 중국의 경기 침체에 따라 중요한 영향을 미칠 수 있다.

◆주관	◆/SW+주관/NNG
회사(신한금융투자)가	회사/NNG+(/SS+신한금융투자/NNP+)/SS+가/JKS
보는	보/VV+는/ETM
투자	투자/NNG
위험=코팅백판지	위험/NNG+=/SW+코팅/NNG+백판지/NNG
제조	제조/NNG
및	및/MAG
원료용지	원료/NNG+용지/NNG
재생사업은	재생/NNG+사업/NNG+은/JX
중국	중국/NNP
내수	내수/NNG
소비재	소비재/NNG
산업의	산업/NNG+의/JKG
경기	경기/NNG
변동에	변동/NNG+에/JKB
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
받기	받/VV+기/ETN
때문에	때문/NNB+에/JKB
중국의	중국/NNP+의/JKG
침체에	침체/NNG+에/JKB
따라	따르/VV+아/EC
중요한	중요/NNG+하/XSA+ㄴ/ETM
미칠	미치/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.42.10.2
중국 전체 시장점유율이 1.43%에 불과, 경쟁사들의 대규모 설비 투자로 경쟁이 심화될 경우 성장성과 수익성이 둔화될 위험이 있다.

중국	중국/NNP
전체	전체/NNG
시장점유율이	시장/NNG+점유/NNG+율/XSN+이/JKS
1.43%에	1/SN+./SP+43/SN+%/SW+에/JKB
불과,	불과/MAG+,/SP
경쟁사들의	경쟁사/NNG+들/XSN+의/JKG
대규모	대/XPN+규모/NNG
설비	설비/NNG
투자로	투자/NNG+로/JKB
경쟁이	경쟁/NNG+이/JKS
심화될	심화/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
성장성과	성장/NNG+성/XSN+과/JC
수익성이	수익/NNG+성/XSN+이/JKS
둔화될	둔화/NNG+되/XSV+ㄹ/ETM
위험이	위험/NNG+이/JKS
있다.	있/VA+다/EF+./SF


