# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.65
metadata : {}


# id : NWRW1800000049.65.1.1
경영혁신 지휘 김우식 사장 “2016년 부채비율 238% 이하로 줄일것”

경영혁신	경영/NNG+혁신/NNG
―최근 합의각서(MOA)를 체결한 ‘검단 스마트시티’ 도 많은 관심을 모으고 있는데….

―최근	―/SS+최근/NNG
합의각서(MOA)를	합의/NNG+각서/NNG+(/SS+MOA/SL+)/SS+를/JKO
체결한	체결/NNG+하/XSV+ㄴ/ETM
‘검단	‘/SS+검단/NNP
스마트시티’	스마트시티/NNG+’/SS
도	도/JX
많은	많/VA+은/ETM
관심을	관심/NNG+을/JKO
모으고	모으/VV+고/EC
있는데….	있/VX+는데/EC+…/SE+./SF


# id : NWRW1800000049.65.8.1
“스마트시티의 개념은 ‘첨단 기업형 자족도시’다.

“스마트시티의	“/SS+스마트시티/NNG+의/JKG
개념은	개념/NNG+은/JX
‘첨단	‘/SS+첨단/NNG
기업형	기업/NNG+형/XSN
자족도시’다.	자족/NNG+도시/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000049.65.8.2
도시 내에 첨단기업이 입주하고 종사자 거주 단지를 비롯해 문화, 교육, 레저가 테마별 섹터로 구성된다.

도시	도시/NNG
내에	내/NNB+에/JKB
첨단기업이	첨단/NNG+기업/NNG+이/JKS
입주하고	입주/NNG+하/XSV+고/EC
종사자	종사자/NNG
거주	거주/NNG
단지를	단지/NNG+를/JKO
비롯해	비롯하/VV+아/EC
문화,	문화/NNG+,/SP
교육,	교육/NNG+,/SP
레저가	레저/NNG+가/JKS
테마별	테마/NNG+별/XSN
섹터로	섹터/NNG+로/JKB
구성된다.	구성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.65.8.3
가장 중요한 것은 토지 매매계약이다.

가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
토지	토지/NNG
매매계약이다.	매매/NNG+계약/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.65.8.4
적정한 땅 값을 받기 위해 검단 스마트시티가 들어설 ‘검단 새빛도시’가 수도권의 유일한 대규모 개발지구라는 점을 스마트시티두바이(SCD)에 강조하고 있다.

적정한	적정/NNG+하/XSA+ㄴ/ETM
땅	땅/NNG
값을	값/NNG+을/JKO
받기	받/VV+기/ETN
위해	위하/VV+아/EC
검단	검단/NNP
스마트시티가	스마트시티/NNG+가/JKS
들어설	들어서/VV+ㄹ/ETM
‘검단	‘/SS+검단/NNP
새빛도시’가	새빛도시/NNP+’/SS+가/JKS
수도권의	수도/NNG+권/XSN+의/JKG
유일한	유일/NNG+하/XSA+ㄴ/ETM
대규모	대/XPN+규모/NNG
개발지구라는	개발/NNG+지구/NNG+이/VCP+라는/ETM
점을	점/NNG+을/JKO
스마트시티두바이(SCD)에	스마트시티두바이/NNP+(/SS+SCD/SL+)/SS+에/JKB
강조하고	강조/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.65.8.5
또 인천국제공항과의 지리적 위치를 고려해 아시아 허브 도시로서 성장 가능성을 설명했다.

또	또/MAG
인천국제공항과의	인천국제공항/NNP+과/JKB+의/JKG
지리적	지리/NNG+적/XSN
위치를	위치/NNG+를/JKO
고려해	고려/NNG+하/XSV+아/EC
아시아	아시아/NNP
허브	허브/NNG
도시로서	도시/NNG+로서/JKB
성장	성장/NNG
가능성을	가능/NNG+성/XSN+을/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.65.8.6
협상이 잘되면 한국의 새로운 신도시 건설의 모델이 될 것이라 기대한다.

협상이	협상/NNG+이/JKS
잘되면	잘/MAG+되/XSV+면/EC
한국의	한국/NNP+의/JKG
새로운	새롭/VA+ㄴ/ETM
신도시	신/XPN+도시/NNG
건설의	건설/NNG+의/JKG
모델이	모델/NNG+이/JKC
될	되/VV+ㄹ/ETM
것이라	것/NNB+이/VCP+라/EF
기대한다.	기대/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.65.8.7
스마트시티가 정상적으로 추진되면 검단 새빛도시 사업시행 기간을 전체적으로 줄이고 주변 지역의 가치가 향상되는 시너지 효과가 있을 것이다.”

스마트시티가	스마트시티/NNG+가/JKS
정상적으로	정상/NNG+적/XSN+으로/JKB
추진되면	추진/NNG+되/XSV+면/EC
검단	검단/NNP
새빛도시	새빛도시/NNP
사업시행	사업/NNG+시행/NNG
기간을	기간/NNG+을/JKO
전체적으로	전체/NNG+적/XSN+으로/JKB
줄이고	줄이/VV+고/EC
주변	주변/NNG
지역의	지역/NNG+의/JKG
가치가	가치/NNG+가/JKS
향상되는	향상/NNG+되/XSV+는/ETM
시너지	시너지/NNG
효과가	효과/NNG+가/JKS
있을	있/VA+을/ETM
것이다.”	것/NNB+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000049.65.9.1
―회사가 2년 연속 흑자를 냈는데 올해 인천도시공사의 경영 전망과 방향은….

―회사가	―/SS+회사/NNG+가/JKS
2년	2/SN+년/NNB
연속	연속/NNG
흑자를	흑자/NNG+를/JKO
냈는데	내/VV+었/EP+는데/EC
올해	올해/NNG
인천도시공사의	인천도시공사/NNP+의/JKG
경영	경영/NNG
전망과	전망/NNG+과/JC
방향은….	방향/NNG+은/JX+…/SE+./SF


# id : NWRW1800000049.65.10.1
“현재 공사의 체력은 중환자실에 누워 있다가 이제 겨우 링거를 뽑고 재활 운동을 시작하는 단계라고 할 수 있다.

“현재	“/SS+현재/MAG
공사의	공사/NNG+의/JKG
체력은	체력/NNG+은/JX
중환자실에	중환자실/NNG+에/JKB
누워	눕/VV+어/EC
있다가	있/VX+다가/EC
이제	이제/MAG
겨우	겨우/MAG
링거를	링거/NNG+를/JKO
뽑고	뽑/VV+고/EC
재활	재활/NNG
운동을	운동/NNG+을/JKO
시작하는	시작/NNG+하/XSV+는/ETM
단계라고	단계/NNG+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.65.10.2
완전히 회복해 병실을 나서는 그날까지 전 임직원의 역량을 모아 성과를 내도록 노력하겠다.

완전히	완전히/MAG
회복해	회복/NNG+하/XSV+아/EC
병실을	병실/NNG+을/JKO
나서는	나서/VV+는/ETM
그날까지	그날/NNG+까지/JX
전	전/MMN
임직원의	임직원/NNG+의/JKG
역량을	역량/NNG+을/JKO
모아	모으/VV+아/EC
성과를	성과/NNG+를/JKO
내도록	내/VV+도록/EC
노력하겠다.	노력/NNG+하/XSV+겠/EP+다/EF+./SF


# id : NWRW1800000049.65.10.3
기업경영에서 가장 중요한 것은 100년 이상을 바라보는 연속성이 아닐까 생각한다.

기업경영에서	기업/NNG+경영/NNG+에서/JKB
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
100년	100/SN+년/NNB
이상을	이상/NNG+을/JKO
바라보는	바라보/VV+는/ETM
연속성이	연속/NNG+성/XSN+이/JKC
아닐까	아니/VCN+ㄹ까/EF
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.65.10.4
2년 연속 흑자 기조를 유지하고 있지만 반짝 성과로 그친다면 아무 의미가 없다.

2년	2/SN+년/NNB
연속	연속/NNG
흑자	흑자/NNG
기조를	기조/NNG+를/JKO
유지하고	유지/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
반짝	반짝/MAG
성과로	성과/NNG+로/JKB
그친다면	그치/VV+ㄴ다면/EC
아무	아무/MMD
의미가	의미/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000049.65.10.5
부채감축과 흑자경영이라는 방향성과 지속성을 유지하겠다.

부채감축과	부채/NNG+감축/NNG+과/JC
흑자경영이라는	흑자/NNG+경영/NNG+이/VCP+라는/ETM
방향성과	방향/NNG+성/XSN+과/JC
지속성을	지속/NNG+성/XSN+을/JKO
유지하겠다.	유지/NNG+하/XSV+겠/EP+다/EF+./SF


# id : NWRW1800000049.65.10.6
앞으로 직원의 역량 강화를 통해 작지만 강하고 능력 있는 공기업이 되도록 최선을 다하겠다.”

앞으로	앞/NNG+으로/JKB
직원의	직원/NNG+의/JKG
역량	역량/NNG
강화를	강화/NNG+를/JKO
통해	통하/VV+아/EC
작지만	작/VA+지만/EC
강하고	강하/VA+고/EC
능력	능력/NNG
있는	있/VA+는/ETM
공기업이	공기업/NNG+이/JKC
되도록	되/VV+도록/EC
최선을	최선/NNG+을/JKO
다하겠다.”	다/MAG+하/XSV+겠/EP+다/EF+./SF+”/SS


