# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.141
metadata : {}


# id : NWRW1800000046.141.1.1
법무사協, 창립 66년 만에 광고까지 한 속사정…

법무사協,	법무사/NNG+協/SH+,/SP
법무법인이	법무/NNG+법인/NNG+이/JKS
'덤핑	'/SS+덤핑/NNG
영업'을	영업/NNG+'/SS+을/JKO
해	하/VV+아/EC
법무사들의	법무사/NNG+들/XSN+의/JKG
생계를	생계/NNG+를/JKO
위협하고	위협/NNG+하/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
아파트	아파트/NNG
분양	분양/NNG
현장에서	현장/NNG+에서/JKB
시위를	시위/NNG+를/JKO
벌이기도	벌이/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.141.8.1
법무사들은 시중은행들도 법무사들의 고통을 가중시키고 있다고 목소리를 높인다.

법무사들은	법무사/NNG+들/XSN+은/JX
시중은행들도	시중/NNG+은행/NNG+들/XSN+도/JX
법무사들의	법무사/NNG+들/XSN+의/JKG
고통을	고통/NNG+을/JKO
가중시키고	가중/NNG+시키/XSV+고/EC
있다고	있/VX+다고/EC
목소리를	목소리/NNG+를/JKO
높인다.	높이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.141.8.2
법무사의 고유 업무로 인식되던 등기 업무에 변호사들이 진출하면서 수수료를 부담해야 하는 은행들이 법무사들에게 '가격 인하'를 강요하고 있다는 것이다.

법무사의	법무사/NNG+의/JKG
고유	고유/NNG
업무로	업무/NNG+로/JKB
인식되던	인식/NNG+되/XSV+던/ETM
등기	등기/NNG
업무에	업무/NNG+에/JKB
변호사들이	변호사/NNG+들/XSN+이/JKS
진출하면서	진출/NNG+하/XSV+면서/EC
수수료를	수수료/NNG+를/JKO
부담해야	부담/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
은행들이	은행/NNG+들/XSN+이/JKS
법무사들에게	법무사/NNG+들/XSN+에게/JKB
'가격	'/SS+가격/NNG
인하'를	인하/NNG+'/SS+를/JKO
강요하고	강요/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.141.8.3
법무사협회 관계자는 "은행이 종전 수수료의 40% 선으로 수수료 인하를 일방적으로 요구하면서 '어렵다'고 말하면 '수수료를 적게 받는 변호사를 찾아보겠다'며 압박하고 있다"고 전했다.

법무사협회	법무사협회/NNP
관계자는	관계자/NNG+는/JX
"은행이	"/SS+은행/NNG+이/JKS
종전	종전/NNG
수수료의	수수료/NNG+의/JKG
40%	40/SN+%/SW
선으로	선/NNG+으로/JKB
수수료	수수료/NNG
인하를	인하/NNG+를/JKO
일방적으로	일방/NNG+적/XSN+으로/JKB
요구하면서	요구/NNG+하/XSV+면서/EC
'어렵다'고	'/SS+어렵/VA+다/EF+'/SS+고/JKQ
말하면	말/NNG+하/XSV+면/EC
'수수료를	'/SS+수수료/NNG+를/JKO
적게	적/VA+게/EC
받는	받/VV+는/ETM
변호사를	변호사/NNG+를/JKO
찾아보겠다'며	찾/VV+아/EC+보/VX+겠/EP+다/EF+'/SS+며/EC
압박하고	압박/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.141.8.4
하지만 법무사들은 변호사들의 '저가(低價) 공세'에 대응하는 게 불가능하다는 입장이다.

하지만	하지만/MAJ
법무사들은	법무사/NNG+들/XSN+은/JX
변호사들의	변호사/NNG+들/XSN+의/JKG
'저가(低價)	'/SS+저가/NNG+(/SS+低價/SH+)/SS
공세'에	공세/NNG+'/SS+에/JKB
대응하는	대응/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
불가능하다는	불/XPN+가능/NNG+하/XSA+다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.141.8.5
변호사들과 달리 법무사들은 대법원이 인가한 '법무사 보수표'에 따라 정해진 금액만 받아야 하기 때문이다.

변호사들과	변호사/NNG+들/XSN+과/JKB
달리	달리/MAG
법무사들은	법무사/NNG+들/XSN+은/JX
대법원이	대/XPN+법원/NNG+이/JKS
인가한	인가/NNG+하/XSV+ㄴ/ETM
'법무사	'/SS+법무사/NNG
보수표'에	보수표/NNG+'/SS+에/JKB
따라	따르/VV+아/EC
정해진	정하/VV+아/EC+지/VX+ㄴ/ETM
금액만	금액/NNG+만/JX
받아야	받/VV+아야/EC
하기	하/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.141.8.6
법무사협회 관계자는 "법무사들은 보수를 높게 받으면 처벌을 받고, 지나치게 낮게 보수를 받아도 불공정 행위로 인정돼 법무사회로부터 징계를 받게 돼 있다"고 말했다.

법무사협회	법무사협회/NNP
관계자는	관계자/NNG+는/JX
"법무사들은	"/SS+법무사/NNG+들/XSN+은/JX
보수를	보수/NNG+를/JKO
높게	높/VA+게/EC
받으면	받/VV+으면/EC
처벌을	처벌/NNG+을/JKO
받고,	받/VV+고/EC+,/SP
지나치게	지나치/VA+게/EC
낮게	낮/VA+게/EC
받아도	받/VV+아도/EC
불공정	불/XPN+공정/NNG
행위로	행위/NNG+로/JKB
인정돼	인정/NNG+되/XSV+어/EC
법무사회로부터	법무사회/NNP+로부터/JKB
징계를	징계/NNG+를/JKO
받게	받/VV+게/EC
돼	되/VV+어/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.141.9.1
변호사들에 대한 법무사들의 반발은 국회에서도 이어지고 있다.

변호사들에	변호사/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
법무사들의	법무사/NNG+들/XSN+의/JKG
반발은	반발/NNG+은/JX
국회에서도	국회/NNG+에서/JKB+도/JX
이어지고	이어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.141.9.2
지난 2월에는 법무사 300여명이 소송에서 무조건 변호사를 선임토록 하는 '변호사 강제주의' 도입 법안을 발의한 새누리당 홍일표 의원의 지역구 사무실 앞에서 집회를 갖고 항의 서한을 전달했다.

지난	지나/VV+ㄴ/ETM
2월에는	2/SN+월/NNB+에/JKB+는/JX
법무사	법무사/NNG
300여명이	300/SN+여/XSN+명/NNB+이/JKS
소송에서	소송/NNG+에서/JKB
무조건	무조건/MAG
변호사를	변호사/NNG+를/JKO
선임토록	선임/NNG+하/XSV+도록/EC
하는	하/VX+는/ETM
'변호사	'/SS+변호사/NNG
강제주의'	강제/NNG+주의/NNG+'/SS
도입	도입/NNG
법안을	법안/NNG+을/JKO
발의한	발의/NNG+하/XSV+ㄴ/ETM
새누리당	새누리당/NNP
홍일표	홍일표/NNP
의원의	의원/NNG+의/JKG
지역구	지역구/NNG
사무실	사무실/NNG
앞에서	앞/NNG+에서/JKB
집회를	집회/NNG+를/JKO
갖고	갖/VV+고/EC
항의	항의/NNG
서한을	서한/NNG+을/JKO
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.141.9.3
법무사협회 정성학 부협회장은 "1년에 200명 정도 배출되는 법무사들이 매년 2000명 가까이 배출되는 변호사들과 경쟁하도록 내몰려 있다"며 "국가 차원에서 업무 영역을 정리해줄 필요가 있다"고 말했다.

법무사협회	법무사협회/NNP
정성학	정성학/NNP
부협회장은	부협회장/NNG+은/JX
"1년에	"/SS+1/SN+년/NNB+에/JKB
200명	200/SN+명/NNB
정도	정도/NNG
배출되는	배출/NNG+되/XSV+는/ETM
법무사들이	법무사/NNG+들/XSN+이/JKS
매년	매년/MAG
2000명	2000/SN+명/NNB
가까이	가까이/MAG
변호사들과	변호사/NNG+들/XSN+과/JKB
경쟁하도록	경쟁/NNG+하/XSV+도록/EC
내몰려	내몰리/VV+어/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"국가	"/SS+국가/NNG
차원에서	차원/NNG+에서/JKB
업무	업무/NNG
영역을	영역/NNG+을/JKO
정리해줄	정리/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


