# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.390
metadata : {}


# id : NWRW1800000052.390.1.1
“청와대 들어온 뒤 가족 간 교류마저 끊었다”

“청와대	“/SS+청와대/NNP
그런 바보 같은 짓에 말려들지 않도록 정신을 차리고 살아야 한다”고 공개적으로 야단을 치기도 했다.

그런	그런/MMD
바보	바보/NNG
같은	같/VA+은/ETM
짓에	짓/NNG+에/JKB
말려들지	말려들/VV+지/EC
않도록	않/VX+도록/EC
정신을	정신/NNG+을/JKO
차리고	차리/VV+고/EC
살아야	살/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
공개적으로	공개/NNG+적/XSN+으로/JKB
야단을	야단/NNG+을/JKO
치기도	치/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.390.5.1
하지만 박 대통령의 이날 담화 내용은 가족과 거리를 두면서도 최씨를 곁에 둘 만큼 사이가 끈끈했다는 점을 역설적으로 보여주는 것이기도 하다.

하지만	하지만/MAJ
박	박/NNP
대통령의	대통령/NNG+의/JKG
이날	이날/NNG
담화	담화/NNG
내용은	내용/NNG+은/JX
가족과	가족/NNG+과/JKB
거리를	거리/NNG+를/JKO
두면서도	두/VV+면서/EC+도/JX
최씨를	최/NNP+씨/NNB+를/JKO
곁에	곁/NNG+에/JKB
둘	두/VV+ㄹ/ETM
만큼	만큼/NNB
사이가	사이/NNG+가/JKS
끈끈했다는	끈끈하/VA+았/EP+다는/ETM
점을	점/NNG+을/JKO
역설적으로	역설/NNG+적/XSN+으로/JKB
보여주는	보이/VV+어/EC+주/VX+는/ETM
것이기도	것/NNB+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000052.390.5.2
동생 근령씨의 남편인 신동욱 공화당 총재는 최근에도 한 방송에 나와 “최순실씨로 인해 형제 관계가 나빠졌다”고 주장했다.

동생	동생/NNG
근령씨의	근령/NNP+씨/NNB+의/JKG
남편인	남편/NNG+이/VCP+ㄴ/ETM
신동욱	신동욱/NNP
공화당	공화당/NNP
총재는	총재/NNG+는/JX
최근에도	최근/NNG+에/JKB+도/JX
한	한/MMN
방송에	방송/NNG+에/JKB
나와	나오/VV+아/EC
“최순실씨로	“/SS+최순실/NNP+씨/NNB+로/JKB
인해	인/NNG+하/XSV+아/EC
형제	형제/NNG
관계가	관계/NNG+가/JKS
나빠졌다”고	나빠지/VV+었/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.390.5.3
노태우 정부 시절 근령씨와 지만씨가 청와대에 “최순실씨의 아버지 최태민씨가 형제들을 이간질하고 만날 수조차 없게 차단하고 있다”고 탄원서를 쓴 일화도 이미 널리 알려진 사실이다.

노태우	노태우/NNP
정부	정부/NNG
시절	시절/NNG
근령씨와	근령/NNP+씨/NNB+와/JC
지만씨가	지만/NNP+씨/NNB+가/JKS
청와대에	청와대/NNP+에/JKB
“최순실씨의	“/SS+최순실/NNP+씨/NNB+의/JKG
아버지	아버지/NNG
최태민씨가	최태민/NNP+씨/NNB+가/JKS
형제들을	형제/NNG+들/XSN+을/JKO
이간질하고	이간/NNG+질/XSN+하/XSV+고/EC
만날	만나/VV+ㄹ/ETM
수조차	수/NNB+조차/JX
없게	없/VA+게/EC
차단하고	차단/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
탄원서를	탄원서/NNG+를/JKO
쓴	쓰/VV+ㄴ/ETM
일화도	일화/NNG+도/JX
이미	이미/MAG
널리	널리/MAG
알려진	알려지/VV+ㄴ/ETM
사실이다.	사실/NNG+이/VCP+다/EF+./SF


