# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.377
metadata : {}


# id : NWRW1800000045.377.1.1
朴대통령 2일 시진핑에 ‘통일 역할’ 요청

朴대통령	朴/SH+대통령/NNG
주철기 대통령외교안보수석비서관은 31일 “박 대통령의 중국 전승 70주년 기념행사 참석은 한중 관계와 한반도 및 동북아 정세의 보다 나은 관리 등 여러 가지 요인을 감안해 심사숙고 후에 내린 결정”이라고 밝혔다.

주철기	주철기/NNP
대통령외교안보수석비서관은	대통령/NNG+외교/NNG+안보/NNG+수석/NNG+비서관/NNG+은/JX
31일	31/SN+일/NNB
“박	“/SS+박/NNP
대통령의	대통령/NNG+의/JKG
중국	중국/NNP
전승	전승/NNG
70주년	70/SN+주년/NNB
기념행사	기념행사/NNG
참석은	참석/NNG+은/JX
한중	한중/NNP
관계와	관계/NNG+와/JC
한반도	한반도/NNP
및	및/MAG
동북아	동북아/NNP
정세의	정세/NNG+의/JKG
보다	보다/MAG
나은	낫/VA+은/ETM
관리	관리/NNG
등	등/NNB
여러	여러/MMN
가지	가지/NNB
요인을	요인/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
심사숙고	심사숙고/NNG
후에	후/NNG+에/JKB
내린	내리/VV+ㄴ/ETM
결정”이라고	결정/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.377.5.1
청와대는 한미동맹에 부담이 될 수 있다는 지적에도 불구하고 전승절 참석을 결정한 네 가지 이유도 밝혔다.

청와대는	청와대/NNP+는/JX
한미동맹에	한미/NNP+동맹/NNG+에/JKB
부담이	부담/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
지적에도	지적/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
전승절	전승절/NNG
참석을	참석/NNG+을/JKO
결정한	결정/NNG+하/XSV+ㄴ/ETM
네	네/MMN
가지	가지/NNB
이유도	이유/NNG+도/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.377.5.2
연간 1000만 명의 인적 교류와 3000억 달러 교역 규모 달성을 내다보는 중국과의 우호협력 관계 증진을 비롯해 △한반도 평화와 안정 및 평화통일에 대한 중국의 역할 △평화와 안정 수호에 대한 중국의 확고한 의지 △독립항쟁의 역사를 기리기 위해서라는 것이다.

연간	연간/NNG
1000만	1000/SN+만/NR
명의	명/NNB+의/JKG
인적	인/NNG+적/XSN
교류와	교류/NNG+와/JC
3000억	3000/SN+억/NR
달러	달러/NNB
교역	교역/NNG
규모	규모/NNG
달성을	달성/NNG+을/JKO
내다보는	내다보/VV+는/ETM
중국과의	중국/NNP+과/JKB+의/JKG
우호협력	우호/NNG+협력/NNG
관계	관계/NNG
증진을	증진/NNG+을/JKO
비롯해	비롯하/VV+아/EC
△한반도	△/SW+한반도/NNP
평화와	평화/NNG+와/JC
안정	안정/NNG
및	및/MAG
평화통일에	평화/NNG+통일/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
중국의	중국/NNP+의/JKG
역할	역할/NNG
△평화와	△/SW+평화/NNG+와/JC
수호에	수호/NNG+에/JKB
확고한	확고하/VA+ㄴ/ETM
의지	의지/NNG
△독립항쟁의	△/SW+독립/NNG+항쟁/NNG+의/JKG
역사를	역사/NNG+를/JKO
기리기	기리/VV+기/ETN
위해서라는	위하/VV+아서/EC+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.377.6.1
박 대통령을 수행하는 경제사절단은 156명에 이른다.

박	박/NNP
대통령을	대통령/NNG+을/JKO
수행하는	수행/NNG+하/XSV+는/ETM
경제사절단은	경제/NNG+사절단/NNG+은/JX
156명에	156/SN+명/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.377.6.2
올 초 중남미 순방 때의 125명을 넘어서는 역대 최대 규모다.

올	올/NNG
초	초/NNB
중남미	중남미/NNP
순방	순방/NNG
때의	때/NNG+의/JKG
125명을	125/SN+명/NNB+을/JKO
넘어서는	넘어서/VV+는/ETM
역대	역대/NNG
최대	최대/NNG
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.377.6.3
박 대통령은 2일 베이징에 도착해 시 주석과 정상회담을 한 뒤 리커창(李克强) 중국 총리와 만나 한중 자유무역협정(FTA) 등 양국 간 관심사항에 대해 협의한다.

박	박/NNP
대통령은	대통령/NNG+은/JX
2일	2/SN+일/NNB
베이징에	베이징/NNP+에/JKB
도착해	도착/NNG+하/XSV+아/EC
시	시/NNP
주석과	주석/NNG+과/JKB
정상회담을	정상/NNG+회담/NNG+을/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
리커창(李克强)	리커창/NNP+(/SS+李克强/SH+)/SS
중국	중국/NNP
총리와	총리/NNG+와/JKB
만나	만나/VV+아/EC
한중	한중/NNP
자유무역협정(FTA)	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS
등	등/NNB
양국	양국/NNG
간	간/NNB
관심사항에	관심/NNG+사항/NNG+에/JKB
대해	대하/VV+아/EC
협의한다.	협의/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.377.6.4
3일에는 오전 10시부터 1시간 반 동안 톈안먼(天安門) 광장에서 열리는 전승절 기념행사를 참관한 뒤 시 주석이 주최하는 전승절 기념 오찬에 참석한다.

3일에는	3/SN+일/NNB+에/JKB+는/JX
오전	오전/NNG
10시부터	10/SN+시/NNB+부터/JX
1시간	1/SN+시간/NNB
반	반/NNG
동안	동안/NNG
톈안먼(天安門)	톈안먼/NNP+(/SS+天安門/SH+)/SS
광장에서	광장/NNG+에서/JKB
열리는	열리/VV+는/ETM
전승절	전승절/NNG
기념행사를	기념행사/NNG+를/JKO
참관한	참관/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
시	시/NNP
주석이	주석/NNG+이/JKS
주최하는	주최/NNG+하/XSV+는/ETM
기념	기념/NNG
오찬에	오찬/NNG+에/JKB
참석한다.	참석/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.377.6.5
박 대통령은 3일 오후 상하이로 이동해 4일 오전 상하이 임시정부청사 재개관식에 참석한다.

박	박/NNP
대통령은	대통령/NNG+은/JX
3일	3/SN+일/NNB
오후	오후/NNG
상하이로	상하이/NNP+로/JKB
이동해	이동/NNG+하/XSV+아/EC
4일	4/SN+일/NNB
오전	오전/NNG
상하이	상하이/NNP
임시정부청사	임시정부청사/NNP
재개관식에	재/XPN+개관식/NNG+에/JKB
참석한다.	참석/NNG+하/XSV+ㄴ다/EF+./SF


