# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.354
metadata : {}


# id : NWRW1800000037.354.1.1
신한은행도 압수수색… ‘팬 재팬’ 대출 통한 돈세탁 여부 수사

신한은행도	신한은행/NNP+도/JX
검찰은 CJ 측이 해외에 빼돌린 돈으로 대출금을 대신 갚아주는 방식을 통해 돈을 세탁했을 가능성이 크다고 보고 있다.

검찰은	검찰/NNG+은/JX
CJ	CJ/SL
측이	측/NNB+이/JKS
해외에	해외/NNG+에/JKB
빼돌린	빼돌리/VV+ㄴ/ETM
돈으로	돈/NNG+으로/JKB
대출금을	대출금/NNG+을/JKO
대신	대신/NNG
갚아주는	갚/VV+아/EC+주/VX+는/ETM
방식을	방식/NNG+을/JKO
통해	통하/VV+아/EC
돈을	돈/NNG+을/JKO
세탁했을	세탁/NNG+하/XSV+았/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다고	크/VA+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.354.5.3
검찰은 현재는 CJ의 다른 계열사의 일본 법인장을 맡고 있는 배 씨에게 소환을 통보했지만 도쿄에 거주 중인 배 씨는 건강상의 이유로 응하지 않고 있다.

검찰은	검찰/NNG+은/JX
현재는	현재/NNG+는/JX
CJ의	CJ/SL+의/JKG
다른	다른/MMD
계열사의	계열사/NNG+의/JKG
일본	일본/NNP
법인장을	법인장/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
배	배/NNP
씨에게	씨/NNB+에게/JKB
소환을	소환/NNG+을/JKO
통보했지만	통보/NNG+하/XSV+았/EP+지만/EC
도쿄에	도쿄/NNP+에/JKB
거주	거주/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
씨는	씨/NNB+는/JX
건강상의	건강/NNG+상/XSN+의/JKG
이유로	이유/NNG+로/JKB
응하지	응하/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.354.5.4
본보 취재팀이 29일 도쿄 법무국 증명서에 나와 있는 배 씨 거주지를 찾았지만 배 씨가 살고 있지 않았다.

본보	본보/NNG
취재팀이	취재/NNG+팀/NNG+이/JKS
29일	29/SN+일/NNB
도쿄	도쿄/NNP
법무국	법무국/NNG
증명서에	증명서/NNG+에/JKB
나와	나오/VV+아/EC
있는	있/VX+는/ETM
배	배/NNP
씨	씨/NNB
거주지를	거주지/NNG+를/JKO
찾았지만	찾/VV+았/EP+지만/EC
씨가	씨/NNB+가/JKS
살고	살/VV+고/EC
있지	있/VX+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.354.6.1
취재팀이 도쿄 법무국에서 발급받은 증명서에 따르면 이 회사는 처음엔 아카사카에 있는 팬 재팬 빌딩에 주소지를 뒀지만 불과 열흘 뒤에 니시신바시에 있는 CJ재팬 빌딩으로 본사를 이전했다.

취재팀이	취재/NNG+팀/NNG+이/JKS
도쿄	도쿄/NNP
법무국에서	법무국/NNG+에서/JKB
발급받은	발급/NNG+받/XSV+은/ETM
증명서에	증명서/NNG+에/JKB
따르면	따르/VV+면/EC
이	이/MMD
회사는	회사/NNG+는/JX
처음엔	처음/NNG+에/JKB+ㄴ/JX
아카사카에	아카사카/NNP+에/JKB
있는	있/VA+는/ETM
팬	팬/NNP
재팬	재팬/NNP
빌딩에	빌딩/NNG+에/JKB
주소지를	주소지/NNG+를/JKO
뒀지만	두/VV+었/EP+지만/EC
불과	불과/MAG
열흘	열흘/NNG
뒤에	뒤/NNG+에/JKB
니시신바시에	니시신바시/NNP+에/JKB
CJ재팬	CJ재팬/NNP
빌딩으로	빌딩/NNG+으로/JKB
본사를	본사/NNG+를/JKO
이전했다.	이전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.354.6.2
취재팀이 CJ재팬빌딩 본사를 찾아 1층의 입점 안내표를 살펴봤지만 팬 재팬이라는 회사 이름은 보이지 않았다.

취재팀이	취재/NNG+팀/NNG+이/JKS
CJ재팬빌딩	CJ재팬/NNP+빌딩/NNG
본사를	본사/NNG+를/JKO
찾아	찾/VV+아/EC
1층의	1/SN+층/NNG+의/JKG
입점	입점/NNG
안내표를	안내표/NNG+를/JKO
살펴봤지만	살펴보/VV+았/EP+지만/EC
팬	팬/NNP
재팬이라는	재팬/NNP+이/VCP+라는/ETM
회사	회사/NNG
이름은	이름/NNG+은/JX
보이지	보이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.354.6.3
이름은 있지만 사무실이 없는 ‘페이퍼컴퍼니’일 가능성이 있다는 의혹이 제기되는 것도 이 때문이다.

이름은	이름/NNG+은/JX
있지만	있/VA+지만/EC
사무실이	사무실/NNG+이/JKS
없는	없/VA+는/ETM
‘페이퍼컴퍼니’일	‘/SS+페이퍼/NNG+컴퍼니/NNG+’/SS+이/VCP+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다는	있/VA+다는/ETM
의혹이	의혹/NNG+이/JKS
제기되는	제기/NNG+되/XSV+는/ETM
것도	것/NNB+도/JX
이	이/NP
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.354.7.1
증명서를 살펴보면 이 회사는 사탕과 감미료, 보석류를 판매하는 동시에 영화와 음악을 거래하고, 부동산 매매·임대·중개를 하는 등 다양한 업무를 취급하는 곳으로 돼 있다.

증명서를	증명서/NNG+를/JKO
살펴보면	살펴보/VV+면/EC
이	이/MMD
회사는	회사/NNG+는/JX
사탕과	사탕/NNG+과/JC
감미료,	감미료/NNG+,/SP
보석류를	보석/NNG+류/XSN+를/JKO
판매하는	판매/NNG+하/XSV+는/ETM
동시에	동시/NNG+에/JKB
영화와	영화/NNG+와/JC
음악을	음악/NNG+을/JKO
거래하고,	거래/NNG+하/XSV+고/EC+,/SP
부동산	부동산/NNG
매매·임대·중개를	매매/NNG+·/SP+임대/NNG+·/SP+중개/NNG+를/JKO
하는	하/VV+는/ETM
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
업무를	업무/NNG+를/JKO
취급하는	취급/NNG+하/XSV+는/ETM
곳으로	곳/NNG+으로/JKB
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.354.7.2
하지만 검찰은 이 회사의 부동산 관리업무에 주목하고 있다.

하지만	하지만/MAJ
검찰은	검찰/NNG+은/JX
이	이/MMD
회사의	회사/NNG+의/JKG
부동산	부동산/NNG
관리업무에	관리/NNG+업무/NNG+에/JKB
주목하고	주목/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.354.7.3
이 회사가 각종 부동산을 차명으로 사들여 수익을 내고 이를 통해 비자금을 세탁하는 등 이 회장의 비자금 창구로 이용됐을 가능성이 있다고 보는 것이다.

이	이/MMD
회사가	회사/NNG+가/JKS
각종	각종/NNG
부동산을	부동산/NNG+을/JKO
차명으로	차명/NNG+으로/JKB
사들여	사들이/VV+어/EC
수익을	수익/NNG+을/JKO
내고	내/VV+고/EC
이를	이/NP+를/JKO
통해	통하/VV+아/EC
비자금을	비자금/NNG+을/JKO
세탁하는	세탁/NNG+하/XSV+는/ETM
등	등/NNB
회장의	회장/NNG+의/JKG
비자금	비자금/NNG
창구로	창구/NNG+로/JKB
이용됐을	이용/NNG+되/XSV+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다고	있/VA+다고/EC
보는	보/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


