# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.5
metadata : {}


# id : NWRW1800000052.5.1.1
“가계 빚 ‘위험 수위’…정부 관리 가능한 범위 넘어섰다”

“가계	“/SS+가계/NNG
진보 쪽 발제자로 나선 김남근 변호사(참여연대 집행위원장)도 “가계부채의 증가가 가계의 부담으로 이어져 민간 소비 위축과 내수 경제의 장기 침체로 귀결될 가능성이 높다”고 경고했다.

진보	진보/NNG
쪽	쪽/NNB
발제자로	발제자/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
김남근	김남근/NNP
변호사(참여연대	변호사/NNG+(/SS+참여연대/NNP
집행위원장)도	집행/NNG+위원장/NNG+)/SS+도/JX
“가계부채의	“/SS+가계/NNG+부채/NNG+의/JKG
증가가	증가/NNG+가/JKS
가계의	가계/NNG+의/JKG
부담으로	부담/NNG+으로/JKB
이어져	이어지/VV+어/EC
민간	민간/NNG
소비	소비/NNG
위축과	위축/NNG+과/JC
내수	내수/NNG
경제의	경제/NNG+의/JKG
장기	장기/NNG
침체로	침체/NNG+로/JKB
귀결될	귀결/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다”고	높/VA+다/EF+”/SS+고/JKQ
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.5.8.3
토론자로 나온 박창균 중앙대 경영학부 교수도 “가계부채 위기의 개념을 넓게 보면 이미 위기 상황에 근접해 있다”고 지적했다.

토론자로	토론자/NNG+로/JKB
나온	나오/VV+ㄴ/ETM
박창균	박창균/NNP
중앙대	중앙대/NNP
경영학부	경영학부/NNG
교수도	교수/NNG+도/JX
“가계부채	“/SS+가계/NNG+부채/NNG
위기의	위기/NNG+의/JKG
개념을	개념/NNG+을/JKO
넓게	넓/VA+게/EC
보면	보/VV+면/EC
이미	이미/MAG
위기	위기/NNG
상황에	상황/NNG+에/JKB
근접해	근접/NNG+하/XSV+아/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.5.8.4
김광두 국가미래연구원장은 “기업들의 부실이 심각한 상황이어서 가계부채 부실과 동시에 터질 가능성도 염두에 둬야 한다”고 걱정했다.

김광두	김광두/NNP
국가미래연구원장은	국가미래연구원장/NNG+은/JX
“기업들의	“/SS+기업/NNG+들/XSN+의/JKG
부실이	부실/NNG+이/JKS
심각한	심각하/VA+ㄴ/ETM
상황이어서	상황/NNG+이/VCP+어서/EC
가계부채	가계/NNG+부채/NNG
부실과	부실/NNG+과/JKB
동시에	동시/NNG+에/JKB
터질	터지/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
염두에	염두/NNG+에/JKB
둬야	두/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
걱정했다.	걱정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.5.9.1
이는 박근혜 대통령이 올해 1월 연두 기자회견에서 “가계부채가 우리 경제에 위험 요인이 될 수 있다는 것을 알고 일관되게 관리해오고 있다”고 밝힌 것과 정면으로 배치된다.

이는	이/NP+는/JX
박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
올해	올해/NNG
1월	1/SN+월/NNB
연두	연두/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“가계부채가	“/SS+가계/NNG+부채/NNG+가/JKS
우리	우리/NP
경제에	경제/NNG+에/JKB
위험	위험/NNG
요인이	요인/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것을	것/NNB+을/JKO
알고	알/VV+고/EC
일관되게	일관/NNG+되/XSV+게/EC
관리해오고	관리/NNG+하/XSV+아/EC+오/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
것과	것/NNB+과/JKB
정면으로	정면/NNG+으로/JKB
배치된다.	배치/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.5.9.2
가계부채 총액은 지난해 3분기 현재 1166조원으로, 박근혜 정부가 2014년 8월 주택담보대출비율(LTV)과 총부채상환비율(DTI) 등의 규제를 완화한 이후 급증했다.

가계부채	가계/NNG+부채/NNG
총액은	총액/NNG+은/JX
지난해	지난해/NNG
3분기	3/SN+분기/NNG
현재	현재/MAG
1166조원으로,	1166/SN+조/NR+원/NNB+으로/JKB+,/SP
박근혜	박근혜/NNP
정부가	정부/NNG+가/JKS
2014년	2014/SN+년/NNB
8월	8/SN+월/NNB
주택담보대출비율(LTV)과	주택/NNG+담보/NNG+대출/NNG+비율/NNG+(/SS+LTV/SL+)/SS+과/JC
총부채상환비율(DTI)	총부채/NNG+상환/NNG+비율/NNG+(/SS+DTI/SL+)/SS
등의	등/NNB+의/JKG
규제를	규제/NNG+를/JKO
완화한	완화/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.5.9.3
또 가처분소득 대비 가계부채 비율은 143%로, 2014년의 138%에 비해 5%포인트 높아졌다

또	또/MAG
가처분소득	가/XPN+처분/NNG+소득/NNG
대비	대비/NNG
가계부채	가계/NNG+부채/NNG
비율은	비율/NNG+은/JX
143%로,	143/SN+%/SW+로/JKB+,/SP
2014년의	2014/SN+년/NNB+의/JKG
138%에	138/SN+%/SW+에/JKB
비해	비/NNG+하/XSV+아/EC
5%포인트	5/SN+%포인트/NNG
높아졌다	높아지/VV+었/EP+다/EF


# id : NWRW1800000052.5.10.1
김 교수는 “박근혜 정부는 2014년 2월 경제혁신 3개년 계획에서 가처분소득 대비 가계부채 비율을 2013년 기준 134.2%에서 2017년 129.2%로 5%포인트 낮추겠다고 약속했으나 오히려 더 높아졌다.

김	김/NNP
교수는	교수/NNG+는/JX
“박근혜	“/SS+박근혜/NNP
정부는	정부/NNG+는/JX
2014년	2014/SN+년/NNB
2월	2/SN+월/NNB
경제혁신	경제/NNG+혁신/NNG
3개년	3/SN+개년/NNB
계획에서	계획/NNG+에서/JKB
가처분소득	가/XPN+처분/NNG+소득/NNG
대비	대비/NNG
가계부채	가계/NNG+부채/NNG
비율을	비율/NNG+을/JKO
2013년	2013/SN+년/NNB
기준	기준/NNG
134.2%에서	134/SN+./SP+2/SN+%/SW+에서/JKB
2017년	2017/SN+년/NNB
129.2%로	129/SN+./SP+2/SN+%/SW+로/JKB
5%포인트	5/SN+%포인트/NNG
낮추겠다고	낮추/VV+겠/EP+다고/EC
약속했으나	약속/NNG+하/XSV+았/EP+으나/EC
오히려	오히려/MAG
더	더/MAG
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.5.10.2
가계부채 문제가 정부의 관리 가능한 범위를 벗어난 것은 확실하다”고 말했다.

가계부채	가계/NNG+부채/NNG
문제가	문제/NNG+가/JKS
정부의	정부/NNG+의/JKG
관리	관리/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
범위를	범위/NNG+를/JKO
벗어난	벗어나/VV+ㄴ/ETM
것은	것/NNB+은/JX
확실하다”고	확실하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.5.10.3
김 교수는 가계부채 위기의 원인과 관련해 “근본적으로 부채 주도 성장 정책 때문으로, 정부-한은-금융감독당국의 합작품”이라면서 “가계부채 구조조정에 선제적이고 적극적으로 나선 영국 등의 사례를 교훈 삼아, 주택담보대출 규제 강화 등 다각적인 대책이 필요하다”고 말했다.

김	김/NNP
교수는	교수/NNG+는/JX
가계부채	가계/NNG+부채/NNG
위기의	위기/NNG+의/JKG
원인과	원인/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“근본적으로	“/SS+근본/NNG+적/XSN+으로/JKB
부채	부채/NNG
주도	주도/NNG
성장	성장/NNG
정책	정책/NNG
때문으로,	때문/NNB+으로/JKB+,/SP
정부-한은-금융감독당국의	정부/NNG+-/SO+한은/NNP+-/SO+금융/NNG+감독/NNG+당국/NNG+의/JKG
합작품”이라면서	합작품/NNG+”/SS+이/VCP+라면서/EC
“가계부채	“/SS+가계/NNG+부채/NNG
구조조정에	구조/NNG+조정/NNG+에/JKB
선제적이고	선제/NNG+적/XSN+이/VCP+고/EC
적극적으로	적극/NNG+적/XSN+으로/JKB
나선	나서/VV+ㄴ/ETM
영국	영국/NNP
등의	등/NNB+의/JKG
사례를	사례/NNG+를/JKO
교훈	교훈/NNG
삼아,	삼/VV+아/EC+,/SP
주택담보대출	주택/NNG+담보/NNG+대출/NNG
규제	규제/NNG
강화	강화/NNG
등	등/NNB
다각적인	다각/NNG+적/XSN+이/VCP+ㄴ/ETM
대책이	대책/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.5.10.4
김 변호사는 “미국처럼 금융기관이 무분별한 과잉 대출을 하지 못하도록 법으로 규제하는 방안이 필요하다”고 제안했다.

김	김/NNP
변호사는	변호사/NNG+는/JX
“미국처럼	“/SS+미국/NNP+처럼/JKB
금융기관이	금융/NNG+기관/NNG+이/JKS
무분별한	무/XPN+분별/NNG+하/XSA+ㄴ/ETM
과잉	과잉/NNG
대출을	대출/NNG+을/JKO
하지	하/VV+지/EC
못하도록	못하/VX+도록/EC
법으로	법/NNG+으로/JKB
규제하는	규제/NNG+하/XSV+는/ETM
방안이	방안/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.5.11.1
이날 토론회는 윤석헌 숭실대 금융학부 교수가 사회를 맡고, 토론에 신세돈 숙명여대 경제학부 교수, 박창균 교수, 임진 한국금융연구원 연구위원이 참여했다.

이날	이날/NNG
토론회는	토론회/NNG+는/JX
윤석헌	윤석헌/NNP
숭실대	숭실대/NNP
금융학부	금융학부/NNG
교수가	교수/NNG+가/JKS
사회를	사회/NNG+를/JKO
맡고,	맡/VV+고/EC+,/SP
토론에	토론/NNG+에/JKB
신세돈	신세돈/NNP
숙명여대	숙명여대/NNP
경제학부	경제학부/NNG
교수,	교수/NNG+,/SP
박창균	박창균/NNP
임진	임진/NNP
한국금융연구원	한국금융연구원/NNP
연구위원이	연구/NNG+위원/NNG+이/JKS
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.5.11.2
보수와 진보가 함께 하는 합동토론회는 우리사회의 뿌리 깊은 진영논리에서 벗어나 변화와 개혁을 모색하는 자리로서, 지난해 6월말 이후 매달 한차례씩 열려 이번이 여덟 번째이다.

보수와	보수/NNG+와/JC
진보가	진보/NNG+가/JKS
함께	함께/MAG
하는	하/VV+는/ETM
합동토론회는	합동/NNG+토론회/NNG+는/JX
우리사회의	우리/NP+사회/NNG+의/JKG
뿌리	뿌리/NNG
깊은	깊/VA+은/ETM
진영논리에서	진영/NNG+논리/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
변화와	변화/NNG+와/JC
개혁을	개혁/NNG+을/JKO
모색하는	모색/NNG+하/XSV+는/ETM
자리로서,	자리/NNG+로서/JKB+,/SP
지난해	지난해/NNG
6월말	6/SN+월/NNB+말/NNB
이후	이후/NNG
매달	매달/MAG
한차례씩	한/MMN+차례/NNG+씩/XSN
열려	열리/VV+어/EC
이번이	이번/NNG+이/JKS
여덟	여덟/NR
번째이다.	번/NNB+째/XSN+이/VCP+다/EF+./SF


