# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.372
metadata : {}


# id : NWRW1800000037.372.1.1
朴대통령 “전쟁 나면 반드시 승리해야”

朴대통령	朴/SH+대통령/NNG
더이상	더/MAG+이상/NNG
B1	B/SL+1/SN
벙커에	벙커/NNG+에/JKB
들르지	들르/VV+지/EC
않았던	않/VX+았/EP+던/ETM
것.	것/NNB+./SF


# id : NWRW1800000037.372.4.4
군 출신의 전두환 전 대통령은 을지연습 기간에 가족을 데리고 B1 벙커에 들어와 이틀간 머무르며 직접 훈련을 지휘하기도 한 것으로 전해졌다.

군	군/NNG
출신의	출신/NNG+의/JKG
전두환	전두환/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
을지연습	을지/NNP+연습/NNG
기간에	기간/NNG+에/JKB
가족을	가족/NNG+을/JKO
데리고	데리/VV+고/EC
B1	B/SL+1/SN
벙커에	벙커/NNG+에/JKB
들어와	들어오/VV+아/EC
이틀간	이틀/NNG+간/XSN
머무르며	머무르/VV+며/EC
직접	직접/MAG
훈련을	훈련/NNG+을/JKO
지휘하기도	지휘/NNG+하/XSV+기/ETN+도/JX
한	하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.372.5.1
박 대통령은 이날 김관진 국방부 장관, 정승조 합참의장, 각 군 참모총장 등 군 주요 지휘관들이 참석한 가운데 한 시간 반가량 을지연습 현장을 살펴보며 훈련 상황을 챙겼다.

박	박/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
김관진	김관진/NNP
국방부	국방부/NNG
장관,	장관/NNG+,/SP
정승조	정승조/NNP
합참의장,	합참/NNG+의장/NNG+,/SP
각	각/MMD
군	군/NNG
참모총장	참모/NNG+총장/NNG
등	등/NNB
주요	주요/NNG
지휘관들이	지휘관/NNG+들/XSN+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
한	한/MMN
시간	시간/NNB
반가량	반/NNG+가량/XSN
을지연습	을지/NNP+연습/NNG
현장을	현장/NNG+을/JKO
살펴보며	살펴보/VV+며/EC
훈련	훈련/NNG
상황을	상황/NNG+을/JKO
챙겼다.	챙기/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.372.6.1
박 대통령은 “군은 강력한 억지력으로 전쟁을 사전에 막아야 하지만 전쟁이 발발하면 반드시 승리해야 한다”며 “그런 사명을 가슴에 새기고 항상 확고한 대비 태세를 갖춰주길 바란다”고 당부했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
“군은	“/SS+군/NNG+은/JX
강력한	강력/NNG+하/XSA+ㄴ/ETM
억지력으로	억지력/NNG+으로/JKB
전쟁을	전쟁/NNG+을/JKO
사전에	사전/NNG+에/JKB
막아야	막/VV+아야/EC
하지만	하/VX+지만/EC
전쟁이	전쟁/NNG+이/JKS
발발하면	발발/NNG+하/XSV+면/EC
반드시	반드시/MAG
승리해야	승리/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“그런	“/SS+그런/MMD
사명을	사명/NNG+을/JKO
가슴에	가슴/NNG+에/JKB
새기고	새기/VV+고/EC
항상	항상/MAG
확고한	확고하/VA+ㄴ/ETM
대비	대비/NNG
태세를	태세/NNG+를/JKO
갖춰주길	갖추/VV+어/EC+주/VX+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.372.6.2
B1 벙커 방문 당시 이 전 대통령은 한국군뿐만 아니라 미군 지휘관과도 화상통화를 했지만 이날 박 대통령은 한국군 지휘관들과만 화상통화를 한 것으로 알려졌다.

B1	B/SL+1/SN
벙커	벙커/NNG
방문	방문/NNG
당시	당시/NNG
이	이/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
한국군뿐만	한국군/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
미군	미군/NNG
지휘관과도	지휘관/NNG+과/JKB+도/JX
화상통화를	화상/NNG+통화/NNG+를/JKO
했지만	하/VV+았/EP+지만/EC
이날	이날/NNG
박	박/NNP
한국군	한국군/NNG
지휘관들과만	지휘관/NNG+들/XSN+과/JKB+만/JX
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.372.6.3
김, 노 전 대통령은 간단히 보고만 받고 자리를 떠났다고 한다.

김,	김/NNP+,/SP
노	노/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
간단히	간단히/MAG
보고만	보고/NNG+만/JX
받고	받/VV+고/EC
자리를	자리/NNG+를/JKO
떠났다고	떠나/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.372.7.1
박 대통령은 한미연합사 훈련 현장인 CP 탱고도 방문해 한미연합사와 주한미군 장병들을 격려했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
한미연합사	한미연합사/NNP
훈련	훈련/NNG
현장인	현장/NNG+이/VCP+ㄴ/ETM
CP	CP/SL
탱고도	탱고/NNG+도/JX
방문해	방문/NNG+하/XSV+아/EC
한미연합사와	한미연합사/NNP+와/JC
주한미군	주한/NNG+미군/NNG
장병들을	장병/NNG+들/XSN+을/JKO
격려했다.	격려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.372.7.2
이 자리에서 박 대통령은 할아버지와 세 명의 할아버지 형제, 아버지까지 다섯 명이 6·25전쟁에 참전하는 등 3대에 걸쳐 한국과 각별한 인연을 맺은 홀라몬 중령을 소개하기도 했다.

이	이/MMD
자리에서	자리/NNG+에서/JKB
박	박/NNP
대통령은	대통령/NNG+은/JX
할아버지와	할아버지/NNG+와/JC
세	세/MMN
명의	명/NNB+의/JKG
할아버지	할아버지/NNG
형제,	형제/NNG+,/SP
아버지까지	아버지/NNG+까지/JX
다섯	다섯/NR
명이	명/NNB+이/JKS
6·25전쟁에	6/SN+·/SP+25/SN+전쟁/NNG+에/JKB
참전하는	참전/NNG+하/XSV+는/ETM
등	등/NNB
3대에	3/SN+대/NNB+에/JKB
걸쳐	걸치/VV+어/EC
한국과	한국/NNP+과/JKB
각별한	각별/NNG+하/XSA+ㄴ/ETM
인연을	인연/NNG+을/JKO
맺은	맺/VV+은/ETM
홀라몬	홀라몬/NNP
중령을	중령/NNG+을/JKO
소개하기도	소개/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


