# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.352
metadata : {}


# id : NWRW1800000046.352.1.1
野 "국민연금 '50%(소득 대비 받는 돈)' 못박아야 개혁案 통과"

野	野/SH
무산시키는	무산/NNG+시키/XSV+는/ETM
건	거/NNB+ㄴ/JX
모두	모두/MAG
부담스럽기	부담/NNG+스럽/XSA+기/ETN
때문에	때문/NNB+에/JKB
막판까지	막판/NNG+까지/JX
협상을	협상/NNG+을/JKO
통해	통하/VV+아/EC
해결	해결/NNG
방안을	방안/NNG+을/JKO
마련하려	마련/NNG+하/XSV+려/EC
시도할	시도/NNG+하/XSV+ㄹ/ETM
것"이라고도	것/NNB+"/SS+이라고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


