# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.215
metadata : {}


# id : NWRW1800000053.215.1.1
프로야구선수협회, 복지수당 요구

프로야구선수협회,	프로야구선수협회/NNP+,/SP
사인회를	사인회/NNG+를/JKO
보이콧했다는	보이콧/NNG+하/XSV+았/EP+다는/ETM
루머가	루머/NNG+가/JKS
돌기도	돌/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.215.6.2
올해도 같은 방식으로 선수단이 메리트 제도 부활을 위해 애쓸 것이라는 소문도 있었다.

올해도	올해/NNG+도/JX
같은	같/VA+은/ETM
방식으로	방식/NNG+으로/JKB
선수단이	선수단/NNG+이/JKS
메리트	메리트/NNG
제도	제도/NNG
부활을	부활/NNG+을/JKO
위해	위하/VV+아/EC
애쓸	애쓰/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
소문도	소문/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000053.215.6.3
이에 대해 선수협은 “구단에서 협조를 해주지 않는 경우 선수단 자체적으로 팬 서비스 행사를 마련하자고 결의했다”고 반박했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
선수협은	선수협/NNG+은/JX
“구단에서	“/SS+구단/NNG+에서/JKB
협조를	협조/NNG+를/JKO
해주지	하/VV+아/EC+주/VX+지/EC
않는	않/VX+는/ETM
경우	경우/NNG
선수단	선수단/NNG
자체적으로	자체/NNG+적/XSN+으로/JKB
팬	팬/NNG
서비스	서비스/NNG
행사를	행사/NNG+를/JKO
마련하자고	마련/NNG+하/XSV+자고/EC
결의했다”고	결의/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.215.7.1
선수협은 “오히려 선수들이 수단을 가리지 않는 구단의 성적지상주의 구조와 메리트 제도의 희생자다.

선수협은	선수협/NNG+은/JX
“오히려	“/SS+오히려/MAG
선수들이	선수/NNG+들/XSN+이/JKS
수단을	수단/NNG+을/JKO
가리지	가리/VV+지/EC
않는	않/VX+는/ETM
구단의	구단/NNG+의/JKG
성적지상주의	성적/NNG+지상주의/NNG
구조와	구조/NNG+와/JC
메리트	메리트/NNG
제도의	제도/NNG+의/JKG
희생자다.	희생자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.215.7.2
구단들은 자신들이 만들어 놓은 메리트 제도의 책임을 선수협에 뒤집어씌워서는 안 된다”며 “구단과 KBO는 스스로 공정한 룰을 만들고 선수들이 경기력 향상을 위해 최선을 다할 수 있도록 선수 복지 제도와 규약 개선에 힘써야 할 것”이라고 주문했다.

구단들은	구단/NNG+들/XSN+은/JX
자신들이	자신/NNG+들/XSN+이/JKS
만들어	만들/VV+어/EC
놓은	놓/VX+은/ETM
메리트	메리트/NNG
제도의	제도/NNG+의/JKG
책임을	책임/NNG+을/JKO
선수협에	선수협/NNG+에/JKB
뒤집어씌워서는	뒤집어씌우/VV+어서/EC+는/JX
안	안/MAG
된다”며	되/VV+ㄴ다/EF+”/SS+며/EC
“구단과	“/SS+구단/NNG+과/JC
KBO는	KBO/SL+는/JX
스스로	스스로/MAG
공정한	공정/NNG+하/XSA+ㄴ/ETM
룰을	룰/NNG+을/JKO
만들고	만들/VV+고/EC
선수들이	선수/NNG+들/XSN+이/JKS
경기력	경기력/NNG
향상을	향상/NNG+을/JKO
위해	위하/VV+아/EC
최선을	최선/NNG+을/JKO
다할	다/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
선수	선수/NNG
복지	복지/NNG
제도와	제도/NNG+와/JC
규약	규약/NNG
개선에	개선/NNG+에/JKB
힘써야	힘쓰/VV+어야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


