# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.106
metadata : {}


# id : NWRW1800000040.106.1.1
절망적 재앙 앞에서 더 강인해진 가족애

절망적	절망/NNG+적/XSN
가족들을	가족/NNG+들/XSN+을/JKO
찢어놓는	찢/VV+어/EC+놓/VX+는/ETM
비극의	비극/NNG+의/JKG
공간으로	공간/NNG+으로/JKB
바뀐다.	바뀌/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.106.6.1
17일 개봉한 영화 <더 임파서블>(감독 후안 안토니오 바요나)은 2004년 타이에서 수십만명의 생명을 쓸어간 지진해일 현장에서 살아남은 한 가족의 생존 실화를 다룬다.

17일	17/SN+일/NNB
개봉한	개봉/NNG+하/XSV+ㄴ/ETM
영화	영화/NNG
<더	</SS+더/NNP
임파서블>(감독	임파서블/NNP+>/SS+(/SS+감독/NNG
후안	후안/NNP
안토니오	안토니오/NNP
바요나)은	바요나/NNP+)/SS+은/JX
2004년	2004/SN+년/NNB
타이에서	타이/NNP+에서/JKB
수십만명의	수십만/NR+명/NNB+의/JKG
생명을	생명/NNG+을/JKO
쓸어간	쓸/VV+어/EC+가/VV+ㄴ/ETM
지진해일	지진/NNG+해일/NNG
현장에서	현장/NNG+에서/JKB
살아남은	살아남/VV+은/ETM
한	한/MMN
가족의	가족/NNG+의/JKG
생존	생존/NNG
실화를	실화/NNG+를/JKO
다룬다.	다루/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.106.6.2
영화는 크리스마스를 맞아 아내, 아들 셋과 리조트에 놀러온 ‘헨리’(유언 맥그레거) 가족의 행복한 웃음을 잠깐 보여준 뒤, 지진해일이 밀려와 생사를 모른 채 헤어진 이들이 극적으로 만나는 과정을 뭉클하게 담아낸다.

영화는	영화/NNG+는/JX
크리스마스를	크리스마스/NNG+를/JKO
맞아	맞/VV+아/EC
아내,	아내/NNG+,/SP
아들	아들/NNG
셋과	셋/NR+과/JC
리조트에	리조트/NNG+에/JKB
놀러온	놀/VV+러/EC+오/VV+ㄴ/ETM
‘헨리’(유언	‘/SS+헨리/NNP+’/SS+(/SS+유언/NNP
맥그레거)	맥그레거/NNP+)/SS
가족의	가족/NNG+의/JKG
행복한	행복/NNG+하/XSA+ㄴ/ETM
웃음을	웃음/NNG+을/JKO
잠깐	잠깐/MAG
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
뒤,	뒤/NNG+,/SP
지진해일이	지진/NNG+해일/NNG+이/JKS
밀려와	밀려오/VV+아/EC
생사를	생사/NNG+를/JKO
모른	모르/VV+ㄴ/ETM
채	채/NNB
헤어진	헤어지/VV+ㄴ/ETM
이들이	이/NP+들/XSN+이/JKS
극적으로	극/NNG+적/XSN+으로/JKB
만나는	만나/VV+는/ETM
과정을	과정/NNG+을/JKO
뭉클하게	뭉클/MAG+하/XSA+게/EC
담아낸다.	담아내/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.106.6.3
영화는 집어삼킬 듯한 지진해일의 위용을 생생하게 보여주며, 관객들이 급류에 휘말린 듯한 공포도 느끼게 만든다.

영화는	영화/NNG+는/JX
집어삼킬	집어삼키/VV+ㄹ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
지진해일의	지진/NNG+해일/NNG+의/JKG
위용을	위용/NNG+을/JKO
생생하게	생생하/VA+게/EC
보여주며,	보이/VV+어/EC+주/VX+며/EC+,/SP
관객들이	관객/NNG+들/XSN+이/JKS
급류에	급류/NNG+에/JKB
휘말린	휘말리/VV+ㄴ/ETM
공포도	공포/NNG+도/JX
느끼게	느끼/VV+게/EC
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.106.7.1
많은 재난영화가 그렇듯, 영화는 자녀들을 살리려는 엄마와 아빠의 분투를 비춘다.

많은	많/VA+은/ETM
재난영화가	재난/NNG+영화/NNG+가/JKS
그렇듯,	그렇/VA+듯/EC+,/SP
영화는	영화/NNG+는/JX
자녀들을	자녀/NNG+들/XSN+을/JKO
살리려는	살리/VV+려는/ETM
엄마와	엄마/NNG+와/JC
아빠의	아빠/NNG+의/JKG
분투를	분투/NNG+를/JKO
비춘다.	비추/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.106.7.2
엄마(나오미 와츠)는 자신의 살점이 크게 찢겨나갔는데도 바닷물에 휩쓸려가는 큰아들(톰 홀랜드)의 손을 놓치지 않으려 하고, 의식이 희미해지는 상황에서도 아들을 위해 삶을 포기하지 않는다.

엄마(나오미	엄마/NNG+(/SS+나오미/NNP
와츠)는	와츠/NNP+)/SS+는/JX
자신의	자신/NNG+의/JKG
살점이	살점/NNG+이/JKS
크게	크/VA+게/EC
찢겨나갔는데도	찢기/VV+어/EC+나가/VX+았/EP+는데/EC+도/JX
바닷물에	바닷물/NNG+에/JKB
휩쓸려가는	휩쓸리/VV+어/EC+가/VV+는/ETM
큰아들(톰	큰아들/NNG+(/SS+톰/NNP
홀랜드)의	홀랜드/NNP+)/SS+의/JKG
손을	손/NNG+을/JKO
놓치지	놓치/VV+지/EC
않으려	않/VX+으려/EC
하고,	하/VX+고/EC+,/SP
의식이	의식/NNG+이/JKS
희미해지는	희미하/VA+아/EC+지/VX+는/ETM
상황에서도	상황/NNG+에서/JKB+도/JX
아들을	아들/NNG+을/JKO
위해	위하/VV+아/EC
삶을	삶/NNG+을/JKO
포기하지	포기/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000040.106.7.3
다른 두 아들과 함께 살아난 아빠는 아내와 큰아들을 찾으려고 참사 현장을 헤맨다.

다른	다른/MMD
두	두/MMN
아들과	아들/NNG+과/JKB
함께	함께/MAG
살아난	살아나/VV+ㄴ/ETM
아빠는	아빠/NNG+는/JX
아내와	아내/NNG+와/JC
큰아들을	큰아들/NNG+을/JKO
찾으려고	찾/VV+으려고/EC
참사	참사/NNG
현장을	현장/NNG+을/JKO
헤맨다.	헤매/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.106.8.1
영화에서 인상적인 것은 어리광만 부릴 듯한 어린 세 아들이 보여주는 변화다.

영화에서	영화/NNG+에서/JKB
인상적인	인상/NNG+적/XSN+이/VCP+ㄴ/ETM
것은	것/NNB+은/JX
어리광만	어리광/NNG+만/JX
부릴	부리/VV+ㄹ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
어린	어리/VA+ㄴ/ETM
세	세/MMN
아들이	아들/NNG+이/JKS
보여주는	보이/VV+어/EC+주/VX+는/ETM
변화다.	변화/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.106.8.2
“우리가 먼저 살아야 한다”며 흙더미에 묻힌 꼬마 아이의 소리를 듣고도 지나치려던 큰아들은 엄마의 말을 따라 구해준 그 아이가 행복한 결말에 이른 모습을 보고, 인간에 대한 애정이 어떤 힘을 발휘할 수 있는지를 배운다.

“우리가	“/SS+우리/NP+가/JKS
먼저	먼저/MAG
살아야	살/VV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
흙더미에	흙더미/NNG+에/JKB
묻힌	묻히/VV+ㄴ/ETM
꼬마	꼬마/NNG
아이의	아이/NNG+의/JKG
소리를	소리/NNG+를/JKO
듣고도	듣/VV+고/EC+도/JX
지나치려던	지나치/VV+려던/ETM
큰아들은	큰아들/NNG+은/JX
엄마의	엄마/NNG+의/JKG
말을	말/NNG+을/JKO
따라	따르/VV+아/EC
구해준	구하/VV+아/EC+주/VX+ㄴ/ETM
그	그/MMD
아이가	아이/NNG+가/JKS
행복한	행복/NNG+하/XSA+ㄴ/ETM
결말에	결말/NNG+에/JKB
이른	이르/VV+ㄴ/ETM
모습을	모습/NNG+을/JKO
보고,	보/VV+고/EC+,/SP
인간에	인간/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
애정이	애정/NNG+이/JKS
어떤	어떤/MMD
힘을	힘/NNG+을/JKO
발휘할	발휘/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는지를	있/VA+는지/EF+를/JKO
배운다.	배우/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.106.8.3
일곱살배기 둘째 아들은 무서워하는 다섯살 남동생에게 자신의 어깨를 내어주고 손을 잡아주는 것만으로도 위안을 줄 수 있다는 것을 경험한다.

일곱살배기	일곱/NR+살/NNB+배기/XSN
둘째	둘째/NR
아들은	아들/NNG+은/JX
무서워하는	무서워하/VV+는/ETM
다섯살	다섯/NR+살/NNB
남동생에게	남동생/NNG+에게/JKB
자신의	자신/NNG+의/JKG
어깨를	어깨/NNG+를/JKO
내어주고	내/VV+어/EC+주/VX+고/EC
손을	손/NNG+을/JKO
잡아주는	잡/VV+아/EC+주/VX+는/ETM
것만으로도	것/NNB+만/JX+으로/JKB+도/JX
위안을	위안/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것을	것/NNB+을/JKO
경험한다.	경험/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.106.8.4
이 영화가 관객의 마음을 가장 뜨겁게 만드는 순간은, 아마도 이 어린 삼형제가 서로 얼싸안는 장면이 될 것이다.

이	이/MMD
영화가	영화/NNG+가/JKS
관객의	관객/NNG+의/JKG
마음을	마음/NNG+을/JKO
가장	가장/MAG
뜨겁게	뜨겁/VA+게/EC
만드는	만들/VV+는/ETM
순간은,	순간/NNG+은/JX+,/SP
아마도	아마도/MAG
어린	어리/VA+ㄴ/ETM
삼형제가	삼/NR+형제/NNG+가/JKS
서로	서로/MAG
얼싸안는	얼싸안/VV+는/ETM
장면이	장면/NNG+이/JKS
될	되/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.106.8.5
<더 임파서블>은 자연재해 앞에서 무기력해 보이는 인간들도 “사랑해” “고마워” “우린 당신을 믿어”와 같은 위력적인 말들로 삶의 희망을 키울 수 있음을 되새겨준다.

<더	</SS+더/NNP
임파서블>은	임파서블/NNP+>/SS+은/JX
자연재해	자연재해/NNG
앞에서	앞/NNG+에서/JKB
무기력해	무/XPN+기력/NNG+하/XSA+아/EC
보이는	보이/VV+는/ETM
인간들도	인간/NNG+들/XSN+도/JX
“사랑해”	“/SS+사랑/NNG+하/XSV+아/EF+”/SS
“고마워”	“/SS+고맙/VA+어/EF+”/SS
“우린	“/SS+우리/NP+ㄴ/JX
당신을	당신/NP+을/JKO
믿어”와	믿/VV+어/EF+”/SS+와/JKB
같은	같/VA+은/ETM
위력적인	위력/NNG+적/XSN+이/VCP+ㄴ/ETM
말들로	말/NNG+들/XSN+로/JKB
삶의	삶/NNG+의/JKG
희망을	희망/NNG+을/JKO
키울	키우/VV+ㄹ/ETM
수	수/NNB
있음을	있/VA+음/ETN+을/JKO
되새겨준다.	되새기/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000040.106.8.6
이 영화가 진짜 얘기하려는 본질은 아니더라도, 어떤 관객들은 자녀를 한명보다는 두명을, 두명보다는 세명을 낳는 게, ‘서로에게 버팀목이 될 수 있겠구나’라고 생각하며 극장에서 나올지도 모르겠다.

이	이/MMD
영화가	영화/NNG+가/JKS
진짜	진짜/MAG
얘기하려는	얘기/NNG+하/XSV+려는/ETM
본질은	본질/NNG+은/JX
아니더라도,	아니/VCN+더라도/EC+,/SP
어떤	어떤/MMD
관객들은	관객/NNG+들/XSN+은/JX
자녀를	자녀/NNG+를/JKO
한명보다는	한/MMN+명/NNB+보다/JKB+는/JX
두명을,	두/MMN+명/NNB+을/JKO+,/SP
두명보다는	두/MMN+명/NNB+보다/JKB+는/JX
세명을	세/MMN+명/NNB+을/JKO
낳는	낳/VV+는/ETM
게,	거/NNB+이/JKS+,/SP
‘서로에게	‘/SS+서로/NNG+에게/JKB
버팀목이	버팀목/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있겠구나’라고	있/VA+겠/EP+구나/EF+’/SS+라고/JKQ
생각하며	생각/NNG+하/XSV+며/EC
극장에서	극장/NNG+에서/JKB
나올지도	나오/VV+ㄹ지/EF+도/JX
모르겠다.	모르/VV+겠/EP+다/EF+./SF


