# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.67
metadata : {}


# id : NWRW1800000040.67.1.1
“이대로 두면 특정 대기업만의 게임될 것”

“이대로	“/SS+이대로/MAG
시장을	시장/NNG+을/JKO
총평하자면?	총평/NNG+하/XSV+자면/EC+?/SF


# id : NWRW1800000040.67.14.1
“현재 알뜰폰 상품들은 비슷비슷하다.

“현재	“/SS+현재/MAG
알뜰폰	알뜰/NNG+폰/NNG
상품들은	상품/NNG+들/XSN+은/JX
비슷비슷하다.	비슷비슷/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000040.67.14.2
기간통신사업자가 허락하는 범위 안에서 할인율만 약간 달리할 뿐이다.

기간통신사업자가	기간/NNG+통신/NNG+사업자/NNG+가/JKS
허락하는	허락/NNG+하/XSV+는/ETM
범위	범위/NNG
안에서	안/NNG+에서/JKB
할인율만	할인/NNG+율/XSN+만/JX
약간	약간/MAG
달리할	달리/MAG+하/XSV+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.67.14.3
기간통신사가 개통과 요금수납(빌링) 시스템을 더 폭넓게 오픈하고, 알뜰폰 업체들은 자유롭고 창의적인 서비스를 내놓도록 해야 한다.

기간통신사가	기간/NNG+통신사/NNG+가/JKS
개통과	개통/NNG+과/JKB
요금수납(빌링)	요금/NNG+수납/NNG+(/SS+빌링/NNG+)/SS
시스템을	시스템/NNG+을/JKO
더	더/MAG
폭넓게	폭넓/VA+게/EC
오픈하고,	오픈/NNG+하/XSV+고/EC+,/SP
알뜰폰	알뜰/NNG+폰/NNG
업체들은	업체/NNG+들/XSN+은/JX
자유롭고	자유/NNG+롭/XSA+고/EC
창의적인	창의/NNG+적/XSN+이/VCP+ㄴ/ETM
서비스를	서비스/NNG+를/JKO
내놓도록	내놓/VV+도록/EC
해야	하/VX+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000040.67.14.4
또 유통구조를 다변화해 소비자들이 온라인 등을 통해 쉽게 단말기를 구할 수 있도록 해야 한다.

또	또/MAG
유통구조를	유통/NNG+구조/NNG+를/JKO
다변화해	다변/NNG+화/XSN+하/XSV+아/EC
소비자들이	소비자/NNG+들/XSN+이/JKS
온라인	온라인/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
쉽게	쉽/VA+게/EC
단말기를	단말기/NNG+를/JKO
구할	구하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해야	하/VX+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000040.67.14.5
이대로 두면 알뜰폰 또한 특정 대기업 만의 게임이 될 뿐이다.”

이대로	이대로/MAG
두면	두/VV+면/EC
알뜰폰	알뜰/NNG+폰/NNG
또한	또한/MAG
특정	특정/NNG
대기업	대/XPN+기업/NNG
만의	만/JX+의/JKG
게임이	게임/NNG+이/JKC
될	되/VV+ㄹ/ETM
뿐이다.”	뿐/NNB+이/VCP+다/EF+./SF+”/SS


