# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.245
metadata : {}


# id : NWRW1800000021.245.1.1
47.1% 올해 최고… ‘찬란한 시청률’

47.1%	47/SN+./SP+1/SN+%/SW
‘아내의 유혹’이 40.4%에서 정점을 찍은 뒤 하향세를 보이며 29.5%(5월 1일)의 시청률로 종영한 것과 달리 ‘찬란한 유산’은 마지막 3회 방송에서 매회 자체 최고 기록을 넘어섰다.

‘아내의	‘/SS+아내/NNG+의/JKG
유혹’이	유혹/NNG+’/SS+이/JKS
40.4%에서	40/SN+./SP+4/SN+%/SW+에서/JKB
정점을	정점/NNG+을/JKO
찍은	찍/VV+은/ETM
뒤	뒤/NNG
하향세를	하향세/NNG+를/JKO
보이며	보이/VV+며/EC
29.5%(5월	29/SN+./SP+5/SN+%/SW+(/SS+5/SN+월/NNB
1일)의	1/SN+일/NNB+)/SS+의/JKG
시청률로	시청/NNG+률/XSN+로/JKB
종영한	종영/NNG+하/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
달리	달리/MAG
‘찬란한	‘/SS+찬란하/VA+ㄴ/ETM
유산’은	유산/NNG+’/SS+은/JX
마지막	마지막/NNG
3회	3/SN+회/NNB
방송에서	방송/NNG+에서/JKB
매회	매회/MAG
자체	자체/NNG
최고	최고/NNG
기록을	기록/NNG+을/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.245.3.2
4월 25일 시작한 ‘찬란한 유산’은 4회 때 시청률 20%를 넘겨 21.7%를, 12회 때 30%를 넘겨 33.4%를 기록했다.

4월	4/SN+월/NNB
25일	25/SN+일/NNB
시작한	시작/NNG+하/XSV+ㄴ/ETM
‘찬란한	‘/SS+찬란하/VA+ㄴ/ETM
유산’은	유산/NNG+’/SS+은/JX
4회	4/SN+회/NNB
때	때/NNG
시청률	시청/NNG+률/XSN
20%를	20/SN+%/SW+를/JKO
넘겨	넘기/VV+어/EC
21.7%를,	21/SN+./SP+7/SN+%/SW+를/JKO+,/SP
12회	12/SN+회/NNB
30%를	30/SN+%/SW+를/JKO
33.4%를	33/SN+./SP+4/SN+%/SW+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.245.3.3
12일 24회 때 41.8%로 40%를 넘겼다.

12일	12/SN+일/NNB
24회	24/SN+회/NNB
때	때/NNG
41.8%로	41/SN+./SP+8/SN+%/SW+로/JKB
40%를	40/SN+%/SW+를/JKO
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.245.3.4
28회 평균 시청률은 31.9%.

28회	28/SN+회/NNB
평균	평균/NNG
시청률은	시청/NNG+률/XSN+은/JX
31.9%.	31/SN+./SP+9/SN+%/SW+./SF


# id : NWRW1800000021.245.4.1
‘찬란한 유산’은 불륜, 출생의 비밀, 고부갈등, 불치병 같은 자극적인 소재가 없는 ‘착한 드라마’였다.

‘찬란한	‘/SS+찬란하/VA+ㄴ/ETM
유산’은	유산/NNG+’/SS+은/JX
불륜,	불륜/NNG+,/SP
출생의	출생/NNG+의/JKG
비밀,	비밀/NNG+,/SP
고부갈등,	고부/NNG+갈등/NNG+,/SP
불치병	불치병/NNG
같은	같/VA+은/ETM
자극적인	자극/NNG+적/XSN+이/VCP+ㄴ/ETM
소재가	소재/NNG+가/JKS
없는	없/VA+는/ETM
‘착한	‘/SS+착하/VA+ㄴ/ETM
드라마’였다.	드라마/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.245.4.2
결말도 착했다.

결말도	결말/NNG+도/JX
착했다.	착하/VA+았/EP+다/EF+./SF


# id : NWRW1800000021.245.4.3
주인공 은성(한효주)과 환(이승기)이 서로 사랑을 확인하고 키스를 하는 것으로 막을 내렸다.

주인공	주인공/NNG
은성(한효주)과	은성/NNP+(/SS+한효주/NNP+)/SS+과/JC
환(이승기)이	환/NNP+(/SS+이승기/NNP+)/SS+이/JKS
서로	서로/MAG
사랑을	사랑/NNG+을/JKO
확인하고	확인/NNG+하/XSV+고/EC
키스를	키스/NNG+를/JKO
하는	하/VV+는/ETM
것으로	것/NNB+으로/JKB
막을	막/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.245.4.4
악행을 서슴지 않던 성희(김미숙)는 자살하려다 실패하자 딸 승미(문채원)를 데리고 떠났다.

악행을	악행/NNG+을/JKO
서슴지	서슴/VV+지/EC
않던	않/VX+던/ETM
성희(김미숙)는	성희/NNP+(/SS+김미숙/NNP+)/SS+는/JX
자살하려다	자살/NNG+하/XSV+려다/EC
실패하자	실패/NNG+하/XSV+자/EC
딸	딸/NNG
승미(문채원)를	승미/NNP+(/SS+문채원/NNP+)/SS+를/JKO
데리고	데리/VV+고/EC
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.245.5.1
이 드라마는 스타 연예인이나 유명한 연출자도 없었다.

이	이/MMD
드라마는	드라마/NNG+는/JX
스타	스타/NNG
연예인이나	연예인/NNG+이나/JC
유명한	유명/NNG+하/XSA+ㄴ/ETM
연출자도	연출자/NNG+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.245.5.2
하지만 긴장감을 잃지 않는 탄탄한 극본, 데뷔 후 처음으로 악역을 맡은 김미숙의 열연, 이승기와 한효주라는 가능성 있는 배우의 발견이 큰 인기의 원동력이 됐다.

하지만	하지만/MAJ
긴장감을	긴장감/NNG+을/JKO
잃지	잃/VV+지/EC
않는	않/VX+는/ETM
탄탄한	탄탄하/VA+ㄴ/ETM
극본,	극본/NNG+,/SP
데뷔	데뷔/NNG
후	후/NNG
처음으로	처음/NNG+으로/JKB
악역을	악역/NNG+을/JKO
맡은	맡/VV+은/ETM
김미숙의	김미숙/NNP+의/JKG
열연,	열연/NNG+,/SP
이승기와	이승기/NNP+와/JC
한효주라는	한효주/NNP+이/VCP+라는/ETM
가능성	가능/NNG+성/XSN
있는	있/VA+는/ETM
배우의	배우/NNG+의/JKG
발견이	발견/NNG+이/JKS
큰	크/VA+ㄴ/ETM
인기의	인기/NNG+의/JKG
원동력이	원동력/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.245.6.1
이 드라마의 여자 주인공 한효주(22)는 26일 자신의 홈페이지에 “‘찬란한 유산’ 은성이와 오늘로 작별인사를 하게 됐다”며 “은성이를 만나 효주의 삶도 긍정적으로, 행복한 찬란함으로 바뀌었다”고 적었다.

이	이/MMD
드라마의	드라마/NNG+의/JKG
여자	여자/NNG
주인공	주인공/NNG
한효주(22)는	한효주/NNP+(/SS+22/SN+)/SS+는/JX
26일	26/SN+일/NNB
자신의	자신/NNG+의/JKG
홈페이지에	홈페이지/NNG+에/JKB
“‘찬란한	“/SS+‘/SS+찬란하/VA+ㄴ/ETM
유산’	유산/NNG+’/SS
은성이와	은성이/NNP+와/JKB
오늘로	오늘/NNG+로/JKB
작별인사를	작별/NNG+인사/NNG+를/JKO
하게	하/VV+게/EC
됐다”며	되/VV+었/EP+다/EF+”/SS+며/EC
“은성이를	“/SS+은성이/NNP+를/JKO
만나	만나/VV+아/EC
효주의	효주/NNP+의/JKG
삶도	삶/NNG+도/JX
긍정적으로,	긍정/NNG+적/XSN+으로/JKB+,/SP
행복한	행복/NNG+하/XSA+ㄴ/ETM
찬란함으로	찬란하/VA+ㅁ/ETN+으로/JKB
바뀌었다”고	바뀌/VV+었/EP+다/EF+”/SS+고/JKQ
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.245.7.1
이승기(22)도 27일 자신의 홈페이지에 “선우환이라는 인물로 살았던 4개월이 정말 행복했다”며 “연기에 대한 걱정과 고민이 많았는데 끝까지 믿고 응원해준 팬들 덕분에 더 채찍질하고 자신감을 가지고 즐겁게 촬영할 수 있었다”고 밝혔다.

이승기(22)도	이승기/NNP+(/SS+22/SN+)/SS+도/JX
27일	27/SN+일/NNB
자신의	자신/NNG+의/JKG
홈페이지에	홈페이지/NNG+에/JKB
“선우환이라는	“/SS+선우환/NNP+이/VCP+라는/ETM
인물로	인물/NNG+로/JKB
살았던	살/VV+았/EP+던/ETM
4개월이	4/SN+개월/NNB+이/JKS
정말	정말/MAG
행복했다”며	행복/NNG+하/XSA+았/EP+다/EF+”/SS+며/EC
“연기에	“/SS+연기/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
걱정과	걱정/NNG+과/JC
고민이	고민/NNG+이/JKS
많았는데	많/VA+았/EP+는데/EC
끝까지	끝/NNG+까지/JX
믿고	믿/VV+고/EC
응원해준	응원/NNG+하/XSV+아/EC+주/VX+ㄴ/ETM
팬들	팬/NNG+들/XSN
덕분에	덕분/NNG+에/JKB
더	더/MAG
채찍질하고	채찍/NNG+질/XSN+하/XSV+고/EC
자신감을	자신감/NNG+을/JKO
가지고	가지/VV+고/EC
즐겁게	즐겁/VA+게/EC
촬영할	촬영/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.245.8.1
SBS는 ‘찬란한 유산’ 후속 드라마로 김혜수, 류시원, 이지아 주연의 ‘스타일’을 8월 1일부터 방송한다.

SBS는	SBS/SL+는/JX
‘찬란한	‘/SS+찬란하/VA+ㄴ/ETM
유산’	유산/NNG+’/SS
후속	후속/NNG
드라마로	드라마/NNG+로/JKB
김혜수,	김혜수/NNP+,/SP
류시원,	류시원/NNP+,/SP
이지아	이지아/NNP
주연의	주연/NNG+의/JKG
‘스타일’을	‘/SS+스타일/NNP+’/SS+을/JKO
8월	8/SN+월/NNB
1일부터	1/SN+일/NNB+부터/JX
방송한다.	방송/NNG+하/XSV+ㄴ다/EF+./SF


