# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.391
metadata : {}


# id : NWRW1800000040.391.1.1
민주 “선 국정원 국조-후 원본 공개” 제안에 새누리 “NLL 발언 논란도 국정조사” 맞받아

민주	민주/NNP
내걸어,	내걸/VV+어/EC+,/SP
국정원	국정원/NNG
국정조사와	국정/NNG+조사/NNG+와/JC
개혁을	개혁/NNG+을/JKO
무력화하려	무력/NNG+화/XSN+하/XSV+려/EC
한다고	하/VX+ㄴ다고/EC
일제히	일제히/MAG
비판하고	비판/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.391.8.2
전병헌 민주당 원내대표는 오전 국회 본관 앞에서 열린 ‘국정원 국기문란사건 국정조사 즉각 실시 촉구대회’에서 “국정원은 정치공작원으로 명칭을 바꿔야 한다.

전병헌	전병헌/NNP
민주당	민주당/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
오전	오전/NNG
국회	국회/NNG
본관	본관/NNG
앞에서	앞/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
‘국정원	‘/SS+국정원/NNG
국기문란사건	국기/NNG+문란/NNG+사건/NNG
국정조사	국정/NNG+조사/NNG
즉각	즉각/MAG
실시	실시/NNG
촉구대회’에서	촉구/NNG+대회/NNG+’/SS+에서/JKB
“국정원은	“/SS+국정원/NNG+은/JX
정치공작원으로	정치/NNG+공작원/NNG+으로/JKB
명칭을	명칭/NNG+을/JKO
바꿔야	바꾸/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000040.391.8.3
새누리당도 국정원 국정조사 약속을 외면하면 국기문란 사건의 공범이 될 것”이라고 경고했다.

새누리당도	새누리당/NNP+도/JX
국정원	국정원/NNG
국정조사	국정/NNG+조사/NNG
약속을	약속/NNG+을/JKO
외면하면	외면/NNG+하/XSV+면/EC
국기문란	국기/NNG+문란/NNG
사건의	사건/NNG+의/JKG
공범이	공범/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.391.8.4
심상정 진보정의당 원내대표도 별도 기자회견을 열어 “새누리당은 국정원 선거개입 문제를 정쟁의 이전투구장으로 만드는 음모정치를 중단하라”고 촉구했다.

심상정	심상정/NNP
진보정의당	진보정의당/NNP
원내대표도	원내/NNG+대표/NNG+도/JX
별도	별도/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“새누리당은	“/SS+새누리당/NNP+은/JX
국정원	국정원/NNG
선거개입	선거/NNG+개입/NNG
문제를	문제/NNG+를/JKO
정쟁의	정쟁/NNG+의/JKG
이전투구장으로	이전투구장/NNG+으로/JKB
만드는	만들/VV+는/ETM
음모정치를	음모/NNG+정치/NNG+를/JKO
중단하라”고	중단/NNG+하/XSV+라/EF+”/SS+고/JKQ
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.391.8.5
안철수 무소속 의원은 국정원 국정조사와 엔엘엘 논란은 별개라며, “국정조사는 여야가 합의했으니 진행해야 한다”고 요구했다.

안철수	안철수/NNP
무소속	무/XPN+소속/NNG
의원은	의원/NNG+은/JX
국정원	국정원/NNG
국정조사와	국정/NNG+조사/NNG+와/JC
엔엘엘	엔엘엘/NNG
논란은	논란/NNG+은/JX
별개라며,	별개/NNG+이/VCP+라며/EC+,/SP
“국정조사는	“/SS+국정/NNG+조사/NNG+는/JX
여야가	여야/NNG+가/JKS
합의했으니	합의/NNG+하/XSV+았/EP+으니/EC
진행해야	진행/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.391.9.1
민주당은 대화록 내용을 무단 열람하고 언론에 공개한 혐의(대통령기록물관리법 위반 등)로 새누리당 소속인 서상기 국회 정보위원장과 새누리당 의원들, 국정원의 남재준 원장과 한기범 1차장을 검찰에 고발했다.

민주당은	민주당/NNP+은/JX
대화록	대화록/NNG
내용을	내용/NNG+을/JKO
무단	무단/NNG
열람하고	열람/NNG+하/XSV+고/EC
언론에	언론/NNG+에/JKB
공개한	공개/NNG+하/XSV+ㄴ/ETM
혐의(대통령기록물관리법	혐의/NNG+(/SS+대통령/NNG+기록물/NNG+관리법/NNG
위반	위반/NNG
등)로	등/NNB+)/SS+로/JKB
새누리당	새누리당/NNP
소속인	소속/NNG+이/VCP+ㄴ/ETM
서상기	서상기/NNP
국회	국회/NNG
정보위원장과	정보/NNG+위원장/NNG+과/JC
의원들,	의원/NNG+들/XSN+,/SP
국정원의	국정원/NNG+의/JKG
남재준	남재준/NNP
원장과	원장/NNG+과/JC
한기범	한기범/NNP
1차장을	1/SN+차장/NNG+을/JKO
검찰에	검찰/NNG+에/JKB
고발했다.	고발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.391.10.1
한편, 국회 운영위원회에 출석한 허태열 대통령비서실장은 대화록 공개와 관련한 국정원과의 사전협의 여부를 묻는 질의에 “그런 협의가 없었다”고 말했다.

한편,	한편/MAG+,/SP
국회	국회/NNG
운영위원회에	운영/NNG+위원회/NNG+에/JKB
출석한	출석/NNG+하/XSV+ㄴ/ETM
허태열	허태열/NNP
대통령비서실장은	대통령/NNG+비서실장/NNG+은/JX
대화록	대화록/NNG
공개와	공개/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
국정원과의	국정원/NNG+과/JKB+의/JKG
사전협의	사전/NNG+협의/NNG
여부를	여부/NNG+를/JKO
묻는	묻/VV+는/ETM
질의에	질의/NNG+에/JKB
“그런	“/SS+그런/MMD
협의가	협의/NNG+가/JKS
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


