# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.427
metadata : {}


# id : NWRW1800000028.427.1.1
“무상급식 포퓰리즘 매도 참담”

“무상급식	“/SS+무상/NNG+급식/NNG
교육감은	교육감/NNG+은/JX
이날	이날/NNG
서울시교육청에서	서울시교육청/NNP+에서/JKB
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열어	열/VV+어/EC
“우리	“/SS+우리/NP
아이들에게	아이/NNG+들/XSN+에게/JKB
질	질/NNG
좋고	좋/VA+고/EC
맛있는	맛있/VA+는/ETM
식사	식사/NNG
한	한/MMN
끼를	끼/NNG+를/JKO
세금으로	세금/NNG+으로/JKB
제공하는	제공/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
좋겠다는	좋/VA+겠/EP+다는/ETM
대다수	대/XPN+다수/NNG
시민의	시민/NNG+의/JKG
소박한	소박하/VA+ㄴ/ETM
선의가	선의/NNG+가/JKS
이처럼	이/NP+처럼/JKB
참담하게	참담/NNG+하/XSA+게/EC
매도당할	매도/NNG+당하/XSV+ㄹ/ETM
것이라고는	것/NNB+이/VCP+라고/EC+는/JX
전혀	전혀/MAG
예상하지	예상/NNG+하/XSV+지/EC
못했다”며	못하/VX+았/EP+다/EF+”/SS+며/EC
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.427.3.2
그는 “친환경 무상급식은 초·중학교 의무교육에 필수적으로 수반되는 제반 요소는 무상으로 지원하라는 헌법 제31조 3항에 충실한 것이고, 이는 부모의 소득수준과 관계없이 초·중학교 수업료와 납부금을 면제하고, 모든 학생들의 건강검진을 하는 것과도 같은 이유”라고 덧붙였다.

그는	그/NP+는/JX
“친환경	“/SS+친/XPN+환경/NNG
무상급식은	무상/NNG+급식/NNG+은/JX
초·중학교	초·중학교/NNG
의무교육에	의무/NNG+교육/NNG+에/JKB
필수적으로	필수/NNG+적/XSN+으로/JKB
수반되는	수반/NNG+되/XSV+는/ETM
제반	제반/NNG
요소는	요소/NNG+는/JX
무상으로	무상/NNG+으로/JKB
지원하라는	지원/NNG+하/XSV+라는/ETM
헌법	헌법/NNG
제31조	제/XPN+31/SN+조/NNB
3항에	3/SN+항/NNG+에/JKB
충실한	충실/NNG+하/XSA+ㄴ/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
이는	이/NP+는/JX
부모의	부모/NNG+의/JKG
소득수준과	소득/NNG+수준/NNG+과/JKB
관계없이	관계없이/MAG
수업료와	수업료/NNG+와/JC
납부금을	납부금/NNG+을/JKO
면제하고,	면제/NNG+하/XSV+고/EC+,/SP
모든	모든/MMN
학생들의	학생/NNG+들/XSN+의/JKG
건강검진을	건강/NNG+검진/NNG+을/JKO
하는	하/VV+는/ETM
것과도	것/NNB+과/JKB+도/JX
같은	같/VA+은/ETM
이유”라고	이유/NNG+”/SS+라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.427.3.3
또 곽 교육감은 “오 시장의 공약인 학습준비물비 지원 역시 보편적 교육복지의 일환인데, 무상급식과 학습준비물 사이에 이중잣대가 적용될 수는 없다”고 밝혔다.

또	또/MAG
곽	곽/NNP
교육감은	교육감/NNG+은/JX
“오	“/SS+오/NNP
시장의	시장/NNG+의/JKG
공약인	공약/NNG+이/VCP+ㄴ/ETM
학습준비물비	학습/NNG+준비물비/NNG
지원	지원/NNG
역시	역시/MAG
보편적	보편/NNG+적/XSN
교육복지의	교육/NNG+복지/NNG+의/JKG
일환인데,	일환/NNG+이/VCP+ㄴ데/EC+,/SP
무상급식과	무상/NNG+급식/NNG+과/JC
학습준비물	학습/NNG+준비물/NNG
사이에	사이/NNG+에/JKB
이중잣대가	이중/NNG+잣대/NNG+가/JKS
적용될	적용/NNG+되/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.427.3.4
그는 이어 오 시장이 학교 급식시설 부족을 거론한 것을 두고서는 “이는 무상급식과 상관없이 교육재정 확충을 통해 해결해야 하는 문제”라며 “서울시교육청은 내년도 예산에서 급식시설 예산을 되레 늘렸다”고 반박했다.

그는	그/NP+는/JX
이어	이어/MAG
오	오/NNP
시장이	시장/NNG+이/JKS
학교	학교/NNG
급식시설	급식/NNG+시설/NNG
부족을	부족/NNG+을/JKO
거론한	거론/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
두고서는	두/VV+고서/EC+는/JX
“이는	“/SS+이/NP+는/JX
무상급식과	무상/NNG+급식/NNG+과/JKB
상관없이	상관없이/MAG
교육재정	교육/NNG+재정/NNG
확충을	확충/NNG+을/JKO
통해	통하/VV+아/EC
해결해야	해결/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
문제”라며	문제/NNG+”/SS+이/VCP+라며/EC
“서울시교육청은	“/SS+서울시교육청/NNP+은/JX
내년도	내년도/NNG
예산에서	예산/NNG+에서/JKB
예산을	예산/NNG+을/JKO
되레	되레/MAG
늘렸다”고	늘리/VV+었/EP+다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.427.3.5
한편 서울친환경무상급식추진운동본부 등 시민단체와 야5당 서울시당은 이날 오후 중구 서울시의회 본관 앞마당에서 결의대회를 열고 “오 시장은 서울시의회를 통과한 무상급식 조례를 공포하고 예산 확보에 나서라”고 촉구했다.

한편	한편/MAG
서울친환경무상급식추진운동본부	서울/NNP+친/XPN+환경/NNG+무상/NNG+급식/NNG+추진/NNG+운동/NNG+본부/NNG
등	등/NNB
시민단체와	시민/NNG+단체/NNG+와/JC
야5당	야/NNG+5/SN+당/NNG
서울시당은	서울시/NNP+당/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
중구	중구/NNP
서울시의회	서울시의회/NNP
본관	본관/NNG
앞마당에서	앞마당/NNG+에서/JKB
결의대회를	결의/NNG+대회/NNG+를/JKO
열고	열/VV+고/EC
“오	“/SS+오/NNP
시장은	시장/NNG+은/JX
서울시의회를	서울시의회/NNP+를/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
무상급식	무상/NNG+급식/NNG
조례를	조례/NNG+를/JKO
공포하고	공포/NNG+하/XSV+고/EC
예산	예산/NNG
확보에	확보/NNG+에/JKB
나서라”고	나서/VV+라/EF+”/SS+고/JKQ
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


