# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.245
metadata : {}


# id : NWRW1800000054.245.1.1
학폭 시달린 초등생, 8층서 투신… 목숨 건졌지만

학폭	학폭/NNG
처분을	처분/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.245.5.4
교육청 관계자는 "초등학교·중학교는 의무교육이라 퇴학 처분이 불가능하다. 학교 측에선 최고 수준의 처벌을 내린 것"이라고 했다.

교육청	교육청/NNG
관계자는	관계자/NNG+는/JX
"초등학교·중학교는	"/SS+초등학교/NNG+·/SP+중학교/NNG+는/JX
의무교육이라	의무/NNG+교육/NNG+이/VCP+라/EC
퇴학	퇴학/NNG
처분이	처분/NNG+이/JKS
불가능하다.	불/XPN+가능/NNG+하/XSA+다/EF+./SF
학교	학교/NNG
측에선	측/NNB+에서/JKB+ㄴ/JX
최고	최고/NNG
수준의	수준/NNG+의/JKG
처벌을	처벌/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.245.5.5
담임교사는 경찰 조사에서 'A군이 가해 학생과 문제가 있음을 알고 지도한 적이 있다'고 진술했다.

담임교사는	담임/NNG+교사/NNG+는/JX
경찰	경찰/NNG
조사에서	조사/NNG+에서/JKB
'A군이	'/SS+A/SL+군/NNB+이/JKS
가해	가해/NNG
학생과	학생/NNG+과/JKB
문제가	문제/NNG+가/JKS
있음을	있/VA+음/ETN+을/JKO
알고	알/VV+고/EC
지도한	지도/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있다'고	있/VA+다/EF+'/SS+고/JKQ
진술했다.	진술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.245.6.1
이 같은 내용은 18일 인터넷에 "저는 서울 성동구 ○○초등학교 6학년 ○반 ○○○ 엄마입니다"로 시작하는 글이 퍼지면서 알려졌다.

이	이/NP
같은	같/VA+은/ETM
내용은	내용/NNG+은/JX
18일	18/SN+일/NNB
인터넷에	인터넷/NNG+에/JKB
"저는	"/SS+저/NP+는/JX
서울	서울/NNP
성동구	성동구/NNP
○○초등학교	○/SW+○/SW+초등학교/NNG
6학년	6/SN+학년/NNG
○반	○/SW+반/NNG
○○○	○/SW+○/SW+○/SW
엄마입니다"로	엄마/NNG+이/VCP+ㅂ니다/EF+"/SS+로/JKB
시작하는	시작/NNG+하/XSV+는/ETM
글이	글/NNG+이/JKS
퍼지면서	퍼지/VV+면서/EC
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.245.6.2
피해 학생의 어머니로 추정되는 글쓴이는 "B군 등이 아이를 폭행하고 성적(性的)으로 괴롭혔다"며 "성동구의 다른 초등학교 교사인 B군 어머니에게 여러 차례 이를 알렸으나 제대로 된 사과 없이 '주의를 주겠다'는 답변만 돌아왔다"고 주장했다.

피해	피해/NNG
학생의	학생/NNG+의/JKG
어머니로	어머니/NNG+로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
글쓴이는	글쓴이/NNG+는/JX
"B군	"/SS+B/SL+군/NNB
등이	등/NNB+이/JKS
아이를	아이/NNG+를/JKO
폭행하고	폭행/NNG+하/XSV+고/EC
성적(性的)으로	성/NNG+적/XSN+(/SS+性的/SH+)/SS+으로/JKB
괴롭혔다"며	괴롭히/VV+었/EP+다/EF+"/SS+며/EC
"성동구의	"/SS+성동구/NNP+의/JKG
다른	다른/MMD
초등학교	초등학교/NNG
교사인	교사/NNG+이/VCP+ㄴ/ETM
B군	B/SL+군/NNB
어머니에게	어머니/NNG+에게/JKB
여러	여러/MMN
차례	차례/NNG
이를	이/NP+를/JKO
알렸으나	알리/VV+었/EP+으나/EC
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
사과	사과/NNG
없이	없이/MAG
'주의를	'/SS+주의/NNG+를/JKO
주겠다'는	주/VV+겠/EP+다/EF+'/SS+는/ETM
답변만	답변/NNG+만/JX
돌아왔다"고	돌아오/VV+았/EP+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.245.6.3
또 "제주도로 떠난 수학여행에서는 같은 방을 쓰면서 집단 구타하는 등 학대를 저질렀다"며 "학교와 가해자 측에서 (학교 폭력) 사실을 은폐하려고 한다"고 했다.

또	또/MAG
"제주도로	"/SS+제주도/NNP+로/JKB
떠난	떠나/VV+ㄴ/ETM
수학여행에서는	수학여행/NNG+에서/JKB+는/JX
같은	같/VA+은/ETM
방을	방/NNG+을/JKO
쓰면서	쓰/VV+면서/EC
집단	집단/NNG
구타하는	구타/NNG+하/XSV+는/ETM
등	등/NNB
학대를	학대/NNG+를/JKO
저질렀다"며	저지르/VV+었/EP+다/EF+"/SS+며/EC
"학교와	"/SS+학교/NNG+와/JC
가해자	가해자/NNG
측에서	측/NNB+에서/JKB
(학교	(/SS+학교/NNG
폭력)	폭력/NNG+)/SS
사실을	사실/NNG+을/JKO
은폐하려고	은폐/NNG+하/XSV+려고/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.245.7.1
인터넷 커뮤니티와 학교 홈페이지에는 학교 폭력을 막지 못한 학교 측 대응을 비난하는 글이 쏟아졌다.

인터넷	인터넷/NNG
커뮤니티와	커뮤니티/NNG+와/JC
학교	학교/NNG
홈페이지에는	홈페이지/NNG+에/JKB+는/JX
폭력을	폭력/NNG+을/JKO
막지	막/VV+지/EC
못한	못하/VX+ㄴ/ETM
측	측/NNB
대응을	대응/NNG+을/JKO
비난하는	비난/NNG+하/XSV+는/ETM
글이	글/NNG+이/JKS
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.245.7.2
학교 측은 이날 오후 "사건을 축소하거나 은폐하지 않았고, 정해진 법적 절차에 따라 사안을 다뤘다"며 "충분한 조사를 거쳐 가해 학생들에게 징계 조치를 내렸다"고 밝혔다.

학교	학교/NNG
측은	측/NNB+은/JX
이날	이날/NNG
오후	오후/NNG
"사건을	"/SS+사건/NNG+을/JKO
축소하거나	축소/NNG+하/XSV+거나/EC
은폐하지	은폐/NNG+하/XSV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
정해진	정하/VV+아/EC+지/VX+ㄴ/ETM
법적	법/NNG+적/XSN
절차에	절차/NNG+에/JKB
따라	따르/VV+아/EC
사안을	사안/NNG+을/JKO
다뤘다"며	다루/VV+었/EP+다/EF+"/SS+며/EC
"충분한	"/SS+충분하/VA+ㄴ/ETM
조사를	조사/NNG+를/JKO
거쳐	거치/VV+어/EC
가해	가해/NNG
학생들에게	학생/NNG+들/XSN+에게/JKB
징계	징계/NNG
조치를	조치/NNG+를/JKO
내렸다"고	내리/VV+었/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.245.7.3
경찰 관계자는 "가해 학생들은 14세 미만 '촉법소년'으로 형법상 처벌은 불가능하지만, 소년부 송치 등 다양한 방안을 고려하고 있다. 인터넷에 글이 올라온 경위도 조사할 것이라고 밝혔다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
"가해	"/SS+가해/NNG
학생들은	학생/NNG+들/XSN+은/JX
14세	14/SN+세/NNB
미만	미만/NNG
'촉법소년'으로	'/SS+촉법소년/NNG+'/SS+으로/JKB
형법상	형법/NNG+상/XSN
처벌은	처벌/NNG+은/JX
불가능하지만,	불/XPN+가능/NNG+하/XSA+지만/EC+,/SP
소년부	소년부/NNG
송치	송치/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
방안을	방안/NNG+을/JKO
고려하고	고려/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF
인터넷에	인터넷/NNG+에/JKB
글이	글/NNG+이/JKS
올라온	올라오/VV+ㄴ/ETM
경위도	경위/NNG+도/JX
조사할	조사/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


