# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.263
metadata : {}


# id : NWRW1800000033.263.1.1
달아오른 메시… 식어버린 경쟁

달아오른	달아오르/VV+ㄴ/ETM
반면에 호날두는 17경기에서 14골(경기당 약 0.8골)을 넣어 지난 시즌(38경기 46골·경기당 약 1.2골)보다 득점력이 현저히 떨어졌다.

반면에	반면/NNG+에/JKB
호날두는	호날두/NNP+는/JX
17경기에서	17/SN+경기/NNG+에서/JKB
14골(경기당	14/SN+골/NNG+(/SS+경기/NNG+당/XSN
약	약/MMA
0.8골)을	0/SN+./SP+8/SN+골/NNG+)/SS+을/JKO
넣어	넣/VV+어/EC
지난	지나/VV+ㄴ/ETM
시즌(38경기	시즌/NNG+(/SS+38/SN+경기/NNG
46골·경기당	46/SN+골/NNG+·/SP+경기/NNG+당/XSN
1.2골)보다	1/SN+./SP+2/SN+골/NNG+)/SS+보다/JKB
득점력이	득점력/NNG+이/JKS
현저히	현저히/MAG
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.263.5.7
이들의 상반된 활약은 팀 득점으로 직결돼 바르사는 평균 득점이 지난 시즌 3.0골에서 이번 시즌 3.4골로 향상됐고, 레알은 3.2골에서 2.4골로 하락했다.

이들의	이/NP+들/XSN+의/JKG
상반된	상반/NNG+되/XSV+ㄴ/ETM
활약은	활약/NNG+은/JX
팀	팀/NNG
득점으로	득점/NNG+으로/JKB
직결돼	직결/NNG+되/XSV+어/EC
바르사는	바르사/NNP+는/JX
평균	평균/NNG
득점이	득점/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
3.0골에서	3/SN+./SP+0/SN+골/NNG+에서/JKB
이번	이번/NNG
3.4골로	3/SN+./SP+4/SN+골/NNG+로/JKB
향상됐고,	향상/NNG+되/XSV+었/EP+고/EC+,/SP
레알은	레알/NNP+은/JX
3.2골에서	3/SN+./SP+2/SN+골/NNG+에서/JKB
2.4골로	2/SN+./SP+4/SN+골/NNG+로/JKB
하락했다.	하락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.263.6.1
23일 바르사는 1골을 터뜨린 메시의 활약에 힘입어 레알 바야돌리드를 3-1로 꺾고 리그 선두를 지켰고 레알은 말라가에 2-3으로 덜미를 잡혀 3위에 머물렀다.

23일	23/SN+일/NNB
바르사는	바르사/NNP+는/JX
1골을	1/SN+골/NNG+을/JKO
터뜨린	터뜨리/VV+ㄴ/ETM
메시의	메시/NNP+의/JKG
활약에	활약/NNG+에/JKB
힘입어	힘입/VV+어/EC
레알	레알/NNP
바야돌리드를	바야돌리드/NNP+를/JKO
3-1로	3/SN+-/SO+1/SN+로/JKB
꺾고	꺾/VV+고/EC
리그	리그/NNG
선두를	선두/NNG+를/JKO
지켰고	지키/VV+었/EP+고/EC
레알은	레알/NNP+은/JX
말라가에	말라가/NNP+에/JKB
2-3으로	2/SN+-/SO+3/SN+으로/JKB
덜미를	덜미/NNG+를/JKO
잡혀	잡히/VV+어/EC
3위에	3/SN+위/NNB+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.263.6.2
호날두는 이 경기에서 또 한 번 무득점에 그쳤다.

호날두는	호날두/NNP+는/JX
이	이/MMD
경기에서	경기/NNG+에서/JKB
또	또/MAG
한	한/MMN
번	번/NNB
무득점에	무/XPN+득점/NNG+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.263.7.1
조제 모리뉴 레알 감독은 “바르사와의 승점 차를 좁힐 수가 없다”며 안타까워했다.

조제	조제/NNP
모리뉴	모리뉴/NNP
레알	레알/NNP
감독은	감독/NNG+은/JX
“바르사와의	“/SS+바르사/NNP+와/JKB+의/JKG
승점	승점/NNG
차를	차/NNG+를/JKO
좁힐	좁히/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
안타까워했다.	안타까워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.263.7.2
시즌 중반이지만 전문가들은 “현재 바르사의 상승세를 봤을 때 레알이 바르사를 따라잡기는 힘들다.

시즌	시즌/NNG
중반이지만	중반/NNG+이/VCP+지만/EC
전문가들은	전문가/NNG+들/XSN+은/JX
“현재	“/SS+현재/MAG
바르사의	바르사/NNP+의/JKG
상승세를	상승세/NNG+를/JKO
봤을	보/VV+았/EP+을/ETM
때	때/NNG
레알이	레알/NNP+이/JKS
바르사를	바르사/NNP+를/JKO
따라잡기는	따라잡/VV+기/ETN+는/JX
힘들다.	힘들/VA+다/EF+./SF


# id : NWRW1800000033.263.7.3
레알이 유럽축구연맹(UEFA) 챔피언스리그와 프리메라리가 모두에서 좋은 성적을 거두기 위해서는 득점력과 패스 능력을 갖춘 호날두가 살아나야 한다”고 분석했다.

레알이	레알/NNP+이/JKS
유럽축구연맹(UEFA)	유럽축구연맹/NNP+(/SS+UEFA/SL+)/SS
챔피언스리그와	챔피언스리그/NNG+와/JKB
프리메라리가	프리메라리가/NNG
모두에서	모두/NNG+에서/JKB
좋은	좋/VA+은/ETM
성적을	성적/NNG+을/JKO
거두기	거두/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
득점력과	득점력/NNG+과/JC
패스	패스/NNG
능력을	능력/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
호날두가	호날두/NNP+가/JKS
살아나야	살아나/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


