# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.249
metadata : {}


# id : NWRW1800000054.249.1.1
해상 케이블카 타고 돈이 들어온다

해상	해상/NNG
해상케이블카	해상/NNG+케이블카/NNG
열풍을	열풍/NNG+을/JKO
단적으로	단적/NNG+으로/JKB
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.249.5.12
바다를 조망하는 매력적인 관광 상품으로 주목받으면서 해안을 낀 전국 지자체가 앞다퉈 도입에 열을 올리고 있다.

바다를	바다/NNG+를/JKO
조망하는	조망/NNG+하/XSV+는/ETM
매력적인	매력/NNG+적/XSN+이/VCP+ㄴ/ETM
관광	관광/NNG
상품으로	상품/NNG+으로/JKB
주목받으면서	주목/NNG+받/XSV+으면서/EC
해안을	해안/NNG+을/JKO
낀	끼/VV+ㄴ/ETM
전국	전국/NNG
지자체가	지자체/NNG+가/JKS
앞다퉈	앞다투/VV+어/EC
도입에	도입/NNG+에/JKB
열을	열/NNG+을/JKO
올리고	올리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.249.6.1
해상케이블카의 질주가 시작된 것은 2008년 4월 경남 통영의 한려수도 조망 케이블카부터다.

해상케이블카의	해상/NNG+케이블카/NNG+의/JKG
질주가	질주/NNG+가/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
2008년	2008/SN+년/NNB
4월	4/SN+월/NNB
경남	경남/NNP
통영의	통영/NNP+의/JKG
한려수도	한려/NNG+수도/NNG
조망	조망/NNG
케이블카부터다.	케이블카/NNG+부터/JX+이/VCP+다/EF+./SF


# id : NWRW1800000054.249.6.2
이전까지 국내 케이블카는 내륙 산악이 주종이었다.

이전까지	이전/NNG+까지/JX
국내	국내/NNG
케이블카는	케이블카/NNG+는/JX
내륙	내륙/NNG
산악이	산악/NNG+이/JKS
주종이었다.	주종/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.249.6.3
1962년 서울 남산 케이블카를 필두로 2000년대 중반까지 도심에서 먼 유명 산에 주로 설치됐다.

1962년	1962/SN+년/NNB
서울	서울/NNP
남산	남산/NNP
케이블카를	케이블카/NNG+를/JKO
필두로	필두/NNG+로/JKB
2000년대	2000/SN+년대/NNB
중반까지	중반/NNG+까지/JX
도심에서	도심/NNG+에서/JKB
먼	멀/VA+ㄴ/ETM
유명	유명/NNG
산에	산/NNG+에/JKB
주로	주로/MAG
설치됐다.	설치/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.249.6.4
도심 관광지와 연계성이 떨어졌고, 산을 오르내리는 교통수단에 그쳤다.

도심	도심/NNG
관광지와	관광지/NNG+와/JC
연계성이	연계/NNG+성/XSN+이/JKS
떨어졌고,	떨어지/VV+었/EP+고/EC+,/SP
산을	산/NNG+을/JKO
오르내리는	오르내리/VV+는/ETM
교통수단에	교통수단/NNG+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.249.6.5
한려수도케이블카는 미륵산 기슭 8부 능선까지 오르는 1.97㎞ 길이의 케이블카로, 주변 다도해가 지척에 펼쳐져 있어 넓은 의미로 해양 케이블카에 속한다.

한려수도케이블카는	한려/NNG+수도/NNG+케이블카/NNG+는/JX
미륵산	미륵산/NNP
기슭	기슭/NNG
8부	8/SN+부/NNB
능선까지	능선/NNG+까지/JX
오르는	오르/VV+는/ETM
1.97㎞	1/SN+./SP+97/SN+㎞/SW
길이의	길이/NNG+의/JKG
케이블카로,	케이블카/NNG+로/JKB+,/SP
주변	주변/NNG
다도해가	다도해/NNG+가/JKS
지척에	지척/NNG+에/JKB
펼쳐져	펼쳐지/VV+어/EC
있어	있/VX+어/EC
넓은	넓/VA+은/ETM
의미로	의미/NNG+로/JKB
해양	해양/NNG
케이블카에	케이블카/NNG+에/JKB
속한다.	속하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.249.6.6
아름다운 바다 전망 덕에 지난 11월 말 누적 탑승객 1200만명을 넘었다.

아름다운	아름답/VA+ㄴ/ETM
바다	바다/NNG
전망	전망/NNG
덕에	덕/NNG+에/JKB
지난	지나/VV+ㄴ/ETM
11월	11/SN+월/NNB
말	말/NNB
누적	누적/NNG
탑승객	탑승객/NNG
1200만명을	1200/SN+만/NR+명/NNB+을/JKO
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.249.6.7
애초 통영시가 들인 케이블카 건설 비용은 173억원.

애초	애초/NNG
통영시가	통영시/NNP+가/JKS
들인	들이/VV+ㄴ/ETM
케이블카	케이블카/NNG
건설	건설/NNG
비용은	비용/NNG+은/JX
173억원.	173/SN+억/NR+원/NNB+./SF


# id : NWRW1800000054.249.6.8
케이블을 운영하는 통영관광개발공사 측은 "연간 1300억~1500억원의 간접 경제 효과를 올린다"고 밝혔다.

케이블을	케이블/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
통영관광개발공사	통영관광개발공사/NNP
측은	측/NNB+은/JX
"연간	"/SS+연간/NNG
1300억~1500억원의	1300/SN+억/NR+~/SO+1500/SN+억/NR+원/NNB+의/JKG
간접	간접/NNG
경제	경제/NNG
효과를	효과/NNG+를/JKO
올린다"고	올리/VV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.249.6.9
사업비의 9배에 가깝다.

사업비의	사업비/NNG+의/JKG
9배에	9/SN+배/NNG+에/JKB
가깝다.	가깝/VA+다/EF+./SF


# id : NWRW1800000054.249.7.1
◇"돈 된다" 전국 해상케이블카 붐

◇"돈	◇/SW+"/SS+돈/NNG
된다"	되/VV+ㄴ다/EF+"/SS
전국	전국/NNG
해상케이블카	해상/NNG+케이블카/NNG
붐	붐/NNG


# id : NWRW1800000054.249.8.1
해상 케이블카는 파노라마처럼 펼쳐지는 바닷가 풍경을 즐기려는 해양 관광 수요를 적절히 흡수했다는 분석이다.

해상	해상/NNG
케이블카는	케이블카/NNG+는/JX
파노라마처럼	파노라마/NNG+처럼/JKB
펼쳐지는	펼쳐지/VV+는/ETM
바닷가	바닷가/NNG
풍경을	풍경/NNG+을/JKO
즐기려는	즐기/VV+려는/ETM
해양	해양/NNG
관광	관광/NNG
수요를	수요/NNG+를/JKO
적절히	적절히/MAG
흡수했다는	흡수/NNG+하/XSV+았/EP+다는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.249.8.2
해상에 설치돼 환경 보전을 앞세운 환경 단체의 저항을 최소화할 수 있다는 점도 유리하다.

해상에	해상/NNG+에/JKB
설치돼	설치/NNG+되/XSV+어/EC
환경	환경/NNG
보전을	보전/NNG+을/JKO
앞세운	앞세우/VV+ㄴ/ETM
단체의	단체/NNG+의/JKG
저항을	저항/NNG+을/JKO
최소화할	최소/NNG+화/XSN+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점도	점/NNG+도/JX
유리하다.	유리/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.249.9.1
통영의 성공에 자극을 받아 탄생한 것이 여수와 송도의 해상케이블카다.

통영의	통영/NNP+의/JKG
성공에	성공/NNG+에/JKB
자극을	자극/NNG+을/JKO
받아	받/VV+아/EC
탄생한	탄생/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
여수와	여수/NNP+와/JC
송도의	송도/NNP+의/JKG
해상케이블카다.	해상/NNG+케이블카/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.249.9.2
2014년 12월 개통한 여수 해상케이블카는 해마다 200만명이 찾는 남해안 대표 해상케이블카로 자리 잡았다.

2014년	2014/SN+년/NNB
12월	12/SN+월/NNB
개통한	개통/NNG+하/XSV+ㄴ/ETM
여수	여수/NNP
해상케이블카는	해상/NNG+케이블카/NNG+는/JX
해마다	해마다/MAG
200만명이	200/SN+만/NR+명/NNB+이/JKS
찾는	찾/VV+는/ETM
남해안	남해안/NNP
대표	대표/NNG
해상케이블카로	해상/NNG+케이블카/NNG+로/JKB
자리	자리/NNG
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.249.9.3
여수 자산공원~돌산공원 1.5㎞ 해상을 오가는 이 케이블카 사업비는 360억원이다.

여수	여수/NNP
자산공원~돌산공원	자산공원/NNP+~/SO+돌산공원/NNP
1.5㎞	1/SN+./SP+5/SN+㎞/SW
해상을	해상/NNG+을/JKO
오가는	오가/VV+는/ETM
이	이/MMD
케이블카	케이블카/NNG
사업비는	사업비/NNG+는/JX
360억원이다.	360/SN+억/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.249.9.4
여수시가 전액 민자 유치했다.

여수시가	여수시/NNP+가/JKS
전액	전액/NNG
민자	민자/NNG
유치했다.	유치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.249.9.5
여수시는 "고용 창출과 지역경제 활성화 등 연간 1500억원 이상의 경제 효과가 발생한다"고 말했다.

여수시는	여수시/NNP+는/JX
"고용	"/SS+고용/NNG
창출과	창출/NNG+과/JC
지역경제	지역/NNG+경제/NNG
활성화	활성/NNG+화/XSN
등	등/NNB
연간	연간/NNG
1500억원	1500/SN+억/NR+원/NNB
이상의	이상/NNG+의/JKG
경제	경제/NNG
효과가	효과/NNG+가/JKS
발생한다"고	발생/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.249.9.6
매년 매출액의 3%를 시에 공익기부 하기로 약정함에 따라 운영 업체는 2015~2016년 15억3000만원을 여수시에 제공했다.

매년	매년/MAG
매출액의	매출액/NNG+의/JKG
3%를	3/SN+%/SW+를/JKO
시에	시/NNG+에/JKB
공익기부	공익/NNG+기부/NNG
하기로	하/VV+기/ETN+로/JKB
약정함에	약정/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
운영	운영/NNG
업체는	업체/NNG+는/JX
2015~2016년	2015/SN+~/SO+2016/SN+년/NNB
15억3000만원을	15/SN+억/NR+3000/SN+만/NR+원/NNB+을/JKO
여수시에	여수시/NNP+에/JKB
제공했다.	제공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.249.9.7
시는 이 돈을 야간 경관 조명과 자전거 도로 개설 사업비에 사용했다.

시는	시/NNG+는/JX
이	이/MMD
돈을	돈/NNG+을/JKO
야간	야간/NNG
경관	경관/NNG
조명과	조명/NNG+과/JC
자전거	자전거/NNG
도로	도로/NNG
개설	개설/NNG
사업비에	사업비/NNG+에/JKB
사용했다.	사용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.249.10.1
지난 9월엔 강원 삼척해상케이블카(0.874㎞)가 운행에 들어갔다.

지난	지나/VV+ㄴ/ETM
9월엔	9/SN+월/NNB+에/JKB+ㄴ/JX
강원	강원/NNP
삼척해상케이블카(0.874㎞)가	삼척/NNP+해상/NNG+케이블카/NNG+(/SS+0/SN+./SP+874/SN+㎞/SW+)/SS+가/JKS
운행에	운행/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.249.10.2
동해안 첫 해상케이블카다.

동해안	동해안/NNP
첫	첫/MMN
해상케이블카다.	해상/NNG+케이블카/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.249.10.3
경남 사천바다케이블카(2.43㎞)와 전남 목포해상케이블카(3.23㎞)가 내년 4월과 8월 각각 운행을 앞두고 있다.

경남	경남/NNP
사천바다케이블카(2.43㎞)와	사천/NNP+바다/NNG+케이블카/NNG+(/SS+2/SN+./SP+43/SN+㎞/SW+)/SS+와/JC
전남	전남/NNP
목포해상케이블카(3.23㎞)가	목포/NNP+해상/NNG+케이블카/NNG+(/SS+3/SN+./SP+23/SN+㎞/SW+)/SS+가/JKS
내년	내년/NNG
4월과	4/SN+월/NNB+과/JC
8월	8/SN+월/NNB
각각	각각/MAG
운행을	운행/NNG+을/JKO
앞두고	앞두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.249.10.4
이 밖에 경북 포항, 인천 강화, 전남 진도·해남, 경기 화성, 충남 태안, 강원 고성, 전북 군산 등에서 운행을 추진 중이다.

이	이/MMD
밖에	밖/NNG+에/JKB
경북	경북/NNP
포항,	포항/NNP+,/SP
인천	인천/NNP
강화,	강화/NNP+,/SP
전남	전남/NNP
진도·해남,	진도/NNP+·/SP+해남/NNP+,/SP
경기	경기/NNP
화성,	화성/NNP+,/SP
충남	충남/NNP
태안,	태안/NNP+,/SP
강원	강원/NNP
고성,	고성/NNP+,/SP
전북	전북/NNP
군산	군산/NNP
등에서	등/NNB+에서/JKB
운행을	운행/NNG+을/JKO
추진	추진/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.249.10.5
김종일 광주전남연구원 사회환경연구실장은 "전국에서 우후죽순 해상케이블카가 생기면 출혈 경쟁이 불가피해 자칫 개통 수년 뒤 지역의 애물단지로 전락할 수도 있다"며 "사업 경제성을 자세히 분석해 내실 있게 추진해야 한다"고 말했다.

김종일	김종일/NNP
광주전남연구원	광주전남연구원/NNP
사회환경연구실장은	사회/NNG+환경/NNG+연구실장/NNG+은/JX
"전국에서	"/SS+전국/NNG+에서/JKB
우후죽순	우후죽순/NNG
해상케이블카가	해상/NNG+케이블카/NNG+가/JKS
생기면	생기/VV+면/EC
출혈	출혈/NNG
경쟁이	경쟁/NNG+이/JKS
불가피해	불가피하/VA+아/EC
자칫	자칫/MAG
개통	개통/NNG
수년	수년/NNG
뒤	뒤/NNG
지역의	지역/NNG+의/JKG
애물단지로	애물단지/NNG+로/JKB
전락할	전락/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다"며	있/VA+다/EF+"/SS+며/EC
"사업	"/SS+사업/NNG
경제성을	경제/NNG+성/XSN+을/JKO
자세히	자세히/MAG
분석해	분석/NNG+하/XSV+아/EC
내실	내실/NNG
있게	있/VA+게/EC
추진해야	추진/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


