# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.334
metadata : {}


# id : NWRW1800000041.334.1.1
재보선… 홍철호 “300년 代이은 지역 일꾼”… 김두관 “국정경험 바탕 현안 해결”

재보선…	재보선/NNG+…/SE
맹추격을	맹추격/NNG+을/JKO
벌이고	벌이/VV+고/EC
있어	있/VX+어/EC
막판	막판/NNG
접전이	접전/NNG+이/JKS
예상된다,	예상/NNG+되/XSV+ㄴ다/EF+,/SP
여야	여야/NNG
지도부는	지도부/NNG+는/JX
이날	이날/NNG
최고위원회의를	최고/NNG+위원/NNG+회의/NNG+를/JKO
각	각/MMD
후보의	후보/NNG+의/JKG
캠프사무실에서	캠프/NNG+사무실/NNG+에서/JKB
열면서	열/VV+면서/EC
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
지원에	지원/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.334.6.1
홍 후보는 ‘굽네치킨’이라는 유명 프랜차이즈 업체의 최고경영자(CEO) 출신이다.

홍	홍/NNP
후보는	후보/NNG+는/JX
‘굽네치킨’이라는	‘/SS+굽네치킨/NNP+’/SS+이/VCP+라는/ETM
유명	유명/NNG
프랜차이즈	프랜차이즈/NNG
업체의	업체/NNG+의/JKG
최고경영자(CEO)	최고/NNG+경영자/NNG+(/SS+CEO/SL+)/SS
출신이다.	출신/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.334.6.2
이곳에서만 300여 년간 대를 이어 살아온 ‘지역밀착 일꾼’임을 되풀이해서 강조했다.

이곳에서만	이곳/NP+에서/JKB+만/JX
300여	300/SN+여/XSN
년간	년/NNB+간/XSN
대를	대/NNG+를/JKO
이어	잇/VV+어/EC
살아온	살아오/VV+ㄴ/ETM
‘지역밀착	‘/SS+지역/NNG+밀착/NNG
일꾼’임을	일/NNG+꾼/XSN+’/SS+이/VCP+ㅁ/ETN+을/JKO
되풀이해서	되풀이/NNG+하/XSV+아서/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.334.6.3
김포와 멀리 떨어진 경남도지사 출신인 김 후보를 겨냥한 ‘반장론’을 내세웠다.

김포와	김포/NNP+와/JKB
멀리	멀리/MAG
떨어진	떨어지/VV+ㄴ/ETM
경남도지사	경남/NNP+도지사/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
김	김/NNP
후보를	후보/NNG+를/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
‘반장론’을	‘/SS+반장/NNG+론/XSN+’/SS+을/JKO
내세웠다.	내세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.334.6.4
그는 “전학생이 (반장선거에 나와) ‘내가 먼저 다니던 학교에서 총학생회장을 했으니 이번 반장은 내가 해야겠다’고 말한다면 그게 가당한 얘기냐”고 말했다.

그는	그/NP+는/JX
“전학생이	“/SS+전학/NNG+생/XSN+이/JKS
(반장선거에	(/SS+반장/NNG+선거/NNG+에/JKB
나와)	나오/VV+아/EC+)/SS
‘내가	‘/SS+내/NP+가/JKS
먼저	먼저/MAG
다니던	다니/VV+던/ETM
학교에서	학교/NNG+에서/JKB
총학생회장을	총학생회장/NNG+을/JKO
했으니	하/VV+았/EP+으니/EC
이번	이번/NNG
반장은	반장/NNG+은/JX
내가	내/NP+가/JKS
해야겠다’고	하/VV+아야/EC+하/VX+겠/EP+다/EF+’/SS+고/JKQ
말한다면	말/NNG+하/XSV+ㄴ다면/EC
그게	그거/NP+이/JKS
가당한	가당하/VA+ㄴ/ETM
얘기냐”고	얘기/NNG+이/VCP+냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.334.6.5
김무성 새누리당 대표도 “상대당 후보는 김포와 단 1%도 인연이 없는 사람”이라고 거들었다.

김무성	김무성/NNP
새누리당	새누리당/NNP
대표도	대표/NNG+도/JX
“상대당	“/SS+상대/NNG+당/NNG
후보는	후보/NNG+는/JX
김포와	김포/NNP+와/JKB
단	단/MMA
1%도	1/SN+%/SW+도/JX
인연이	인연/NNG+이/JKS
없는	없/VA+는/ETM
사람”이라고	사람/NNG+”/SS+이라고/JKQ
거들었다.	거들/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.334.7.1
홍 후보는 이날 붉은색 운동화와 모자 차림으로 김 대표와 함께 김포시 양촌읍사무소를 찾았다.

홍	홍/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
붉은색	붉은색/NNG
운동화와	운동화/NNG+와/JC
모자	모자/NNG
차림으로	차림/NNG+으로/JKB
김	김/NNP
대표와	대표/NNG+와/JKB
함께	함께/MAG
김포시	김포시/NNP
양촌읍사무소를	양촌읍/NNP+사무소/NNG+를/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.334.7.2
김 대표는 자녀의 출생신고를 하러 온 젊은 부부를 만나 “보육예산과 노인복지예산을 늘리려면 새누리당이 승리해 경제를 성장시켜야 한다”고 강조했다.

김	김/NNP
대표는	대표/NNG+는/JX
자녀의	자녀/NNG+의/JKG
출생신고를	출생/NNG+신고/NNG+를/JKO
하러	하/VV+러/EC
온	오/VV+ㄴ/ETM
젊은	젊/VA+은/ETM
부부를	부부/NNG+를/JKO
만나	만나/VV+아/EC
“보육예산과	“/SS+보육/NNG+예산/NNG+과/JC
노인복지예산을	노인/NNG+복지/NNG+예산/NNG+을/JKO
늘리려면	늘리/VV+려면/EC
새누리당이	새누리당/NNP+이/JKS
승리해	승리/NNG+하/XSV+아/EC
경제를	경제/NNG+를/JKO
성장시켜야	성장/NNG+시키/XSV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.334.7.3
홍 후보는 읍사무소 옆 노인정을 찾아 “새누리당이 부자들만을 위한 정당이 아니라는 것을 보여주겠다”며 지지를 호소했다.

홍	홍/NNP
후보는	후보/NNG+는/JX
읍사무소	읍사무소/NNG
옆	옆/NNG
노인정을	노인정/NNG+을/JKO
찾아	찾/VV+아/EC
“새누리당이	“/SS+새누리당/NNP+이/JKS
부자들만을	부자/NNG+들/XSN+만/JX+을/JKO
위한	위하/VV+ㄴ/ETM
정당이	정당/NNG+이/JKC
아니라는	아니/VCN+라는/ETM
것을	것/NNB+을/JKO
보여주겠다”며	보이/VV+어/EC+주/VX+겠/EP+다/EF+”/SS+며/EC
지지를	지지/NNG+를/JKO
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.334.8.1
이에 맞서 김 후보는 ‘세월호 심판론’을 내세우며 신도시 지역의 민심을 집중 공략했다.

이에	이/NP+에/JKB
맞서	맞서/VV+어/EC
김	김/NNP
후보는	후보/NNG+는/JX
‘세월호	‘/SS+세월호/NNP
심판론’을	심판/NNG+론/XSN+’/SS+을/JKO
내세우며	내세우/VV+며/EC
신도시	신/XPN+도시/NNG
지역의	지역/NNG+의/JKG
민심을	민심/NNG+을/JKO
집중	집중/NNG
공략했다.	공략/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.334.8.2
이날 유세에는 김한길 안철수 공동대표와 문재인 의원, 박영선 원내대표 등이 총출동했다.

이날	이날/NNG
유세에는	유세/NNG+에/JKB+는/JX
김한길	김한길/NNP
안철수	안철수/NNP
공동대표와	공동/NNG+대표/NNG+와/JC
문재인	문재인/NNP
의원,	의원/NNG+,/SP
박영선	박영선/NNP
원내대표	원내/NNG+대표/NNG
등이	등/NNB+이/JKS
총출동했다.	총출동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.334.8.3
안 대표는 오전 11시경 김포시 풍무동 거리유세에서 “(김 후보는) 무능하고 무책임한 정부를 꾸짖고 새로운 김포, 대한민국을 만들어 나갈 수 있는 거인”이라고 치켜세웠다.

안	안/NNP
대표는	대표/NNG+는/JX
오전	오전/NNG
11시경	11/SN+시/NNB+경/XSN
김포시	김포시/NNP
풍무동	풍무동/NNP
거리유세에서	거리/NNG+유세/NNG+에서/JKB
“(김	“/SS+(/SS+김/NNP
후보는)	후보/NNG+는/JX+)/SS
무능하고	무능/NNG+하/XSA+고/EC
무책임한	무/XPN+책임/NNG+하/XSA+ㄴ/ETM
정부를	정부/NNG+를/JKO
꾸짖고	꾸짖/VV+고/EC
새로운	새롭/VA+ㄴ/ETM
김포,	김포/NNP+,/SP
대한민국을	대한민국/NNP+을/JKO
만들어	만들/VV+어/EC
나갈	나가/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
거인”이라고	거인/NNG+”/SS+이라고/JKQ
치켜세웠다.	치켜세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.334.9.1
김 후보는 구도심 지역인 김포시 통진읍 마송장에서 유세를 이어갔다.

김	김/NNP
후보는	후보/NNG+는/JX
구도심	구/XPN+도심/NNG
지역인	지역/NNG+이/VCP+ㄴ/ETM
김포시	김포시/NNP
통진읍	통진읍/NNP
마송장에서	마송장/NNP+에서/JKB
유세를	유세/NNG+를/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.334.9.2
그는 “김포에는 토박이 주민이 25%, 외지에서 새 기회를 찾아 온 주민이 75%”라며 “지역민과 친한 것도 중요하지만 통합의 정치력이 있는 후보가 당선돼야 한다”고 목소리를 높였다.

그는	그/NP+는/JX
“김포에는	“/SS+김포/NNP+에/JKB+는/JX
토박이	토박이/NNG
주민이	주민/NNG+이/JKS
25%,	25/SN+%/SW+,/SP
외지에서	외지/NNG+에서/JKB
새	새/MMA
기회를	기회/NNG+를/JKO
찾아	찾/VV+아/EC
온	오/VX+ㄴ/ETM
75%”라며	75/SN+%/SW+”/SS+이/VCP+라며/EC
“지역민과	“/SS+지역민/NNG+과/JKB
친한	친하/VA+ㄴ/ETM
것도	것/NNB+도/JX
중요하지만	중요/NNG+하/XSA+지만/EC
통합의	통합/NNG+의/JKG
정치력이	정치력/NNG+이/JKS
있는	있/VA+는/ETM
후보가	후보/NNG+가/JKS
당선돼야	당선/NNG+되/XSV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
목소리를	목소리/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.334.9.3
그는 자신이 이장, 남해군수, 경남도지사는 물론이고 행정자치부 장관까지 지낸 사실을 언급하며 “국정 경험과 행정 경험을 둘 다 살려 김포의 현안을 해결할 수 있는 적임자”라고 강조했다.

그는	그/NP+는/JX
자신이	자신/NNG+이/JKS
이장,	이장/NNG+,/SP
남해군수,	남해군수/NNG+,/SP
경남도지사는	경남/NNP+도지사/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
행정자치부	행정/NNG+자치부/NNG
장관까지	장관/NNG+까지/JX
지낸	지내/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
언급하며	언급/NNG+하/XSV+며/EC
“국정	“/SS+국정/NNG
경험과	경험/NNG+과/JC
행정	행정/NNG
경험을	경험/NNG+을/JKO
둘	둘/NR
다	다/MAG
살려	살리/VV+어/EC
김포의	김포/NNP+의/JKG
현안을	현안/NNG+을/JKO
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
적임자”라고	적임자/NNG+”/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


