# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.87
metadata : {}


# id : NWRW1800000054.87.1.1
"하고 싶은 일 하는 게 이기적?

"하고	"/SS+하/VV+고/EC
유명해지면서	유명/NNG+하/XSA+아/EC+지/VX+면서/EC
집값은	집값/NNG+은/JX
천정부지로	천정부지/NNG+로/JKB
올랐고,	오르/VV+았/EP+고/EC+,/SP
자주	자주/MAG
가던	가/VV+던/ETM
밥집은	밥집/NNG+은/JX
사라졌다.	사라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.87.7.7
책은 도시에서 태어난 요즘 젊은이들에게 '뿌리'를 묻는다.

책은	책/NNG+은/JX
도시에서	도시/NNG+에서/JKB
태어난	태어나/VV+ㄴ/ETM
요즘	요즘/NNG
젊은이들에게	젊은이/NNG+들/XSN+에게/JKB
'뿌리'를	'/SS+뿌리/NNG+'/SS+를/JKO
묻는다.	묻/VV+는다/EF+./SF


# id : NWRW1800000054.87.7.8
저자는 "원고는 2개월 만에 썼지만 34년 동안 쓴 책이나 마찬가지"라고 했다.

저자는	저자/NNG+는/JX
"원고는	"/SS+원고/NNG+는/JX
2개월	2/SN+개월/NNB
만에	만/NNB+에/JKB
썼지만	쓰/VV+었/EP+지만/EC
34년	34/SN+년/NNB
동안	동안/NNG
쓴	쓰/VV+ㄴ/ETM
책이나	책/NNG+이나/JX
마찬가지"라고	마찬가지/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.87.8.1
목수 김윤관(46)씨는 '아무튼, 서재'에서 "당신만의 서재를 가지는 것, 서재가 힘들면 제대로 된 책상이라도 구하는 것이 당신 자신의 모습으로 살아가는 첫걸음"이라고 말했다.

목수	목수/NNG
김윤관(46)씨는	김윤관/NNP+(/SS+46/SN+)/SS+씨/NNB+는/JX
'아무튼,	'/SS+아무튼/MAG+,/SP
서재'에서	서재/NNG+'/SS+에서/JKB
"당신만의	"/SS+당신/NP+만/JX+의/JKG
서재를	서재/NNG+를/JKO
가지는	가지/VV+는/ETM
것,	것/NNB+,/SP
서재가	서재/NNG+가/JKS
힘들면	힘들/VA+면/EC
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
책상이라도	책상/NNG+이/VCP+라도/EC
구하는	구하/VV+는/ETM
것이	것/NNB+이/JKS
당신	당신/NP
자신의	자신/NNG+의/JKG
모습으로	모습/NNG+으로/JKB
살아가는	살아가/VV+는/ETM
첫걸음"이라고	첫걸음/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.87.8.2
혼자가 되는 서재에서 작업도 휴식도 가능하다는 것.

혼자가	혼자/NNG+가/JKC
되는	되/VV+는/ETM
서재에서	서재/NNG+에서/JKB
작업도	작업/NNG+도/JX
휴식도	휴식/NNG+도/JX
가능하다는	가능/NNG+하/XSA+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000054.87.8.3
그의 첫 책장은 라면박스였다.

그의	그/NP+의/JKG
첫	첫/MMN
책장은	책장/NNG+은/JX
라면박스였다.	라면/NNG+박스/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.87.8.4
그나마도 둘 곳이 마땅치 않아 학교 동아리방에 있었다.

그나마도	그나마/MAG+도/JX
둘	두/VV+ㄹ/ETM
곳이	곳/NNG+이/JKS
마땅치	마땅하/VA+지/EC
않아	않/VX+아/EC
학교	학교/NNG
동아리방에	동아리방/NNG+에/JKB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.87.8.5
지금 그는 서재 가구를 전문으로 만든다.

지금	지금/MAG
그는	그/NP+는/JX
서재	서재/NNG
가구를	가구/NNG+를/JKO
전문으로	전문/NNG+으로/JKB
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.87.8.6
그의 서재 예찬에서는 여느 탐서가들과 달리 먹물 냄새 대신 나무 향기가 난다.

그의	그/NP+의/JKG
서재	서재/NNG
예찬에서는	예찬/NNG+에서/JKB+는/JX
여느	여느/MMA
탐서가들과	탐서가/NNG+들/XSN+과/JKB
달리	달리/MAG
먹물	먹물/NNG
냄새	냄새/NNG
대신	대신/NNG
나무	나무/NNG
향기가	향기/NNG+가/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.87.9.1
일러스트레이터 조성민(44)씨는 작업 전 인터넷에서 물건을 찾으며 몸을 푼다.

일러스트레이터	일러스트레이터/NNG
조성민(44)씨는	조성민/NNP+(/SS+44/SN+)/SS+씨/NNB+는/JX
작업	작업/NNG
전	전/NNG
인터넷에서	인터넷/NNG+에서/JKB
물건을	물건/NNG+을/JKO
찾으며	찾/VV+으며/EC
몸을	몸/NNG+을/JKO
푼다.	풀/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.87.9.2
그래서 베테랑 물건 감별사다.

그래서	그래서/MAJ
베테랑	베테랑/NNG
물건	물건/NNG
감별사다.	감별사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.87.9.3
'아무튼, 쇼핑'은 스마트폰 음악 애플리케이션부터, 지퍼, 3M사(社)의 기능성 원단까지 두루 살핀다.

'아무튼,	'/SS+아무튼/MAG+,/SP
쇼핑'은	쇼핑/NNG+'/SS+은/JX
스마트폰	스마트폰/NNG
음악	음악/NNG
애플리케이션부터,	애플리케이션/NNG+부터/JX+,/SP
지퍼,	지퍼/NNG+,/SP
3M사(社)의	3M사/NNP+(/SS+社/SH+)/SS+의/JKG
기능성	기능/NNG+성/XSN
원단까지	원단/NNG+까지/JX
두루	두루/MAG
살핀다.	살피/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.87.9.4
잘 드는 명품 가위는 007에 나오는 명차 '애스턴 마틴' 같다는 이야기가 인상적.

잘	잘/MAG
드는	들/VV+는/ETM
명품	명품/NNG
가위는	가위/NNG+는/JX
007에	007/SN+에/JKB
나오는	나오/VV+는/ETM
명차	명차/NNG
'애스턴	'/SS+애스턴/NNP
마틴'	마틴/NNP+'/SS
같다는	같/VA+다는/ETM
이야기가	이야기/NNG+가/JKS
인상적.	인상/NNG+적/XSN+./SF


# id : NWRW1800000054.87.9.5
'아무튼, 게스트하우스'는 개업 약사인 장성민(42)씨가 40여 개국 수많은 게스트하우스를 돌아다닌 경험을 털어놓은 책.

'아무튼,	'/SS+아무튼/MAG+,/SP
게스트하우스'는	게스트하우스/NNG+'/SS+는/JX
개업	개업/NNG
약사인	약사/NNG+이/VCP+ㄴ/ETM
장성민(42)씨가	장성민/NNP+(/SS+42/SN+)/SS+씨/NNB+가/JKS
40여	40/SN+여/XSN
개국	개국/NNB
수많은	수많/VA+은/ETM
게스트하우스를	게스트하우스/NNG+를/JKO
돌아다닌	돌아다니/VV+ㄴ/ETM
경험을	경험/NNG+을/JKO
털어놓은	털어놓/VV+은/ETM
책.	책/NNG+./SF


# id : NWRW1800000054.87.9.6
결혼하고서도 한동안 1년에 1달은 혼자 여행을 떠났던 그의 여행 찬가다.

결혼하고서도	결혼/NNG+하/XSV+고서/EC+도/JX
한동안	한/XPN+동안/NNG
1년에	1/SN+년/NNB+에/JKB
1달은	1/SN+달/NNB+은/JX
혼자	혼자/NNG
여행을	여행/NNG+을/JKO
떠났던	떠나/VV+았/EP+던/ETM
그의	그/NP+의/JKG
여행	여행/NNG
찬가다.	찬가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.87.10.1
한 집안의 가장(家長)들이 '아무튼'을 추구하는 게 이기적인 선택은 아닐까.

한	한/MMN
집안의	집안/NNG+의/JKG
가장(家長)들이	가장/NNG+(/SS+家長/SH+)/SS+들/XSN+이/JKS
'아무튼'을	'/SS+아무튼/MAG+'/SS+을/JKO
추구하는	추구/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
이기적인	이기/NNG+적/XSN+이/VCP+ㄴ/ETM
선택은	선택/NNG+은/JX
아닐까.	아니/VCN+ㄹ까/EF+./SF


# id : NWRW1800000054.87.10.2
장성민씨 대답이 인상적이다.

장성민씨	장성민/NNP+씨/NNB
대답이	대답/NNG+이/JKS
인상적이다.	인상/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000054.87.10.3
"아이들에게는 자기들 하고 싶은 일 하라면서, 부모들은 아이를 위해 희생한다면서 참죠.

"아이들에게는	"/SS+아이/NNG+들/XSN+에게/JKB+는/JX
자기들	자기/NNG+들/XSN
하고	하/VV+고/EC
싶은	싶/VX+은/ETM
일	일/NNG
하라면서,	하/VV+라면서/EC+,/SP
부모들은	부모/NNG+들/XSN+은/JX
아이를	아이/NNG+를/JKO
위해	위하/VV+아/EC
희생한다면서	희생/NNG+하/XSV+ㄴ다면서/EC
참죠.	참/VV+죠/EF+./SF


# id : NWRW1800000054.87.10.4
그런 부모를 보고 자라난 아이가 하고 싶은 일 하며 살 수 있을까요?" 아무튼 시리즈는 계속된다.

그런	그런/MMD
부모를	부모/NNG+를/JKO
보고	보/VV+고/EC
자라난	자라나/VV+ㄴ/ETM
아이가	아이/NNG+가/JKS
하고	하/VV+고/EC
싶은	싶/VX+은/ETM
일	일/NNG
하며	하/VV+며/EC
살	살/VV+ㄹ/ETM
수	수/NNB
있을까요?"	있/VA+을까/EF+요/JX+?/SF+"/SS
아무튼	아무튼/MAG
시리즈는	시리즈/NNG+는/JX
계속된다.	계속/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.87.10.5
출간 확정된 책만 '택시' '소주' '호수공원' 등 15권이다.

출간	출간/NNG
확정된	확정/NNG+되/XSV+ㄴ/ETM
책만	책/NNG+만/JX
'택시'	'/SS+택시/NNG+'/SS
'소주'	'/SS+소주/NNG+'/SS
'호수공원'	'/SS+호수/NNG+공원/NNG+'/SS
등	등/NNB
15권이다.	15/SN+권/NNB+이/VCP+다/EF+./SF


