# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.113
metadata : {}


# id : NWRW1800000049.113.1.1
“‘언노운 걸’, 자신과 주변을 변화시키는 죄책감과 책무에 관한 영화”

“‘언노운	“/SS+‘/SS+언노운/NNP
몸인데	몸/NNG+이/VCP+ㄴ데/EC
사람들이	사람/NNG+들/XSN+이/JKS
믿어주지	믿/VV+어/EC+주/VX+지/EC
않는다”라는	않/VX+는다/EF+”/SS+이/VCP+라는/ETM
우스갯소리가	우스갯소리/NNG+가/JKS
믿길	믿기/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
두	두/MMN
사람의	사람/NNG+의/JKG
답변은	답변/NNG+은/JX
마치	마치/MAG
사람처럼	사람/NNG+처럼/JKB
때론	때로/MAG+ㄴ/JX
이어지고,	이어지/VV+고/EC+,/SP
서로를	서로/NNG+를/JKO
보충했다.	보충/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.113.6.1
형제 감독이 연출한 열 번째 장편 극영화 ‘언노운 걸’이 올해 제69회 칸국제영화제 경쟁부문에 초청됐다.

형제	형제/NNG
감독이	감독/NNG+이/JKS
연출한	연출/NNG+하/XSV+ㄴ/ETM
열	열/NR
번째	번/NNB+째/XSN
장편	장편/NNG
극영화	극영화/NNG
‘언노운	‘/SS+언노운/NNP
걸’이	걸/NNP+’/SS+이/JKS
올해	올해/NNG
제69회	제/XPN+69/SN+회/NNB
칸국제영화제	칸/NNP+국제/NNG+영화제/NNG
경쟁부문에	경쟁/NNG+부문/NNG+에/JKB
초청됐다.	초청/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.113.6.2
‘언노운 걸’은 벨기에 리에주 지역의 한 동네 의사 제니(아델 에넬)가 진료시간이 지나 찾아왔다는 이유로 무심코 지나쳤던 한 소녀가 죽었다는 사실을 알게 된 뒤 소녀의 정체를 추적하기 시작하며 벌어지는 일을 담았다.

‘언노운	‘/SS+언노운/NNP
걸’은	걸/NNP+’/SS+은/JX
벨기에	벨기에/NNP
리에주	리에주/NNP
지역의	지역/NNG+의/JKG
한	한/MMN
동네	동네/NNG
의사	의사/NNG
제니(아델	제니/NNP+(/SS+아델/NNP
에넬)가	에넬/NNP+)/SS+가/JKS
진료시간이	진료/NNG+시간/NNG+이/JKS
지나	지나/VV+아/EC
찾아왔다는	찾아오/VV+았/EP+다는/ETM
이유로	이유/NNG+로/JKB
무심코	무심코/MAG
지나쳤던	지나치/VV+었/EP+던/ETM
소녀가	소녀/NNG+가/JKS
죽었다는	죽/VV+었/EP+다는/ETM
사실을	사실/NNG+을/JKO
알게	알/VV+게/EC
된	되/VV+ㄴ/ETM
뒤	뒤/NNG
소녀의	소녀/NNG+의/JKG
정체를	정체/NNG+를/JKO
추적하기	추적/NNG+하/XSV+기/ETN
시작하며	시작/NNG+하/XSV+며/EC
벌어지는	벌어지/VV+는/ETM
일을	일/NNG+을/JKO
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.113.7.1
―‘언노운 걸’은 어떻게 구상하게 됐나.

―‘언노운	―/SS+‘/SS+언노운/NNP
걸’은	걸/NNP+’/SS+은/JX
어떻게	어떻/VA+게/EC
구상하게	구상/NNG+하/XSV+게/EC
됐나.	되/VV+었/EP+나/EF+./SF


# id : NWRW1800000049.113.8.1
“실제 의사로 일하는 친구에게서 들은 이야기에서 출발했다.

“실제	“/SS+실제/MAG
의사로	의사/NNG+로/JKB
일하는	일/NNG+하/XSV+는/ETM
친구에게서	친구/NNG+에게서/JKB
들은	듣/VV+은/ETM
이야기에서	이야기/NNG+에서/JKB
출발했다.	출발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.113.8.2
친구가 아는 의사 중에 중학교에서 벌어지는 마약 거래 실태를 밝혀낸 사건이 있었는데, 방문 진료를 하는 일반 개업의여서 그런 일을 할 수 있었다는 거다.

친구가	친구/NNG+가/JKS
아는	알/VV+는/ETM
의사	의사/NNG
중에	중/NNB+에/JKB
중학교에서	중학교/NNG+에서/JKB
벌어지는	벌어지/VV+는/ETM
마약	마약/NNG
거래	거래/NNG
실태를	실태/NNG+를/JKO
밝혀낸	밝혀내/VV+ㄴ/ETM
사건이	사건/NNG+이/JKS
있었는데,	있/VA+었/EP+는데/EC+,/SP
방문	방문/NNG
진료를	진료/NNG+를/JKO
하는	하/VV+는/ETM
일반	일반/NNG
개업의여서	개업의/NNG+이/VCP+어서/EC
그런	그런/MMD
일을	일/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있었다는	있/VA+었/EP+다는/ETM
거다.	거/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.113.8.3
죽음을 지연시켜야 할 의무를 지닌 의사가 자기가 그냥 지나친 탓에 환자가 죽었다는 것을 아는 데서 출발해 죄책감과 책무(accountability)의 문제를 탐구하려 했다.”

죽음을	죽음/NNG+을/JKO
지연시켜야	지연/NNG+시키/XSV+어야/EC
할	하/VX+ㄹ/ETM
의무를	의무/NNG+를/JKO
지닌	지니/VV+ㄴ/ETM
의사가	의사/NNG+가/JKS
자기가	자기/NP+가/JKS
그냥	그냥/MAG
지나친	지나치/VA+ㄴ/ETM
탓에	탓/NNG+에/JKB
환자가	환자/NNG+가/JKS
죽었다는	죽/VV+었/EP+다는/ETM
것을	것/NNB+을/JKO
아는	알/VV+는/ETM
데서	데/NNB+서/JKB
출발해	출발/NNG+하/XSV+아/EC
죄책감과	죄책감/NNG+과/JC
책무(accountability)의	책무/NNG+(/SS+accountability/SL+)/SS+의/JKG
문제를	문제/NNG+를/JKO
탐구하려	탐구/NNG+하/XSV+려/EC
했다.”	하/VX+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000049.113.9.1
―영화 속에서 제니는 범인을 찾는 대신 소녀의 정체를 추적한다.

―영화	―/SS+영화/NNG
속에서	속/NNG+에서/JKB
제니는	제니/NNP+는/JX
범인을	범인/NNG+을/JKO
찾는	찾/VV+는/ETM
대신	대신/NNG
소녀의	소녀/NNG+의/JKG
정체를	정체/NNG+를/JKO
추적한다.	추적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.113.10.1
“수사물을 만들려던 것이 아니기 때문에 의사다운 이유에서 행동하도록 설정했다.

“수사물을	“/SS+수사물/NNG+을/JKO
만들려던	만들/VV+려던/ETM
것이	것/NNB+이/JKC
아니기	아니/VCN+기/ETN
때문에	때문/NNB+에/JKB
의사다운	의사/NNG+답/XSA+ㄴ/ETM
이유에서	이유/NNG+에서/JKB
행동하도록	행동/NNG+하/XSV+도록/EC
설정했다.	설정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.113.10.2
소녀의 이름을 찾는다는 것은 소녀를 원래의 인생, 그가 속해 있던 공동체로 회복시키는 것을 의미한다.

소녀의	소녀/NNG+의/JKG
이름을	이름/NNG+을/JKO
찾는다는	찾/VV+는다는/ETM
것은	것/NNB+은/JX
소녀를	소녀/NNG+를/JKO
원래의	원래/NNG+의/JKG
인생,	인생/NNG+,/SP
그가	그/NP+가/JKS
속해	속하/VV+아/EC
있던	있/VX+던/ETM
공동체로	공동체/NNG+로/JKB
회복시키는	회복/NNG+시키/XSV+는/ETM
것을	것/NNB+을/JKO
의미한다.	의미/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.113.10.3
제니는 죄책감으로 자기연민에 빠지는 대신 실제 행동에 나서고, 그를 통해 주변을 모두 변화시킨다.”

제니는	제니/NNP+는/JX
죄책감으로	죄책감/NNG+으로/JKB
자기연민에	자기/NNG+연민/NNG+에/JKB
빠지는	빠지/VV+는/ETM
대신	대신/NNG
실제	실제/NNG
행동에	행동/NNG+에/JKB
나서고,	나서/VV+고/EC+,/SP
그를	그/NP+를/JKO
통해	통하/VV+아/EC
주변을	주변/NNG+을/JKO
모두	모두/MAG
변화시킨다.”	변화/NNG+시키/XSV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000049.113.11.1
―그동안 인간의 죄책감을 주제로 많이 다뤄 왔다.

―그동안	―/SS+그동안/NNG
인간의	인간/NNG+의/JKG
죄책감을	죄책감/NNG+을/JKO
주제로	주제/NNG+로/JKB
많이	많이/MAG
다뤄	다루/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.113.12.1
“다루면 안 되는가?

“다루면	“/SS+다루/VV+면/EC
안	안/MAG
되는가?	되/VV+는가/EF+?/SF


# id : NWRW1800000049.113.12.2
(웃음) 죄책감은 다른 동물과 인간을 구분하는 특징이다.

(웃음)	(/SS+웃음/NNG+)/SS
죄책감은	죄책감/NNG+은/JX
다른	다른/MMD
동물과	동물/NNG+과/JC
인간을	인간/NNG+을/JKO
구분하는	구분/NNG+하/XSV+는/ETM
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.113.12.3
인간은 다른 사람을 이용하기도 하지만 동시에 타인에 대해 뭔가를 빚졌다고 느끼기도 하지 않나.

인간은	인간/NNG+은/JX
다른	다른/MMD
사람을	사람/NNG+을/JKO
이용하기도	이용/NNG+하/XSV+기/ETN+도/JX
하지만	하/VX+지만/EC
동시에	동시/NNG+에/JKB
타인에	타인/NNG+에/JKB
대해	대하/VV+아/EC
뭔가를	뭐/NP+이/VCP+ㄴ가/EF+를/JKO
빚졌다고	빚지/VV+었/EP+다고/EC
느끼기도	느끼/VV+기/ETN+도/JX
하지	하/VX+지/EC
않나.	않/VX+나/EF+./SF


# id : NWRW1800000049.113.12.4
현대사회의 질병 중 하나는 무관심이다.

현대사회의	현대/NNG+사회/NNG+의/JKG
질병	질병/NNG
중	중/NNB
하나는	하나/NR+는/JX
무관심이다.	무/XPN+관심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.113.12.5
오로지 자기 자신의 흥미만 내세우는 것 말이다.

오로지	오로지/MAG
자기	자기/NNG
자신의	자신/NNG+의/JKG
흥미만	흥미/NNG+만/JX
내세우는	내세우/VV+는/ETM
것	것/NNB
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.113.12.6
우리가 타인에게 빚졌다는 사실, 새장을 깨고 나와 진정한 인간으로 존재할 수 있도록 타인이 돕는다는 것을 깨달아야 한다.”

우리가	우리/NP+가/JKS
타인에게	타인/NNG+에게/JKB
빚졌다는	빚지/VV+었/EP+다는/ETM
사실,	사실/NNG+,/SP
새장을	새장/NNG+을/JKO
깨고	깨/VV+고/EC
나와	나오/VV+아/EC
진정한	진정/NNG+하/XSA+ㄴ/ETM
인간으로	인간/NNG+으로/JKB
존재할	존재/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
타인이	타인/NNG+이/JKS
돕는다는	돕/VV+는다는/ETM
것을	것/NNB+을/JKO
깨달아야	깨닫/VV+아야/EC
한다.”	하/VX+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000049.113.13.1
―열 번째 장편 극영화고, 30년 이상 작품 활동을 해 왔다.

―열	―/SS+열/NR
번째	번/NNB+째/XSN
장편	장편/NNG
극영화고,	극영화/NNG+이/VCP+고/EC+,/SP
30년	30/SN+년/NNB
이상	이상/NNG
작품	작품/NNG
활동을	활동/NNG+을/JKO
해	하/VV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.113.13.2
그동안 세계관이나 인간관이 바뀌었다고 느끼지는 않는가.

그동안	그동안/NNG
세계관이나	세계관/NNG+이나/JC
인간관이	인간관/NNG+이/JKS
바뀌었다고	바뀌/VV+었/EP+다고/EC
느끼지는	느끼/VV+지/EC+는/JX
않는가.	않/VX+는가/EF+./SF


# id : NWRW1800000049.113.14.1
“와, 큰 질문이다.

“와,	“/SS+와/IC+,/SP
큰	크/VA+ㄴ/ETM
질문이다.	질문/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.113.14.2
답하기 어렵지만….

답하기	답/NNG+하/XSV+기/ETN
어렵지만….	어렵/VA+지만/EC+…/SE+./SF


# id : NWRW1800000049.113.14.3
세상이 멸망할 거라는 얘기는 싫어한다.

세상이	세상/NNG+이/JKS
멸망할	멸망/NNG+하/XSV+ㄹ/ETM
거라는	거/NNB+이/VCP+라는/ETM
얘기는	얘기/NNG+는/JX
싫어한다.	싫/VA+어/EC+하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.113.14.4
너무 속도가 느리긴 하지만 조금씩 세상은 진보한다고 생각한다.

너무	너무/MAG
속도가	속도/NNG+가/JKS
느리긴	느리/VA+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
조금씩	조금/NNG+씩/XSN
세상은	세상/NNG+은/JX
진보한다고	진보/NNG+하/XSV+ㄴ다고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.113.14.5
전 세계적으로 어린이들이 과거보다 더 많이 교육받고 있지 않나.

전	전/MMN
세계적으로	세계/NNG+적/XSN+으로/JKB
어린이들이	어린이/NNG+들/XSN+이/JKS
과거보다	과거/NNG+보다/JKB
더	더/MAG
많이	많이/MAG
교육받고	교육/NNG+받/XSV+고/EC
있지	있/VX+지/EC
않나.	않/VX+나/EF+./SF


# id : NWRW1800000049.113.14.6
그것만으로도 충분하다.”

그것만으로도	그것/NP+만/JX+으로/JKB+도/JX
충분하다.”	충분하/VA+다/EF+./SF+”/SS


