# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.385
metadata : {}


# id : NWRW1800000052.385.1.1
미, 전략무기 상시배치 사실상 거부…국방부 과대포장에 “합의” 오보 소동

미,	미/NNP+,/SP
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.385.6.1
실제 카터 미 국방장관은 기자회견에서도 미국 전략자산의 상시 배치에 대해 전혀 언급하지 않았다.

실제	실제/MAG
카터	카터/NNP
미	미/NNP
국방장관은	국방/NNG+장관/NNG+은/JX
기자회견에서도	기자/NNG+회견/NNG+에서/JKB+도/JX
미국	미국/NNP
전략자산의	전략/NNG+자산/NNG+의/JKG
상시	상시/NNG
배치에	배치/NNG+에/JKB
대해	대하/VV+아/EC
전혀	전혀/MAG
언급하지	언급/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.385.6.2
또 양국이 이날 발표한 공동성명에도 “양 장관은 2+2(한-미 외교·국방장관 회의) ‘한-미 외교·국방 확장억제 전략협의체’(EDSCG)의 틀에서 북한이 동맹의 결의에 대한 의구심을 갖지 못하도록 확장억제 능력을 보다 더 강화하기 위한 추가적인 조처 방안들을 검토하기로 합의했다”고 명시하는 데 그쳤다.

또	또/MAG
양국이	양국/NNG+이/JKS
이날	이날/NNG
발표한	발표/NNG+하/XSV+ㄴ/ETM
공동성명에도	공동/NNG+성명/NNG+에/JKB+도/JX
“양	“/SS+양/NNP
장관은	장관/NNG+은/JX
2+2(한-미	2/SN++/SW+2/SN+(/SS+한-미/NNP
외교·국방장관	외교/NNG+·/SP+국방/NNG+장관/NNG
회의)	회의/NNG+)/SS
‘한-미	‘/SS+한-미/NNP
외교·국방	외교/NNG+·/SP+국방/NNG
확장억제	확장/NNG+억제/NNG
전략협의체’(EDSCG)의	전략/NNG+협의체/NNG+’/SS+(/SS+EDSCG/SL+)/SS+의/JKG
틀에서	틀/NNG+에서/JKB
북한이	북한/NNP+이/JKS
동맹의	동맹/NNG+의/JKG
결의에	결의/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의구심을	의구심/NNG+을/JKO
갖지	갖/VV+지/EC
못하도록	못하/VX+도록/EC
능력을	능력/NNG+을/JKO
보다	보다/MAG
더	더/MAG
강화하기	강화/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
추가적인	추가/NNG+적/XSN+이/VCP+ㄴ/ETM
조처	조처/NNG
방안들을	방안/NNG+들/XSN+을/JKO
검토하기로	검토/NNG+하/XSV+기/ETN+로/JKB
합의했다”고	합의/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
명시하는	명시/NNG+하/XSV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.385.7.1
앞서 국내 언론들은 국방부 고위당국자의 설명을 바탕으로 한·미가 미군 전략자산 한반도 상시 배치에 합의했다고 보도한 바 있다.

앞서	앞서/MAG
국내	국내/NNG
언론들은	언론/NNG+들/XSN+은/JX
국방부	국방부/NNG
고위당국자의	고위/NNG+당국자/NNG+의/JKG
설명을	설명/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
한·미가	한·미/NNP+가/JKS
미군	미군/NNG
전략자산	전략/NNG+자산/NNG
한반도	한반도/NNP
상시	상시/NNG
배치에	배치/NNG+에/JKB
합의했다고	합의/NNG+하/XSV+았/EP+다고/EC
보도한	보도/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


