# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.192
metadata : {}


# id : NWRW1800000049.192.1.1
“서울메트로, 은성PSD에 사업비 수백억대 과다 지급”

“서울메트로,	“/SS+서울메트로/NNP+,/SP
서울지방경찰청 지능범죄수사대 등은 9일 오전 경찰 100여 명을 투입해 서울 서초구 서울메트로 본사와 은성PSD, 또 다른 용역업체인 유진메트로컴, 사망 사고가 발생한 지하철역 등 10곳을 압수수색했다.

서울지방경찰청	서울지방경찰청/NNP
지능범죄수사대	지능/NNG+범죄/NNG+수사대/NNG
등은	등/NNB+은/JX
9일	9/SN+일/NNB
오전	오전/NNG
경찰	경찰/NNG
100여	100/SN+여/XSN
명을	명/NNB+을/JKO
투입해	투입/NNG+하/XSV+아/EC
서울	서울/NNP
서초구	서초구/NNP
서울메트로	서울메트로/NNP
본사와	본사/NNG+와/JC
은성PSD,	은성PSD/NNP+,/SP
또	또/MAG
다른	다른/MMD
용역업체인	용역업체/NNG+이/VCP+ㄴ/ETM
유진메트로컴,	유진메트로컴/NNP+,/SP
사망	사망/NNG
사고가	사고/NNG+가/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
지하철역	지하철역/NNG
등	등/NNB
10곳을	10/SN+곳/NNG+을/JKO
압수수색했다.	압수/NNG+수색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.192.4.2
경찰은 서울메트로와 용역업체들이 맺은 계약서류와 회계자료 등을 확보한 것으로 전해졌다.

경찰은	경찰/NNG+은/JX
서울메트로와	서울메트로/NNP+와/JC
용역업체들이	용역업체/NNG+들/XSN+이/JKS
맺은	맺/VV+은/ETM
계약서류와	계약/NNG+서류/NNG+와/JC
회계자료	회계/NNG+자료/NNG
등을	등/NNB+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.192.5.1
경찰 관계자는 “서울메트로가 은성PSD와 특혜성 계약을 맺어 회사에 수백억 원대의 손실을 입힌 것으로 보고 있다”며 “현재까지 파악된 규모는 100억 원에서 많게는 200억 원이며 수사 내용에 따라 액수는 달라질 수 있다”고 말했다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
“서울메트로가	“/SS+서울메트로/NNP+가/JKS
은성PSD와	은성PSD/NNP+와/JKB
특혜성	특혜/NNG+성/XSN
계약을	계약/NNG+을/JKO
맺어	맺/VV+어/EC
회사에	회사/NNG+에/JKB
수백억	수백억/NR
원대의	원/NNB+대/XSN+의/JKG
손실을	손실/NNG+을/JKO
입힌	입히/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“현재까지	“/SS+현재/NNG+까지/JX
파악된	파악/NNG+되/XSV+ㄴ/ETM
규모는	규모/NNG+는/JX
100억	100/SN+억/NR
원에서	원/NNB+에서/JKB
많게는	많/VA+게/EC+는/JX
200억	200/SN+억/NR
원이며	원/NNB+이/VCP+며/EC
수사	수사/NNG
내용에	내용/NNG+에/JKB
따라	따르/VV+아/EC
액수는	액수/NNG+는/JX
달라질	달라지/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.192.5.2
서울메트로와 유진메트로컴 사이의 특혜 규모도 수백억 원에 이를 것으로 경찰은 보고 있다.

서울메트로와	서울메트로/NNP+와/JC
유진메트로컴	유진메트로컴/NNP
사이의	사이/NNG+의/JKG
특혜	특혜/NNG
규모도	규모/NNG+도/JX
수백억	수백억/NR
원에	원/NNB+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
경찰은	경찰/NNG+은/JX
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.192.6.1
서울메트로는 2011년 은성PSD와 체결한 용역계약서에 서울메트로 출신 직원을 정규직으로 우선 채용하고 기존 임금의 60∼80%를 보장해 주도록 하는 내용을 담았다.

서울메트로는	서울메트로/NNP+는/JX
2011년	2011/SN+년/NNB
은성PSD와	은성PSD/NNP+와/JKB
체결한	체결/NNG+하/XSV+ㄴ/ETM
용역계약서에	용역/NNG+계약서/NNG+에/JKB
서울메트로	서울메트로/NNP
출신	출신/NNG
직원을	직원/NNG+을/JKO
정규직으로	정규직/NNG+으로/JKB
우선	우선/MAG
채용하고	채용/NNG+하/XSV+고/EC
기존	기존/NNG
임금의	임금/NNG+의/JKG
60∼80%를	60/SN+∼/SO+80/SN+%/SW+를/JKO
보장해	보장/NNG+하/XSV+아/EC
주도록	주/VX+도록/EC
하는	하/VX+는/ETM
내용을	내용/NNG+을/JKO
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.192.6.2
또 서울메트로 출신 직원 38명은 은성PSD가 자체 채용한 직원과 달리 지난해 총 1억 원의 복지비를 받았다.

또	또/MAG
서울메트로	서울메트로/NNP
출신	출신/NNG
직원	직원/NNG
38명은	38/SN+명/NNB+은/JX
은성PSD가	은성PSD/NNP+가/JKS
자체	자체/NNG
채용한	채용/NNG+하/XSV+ㄴ/ETM
직원과	직원/NNG+과/JKB
달리	달리/MAG
지난해	지난해/NNG
총	총/MMA
1억	1/SN+억/NR
원의	원/NNB+의/JKG
복지비를	복지비/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.192.6.3
이처럼 서울메트로가 과도한 ‘자기 사람 챙기기’에 나서면서 그 대가로 특혜성 계약을 맺었다는 의혹이 제기되고 있다.

이처럼	이/NP+처럼/JKB
서울메트로가	서울메트로/NNP+가/JKS
과도한	과도/NNG+하/XSA+ㄴ/ETM
‘자기	‘/SS+자기/NNG
사람	사람/NNG
챙기기’에	챙기/VV+기/ETN+’/SS+에/JKB
나서면서	나서/VV+면서/EC
그	그/MMD
대가로	대가/NNG+로/JKB
특혜성	특혜/NNG+성/XSN
계약을	계약/NNG+을/JKO
맺었다는	맺/VV+었/EP+다는/ETM
의혹이	의혹/NNG+이/JKS
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.192.7.1
지난달 28일 서울지하철 2호선 구의역에서 은성PSD 직원 김모 씨(19)가 사고로 숨진 뒤 안전관리에 맞춰졌던 경찰 수사가 서울메트로의 구조적인 문제로 확대된 것이다.

지난달	지난달/NNG
28일	28/SN+일/NNB
서울지하철	서울지하철/NNP
2호선	2/SN+호선/NNB
구의역에서	구의역/NNP+에서/JKB
은성PSD	은성PSD/NNP
직원	직원/NNG
김모	김/NNP+모/NP
씨(19)가	씨/NNB+(/SS+19/SN+)/SS+가/JKS
사고로	사고/NNG+로/JKB
숨진	숨지/VV+ㄴ/ETM
뒤	뒤/NNG
안전관리에	안전/NNG+관리/NNG+에/JKB
맞춰졌던	맞추/VV+어/EC+지/VX+었/EP+던/ETM
경찰	경찰/NNG
수사가	수사/NNG+가/JKS
서울메트로의	서울메트로/NNP+의/JKG
구조적인	구조/NNG+적/XSN+이/VCP+ㄴ/ETM
문제로	문제/NNG+로/JKB
확대된	확대/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.192.7.2
최근 논란이 되고 있는 ‘메피아(서울메트로+마피아)’ 실태와 비리 규명이 경찰 수사의 핵심이 될 것으로 보인다.

최근	최근/NNG
논란이	논란/NNG+이/JKC
되고	되/VV+고/EC
있는	있/VX+는/ETM
‘메피아(서울메트로+마피아)’	‘/SS+메피아/NNG+(/SS+서울메트로/NNP++/SW+마피아/NNG+)/SS+’/SS
실태와	실태/NNG+와/JC
비리	비리/NNG
규명이	규명/NNG+이/JKS
경찰	경찰/NNG
수사의	수사/NNG+의/JKG
핵심이	핵심/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.192.8.1
서울메트로에는 박원순 서울시장의 ‘측근’으로 분류되는 인사들이 경영 전반에 참여하고 있다.

서울메트로에는	서울메트로/NNP+에/JKB+는/JX
박원순	박원순/NNP
서울시장의	서울시장/NNG+의/JKG
‘측근’으로	‘/SS+측근/NNG+’/SS+으로/JKB
분류되는	분류/NNG+되/XSV+는/ETM
인사들이	인사/NNG+들/XSN+이/JKS
경영	경영/NNG
전반에	전반/NNG+에/JKB
참여하고	참여/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.192.8.2
새누리당 오신환 의원은 이날 기자회견을 열고 이정원 전 서울메트로 사장과 지용호 전 서울메트로 감사, 김종원 이숙현 조중래 오윤식 서울메트로 비상임이사 등을 박 시장 관련 인사로 꼽았다.

새누리당	새누리당/NNP
오신환	오신환/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
열고	열/VV+고/EC
이정원	이정원/NNP
전	전/MMD
서울메트로	서울메트로/NNP
사장과	사장/NNG+과/JKB
지용호	지용호/NNP
감사,	감사/NNG+,/SP
김종원	김종원/NNP
이숙현	이숙현/NNP
조중래	조중래/NNP
오윤식	오윤식/NNP
비상임이사	비/XPN+상임/NNG+이사/NNG
등을	등/NNB+을/JKO
박	박/NNP
시장	시장/NNG
관련	관련/NNG
인사로	인사/NNG+로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.192.8.3
서울메트로의 비상임이사는 총 7명으로 서울시 공무원 2명을 제외한 5명 중 4명이 박 시장 인사로 분류된 것이다.

서울메트로의	서울메트로/NNP+의/JKG
비상임이사는	비/XPN+상임/NNG+이사/NNG+는/JX
총	총/MMA
7명으로	7/SN+명/NNB+으로/JKB
서울시	서울시/NNP
공무원	공무원/NNG
2명을	2/SN+명/NNB+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
5명	5/SN+명/NNB
중	중/NNB
4명이	4/SN+명/NNB+이/JKS
박	박/NNP
시장	시장/NNG
인사로	인사/NNG+로/JKB
분류된	분류/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.192.8.4
이들의 직접 비리가 없어도 관리 감독 책임론이 제기되면 대권 주자로서 보폭을 넓혀가던 박 시장에게 타격이 불가피해 보인다.

이들의	이/NP+들/XSN+의/JKG
직접	직접/NNG
비리가	비리/NNG+가/JKS
없어도	없/VA+어도/EC
관리	관리/NNG
감독	감독/NNG
책임론이	책임/NNG+론/XSN+이/JKS
제기되면	제기/NNG+되/XSV+면/EC
대권	대권/NNG
주자로서	주자/NNG+로서/JKB
보폭을	보폭/NNG+을/JKO
넓혀가던	넓히/VV+어/EC+가/VX+던/ETM
박	박/NNP
시장에게	시장/NNG+에게/JKB
타격이	타격/NNG+이/JKS
불가피해	불가피하/VA+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.192.8.5
‘낙하산 인사’ 논란에 대해 박 시장은 이날 한 라디오방송 인터뷰에서 “나에게 전적으로 책임이 있다”며 사실상 잘못을 시인했다.

‘낙하산	‘/SS+낙하산/NNG
인사’	인사/NNG+’/SS
논란에	논란/NNG+에/JKB
대해	대하/VV+아/EC
박	박/NNP
시장은	시장/NNG+은/JX
이날	이날/NNG
한	한/MMN
라디오방송	라디오/NNG+방송/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
“나에게	“/SS+나/NP+에게/JKB
전적으로	전적/NNG+으로/JKB
책임이	책임/NNG+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
사실상	사실/NNG+상/XSN
잘못을	잘못/NNG+을/JKO
시인했다.	시인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.192.9.1
경찰 수사가 서울시 내부로 불똥이 튈 가능성도 높다.

경찰	경찰/NNG
수사가	수사/NNG+가/JKS
서울시	서울시/NNP
내부로	내부/NNG+로/JKB
불똥이	불똥/NNG+이/JKS
튈	튀/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
높다.	높/VA+다/EF+./SF


# id : NWRW1800000049.192.9.2
서울시는 지난해 1월 서울메트로의 스크린도어 위탁 용역 계약을 직접 심사했다.

서울시는	서울시/NNP+는/JX
지난해	지난해/NNG
1월	1/SN+월/NNB
서울메트로의	서울메트로/NNP+의/JKG
스크린도어	스크린/NNG+도어/NNG
위탁	위탁/NNG
용역	용역/NNG
계약을	계약/NNG+을/JKO
직접	직접/MAG
심사했다.	심사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.192.9.3
심사 자료에는 이번에 문제가 된 서울메트로 출신 직원과 은성PSD 자체 채용 직원과의 임금 및 복지비 격차 등이 상세히 나와 있다.

심사	심사/NNG
자료에는	자료/NNG+에/JKB+는/JX
이번에	이번/NNG+에/JKB
문제가	문제/NNG+가/JKC
된	되/VV+ㄴ/ETM
서울메트로	서울메트로/NNP
출신	출신/NNG
직원과	직원/NNG+과/JC
은성PSD	은성PSD/NNP
자체	자체/NNG
채용	채용/NNG
직원과의	직원/NNG+과/JKB+의/JKG
임금	임금/NNG
및	및/MAG
복지비	복지비/NNG
격차	격차/NNG
등이	등/NNB+이/JKS
상세히	상세히/MAG
나와	나오/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.192.9.4
또 서울시 공무원 2명은 서울메트로 비상임이사(당연직)로 활동 중이다.

또	또/MAG
서울시	서울시/NNP
공무원	공무원/NNG
2명은	2/SN+명/NNB+은/JX
서울메트로	서울메트로/NNP
비상임이사(당연직)로	비/XPN+상임/NNG+이사/NNG+(/SS+당연직/NNG+)/SS+로/JKB
활동	활동/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.192.10.1
한편 서울메트로는 은성PSD 등에 입사한 자사 출신 직원이 용역계약 종료 뒤 다시 복귀할 수 있도록 하는 특혜 조항을 인사 규정에 포함한 것으로 나타났다.

한편	한편/MAG
서울메트로는	서울메트로/NNP+는/JX
은성PSD	은성PSD/NNP
등에	등/NNB+에/JKB
입사한	입사/NNG+하/XSV+ㄴ/ETM
자사	자사/NNG
출신	출신/NNG
직원이	직원/NNG+이/JKS
용역계약	용역/NNG+계약/NNG
종료	종료/NNG
뒤	뒤/NNG
다시	다시/MAG
복귀할	복귀/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
특혜	특혜/NNG
조항을	조항/NNG+을/JKO
인사	인사/NNG
규정에	규정/NNG+에/JKB
포함한	포함/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.192.10.2
이달 말 서울메트로와 은성PSD의 계약이 끝나면 자체 채용 직원들은 거취가 불분명하지만 서울메트로 출신은 퇴직 시 받은 명예퇴직금만 반납하면 다시 서울메트로에서 일할 수 있다.

이달	이달/NNG
말	말/NNB
서울메트로와	서울메트로/NNP+와/JC
은성PSD의	은성PSD/NNP+의/JKG
계약이	계약/NNG+이/JKS
끝나면	끝나/VV+면/EC
자체	자체/NNG
채용	채용/NNG
직원들은	직원/NNG+들/XSN+은/JX
거취가	거취/NNG+가/JKS
불분명하지만	불분명하/VA+지만/EC
서울메트로	서울메트로/NNP
출신은	출신/NNG+은/JX
퇴직	퇴직/NNG
시	시/NNB
받은	받/VV+은/ETM
명예퇴직금만	명예퇴직금/NNG+만/JX
반납하면	반납/NNG+하/XSV+면/EC
다시	다시/MAG
서울메트로에서	서울메트로/NNP+에서/JKB
일할	일/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.192.10.3
서울메트로는 “특혜 계약이라는 비판이 있는 만큼 퇴직자를 다시 서울메트로에 채용할지 여부를 원점에서 검토하겠다”고 밝혔다.

서울메트로는	서울메트로/NNP+는/JX
“특혜	“/SS+특혜/NNG
계약이라는	계약/NNG+이/VCP+라는/ETM
비판이	비판/NNG+이/JKS
있는	있/VA+는/ETM
만큼	만큼/NNB
퇴직자를	퇴직자/NNG+를/JKO
다시	다시/MAG
서울메트로에	서울메트로/NNP+에/JKB
채용할지	채용/NNG+하/XSV+ㄹ지/EC
여부를	여부/NNG+를/JKO
원점에서	원점/NNG+에서/JKB
검토하겠다”고	검토/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


