# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.102
metadata : {}


# id : NWRW1800000038.102.1.1
딸깍발이 판사 "생활 간소화하면 無欲"

딸깍발이	딸깍발이/NNG
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.102.9.7
조 센터장이 사무실에서 나와 조정실로 가는 몇 걸음 동안 "요즘도 구내식당에서 식사하시느냐"는 등의 질문을 던졌지만 "사사로운 일은 말할 것이 못 된다"는 퉁명한 대답만 돌아왔다.

조	조/NNP
센터장이	센터장/NNG+이/JKS
사무실에서	사무실/NNG+에서/JKB
나와	나오/VV+아/EC
조정실로	조정실/NNG+로/JKB
가는	가/VV+는/ETM
몇	몇/NR
걸음	걸음/NNG
동안	동안/NNG
"요즘도	"/SS+요즘/NNG+도/JX
구내식당에서	구내식당/NNG+에서/JKB
식사하시느냐"는	식사/NNG+하/XSV+시/EP+느냐/EF+"/SS+는/ETM
등의	등/NNB+의/JKG
질문을	질문/NNG+을/JKO
던졌지만	던지/VV+었/EP+지만/EC
"사사로운	"/SS+사사롭/VA+ㄴ/ETM
일은	일/NNG+은/JX
말할	말/NNG+하/XSV+ㄹ/ETM
것이	것/NNB+이/JKC
못	못/MAG
된다"는	되/VV+ㄴ다/EF+"/SS+는/ETM
퉁명한	퉁명/NNG+하/XSA+ㄴ/ETM
대답만	대답/NNG+만/JX
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.102.10.1
1993년 공직자 첫 재산공개 당시 6400만원을 신고해 고위 법관 중 꼴찌를 기록해 '꼴찌 판사' '딸깍발이 판사'라는 별명을 얻은 그는 청빈한 삶으로 법조계 후배들의 존경을 받아왔다.

1993년	1993/SN+년/NNB
공직자	공직자/NNG
첫	첫/MMN
재산공개	재산/NNG+공개/NNG
당시	당시/NNG
6400만원을	6400/SN+만/NR+원/NNB+을/JKO
신고해	신고/NNG+하/XSV+아/EC
고위	고위/NNG
법관	법관/NNG
중	중/NNB
꼴찌를	꼴찌/NNG+를/JKO
기록해	기록/NNG+하/XSV+아/EC
'꼴찌	'/SS+꼴찌/NNG
판사'	판사/NNG+'/SS
'딸깍발이	'/SS+딸깍발이/NNG
판사'라는	판사/NNG+'/SS+이/VCP+라는/ETM
별명을	별명/NNG+을/JKO
얻은	얻/VV+은/ETM
그는	그/NP+는/JX
청빈한	청빈/NNG+하/XSA+ㄴ/ETM
삶으로	삶/NNG+으로/JKB
법조계	법조/NNG+계/XSN
후배들의	후배/NNG+들/XSN+의/JKG
존경을	존경/NNG+을/JKO
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.102.10.2
대법관에서 물러나서도 대형 로펌 등에 들어가지 않고 모교인 동아대로 가 석좌교수로 있었으며 2009년부터는 부산지법 조정센터에서 근무해왔다.

대법관에서	대/XPN+법관/NNG+에서/JKB
물러나서도	물러나/VV+아서/EC+도/JX
대형	대형/NNG
로펌	로펌/NNG
등에	등/NNB+에/JKB
들어가지	들어가/VV+지/EC
않고	않/VX+고/EC
모교인	모교/NNG+이/VCP+ㄴ/ETM
동아대로	동아대/NNP+로/JKB
가	가/VV+아/EC
석좌교수로	석좌/NNG+교수/NNG+로/JKB
있었으며	있/VA+었/EP+으며/EC
2009년부터는	2009/SN+년/NNB+부터/JX+는/JX
부산지법	부산지법/NNP
조정센터에서	조정/NNG+센터/NNG+에서/JKB
근무해왔다.	근무/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.102.11.1
1993년부터 최근까지 동아대에 발전기금으로 6000만여원을 전달한 사실이 뒤늦게 알려져 화제가 된 적도 있다.

1993년부터	1993/SN+년/NNB+부터/JX
최근까지	최근/NNG+까지/JX
동아대에	동아대/NNP+에/JKB
발전기금으로	발전/NNG+기금/NNG+으로/JKB
6000만여원을	6000/SN+만/NR+여/XSN+원/NNB+을/JKO
전달한	전달/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
뒤늦게	뒤늦/VA+게/EC
알려져	알려지/VV+어/EC
화제가	화제/NNG+가/JKC
된	되/VV+ㄴ/ETM
적도	적/NNB+도/JX
있다.	있/VA+다/EF+./SF


