# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.237
metadata : {}


# id : NWRW1800000024.237.1.1
부아소나드 타워와 중핵파

부아소나드	부아소나드/NNP
2006년 3월14일 대학당국이 학내에 정치적 내용을 담은 세움간판을 철거하는 과정에서 이에 저항하는 운동권 학생 등 29명이 경찰에 체포됐다.

2006년	2006/SN+년/NNB
3월14일	3/SN+월/NNB+14/SN+일/NNB
대학당국이	대학/NNG+당국/NNG+이/JKS
학내에	학내/NNG+에/JKB
정치적	정치/NNG+적/XSN
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
세움간판을	세우/VV+ㅁ/ETN+간판/NNG+을/JKO
철거하는	철거/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
이에	이/NP+에/JKB
저항하는	저항/NNG+하/XSV+는/ETM
운동권	운동/NNG+권/XSN
학생	학생/NNG
등	등/NNB
29명이	29/SN+명/NNB+이/JKS
경찰에	경찰/NNG+에/JKB
체포됐다.	체포/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.237.3.3
이 가운데 호세이대 학생 5명이 퇴학 또는 무기정학 등 중징계를 받았다.

이	이/MMD
가운데	가운데/NNG
호세이대	호세이대/NNP
학생	학생/NNG
5명이	5/SN+명/NNB+이/JKS
퇴학	퇴학/NNG
또는	또는/MAG
무기정학	무기정학/NNG
등	등/NNB
중징계를	중징계/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.237.3.4
이후 학생들의 저항과 반발이 발생할 때마다 경찰력 투입, 주모자 체포, 학교당국의 중징계가 되풀이됐다.

이후	이후/NNG
학생들의	학생/NNG+들/XSN+의/JKG
저항과	저항/NNG+과/JC
반발이	반발/NNG+이/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
때마다	때/NNG+마다/JX
경찰력	경찰력/NNG
투입,	투입/NNG+,/SP
주모자	주모자/NNG
체포,	체포/NNG+,/SP
학교당국의	학교/NNG+당국/NNG+의/JKG
중징계가	중징계/NNG+가/JKS
되풀이됐다.	되풀이/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.237.4.1
지난달 8일 현재 110명이 경찰에 체포되고 30명이 기소됐다.

지난달	지난달/NNG
8일	8/SN+일/NNB
현재	현재/MAG
110명이	110/SN+명/NNB+이/JKS
경찰에	경찰/NNG+에/JKB
체포되고	체포/NNG+되/XSV+고/EC
30명이	30/SN+명/NNB+이/JKS
기소됐다.	기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.237.4.2
수십명의 학생들이 중징계를 당했다.

수십명의	수십/NR+명/NNB+의/JKG
학생들이	학생/NNG+들/XSN+이/JKS
중징계를	중징계/NNG+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.237.4.3
대학으로부터 무기정학 처분을 받고 학내 출입이 금지된 구로키 가즈야(23)도 그중 한 명이다.

대학으로부터	대학/NNG+으로부터/JKB
무기정학	무기정학/NNG
처분을	처분/NNG+을/JKO
받고	받/VV+고/EC
학내	학내/NNG
출입이	출입/NNG+이/JKS
금지된	금지/NNG+되/XSV+ㄴ/ETM
구로키	구로키/NNP
가즈야(23)도	가즈야/NNP+(/SS+23/SN+)/SS+도/JX
그중	그중/NNG
한	한/MMN
명이다.	명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.237.4.4
그는 “학교 쪽에서 2000년 이후 학생들을 많이 유치하기 위해 경찰과 손잡고 운동권 학생들을 배제하려 하고 있다”고 주장했다.

그는	그/NP+는/JX
“학교	“/SS+학교/NNG
쪽에서	쪽/NNB+에서/JKB
2000년	2000/SN+년/NNB
이후	이후/NNG
학생들을	학생/NNG+들/XSN+을/JKO
많이	많이/MAG
유치하기	유치/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
경찰과	경찰/NNG+과/JKB
손잡고	손잡/VV+고/EC
운동권	운동/NNG+권/XSN
배제하려	배제/NNG+하/XSV+려/EC
하고	하/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.237.4.5
학교당국과 경찰 쪽의 강경대응은 애초 호세이대에서 세력이 강한 운동권 정파인 ‘중핵파’(정식 이름은 혁명적공산주의자동맹전국위원회)를 겨냥했다는 것이다.

학교당국과	학교/NNG+당국/NNG+과/JC
경찰	경찰/NNG
쪽의	쪽/NNB+의/JKG
강경대응은	강경/NNG+대응/NNG+은/JX
애초	애초/NNG
호세이대에서	호세이대/NNP+에서/JKB
세력이	세력/NNG+이/JKS
강한	강하/VA+ㄴ/ETM
운동권	운동/NNG+권/XSN
정파인	정파/NNG+이/VCP+ㄴ/ETM
‘중핵파’(정식	‘/SS+중핵파/NNP+’/SS+(/SS+정식/NNG
이름은	이름/NNG+은/JX
혁명적공산주의자동맹전국위원회)를	혁명/NNG+적/XSN+공산주의자/NNG+동맹/NNG+전국/NNG+위원회/NNG+)/SS+를/JKO
겨냥했다는	겨냥/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.237.4.6
그러나 일반 학생들의 반발을 부르는 등 역효과를 낳고 있다고 구로키는 말했다.

그러나	그러나/MAJ
일반	일반/NNG
학생들의	학생/NNG+들/XSN+의/JKG
반발을	반발/NNG+을/JKO
부르는	부르/VV+는/ETM
등	등/NNB
역효과를	역효과/NNG+를/JKO
낳고	낳/VV+고/EC
있다고	있/VX+다고/EC
구로키는	구로키/NNP+는/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.237.4.7
지난 4월24일 항의집회의 경우 1500명이 넘는 학생과 노동자들이 참가했다.

지난	지나/VV+ㄴ/ETM
4월24일	4/SN+월/NNB+24/SN+일/NNB
항의집회의	항의/NNG+집회/NNG+의/JKG
경우	경우/NNG
1500명이	1500/SN+명/NNB+이/JKS
넘는	넘/VV+는/ETM
학생과	학생/NNG+과/JC
노동자들이	노동자/NNG+들/XSN+이/JKS
참가했다.	참가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.237.4.8
오사카·히로시마 등지의 학생들까지 동참했다.

오사카·히로시마	오사카/NNP+·/SP+히로시마/NNP
등지의	등지/NNB+의/JKG
학생들까지	학생/NNG+들/XSN+까지/JX
동참했다.	동참/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.237.4.9
항의성명에 서명한 변호사들은 일주일도 안 돼 170명에 이르렀다.

항의성명에	항의/NNG+성명/NNG+에/JKB
서명한	서명/NNG+하/XSV+ㄴ/ETM
변호사들은	변호사/NNG+들/XSN+은/JX
일주일도	일주일/NNG+도/JX
안	안/MAG
돼	되/VV+어/EC
170명에	170/SN+명/NNB+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.237.4.10
중핵파는 1984년 도쿄 자민당 본부에 화염병을 던지는 등 ‘폭력혁명노선’을 줄곧 주창했지만 1990년대 이후는 비폭력 노동운동에 치중하고 있다.

중핵파는	중핵파/NNP+는/JX
1984년	1984/SN+년/NNB
도쿄	도쿄/NNP
자민당	자민당/NNP
본부에	본부/NNG+에/JKB
화염병을	화염병/NNG+을/JKO
던지는	던지/VV+는/ETM
등	등/NNB
‘폭력혁명노선’을	‘/SS+폭력/NNG+혁명/NNG+노선/NNG+’/SS+을/JKO
줄곧	줄곧/MAG
주창했지만	주창/NNG+하/XSV+았/EP+지만/EC
1990년대	1990/SN+년대/NNB
이후는	이후/NNG+는/JX
비폭력	비/XPN+폭력/NNG
노동운동에	노동/NNG+운동/NNG+에/JKB
치중하고	치중/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.237.5.1
학교 쪽의 입장을 듣기 위해 홍보과에 전화해서 인터뷰를 요청했다.

학교	학교/NNG
쪽의	쪽/NNB+의/JKG
입장을	입장/NNG+을/JKO
듣기	듣/VV+기/ETN
위해	위하/VV+아/EC
홍보과에	홍보과/NNG+에/JKB
전화해서	전화/NNG+하/XSV+아서/EC
인터뷰를	인터뷰/NNG+를/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.237.5.2
그러나 “인터넷 홈페이지에 게시된 내용을 참고하라”는 답변만이 돌아왔다.

그러나	그러나/MAJ
“인터넷	“/SS+인터넷/NNG
홈페이지에	홈페이지/NNG+에/JKB
게시된	게시/NNG+되/XSV+ㄴ/ETM
내용을	내용/NNG+을/JKO
참고하라”는	참고/NNG+하/XSV+라/EF+”/SS+는/JX
답변만이	답변/NNG+만/JX+이/JKS
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.237.5.3
학교 쪽은 ‘일련의 사태에 대해서’라는 안내문에서 “신조의 표현 행위에 대해서도 무제한으로 인정되는 것이 아니라 사회에 폐를 끼치지 않는 일반의 규범이 있다”며 도를 넘어선 행위에는 의연하게 대처하겠다고 밝혔다.

학교	학교/NNG
쪽은	쪽/NNB+은/JX
‘일련의	‘/SS+일련/NNG+의/JKG
사태에	사태/NNG+에/JKB
대해서’라는	대하/VV+아서/EC+’/SS+이/VCP+라는/ETM
안내문에서	안내문/NNG+에서/JKB
“신조의	“/SS+신조/NNG+의/JKG
표현	표현/NNG
행위에	행위/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
무제한으로	무/XPN+제한/NNG+으로/JKB
인정되는	인정/NNG+되/XSV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
사회에	사회/NNG+에/JKB
폐를	폐/NNG+를/JKO
끼치지	끼치/VV+지/EC
않는	않/VX+는/ETM
일반의	일반/NNG+의/JKG
규범이	규범/NNG+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
도를	도/NNG+를/JKO
넘어선	넘어서/VV+ㄴ/ETM
행위에는	행위/NNG+에/JKB+는/JX
의연하게	의연하/VA+게/EC
대처하겠다고	대처/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.237.5.4
실제 2006년 4월 이후 세움간판 설치와 정치적 선전물 배포 등 정치적 표현 행위가 학내에서는 사실상 금지돼 있다는 게 학생들 주장이다.

실제	실제/MAG
2006년	2006/SN+년/NNB
4월	4/SN+월/NNB
이후	이후/NNG
세움간판	세우/VV+ㅁ/ETN+간판/NNG
설치와	설치/NNG+와/JC
정치적	정치/NNG+적/XSN
선전물	선전물/NNG
배포	배포/NNG
등	등/NNB
표현	표현/NNG
행위가	행위/NNG+가/JKS
학내에서는	학내/NNG+에서/JKB+는/JX
사실상	사실/NNG+상/XSN
금지돼	금지/NNG+되/XSV+어/EC
있다는	있/VX+다는/ETM
게	거/NNB+이/JKS
학생들	학생/NNG+들/XSN
주장이다.	주장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.237.5.5
일본 주요 언론들이 어찌된 일인지 호세이대 사태를 거의 보도하지 않는 것도 학교당국의 강경대응을 부채질하고 있는 것으로 보인다.

일본	일본/NNP
주요	주요/NNG
언론들이	언론/NNG+들/XSN+이/JKS
어찌된	어찌/MAG+되/XSV+ㄴ/ETM
일인지	일/NNG+이/VCP+ㄴ지/EC
호세이대	호세이대/NNP
사태를	사태/NNG+를/JKO
거의	거의/MAG
보도하지	보도/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
것도	것/NNB+도/JX
학교당국의	학교/NNG+당국/NNG+의/JKG
강경대응을	강경/NNG+대응/NNG+을/JKO
부채질하고	부채/NNG+질/XSN+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.237.6.1
기자도 올해 호세이대 학부모가 될 뻔했다.

기자도	기자/NNG+도/JX
올해	올해/NNG
호세이대	호세이대/NNP
학부모가	학부모/NNG+가/JKC
될	되/VV+ㄹ/ETM
뻔했다.	뻔/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000024.237.6.2
아들이 입학시험을 치른 이 학교의 합격통지서를 지난 1월말 받고 안도의 한숨을 내쉬면서도 다른 사립대에 비해 10~20%가량 비싼 등록금·수업료 때문에 내심 걱정했다.

아들이	아들/NNG+이/JKS
입학시험을	입학시험/NNG+을/JKO
치른	치르/VV+ㄴ/ETM
이	이/MMD
학교의	학교/NNG+의/JKG
합격통지서를	합격/NNG+통지서/NNG+를/JKO
지난	지나/VV+ㄴ/ETM
1월말	1/SN+월/NNB+말/NNB
받고	받/VV+고/EC
안도의	안도/NNG+의/JKG
한숨을	한/XPN+숨/NNG+을/JKO
내쉬면서도	내쉬/VV+면서/EC+도/JX
다른	다른/MMD
사립대에	사립대/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
10~20%가량	10/SN+~/SO+20/SN+%/SW+가량/XSN
비싼	비싸/VA+ㄴ/ETM
등록금·수업료	등록금/NNG+·/SP+수업료/NNG
때문에	때문/NNB+에/JKB
내심	내심/NNG
걱정했다.	걱정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.237.6.3
이후 다행히 학비가 싼 지방 국립대학에도 합격해 그 대학에 다니고 있다.

이후	이후/NNG
다행히	다행히/MAG
학비가	학비/NNG+가/JKS
싼	싸/VA+ㄴ/ETM
지방	지방/NNG
국립대학에도	국립/NNG+대학/NNG+에/JKB+도/JX
합격해	합격/NNG+하/XSV+아/EC
그	그/MMD
대학에	대학/NNG+에/JKB
다니고	다니/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.237.7.1
만약 아들이 그냥 호세이대에 들어갔다면 어떤 반응을 보였을까.

만약	만약/MAG
아들이	아들/NNG+이/JKS
그냥	그냥/MAG
호세이대에	호세이대/NNP+에/JKB
들어갔다면	들어가/VV+았/EP+다면/EC
어떤	어떤/MMD
반응을	반응/NNG+을/JKO
보였을까.	보이/VV+었/EP+을까/EF+./SF


# id : NWRW1800000024.237.7.2
‘부아소나드 타워’의 위용을 자랑스러워했을까, 아니면 집회와 표현의 자유가 제한된 대학 분위기에 숨막혀 했을까?

‘부아소나드	‘/SS+부아소나드/NNP
타워’의	타워/NNG+’/SS+의/JKG
위용을	위용/NNG+을/JKO
자랑스러워했을까,	자랑/NNG+스럽/XSA+어/EC+하/VX+았/EP+을까/EC+,/SP
아니면	아니/VCN+면/EC
집회와	집회/NNG+와/JC
표현의	표현/NNG+의/JKG
자유가	자유/NNG+가/JKS
제한된	제한/NNG+되/XSV+ㄴ/ETM
대학	대학/NNG
분위기에	분위기/NNG+에/JKB
숨막혀	숨/NNG+막히/VV+어/EC
했을까?	하/VX+았/EP+을까/EF+?/SF


