# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.376
metadata : {}


# id : NWRW1800000026.376.1.1
완전범죄를 꿈꾸는가?

완전범죄를	완전/NNG+범죄/NNG+를/JKO
사진들.	사진/NNG+들/XSN+./SF


# id : NWRW1800000026.376.3.5
박진 의원 변호를 맡은 김앤장 법률사무소는 박 전 회장이 2만달러를 넣어뒀다고 말한 재킷이 식별되도록 디지털포렌식 전문가에게 작업을 맡겼다.

박진	박진/NNP
의원	의원/NNG
변호를	변호/NNG+를/JKO
맡은	맡/VV+은/ETM
김앤장	김앤장/NNP
법률사무소는	법률/NNG+사무소/NNG+는/JX
박	박/NNP
전	전/MMD
회장이	회장/NNG+이/JKS
2만달러를	2/SN+만/NR+달러/NNB+를/JKO
넣어뒀다고	넣/VV+어/EC+두/VX+었/EP+다고/EC
말한	말/NNG+하/XSV+ㄴ/ETM
재킷이	재킷/NNG+이/JKS
식별되도록	식별/NNG+되/XSV+도록/EC
디지털포렌식	디지털포렌식/NNG
전문가에게	전문가/NNG+에게/JKB
작업을	작업/NNG+을/JKO
맡겼다.	맡기/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.376.3.6
여러 장의 사진에서 상의 부분은 불룩하게 나와 있지 않았다.

여러	여러/MMN
장의	장/NNB+의/JKG
사진에서	사진/NNG+에서/JKB
상의	상의/NNG
부분은	부분/NNG+은/JX
불룩하게	불룩/MAG+하/XSA+게/EC
나와	나오/VV+아/EC
있지	있/VX+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.376.3.7
(김앤장 법률사무소)

(김앤장	(/SS+김앤장/NNP
법률사무소)	법률/NNG+사무소/NNG+)/SS


# id : NWRW1800000026.376.4.1
#3. 천안함의 CCTV 화면이 담긴 하드디스크는 바다 속에 1개월 정도 잠겨 있다가 인양됐다.

#3.	#/SW+3/SN+./SF
천안함의	천안함/NNP+의/JKG
CCTV	CCTV/SL
화면이	화면/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
하드디스크는	하드/NNG+디스크/NNG+는/JX
바다	바다/NNG
속에	속/NNG+에/JKB
1개월	1/SN+개월/NNB
정도	정도/NNG
잠겨	잠기/VV+어/EC
있다가	있/VX+다가/EC
인양됐다.	인양/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.376.4.2
부식이 됐을 테니 복구는 불가능할 것이라는 전망이 많아 관심조차 받지 못했다.

부식이	부식/NNG+이/JKC
됐을	되/VV+었/EP+을/ETM
테니	터/NNB+이/VCP+니/EC
복구는	복구/NNG+는/JX
불가능할	불/XPN+가능/NNG+하/XSA+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
많아	많/VA+아/EC
관심조차	관심/NNG+조차/JX
받지	받/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.376.4.3
그런데 군과 민간업체에 의해 복구됐다.

그런데	그런데/MAJ
군과	군/NNG+과/JC
민간업체에	민간/NNG+업체/NNG+에/JKB
의해	의하/VV+아/EC
복구됐다.	복구/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.376.4.4
이후 병사들의 행동까지 다 나타났고, 원인 조사에 큰 영향을 미쳤다.

이후	이후/NNG
병사들의	병사/NNG+들/XSN+의/JKG
행동까지	행동/NNG+까지/JX
다	다/MAG
나타났고,	나타나/VV+았/EP+고/EC+,/SP
원인	원인/NNG
조사에	조사/NNG+에/JKB
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미쳤다.	미치/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.376.4.5
(천안함 민·군 합동조사단)

(천안함	(/SS+천안함/NNP
민·군	민·군/NNG
합동조사단)	합동/NNG+조사단/NNG+)/SS


# id : NWRW1800000026.376.5.1
1995년부터 해커수사대를 만들어 컴퓨터와 범죄를 연결해 분석했던 경찰은 2000년부터 경찰청 사이버테러대응센터에 디지털분석팀을 운용하고 있다.

1995년부터	1995/SN+년/NNB+부터/JX
해커수사대를	해커/NNG+수사대/NNG+를/JKO
만들어	만들/VV+어/EC
컴퓨터와	컴퓨터/NNG+와/JC
범죄를	범죄/NNG+를/JKO
연결해	연결/NNG+하/XSV+아/EC
분석했던	분석/NNG+하/XSV+았/EP+던/ETM
경찰은	경찰/NNG+은/JX
2000년부터	2000/SN+년/NNB+부터/JX
경찰청	경찰청/NNG
사이버테러대응센터에	사이버/NNG+테러/NNG+대응/NNG+센터/NNG+에/JKB
디지털분석팀을	디지털/NNG+분석/NNG+팀/NNG+을/JKO
운용하고	운용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.376.5.2
지금은 16개 시·도 지방경찰청에도 모두 분석팀이 있다.

지금은	지금/NNG+은/JX
16개	16/SN+개/NNB
시·도	시·도/NNG
지방경찰청에도	지방/NNG+경찰청/NNG+에/JKB+도/JX
모두	모두/MAG
분석팀이	분석/NNG+팀/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.376.5.3
경찰은 매년 20여명의 컴퓨터·휴대폰 등 디지털 전문가를 채용하고 있고, 석·박사 이상의 전문가만 100여명이 넘는다.

경찰은	경찰/NNG+은/JX
매년	매년/MAG
20여명의	20/SN+여/XSN+명/NNB+의/JKG
컴퓨터·휴대폰	컴퓨터/NNG+·/SP+휴대폰/NNG
등	등/NNB
디지털	디지털/NNG
전문가를	전문가/NNG+를/JKO
채용하고	채용/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
석·박사	석·박사/NNG
이상의	이상/NNG+의/JKG
전문가만	전문가/NNG+만/JX
100여명이	100/SN+여/XSN+명/NNB+이/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000026.376.5.4
검찰도 서울·부산·대구·광주 네 곳에서 디지털포렌식센터를 운영하고 있고 12월에 대전에도 설치할 예정이다.

검찰도	검찰/NNG+도/JX
서울·부산·대구·광주	서울/NNP+·/SP+부산/NNP+·/SP+대구/NNP+·/SP+광주/NNP
네	네/MMN
곳에서	곳/NNG+에서/JKB
디지털포렌식센터를	디지털포렌식/NNG+센터/NNG+를/JKO
운영하고	운영/NNG+하/XSV+고/EC
있고	있/VX+고/EC
12월에	12/SN+월/NNB+에/JKB
대전에도	대전/NNP+에/JKB+도/JX
설치할	설치/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.376.5.5
국정원·공정위·관세청·기무사도 모두 디지털포렌식팀을 운영하기 시작했다.

국정원·공정위·관세청·기무사도	국정원/NNG+·/SP+공정위/NNG+·/SP+관세청/NNG+·/SP+기무사/NNG+도/JX
모두	모두/MAG
디지털포렌식팀을	디지털포렌식/NNG+팀/NNG+을/JKO
운영하기	운영/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.376.5.6
이유는 간단하다.

이유는	이유/NNG+는/JX
간단하다.	간단하/VA+다/EF+./SF


# id : NWRW1800000026.376.5.7
컴퓨터 법의학을 통해 일반 수사로는 도저히 알아낼 수 없었던 진실이 속속 밝혀지고 있기 때문이다.

컴퓨터	컴퓨터/NNG
법의학을	법의학/NNG+을/JKO
통해	통하/VV+아/EC
일반	일반/NNG
수사로는	수사/NNG+로/JKB+는/JX
도저히	도저히/MAG
알아낼	알아내/VV+ㄹ/ETM
수	수/NNB
없었던	없/VA+었/EP+던/ETM
진실이	진실/NNG+이/JKS
속속	속속/MAG
밝혀지고	밝혀지/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.376.6.1
'디지털포렌식 혁명'이 일어나고 있다.

'디지털포렌식	'/SS+디지털포렌식/NNG
혁명'이	혁명/NNG+'/SS+이/JKS
일어나고	일어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.376.6.2
디지털포렌식(digital forensics)은 컴퓨터, 휴대폰, 내이게이션 같은 디지털기기의 파일과 정보를 분석하고 복구해 수사나 법정에서 쓰일 수 있는 증거를 만드는 작업을 뜻한다.

디지털포렌식(digital	디지털포렌식/NNG+(/SS+digital/SL
forensics)은	forensics/SL+)/SS+은/JX
컴퓨터,	컴퓨터/NNG+,/SP
휴대폰,	휴대폰/NNG+,/SP
내이게이션	내이게이션/NNG
같은	같/VA+은/ETM
디지털기기의	디지털/NNG+기기/NNG+의/JKG
파일과	파일/NNG+과/JC
정보를	정보/NNG+를/JKO
분석하고	분석/NNG+하/XSV+고/EC
복구해	복구/NNG+하/XSV+아/EC
수사나	수사/NNG+나/JC
법정에서	법정/NNG+에서/JKB
쓰일	쓰이/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
증거를	증거/NNG+를/JKO
만드는	만들/VV+는/ETM
작업을	작업/NNG+을/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.376.6.3
'컴퓨터 법의학'으로 번역되기도 하며 넓은 의미에서는 과학 수사의 하나다.

'컴퓨터	'/SS+컴퓨터/NNG
법의학'으로	법의학/NNG+'/SS+으로/JKB
번역되기도	번역/NNG+되/XSV+기/ETN+도/JX
하며	하/VX+며/EC
넓은	넓/VA+은/ETM
의미에서는	의미/NNG+에서/JKB+는/JX
과학	과학/NNG
수사의	수사/NNG+의/JKG
하나다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000026.376.6.4
새로운 방법은 수사의 방식까지도 바꿔놓고 있다.

새로운	새롭/VA+ㄴ/ETM
방법은	방법/NNG+은/JX
수사의	수사/NNG+의/JKG
방식까지도	방식/NNG+까지/JX+도/JX
바꿔놓고	바꾸/VV+어/EC+놓/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.376.7.1
■요즘 범인은 현장에 안간다, 대신…

■요즘	■/SW+요즘/NNG
범인은	범인/NNG+은/JX
현장에	현장/NNG+에/JKB
안간다,	안/MAG+가/VV+ㄴ다/EF+,/SP
대신…	대신/NNG+…/SE


# id : NWRW1800000026.376.8.1
'범인은 현장에 다시 나타난다'는 범죄 수사의 '상식'은 '범인은 반드시 인터넷에서 검색한다'로 바뀌고 있다.

'범인은	'/SS+범인/NNG+은/JX
현장에	현장/NNG+에/JKB
다시	다시/MAG
나타난다'는	나타나/VV+ㄴ다/EF+'/SS+는/ETM
범죄	범죄/NNG
수사의	수사/NNG+의/JKG
'상식'은	'/SS+상식/NNG+'/SS+은/JX
반드시	반드시/MAG
인터넷에서	인터넷/NNG+에서/JKB
검색한다'로	검색/NNG+하/XSV+ㄴ다/EF+'/SS+로/JKB
바뀌고	바뀌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.376.8.2
2007년 경기도에서 벌어진 초등학생 유괴 살인사건의 범인.

2007년	2007/SN+년/NNB
경기도에서	경기도/NNP+에서/JKB
벌어진	벌어지/VV+ㄴ/ETM
초등학생	초등학생/NNG
유괴	유괴/NNG
살인사건의	살인/NNG+사건/NNG+의/JKG
범인.	범인/NNG+./SF


# id : NWRW1800000026.376.8.3
그는 범행을 부인했지만 시신 유기 장소인 '××나들목'이란 단어를 인터넷에서 검색한 사실이 드러났다.

그는	그/NP+는/JX
범행을	범행/NNG+을/JKO
부인했지만	부인/NNG+하/XSV+았/EP+지만/EC
시신	시신/NNG
유기	유기/NNG
장소인	장소/NNG+이/VCP+ㄴ/ETM
'××나들목'이란	'/SS+×/SW+×/SW+나들목/NNG+'/SS+이/VCP+란/ETM
단어를	단어/NNG+를/JKO
인터넷에서	인터넷/NNG+에서/JKB
검색한	검색/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.376.8.4
자백하지 않을 수 없었다.

자백하지	자백/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000026.376.8.5
영장이 발부되면 경찰은 검색업체에 의뢰해 특정인의 특정한 단어 검색 내역을 들여다볼 수 있다.

영장이	영장/NNG+이/JKS
발부되면	발부/NNG+되/XSV+면/EC
경찰은	경찰/NNG+은/JX
검색업체에	검색/NNG+업체/NNG+에/JKB
의뢰해	의뢰/NNG+하/XSV+아/EC
특정인의	특정인/NNG+의/JKG
특정한	특정/NNG+하/XSA+ㄴ/ETM
단어	단어/NNG
검색	검색/NNG
내역을	내역/NNG+을/JKO
들여다볼	들여다보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.376.9.1
디지털에 기록되는 일상은 생각보다 그 폭이 훨씬 넓다.

디지털에	디지털/NNG+에/JKB
기록되는	기록/NNG+되/XSV+는/ETM
일상은	일상/NNG+은/JX
생각보다	생각/NNG+보다/JKB
그	그/MMD
폭이	폭/NNG+이/JKS
훨씬	훨씬/MAG
넓다.	넓/VA+다/EF+./SF


# id : NWRW1800000026.376.10.1
한 직장인의 생활을 가정해보자.

한	한/MMN
직장인의	직장인/NNG+의/JKG
생활을	생활/NNG+을/JKO
가정해보자.	가정/NNG+하/XSV+아/EC+보/VX+자/EF+./SF


# id : NWRW1800000026.376.10.2
아침에 일어나 스마트폰으로 날씨를 확인한 것은 휴대폰의 접속 기록에 남는다.

아침에	아침/NNG+에/JKB
일어나	일어나/VV+아/EC
스마트폰으로	스마트폰/NNG+으로/JKB
날씨를	날씨/NNG+를/JKO
확인한	확인/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
휴대폰의	휴대폰/NNG+의/JKG
접속	접속/NNG
기록에	기록/NNG+에/JKB
남는다.	남/VV+는다/EF+./SF


# id : NWRW1800000026.376.10.3
자동차를 타고 회사까지 출근을 한 시간과 이동 경로는 네비게이션에 기록되고, 휴대전화로 전화한 것은 통화기록에 저장되며, 밥을 먹고 신용카드나 현금영수증을 냈다면 사용기록이 남는다.

자동차를	자동차/NNG+를/JKO
타고	타/VV+고/EC
회사까지	회사/NNG+까지/JX
출근을	출근/NNG+을/JKO
한	하/VV+ㄴ/ETM
시간과	시간/NNG+과/JC
이동	이동/NNG
경로는	경로/NNG+는/JX
네비게이션에	네비게이션/NNG+에/JKB
기록되고,	기록/NNG+되/XSV+고/EC+,/SP
휴대전화로	휴대/NNG+전화/NNG+로/JKB
전화한	전화/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
통화기록에	통화/NNG+기록/NNG+에/JKB
저장되며,	저장/NNG+되/XSV+며/EC+,/SP
밥을	밥/NNG+을/JKO
먹고	먹/VV+고/EC
신용카드나	신용/NNG+카드/NNG+나/JC
현금영수증을	현금/NNG+영수증/NNG+을/JKO
냈다면	내/VV+었/EP+다면/EC
사용기록이	사용/NNG+기록/NNG+이/JKS
남는다.	남/VV+는다/EF+./SF


# id : NWRW1800000026.376.11.1
증거로서 가치도 높다.

증거로서	증거/NNG+로서/JKB
가치도	가치/NNG+도/JX
높다.	높/VA+다/EF+./SF


# id : NWRW1800000026.376.11.2
법조계 출신의 변호사 B씨는 "판사에 따라 다르지만 디지털 분석의 다른 현실적인 증거 능력은 거짓말탐기지보다는 DNA 분석에 가깝다고 본다"고 말했다.

법조계	법조/NNG+계/XSN
출신의	출신/NNG+의/JKG
변호사	변호사/NNG
B씨는	B/SL+씨/NNB+는/JX
"판사에	"/SS+판사/NNG+에/JKB
따라	따르/VV+아/EC
다르지만	다르/VA+지만/EC
디지털	디지털/NNG
분석의	분석/NNG+의/JKG
다른	다른/MMD
현실적인	현실/NNG+적/XSN+이/VCP+ㄴ/ETM
증거	증거/NNG
능력은	능력/NNG+은/JX
거짓말탐기지보다는	거짓말/NNG+탐기지/NNG+보다/JKB+는/JX
DNA	DNA/SL
분석에	분석/NNG+에/JKB
가깝다고	가깝/VA+다고/EC
본다"고	보/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.376.11.3
DNA분석의 경우 "아버지와 자식이 친부모일 확률은 99.9999%"라는 식으로 표현된다.

DNA분석의	DNA/SL+분석/NNG+의/JKG
경우	경우/NNG
"아버지와	"/SS+아버지/NNG+와/JC
자식이	자식/NNG+이/JKS
친부모일	친/XPN+부모/NNG+이/VCP+ㄹ/ETM
확률은	확률/NNG+은/JX
99.9999%"라는	99/SN+./SP+9999/SN+%/SW+"/SS+이/VCP+라는/ETM
식으로	식/NNB+으로/JKB
표현된다.	표현/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.376.12.1
경찰서 내 분위기도 점점 바뀌고 있다.

경찰서	경찰서/NNG
내	내/NNB
분위기도	분위기/NNG+도/JX
점점	점점/MAG
바뀌고	바뀌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.376.12.2
경찰청 사이버대응센터에 있는 디지털분석팀의 복구실은 '에어샤워'를 하고 먼지를 다 털어내야 들어갈 수 있다.

경찰청	경찰청/NNG
사이버대응센터에	사이버/NNG+대응/NNG+센터/NNG+에/JKB
있는	있/VA+는/ETM
디지털분석팀의	디지털/NNG+분석/NNG+팀/NNG+의/JKG
복구실은	복구/NNG+실/NNG+은/JX
'에어샤워'를	'/SS+에어/NNG+샤워/NNG+'/SS+를/JKO
하고	하/VV+고/EC
먼지를	먼지/NNG+를/JKO
다	다/MAG
털어내야	털/VV+어/EC+내/VX+어야/EC
들어갈	들어가/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.376.12.3
한국에 있는 거의 모든 종류의 하드디스크, 내비게이션, 휴대폰이 차곡차곡 정리돼 있다.

한국에	한국/NNP+에/JKB
있는	있/VA+는/ETM
거의	거의/MAG
모든	모든/MMN
종류의	종류/NNG+의/JKG
하드디스크,	하드/NNG+디스크/NNG+,/SP
내비게이션,	내비게이션/NNG+,/SP
휴대폰이	휴대폰/NNG+이/JKS
차곡차곡	차곡차곡/MAG
정리돼	정리/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.376.12.4
디지털분석팀의 분석관들 15명은 모두 관련 분야 석·박사들이다.

디지털분석팀의	디지털/NNG+분석/NNG+팀/NNG+의/JKG
분석관들	분석관/NNG+들/XSN
15명은	15/SN+명/NNB+은/JX
모두	모두/MAG
관련	관련/NNG
분야	분야/NNG
석·박사들이다.	석·박사/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000026.376.12.5
수사가 아니라 연구를 하는 것처럼 보인다.

수사가	수사/NNG+가/JKC
아니라	아니/VCN+라/EC
연구를	연구/NNG+를/JKO
하는	하/VV+는/ETM
것처럼	것/NNB+처럼/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.376.12.6
마치 반도체회사 같다.

마치	마치/MAG
반도체회사	반도체/NNG+회사/NNG
같다.	같/VA+다/EF+./SF


# id : NWRW1800000026.376.12.7
일선 경찰서에도 이런 시설이 필요할 날이 오지 말라는 법은 없다.

일선	일선/NNG
경찰서에도	경찰서/NNG+에/JKB+도/JX
이런	이런/MMD
시설이	시설/NNG+이/JKS
필요할	필요/NNG+하/XSA+ㄹ/ETM
날이	날/NNG+이/JKS
오지	오/VV+지/EC
말라는	말/VX+라는/ETM
법은	법/NNB+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.376.13.1
■기법 사용 기하급수적으로 늘어

■기법	■/SW+기법/NNG
사용	사용/NNG
기하급수적으로	기하급수/NNG+적/XSN+으로/JKB
늘어	늘/VV+어/EC


# id : NWRW1800000026.376.14.1
컴퓨터나 휴대전화, 내비게이션에 남아 있는 기록은 생각보다 수명이 길다.

컴퓨터나	컴퓨터/NNG+나/JC
휴대전화,	휴대/NNG+전화/NNG+,/SP
내비게이션에	내비게이션/NNG+에/JKB
남아	남/VV+아/EC
있는	있/VX+는/ETM
기록은	기록/NNG+은/JX
생각보다	생각/NNG+보다/JKB
수명이	수명/NNG+이/JKS
길다.	길/VA+다/EF+./SF


# id : NWRW1800000026.376.14.2
파일을 지운다고 사라지는 게 아니다.

파일을	파일/NNG+을/JKO
지운다고	지우/VV+ㄴ다고/EC
사라지는	사라지/VV+는/ETM
게	거/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000026.376.14.3
삭제하고 포맷을 해도 하드디스크, 휴대폰, 메모리 등에는 물리적 흔적이 남아 있다.

삭제하고	삭제/NNG+하/XSV+고/EC
포맷을	포맷/NNG+을/JKO
해도	하/VV+아도/EC
하드디스크,	하드/NNG+디스크/NNG+,/SP
휴대폰,	휴대폰/NNG+,/SP
메모리	메모리/NNG
등에는	등/NNB+에/JKB+는/JX
물리적	물리/NNG+적/XSN
흔적이	흔적/NNG+이/JKS
남아	남/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.376.14.4
문서는 파쇄기로 잘게 부숴 눈송이처럼 만들거나 태워버리면 된다.

문서는	문서/NNG+는/JX
파쇄기로	파쇄기/NNG+로/JKB
잘게	잘/VA+게/EC
부숴	부수/VV+어/EC
눈송이처럼	눈송이/NNG+처럼/JKB
만들거나	만들/VV+거나/EC
태워버리면	태우/VV+어/EC+버리/VX+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.376.14.5
그러나 컴퓨터를 가루로 만들 장비를 갖춘 일반인은 거의 없고 컴퓨터나 휴대폰은 문서보다는 안 탄다.

그러나	그러나/MAJ
컴퓨터를	컴퓨터/NNG+를/JKO
가루로	가루/NNG+로/JKB
만들	만들/VV+ㄹ/ETM
장비를	장비/NNG+를/JKO
갖춘	갖추/VV+ㄴ/ETM
일반인은	일반인/NNG+은/JX
거의	거의/MAG
없고	없/VA+고/EC
컴퓨터나	컴퓨터/NNG+나/JC
휴대폰은	휴대폰/NNG+은/JX
문서보다는	문서/NNG+보다/JKB+는/JX
안	안/MAG
탄다.	타/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.376.15.1
디지털포렌식 이용건수가 무서운 속도로 늘고 있는 것은 그런 이유 때문이다.

디지털포렌식	디지털포렌식/NNG
이용건수가	이용/NNG+건수/NNG+가/JKS
