# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.1
metadata : {}


# id : NWRW1800000049.1.1.1
[新성장동력]모바일 메신저 ‘라인’·동영상 앱 ‘V’ 해외에서 각광

[新성장동력]모바일	[/SS+新/SH+성장/NNG+동력/NNG+]/SS+모바일/NNG
# id : NWRW1800000049.1.4.2
지난해 7월 출시한 라이브 동영상 애플리케이션(앱) ‘V(브이)’의 성장도 주목된다.

지난해	지난해/NNG
7월	7/SN+월/NNB
출시한	출시/NNG+하/XSV+ㄴ/ETM
라이브	라이브/NNG
동영상	동영상/NNG
애플리케이션(앱)	애플리케이션/NNG+(/SS+앱/NNG+)/SS
‘V(브이)’의	‘/SS+V/SL+(/SS+브이/NNG+)/SS+’/SS+의/JKG
성장도	성장/NNG+도/JX
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.1.4.3
출시 5개월여 만에 글로벌 다운로드 1300만 건을 넘어선 V는 최근 현지화의 첫 거점인 베트남에서도 공식 채널을 성공적으로 열어 글로벌 진출을 본격화했다.

출시	출시/NNG
5개월여	5/SN+개월/NNB+여/XSN
만에	만/NNB+에/JKB
글로벌	글로벌/NNG
다운로드	다운로드/NNG
1300만	1300/SN+만/NR
건을	건/NNB+을/JKO
넘어선	넘어서/VV+ㄴ/ETM
V는	V/SL+는/JX
최근	최근/MAG
현지화의	현지/NNG+화/XSN+의/JKG
첫	첫/MMN
거점인	거점/NNG+이/VCP+ㄴ/ETM
베트남에서도	베트남/NNP+에서/JKB+도/JX
공식	공식/NNG
채널을	채널/NNG+을/JKO
성공적으로	성공/NNG+적/XSN+으로/JKB
열어	열/VV+어/EC
진출을	진출/NNG+을/JKO
본격화했다.	본격/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.1.5.1
북미, 중국 지역에서는 네이버 웹툰의 글로벌 진출이 계속되고 있다.

북미,	북미/NNP+,/SP
중국	중국/NNP
지역에서는	지역/NNG+에서/JKB+는/JX
네이버	네이버/NNP
웹툰의	웹툰/NNG+의/JKG
글로벌	글로벌/NNG
진출이	진출/NNG+이/JKS
계속되고	계속/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.1.5.2
2014년 7월 출시 당시 2개 언어 92편에 불과하던 작품 수도 1년 새 4개 언어 372편으로 늘었다.

2014년	2014/SN+년/NNB
7월	7/SN+월/NNB
출시	출시/NNG
당시	당시/NNG
2개	2/SN+개/NNB
언어	언어/NNG
92편에	92/SN+편/NNB+에/JKB
불과하던	불과/MAG+하/XSA+던/ETM
작품	작품/NNG
수도	수/NNG+도/JX
1년	1/SN+년/NNB
새	새/NNG
4개	4/SN+개/NNB
372편으로	372/SN+편/NNB+으로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.1.5.3
지난해 7월에는 미국 만화계의 거장 스탠 리와 글로벌 웹툰 작가 공동 발굴을 위한 제휴를 맺는 등 시장 확대를 위해 다양한 노력을 이어나가고 있다.

지난해	지난해/NNG
7월에는	7/SN+월/NNB+에/JKB+는/JX
미국	미국/NNP
만화계의	만화/NNG+계/XSN+의/JKG
거장	거장/NNG
스탠	스탠/NNP
리와	리/NNP+와/JKB
글로벌	글로벌/NNG
웹툰	웹툰/NNG
작가	작가/NNG
공동	공동/NNG
발굴을	발굴/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
제휴를	제휴/NNG+를/JKO
맺는	맺/VV+는/ETM
등	등/NNB
시장	시장/NNG
확대를	확대/NNG+를/JKO
위해	위하/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
노력을	노력/NNG+을/JKO
이어나가고	잇/VV+어/EC+나가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.1.5.4
이외에 네이버의 자회사 캠프모바일이 제공하는 그룹형 소셜네트워크서비스(SNS) ‘밴드(BAND)’도 대만, 인도 등에서의 사용량 증가에 힘입어 글로벌 누적 5000만 다운로드를 기록하고 있다고 네이버는 밝혔다.

이외에	이외/NNG+에/JKB
네이버의	네이버/NNP+의/JKG
자회사	자회사/NNG
캠프모바일이	캠프모바일/NNP+이/JKS
제공하는	제공/NNG+하/XSV+는/ETM
그룹형	그룹/NNG+형/XSN
소셜네트워크서비스(SNS)	소셜/NNG+네트워크/NNG+서비스/NNG+(/SS+SNS/SL+)/SS
‘밴드(BAND)’도	‘/SS+밴드/NNP+(/SS+BAND/SL+)/SS+’/SS+도/JX
대만,	대만/NNP+,/SP
인도	인도/NNP
등에서의	등/NNB+에서/JKB+의/JKG
사용량	사용량/NNG
증가에	증가/NNG+에/JKB
힘입어	힘입/VV+어/EC
글로벌	글로벌/NNG
누적	누적/NNG
5000만	5000/SN+만/NR
다운로드를	다운로드/NNG+를/JKO
기록하고	기록/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
네이버는	네이버/NNP+는/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


