# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.168
metadata : {}


# id : NWRW1800000048.168.1.1
아베가 사죄하든 말든 관심없다

아베가	아베/NNP+가/JKS
다르다’는	다르/VA+다/EF+’/SS+는/ETM
게	거/NNB+이/JKS
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.168.5.3
한국인 강제노역은 일본이 한국을 식민지배하던 시절의 국가 총동원령에 따른 합법조처였으므로 사과할 대상이 아니라고 한 모양이다.

한국인	한국인/NNG
강제노역은	강제/NNG+노역/NNG+은/JX
일본이	일본/NNP+이/JKS
한국을	한국/NNP+을/JKO
식민지배하던	식민/NNG+지배/NNG+하/XSV+던/ETM
시절의	시절/NNG+의/JKG
국가	국가/NNG
총동원령에	총동원령/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
합법조처였으므로	합법/NNG+조처/NNG+이/VCP+었/EP+으므로/EC
사과할	사과/NNG+하/XSV+ㄹ/ETM
대상이	대상/NNG+이/JKC
아니라고	아니/VCN+라고/EC
한	하/VV+ㄴ/ETM
모양이다.	모양/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.168.6.1
합법이니까 죄가 아니다?

합법이니까	합법/NNG+이/VCP+니까/EC
죄가	죄/NNG+가/JKC
아니다?	아니/VCN+다/EF+?/SF


# id : NWRW1800000048.168.7.1
중국 하얼빈역에 ‘안중근 의사 기념관’이 개관됐을 때 스가 요시히데 일본 관방장관이 “안중근은 테러리스트”라면서 항의한 적이 있다.

중국	중국/NNP
하얼빈역에	하얼빈역/NNP+에/JKB
‘안중근	‘/SS+안중근/NNP
의사	의사/NNG
기념관’이	기념관/NNG+’/SS+이/JKS
개관됐을	개관/NNG+되/XSV+었/EP+을/ETM
때	때/NNG
스가	스가/NNP
요시히데	요시히데/NNP
일본	일본/NNP
관방장관이	관방/NNG+장관/NNG+이/JKS
“안중근은	“/SS+안중근/NNP+은/JX
테러리스트”라면서	테러리스트/NNG+”/SS+이/VCP+라면서/EC
항의한	항의/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.168.7.2
이는 독일 앙겔라 메르켈 정부 대변인이 히틀러 암살을 모의했던 사람들과 디트리히 본회퍼 목사, 또는 한스·조피 숄 등의 백장미단 멤버들을 테러리스트였다고 비난하는 것과 같다.

이는	이/NP+는/JX
독일	독일/NNP
앙겔라	앙겔라/NNP
메르켈	메르켈/NNP
정부	정부/NNG
대변인이	대변인/NNG+이/JKS
히틀러	히틀러/NNP
암살을	암살/NNG+을/JKO
모의했던	모의/NNG+하/XSV+았/EP+던/ETM
사람들과	사람/NNG+들/XSN+과/JC
디트리히	디트리히/NNP
본회퍼	본회퍼/NNP
목사,	목사/NNG+,/SP
또는	또는/MAG
한스·조피	한스/NNP+·/SP+조피/NNP
숄	숄/NNP
등의	등/NNB+의/JKG
백장미단	백장미단/NNG
멤버들을	멤버/NNG+들/XSN+을/JKO
테러리스트였다고	테러리스트/NNG+이/VCP+었/EP+다고/EC
비난하는	비난/NNG+하/XSV+는/ETM
것과	것/NNB+과/JKB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000048.168.7.3
테러리스트는 안중근이 아니라 당시 안중근의 조국을 강탈한 침략자 일본과 이토 히로부미였다.

테러리스트는	테러리스트/NNG+는/JX
안중근이	안중근/NNP+이/JKC
아니라	아니/VCN+라/EC
당시	당시/NNG
안중근의	안중근/NNP+의/JKG
조국을	조국/NNG+을/JKO
강탈한	강탈/NNG+하/XSV+ㄴ/ETM
침략자	침략자/NNG
일본과	일본/NNP+과/JC
이토	이토/NNP
히로부미였다.	히로부미/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.168.8.1
미쓰비시와 스가의 주장은 인간과 역사에 대한 모독이다.

미쓰비시와	미쓰비시/NNP+와/JC
스가의	스가/NNP+의/JKG
주장은	주장/NNG+은/JX
인간과	인간/NNG+과/JC
역사에	역사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
모독이다.	모독/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.168.8.2
패전 뒤 70년이 지나도록 적어도 일본 지배그룹 일부의 사고방식과 세계관은 전혀 바뀐 게 없어 보인다.

패전	패전/NNG
뒤	뒤/NNG
70년이	70/SN+년/NNB+이/JKS
지나도록	지나/VV+도록/EC
적어도	적어도/MAG
일본	일본/NNP
지배그룹	지배/NNG+그룹/NNG
일부의	일부/NNG+의/JKG
사고방식과	사고방식/NNG+과/JC
세계관은	세계관/NNG+은/JX
전혀	전혀/MAG
바뀐	바뀌/VV+ㄴ/ETM
게	거/NNB+이/JKS
없어	없/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.168.9.1
1965년 한-일 국교정상화 때 체결한 ‘기본조약’의 핵심 중 하나는 “1910년 8월22일(합방조약 체결) 및 그 이전에 대한제국과 대 일본제국 간에 체결된 모든 조약 및 협정이 이미 무효임을 확인한다”는 것이었다.

1965년	1965/SN+년/NNB
한-일	한-일/NNP
국교정상화	국교/NNG+정상/NNG+화/XSN
때	때/NNG
체결한	체결/NNG+하/XSV+ㄴ/ETM
‘기본조약’의	‘/SS+기본/NNG+조약/NNG+’/SS+의/JKG
핵심	핵심/NNG
중	중/NNB
하나는	하나/NR+는/JX
“1910년	“/SS+1910/SN+년/NNB
8월22일(합방조약	8/SN+월/NNB+22/SN+일/NNB+(/SS+합방/NNG+조약/NNG
체결)	체결/NNG+)/SS
및	및/MAG
그	그/MMD
이전에	이전/NNG+에/JKB
대한제국과	대한제국/NNP+과/JC
대	대/XPN
일본제국	일본제국/NNP
간에	간/NNB+에/JKB
체결된	체결/NNG+되/XSV+ㄴ/ETM
모든	모든/MMN
조약	조약/NNG
협정이	협정/NNG+이/JKS
이미	이미/MAG
무효임을	무효/NNG+이/VCP+ㅁ/ETN+을/JKO
확인한다”는	확인/NNG+하/XSV+ㄴ다/EF+”/SS+는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.168.9.2
그 ‘이미 무효’를 한국은 1910년과 그 전에 체결한 한-일 간의 모든 조약·협정이 원천 무효라는 것으로 해석했으나, 일본은 그건 당시엔 합법이었지만 한일협정 체결로 비로소 무효가 됐다는 얘기라고 지금까지 주장하고 있다.

그	그/MMD
‘이미	‘/SS+이미/MAG
무효’를	무효/NNG+’/SS+를/JKO
한국은	한국/NNP+은/JX
1910년과	1910/SN+년/NNB+과/JC
전에	전/NNG+에/JKB
체결한	체결/NNG+하/XSV+ㄴ/ETM
한-일	한-일/NNP
간의	간/NNB+의/JKG
모든	모든/MMN
조약·협정이	조약/NNG+·/SP+협정/NNG+이/JKS
원천	원천/NNG
무효라는	무효/NNG+이/VCP+라는/ETM
것으로	것/NNB+으로/JKB
해석했으나,	해석/NNG+하/XSV+았/EP+으나/EC+,/SP
일본은	일본/NNP+은/JX
그건	그거/NP+ㄴ/JX
당시엔	당시/NNG+에/JKB+ㄴ/JX
합법이었지만	합법/NNG+이/VCP+었/EP+지만/EC
한일협정	한일/NNP+협정/NNG
체결로	체결/NNG+로/JKB
비로소	비로소/MAG
무효가	무효/NNG+가/JKC
됐다는	되/VV+었/EP+다는/ETM
얘기라고	얘기/NNG+이/VCP+라고/EC
지금까지	지금/NNG+까지/JX
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.168.9.3
침략과 식민지배 자체는 합법이었다는 것이다.

침략과	침략/NNG+과/JC
식민지배	식민/NNG+지배/NNG
자체는	자체/NNG+는/JX
합법이었다는	합법/NNG+이/VCP+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.168.9.4
미쓰비시와 스가 논법의 근거가 거기에 있다.

미쓰비시와	미쓰비시/NNP+와/JC
스가	스가/NNP
논법의	논법/NNG+의/JKG
근거가	근거/NNG+가/JKS
거기에	거기/NP+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.168.9.5
일본이 1만엔권 지폐에 조선·아시아 침략을 부르짖은 후쿠자와 유키치의 초상을 새겨넣은 것도 그런 정신세계의 연장이리라.

일본이	일본/NNP+이/JKS
1만엔권	1/SN+만/NR+엔/NNB+권/XSN
지폐에	지폐/NNG+에/JKB
조선·아시아	조선/NNP+·/SP+아시아/NNP
침략을	침략/NNG+을/JKO
부르짖은	부르짖/VV+은/ETM
후쿠자와	후쿠자와/NNP
유키치의	유키치/NNP+의/JKG
초상을	초상/NNG+을/JKO
새겨넣은	새기/VV+어/EC+넣/VV+은/ETM
것도	것/NNB+도/JX
그런	그런/MMD
정신세계의	정신세계/NNG+의/JKG
연장이리라.	연장/NNG+이/VCP+리라/EF+./SF


# id : NWRW1800000048.168.10.1
쿠데타로 집권한 뒤 전국민적 반대를 억누르고 그 기본조약을 체결한 박정희 정부는 1970년대에 일본 메이지유신을 본뜬 ‘유신’ 독재체제를 구축하고 거기에 저항한 수많은 사람들을 불법행위자로 가혹하게 처벌했다.

쿠데타로	쿠데타/NNG+로/JKB
집권한	집권/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
전국민적	전/MMN+국민/NNG+적/XSN
반대를	반대/NNG+를/JKO
억누르고	억누르/VV+고/EC
그	그/MMD
기본조약을	기본/NNG+조약/NNG+을/JKO
체결한	체결/NNG+하/XSV+ㄴ/ETM
박정희	박정희/NNP
정부는	정부/NNG+는/JX
1970년대에	1970/SN+년대/NNB+에/JKB
일본	일본/NNP
메이지유신을	메이지/NNG+유신/NNG+을/JKO
본뜬	본뜨/VV+ㄴ/ETM
‘유신’	‘/SS+유신/NNG+’/SS
독재체제를	독재/NNG+체제/NNG+를/JKO
구축하고	구축/NNG+하/XSV+고/EC
거기에	거기/NP+에/JKB
저항한	저항/NNG+하/XSV+ㄴ/ETM
수많은	수많/VA+은/ETM
사람들을	사람/NNG+들/XSN+을/JKO
불법행위자로	불법/NNG+행위자/NNG+로/JKB
가혹하게	가혹/NNG+하/XSA+게/EC
처벌했다.	처벌/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.168.10.2
스가와 미쓰비시의 논법은, 박정희 유신독재는 당시엔 합법이었으므로 거기에 항거한 민주화운동가들은 테러리스트들이다, 라는 주장과도 상통한다.

스가와	스가/NNP+와/JC
미쓰비시의	미쓰비시/NNP+의/JKG
논법은,	논법/NNG+은/JX+,/SP
박정희	박정희/NNP
유신독재는	유신/NNG+독재/NNG+는/JX
당시엔	당시/NNG+에/JKB+ㄴ/JX
합법이었으므로	합법/NNG+이/VCP+었/EP+으므로/EC
거기에	거기/NP+에/JKB
항거한	항거/NNG+하/XSV+ㄴ/ETM
민주화운동가들은	민주/NNG+화/XSN+운동가/NNG+들/XSN+은/JX
테러리스트들이다,	테러리스트/NNG+들/XSN+이/VCP+다/EF+,/SP
라는	이/VCP+라는/ETM
주장과도	주장/NNG+과/JKB+도/JX
상통한다.	상통/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.168.11.1
한국 엘지전자 프랑스법인장을 지낸 에리크 쉬르데주가 쓴 <한국인은 미쳤다!>를 읽다가 이런 구절을 발견했다.

한국	한국/NNP
엘지전자	엘지전자/NNP
프랑스법인장을	프랑스/NNP+법인장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
에리크	에리크/NNP
쉬르데주가	쉬르데주/NNP+가/JKS
쓴	쓰/VV+ㄴ/ETM
<한국인은	</SS+한국인/NNG+은/JX
미쳤다!>를	미치/VV+었/EP+다/EF+!/SF+>/SS+를/JKO
읽다가	읽/VV+다가/EC
이런	이런/MMD
구절을	구절/NNG+을/JKO
발견했다.	발견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.168.12.1
“(당시 다니던) 도시바 쪽에 엘지에 입사할 계획임을 알리자 모두들 나를 말리기 시작했다.

“(당시	“/SS+(/SS+당시/NNG
다니던)	다니/VV+던/ETM+)/SS
도시바	도시바/NNP
쪽에	쪽/NNB+에/JKB
엘지에	엘지/NNP+에/JKB
입사할	입사/NNG+하/XSV+ㄹ/ETM
계획임을	계획/NNG+이/VCP+ㅁ/ETN+을/JKO
알리자	알리/VV+자/EC
모두들	모두/NNG+들/XSN
나를	나/NP+를/JKO
말리기	말리/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.168.12.2
일본인에게 한국인에 대한 존중이 전혀 없다는 건 그렇다 치더라도 그렇게 심한 말까지 들으리라고는 예상하지 못했다.

일본인에게	일본인/NNG+에게/JKB
한국인에	한국인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
존중이	존중/NNG+이/JKS
전혀	전혀/MAG
없다는	없/VA+다는/ETM
건	거/NNB+ㄴ/JX
그렇다	그렇/VA+다/EF
치더라도	치/VV+더라도/EC
그렇게	그렇/VA+게/EC
심한	심하/VA+ㄴ/ETM
말까지	말/NNG+까지/JX
들으리라고는	듣/VV+으리라고/EC+는/JX
예상하지	예상/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.168.12.3
여섯 달 동안 도시바의 책임자들은 내가 뜻을 굽히기를 바랐다.

여섯	여섯/NR
달	달/NNB
동안	동안/NNG
도시바의	도시바/NNP+의/JKG
책임자들은	책임자/NNG+들/XSN+은/JX
내가	내/NP+가/JKS
뜻을	뜻/NNG+을/JKO
굽히기를	굽히/VV+기/ETN+를/JKO
바랐다.	바라/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.168.12.4
자기들은 그렇게 편협한 군대식 사고방식을 지닌 무식한 사람들, 섬세함이라고는 찾아볼 수 없는 촌놈들, 모든 상황을 통제하려는 사람들, 게다가 일본 문화를 경멸하는 사람들은 견딜 수 없다는 식이었다.

자기들은	자기/NNG+들/XSN+은/JX
그렇게	그렇/VA+게/EC
편협한	편협/NNG+하/XSA+ㄴ/ETM
군대식	군대식/NNG
사고방식을	사고방식/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
무식한	무식/NNG+하/XSA+ㄴ/ETM
사람들,	사람/NNG+들/XSN+,/SP
섬세함이라고는	섬세하/VA+ㅁ/ETN+이/VCP+라고/EC+는/JX
찾아볼	찾아보/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
촌놈들,	촌놈/NNG+들/XSN+,/SP
모든	모든/MMN
상황을	상황/NNG+을/JKO
통제하려는	통제/NNG+하/XSV+려는/ETM
게다가	게다가/MAG
일본	일본/NNP
문화를	문화/NNG+를/JKO
경멸하는	경멸/NNG+하/XSV+는/ETM
사람들은	사람/NNG+들/XSN+은/JX
견딜	견디/VV+ㄹ/ETM
없다는	없/VA+다는/ETM
식이었다.	식/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.168.12.5
또 전세계 어디든 다 돌아다닐 수 있지만 한국과 일본을 가르는 300㎞의 바다는 가급적 건너지 않으려 한다고도 말했다.”

또	또/MAG
전세계	전/MMN+세계/NNG
어디든	어디/NP+든/JX
다	다/MAG
돌아다닐	돌아다니/VV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
한국과	한국/NNP+과/JC
일본을	일본/NNP+을/JKO
가르는	가르/VV+는/ETM
300㎞의	300/SN+㎞/SW+의/JKG
바다는	바다/NNG+는/JX
가급적	가급적/MAG
건너지	건너/VV+지/EC
않으려	않/VX+으려/EC
한다고도	하/VX+ㄴ다고/EC+도/JX
말했다.”	말/NNG+하/XSV+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000048.168.13.1
그렇게 ‘심한 말’을 듣고도 쉬르데주는 결국 엘지전자로 옮겨 갔지만, 당시 도시바 직원들의 언어폭력에서도 후쿠자와와 스가, 미쓰비시의 뒤틀린 정신세계와 편견의 그늘을 느낀다.

그렇게	그렇/VA+게/EC
‘심한	‘/SS+심하/VA+ㄴ/ETM
말’을	말/NNG+’/SS+을/JKO
듣고도	듣/VV+고/EC+도/JX
쉬르데주는	쉬르데주/NNP+는/JX
결국	결국/MAG
엘지전자로	엘지전자/NNP+로/JKB
옮겨	옮기/VV+어/EC
갔지만,	가/VX+았/EP+지만/EC+,/SP
당시	당시/NNG
도시바	도시바/NNP
직원들의	직원/NNG+들/XSN+의/JKG
언어폭력에서도	언어폭력/NNG+에서/JKB+도/JX
후쿠자와와	후쿠자와/NNP+와/JC
스가,	스가/NNP+,/SP
미쓰비시의	미쓰비시/NNP+의/JKG
뒤틀린	뒤틀리/VV+ㄴ/ETM
정신세계와	정신세계/NNG+와/JC
편견의	편견/NNG+의/JKG
그늘을	그늘/NNG+을/JKO
느낀다.	느끼/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.168.13.2
아베 총리가 아시아 침략과 조선 식민지배에 대해 사죄하든 말든 관심 없다.

아베	아베/NNP
총리가	총리/NNG+가/JKS
아시아	아시아/NNP
침략과	침략/NNG+과/JC
조선	조선/NNP
식민지배에	식민/NNG+지배/NNG+에/JKB
대해	대하/VV+아/EC
사죄하든	사죄/NNG+하/XSV+든/EC
말든	말/VV+든/EC
관심	관심/NNG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000048.168.13.3
어떻게 살지는 그들 자신이 결정할 일인데다, 몇 마디 사과나 사죄로 바뀔 건 아무것도 없기 때문이다.

어떻게	어떻/VA+게/EC
살지는	살/VV+지/EC+는/JX
그들	그/NP+들/XSN
자신이	자신/NNG+이/JKS
결정할	결정/NNG+하/XSV+ㄹ/ETM
일인데다,	일/NNG+이/VCP+ㄴ데다/EC+,/SP
몇	몇/NR
마디	마디/NNG
사과나	사과/NNG+나/JC
사죄로	사죄/NNG+로/JKB
바뀔	바뀌/VV+ㄹ/ETM
건	거/NNB+ㄴ/JX
아무것도	아무것/NNG+도/JX
없기	없/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


