# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.104
metadata : {}


# id : NWRW1800000056.104.1.1
1억년 전 공룡시대 한반도에 캥거루처럼 뛴 포유류 살았다

1억년	1/SN+억/NR+년/NNB
형태와	형태/NNG+와/JC
각도,	각도/NNG+,/SP
걸음의	걸음/NNG+의/JKG
형태	형태/NNG
등	등/NNB
여러	여러/MMN
면에서	면/NNG+에서/JKB
차이가	차이/NNG+가/JKS
나며	나/VV+며/EC
뜀걸음	뜀걸음/NNG
형태가	형태/NNG+가/JKS
가장	가장/MAG
명확하게	명확하/VA+게/EC
남아있는	남/VV+아/EC+있/VX+는/ETM
게	거/NNB+이/JKS
특징"이라면서	특징/NNG+"/SS+이/VCP+라면서/EC
”한반도	”/SS+한반도/NNP
남부가	남부/NNG+가/JKS
종	종/NNG
다양성이	다양/NNG+성/XSN+이/JKS
풍부한	풍부하/VA+ㄴ/ETM
지역이었다는	지역/NNG+이/VCP+었/EP+다는/ETM
사실도	사실/NNG+도/JX
알	알/VV+ㄹ/ETM
수	수/NNB
있게	있/VV+게/EC
됐다“고	되/VV+었/EP+다/EF+“/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.104.10.3
이번 조사 결과는 지난 7일 국제 학술지 <백악기 연구>에 공개됐다.

이번	이번/NNG
조사	조사/NNG
결과는	결과/NNG+는/JX
지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
국제	국제/NNG
학술지	학술지/NNG
<백악기	</SS+백악기/NNG
연구>에	연구/NNG+>/SS+에/JKB
공개됐다.	공개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.104.10.4
연구소 쪽은 화석을 내년 하반기 대전 천연기념물센터 전시관에서 일반인에게 선보일 계획이다.

연구소	연구소/NNG
쪽은	쪽/NNB+은/JX
화석을	화석/NNG+을/JKO
내년	내년/NNG
하반기	하반기/NNG
대전	대전/NNP
천연기념물센터	천연기념물/NNG+센터/NNG
전시관에서	전시관/NNG+에서/JKB
일반인에게	일반인/NNG+에게/JKB
선보일	선보이/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


