# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.48
metadata : {}


# id : NWRW1800000026.48.1.1
[강원] "살아 있는 명태와 만날 수 있을까";시범 조업 2차도 실패 2월 중 수차례 추가 시도 명태축제 앞두고 위기감

[강원]	[/SS+강원/NNP+]/SS
시도한다는	시도/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.48.2.4
이런 가운데 25일부터 4일간은 고성군이 개최하는 명태축제가 열린다.

이런	이런/MMD
가운데	가운데/NNG
25일부터	25/SN+일/NNB+부터/JX
4일간은	4/SN+일/NNB+간/XSN+은/JX
고성군이	고성군/NNP+이/JKS
개최하는	개최/NNG+하/XSV+는/ETM
명태축제가	명태/NNG+축제/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.48.3.1
◆명태 자원 확보 이대로 끝인가

◆명태	◆/SW+명태/NNG
자원	자원/NNG
확보	확보/NNG
이대로	이대로/MAG
끝인가	끝/NNG+이/VCP+ㄴ가/EF


# id : NWRW1800000026.48.4.1
살아 있는 '국산' 명태 구하기는 불가능한 것일까.

살아	살/VV+아/EC
있는	있/VX+는/ETM
'국산'	'/SS+국산/NNG+'/SS
명태	명태/NNG
구하기는	구하/VV+기/ETN+는/JX
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
것일까.	것/NNB+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000026.48.5.1
국립수산과학원 동해수산연구소와 고성군 수협 등은 7일 어로한계선과 북방한계선(NLL) 사이에 투망했던 그물을 회수했지만 살아 있는 명태 확보에는 실패했다.

국립수산과학원	국립수산과학원/NNP
동해수산연구소와	동해수산연구소/NNP+와/JC
고성군	고성군/NNP
수협	수협/NNP
등은	등/NNB+은/JX
7일	7/SN+일/NNB
어로한계선과	어로/NNG+한계선/NNG+과/JC
북방한계선(NLL)	북방/NNG+한계선/NNG+(/SS+NLL/SL+)/SS
사이에	사이/NNG+에/JKB
투망했던	투망/NNG+하/XSV+았/EP+던/ETM
그물을	그물/NNG+을/JKO
회수했지만	회수/NNG+하/XSV+았/EP+지만/EC
살아	살/VV+아/EC
있는	있/VX+는/ETM
명태	명태/NNG
확보에는	확보/NNG+에/JKB+는/JX
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.48.5.2
이날 회수한 그물은 지난 1일 쳐 놓은 것으로 2차 양망(揚網)이었다.

이날	이날/NNG
회수한	회수/NNG+하/XSV+ㄴ/ETM
그물은	그물/NNG+은/JX
지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
쳐	치/VV+어/EC
놓은	놓/VX+은/ETM
것으로	것/NNB+으로/JKB
2차	2/SN+차/NNB
양망(揚網)이었다.	양망/NNG+(/SS+揚網/SH+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.48.5.3
1일에는 투망에 앞서 지난달 27일 쳐 놓았던 그물을 끌어올리는 1차 양망작업을 벌였지만 역시 소득이 없었다.

1일에는	1/SN+일/NNB+에/JKB+는/JX
투망에	투망/NNG+에/JKB
앞서	앞서/VV+어/EC
지난달	지난달/NNG
27일	27/SN+일/NNB
쳐	치/VV+어/EC
놓았던	놓/VX+았/EP+던/ETM
그물을	그물/NNG+을/JKO
끌어올리는	끌어올리/VV+는/ETM
1차	1/SN+차/NNB
양망작업을	양망/NNG+작업/NNG+을/JKO
벌였지만	벌이/VV+었/EP+지만/EC
역시	역시/MAG
소득이	소득/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000026.48.6.1
두 차례 시범 조업을 통해 2000년대 들어 자취를 감추기 시작한 명태가 이제는 씨가 말랐다는 말까지 나오고 있다.

두	두/MMN
차례	차례/NNG
시범	시범/NNG
조업을	조업/NNG+을/JKO
통해	통하/VV+아/EC
2000년대	2000/SN+년대/NNB
들어	들/VV+어/EC
자취를	자취/NNG+를/JKO
감추기	감추/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
명태가	명태/NNG+가/JKS
이제는	이제/NNG+는/JX
씨가	씨/NNG+가/JKS
말랐다는	마르/VV+았/EP+다는/ETM
말까지	말/NNG+까지/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.48.6.2
그러나 수협측은 명태 자원 회복에 대한 희망의 끈을 놓지 않고 있다.

그러나	그러나/MAJ
수협측은	수협/NNP+측/NNB+은/JX
명태	명태/NNG
자원	자원/NNG
회복에	회복/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
희망의	희망/NNG+의/JKG
끈을	끈/NNG+을/JKO
놓지	놓/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.48.6.3
10일쯤 해상 날씨를 봐서 3차 시범 조업 투망에 나선다.

10일쯤	10/SN+일/NNB+쯤/XSN
해상	해상/NNG
날씨를	날씨/NNG+를/JKO
봐서	보/VV+아서/EC
3차	3/SN+차/NNB
시범	시범/NNG
조업	조업/NNG
투망에	투망/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.48.6.4
최근 1~2년 동안 고성군 거진항에 명태가 간간이 잡힌 것은 모두 2월에 집중됐기 때문이다.

최근	최근/NNG
1~2년	1/SN+~/SO+2/SN+년/NNB
동안	동안/NNG
고성군	고성군/NNP
거진항에	거진항/NNP+에/JKB
명태가	명태/NNG+가/JKS
간간이	간간이/MAG
잡힌	잡히/VV+ㄴ/ETM
것은	것/NNB+은/JX
모두	모두/MAG
2월에	2/SN+월/NNB+에/JKB
집중됐기	집중/NNG+되/XSV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.48.6.5
이에 따라 2월 한 달 동안은 몇 차례 더 시범 조업을 나갈 계획이다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
2월	2/SN+월/NNB
한	한/MMN
달	달/NNG
동안은	동안/NNG+은/JX
몇	몇/NR
차례	차례/NNG
더	더/MAG
시범	시범/NNG
조업을	조업/NNG+을/JKO
나갈	나가/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.48.7.1
한편 9일 거진항에는 죽은 명태 10여 마리와 산 명태 2마리가 잡혀 명태 확보에 대한 희망을 이어갔다.

한편	한편/MAG
9일	9/SN+일/NNB
거진항에는	거진항/NNP+에/JKB+는/JX
죽은	죽/VV+은/ETM
명태	명태/NNG
10여	10/SN+여/XSN
마리와	마리/NNB+와/JC
산	살/VV+ㄴ/ETM
2마리가	2/SN+마리/NNB+가/JKS
잡혀	잡히/VV+어/EC
확보에	확보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
희망을	희망/NNG+을/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.48.7.2
고성군 수협은 "거진항에서 명태가 간간이 나오긴 한다"면서 "2월 중 몇 번 더 시도해 볼 계획"이라고 말했다.

고성군	고성군/NNP
수협은	수협/NNP+은/JX
"거진항에서	"/SS+거진항/NNP+에서/JKB
명태가	명태/NNG+가/JKS
간간이	간간이/MAG
나오긴	나오/VV+기/ETN+ㄴ/JX
한다"면서	하/VX+ㄴ다/EF+"/SS+면서/EC
"2월	"/SS+2/SN+월/NNB
중	중/NNB
몇	몇/NR
번	번/NNB
더	더/MAG
시도해	시도/NNG+하/XSV+아/EC
볼	보/VX+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.48.8.1
그러나 현실적으로 산 명태 확보 여부는 불투명한 실정이다.

그러나	그러나/MAJ
현실적으로	현실/NNG+적/XSN+으로/JKB
산	살/VV+ㄴ/ETM
명태	명태/NNG
확보	확보/NNG
여부는	여부/NNG+는/JX
불투명한	불/XPN+투명/NNG+하/XSA+ㄴ/ETM
실정이다.	실정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.48.8.2
동해수산연구소는 "살아 있는 명태를 몇번 가져다 연구소 수족관에 넣었지만 얼마 못 가 죽고 암컷의 경우 알도 잘 나오지 않았다"면서 "그물로 잡는 방법으로는 힘들 것 같고 낚시로 잡는 방법이 남아 있는데 성공 여부는 시도해 봐야 알 수 있다"고 말했다.

동해수산연구소는	동해수산연구소/NNP+는/JX
"살아	"/SS+살/VV+아/EC
있는	있/VX+는/ETM
명태를	명태/NNG+를/JKO
몇번	몇/NR+번/NNB
가져다	가지/VV+어다/EC
연구소	연구소/NNG
수족관에	수족관/NNG+에/JKB
넣었지만	넣/VV+었/EP+지만/EC
얼마	얼마/NNG
못	못/MAG
가	가/VV+아/EC
죽고	죽/VV+고/EC
암컷의	암컷/NNG+의/JKG
경우	경우/NNG
알도	알/NNG+도/JX
잘	잘/MAG
나오지	나오/VV+지/EC
않았다"면서	않/VX+았/EP+다/EF+"/SS+면서/EC
"그물로	"/SS+그물/NNG+로/JKB
잡는	잡/VV+는/ETM
방법으로는	방법/NNG+으로/JKB+는/JX
힘들	힘들/VA+ㄹ/ETM
것	것/NNB
같고	같/VA+고/EC
낚시로	낚시/NNG+로/JKB
방법이	방법/NNG+이/JKS
남아	남/VV+아/EC
있는데	있/VX+는데/EC
성공	성공/NNG
여부는	여부/NNG+는/JX
시도해	시도/NNG+하/XSV+아/EC
봐야	보/VV+아야/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.48.9.1
명태 자원 확보를 위해서는 성숙된 암컷과 수컷이 동시에 잡혀야 채란과 수정이 가능하다.

명태	명태/NNG
자원	자원/NNG
확보를	확보/NNG+를/JKO
위해서는	위하/VV+아서/EC+는/JX
성숙된	성숙/NNG+되/XSV+ㄴ/ETM
암컷과	암컷/NNG+과/JC
수컷이	수컷/NNG+이/JKS
동시에	동시/NNG+에/JKB
잡혀야	잡히/VV+어야/EC
채란과	채란/NNG+과/JC
수정이	수정/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000026.48.10.1
◆고성 25일부터 명태축제

◆고성	◆/SW+고성/NNP
25일부터	25/SN+일/NNB+부터/JX
명태축제	명태/NNG+축제/NNG


# id : NWRW1800000026.48.11.1
명태 자원 회복에 대한 관심이 커지고 있는 가운데 고성군에서는 25일부터 명태축제가 열린다.

명태	명태/NNG
자원	자원/NNG
회복에	회복/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심이	관심/NNG+이/JKS
커지고	커지/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
고성군에서는	고성군/NNP+에서/JKB+는/JX
25일부터	25/SN+일/NNB+부터/JX
명태축제가	명태/NNG+축제/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.48.12.1
고성군은 25일부터 나흘 동안 거진항 일원에서 '제12회 고성 명태와 겨울바다축제'를 개최한다.

고성군은	고성군/NNP+은/JX
25일부터	25/SN+일/NNB+부터/JX
나흘	나흘/NNG
동안	동안/NNG
거진항	거진항/NNP
일원에서	일원/NNP+에서/JKB
'제12회	'/SS+제/XPN+12/SN+회/NNB
고성	고성/NNP
명태와	명태/NNG+와/JC
겨울바다축제'를	겨울/NNG+바다/NNG+축제/NNG+'/SS+를/JKO
개최한다.	개최/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.48.12.2
고성군과 축제위원회는 올 행사를 가족 중심형 관광 체험 프로그램 중심으로 마련할 방침이다.

고성군과	고성군/NNP+과/JC
축제위원회는	축제/NNG+위원회/NNG+는/JX
올	올/NNG
행사를	행사/NNG+를/JKO
가족	가족/NNG
중심형	중심/NNG+형/XSN
관광	관광/NNG
체험	체험/NNG
프로그램	프로그램/NNG
중심으로	중심/NNG+으로/JKB
마련할	마련/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.48.13.1
행사 주제도 '명태와 함께 떠나는 겨울바다 여행'으로 정하고 명태 투호, 명태요리 시식회, 명태 끼우기 등 다양한 명태 체험행사를 마련한다.

행사	행사/NNG
주제도	주제/NNG+도/JX
'명태와	'/SS+명태/NNG+와/JKB
함께	함께/MAG
떠나는	떠나/VV+는/ETM
겨울바다	겨울/NNG+바다/NNG
여행'으로	여행/NNG+'/SS+으로/JKB
정하고	정하/VV+고/EC
명태	명태/NNG
투호,	투호/NNG+,/SP
명태요리	명태/NNG+요리/NNG
시식회,	시식회/NNG+,/SP
끼우기	끼우/VV+기/ETN
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
체험행사를	체험/NNG+행사/NNG+를/JKO
마련한다.	마련/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.48.14.1
활어 이어달리기, 물회 빨리먹기, 생선회 정량 달기 등 새로운 행사도 개최해 관광객에게 바다의 낭만을 선물한다는 계획이다.

활어	활어/NNG
이어달리기,	이어달리기/NNG+,/SP
물회	물회/NNG
빨리먹기,	빨리/MAG+먹/VV+기/ETN+,/SP
생선회	생선회/NNG
정량	정량/NNG
달기	달/VV+기/ETN
등	등/NNB
새로운	새롭/VA+ㄴ/ETM
행사도	행사/NNG+도/JX
개최해	개최/NNG+하/XSV+아/EC
관광객에게	관광객/NNG+에게/JKB
바다의	바다/NNG+의/JKG
낭만을	낭만/NNG+을/JKO
선물한다는	선물/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.48.15.1
고성군은 "이번 명태축제는 기존의 행사 이미지에서 더 나아가 겨울 바다와 가족 단위 축제로 확대해 다양한 체험거리를 선보이겠다"고 말했다.

고성군은	고성군/NNP+은/JX
"이번	"/SS+이번/NNG
명태축제는	명태/NNG+축제/NNG+는/JX
기존의	기존/NNG+의/JKG
행사	행사/NNG
이미지에서	이미지/NNG+에서/JKB
더	더/MAG
나아가	나아가/VV+아/EC
겨울	겨울/NNG
바다와	바다/NNG+와/JC
가족	가족/NNG
단위	단위/NNG
축제로	축제/NNG+로/JKB
확대해	확대/NNG+하/XSV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
체험거리를	체험/NNG+거리/NNB+를/JKO
선보이겠다"고	선보이/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.48.16.1
거진항은 고성 경제의 중심으로 전국에서 명태가 가장 많이 잡히던 항구였지만 명태가 자취를 감추면서 지금은 축제로 그 명맥을 유지하고 있다.

거진항은	거진항/NNP+은/JX
고성	고성/NNP
경제의	경제/NNG+의/JKG
중심으로	중심/NNG+으로/JKB
전국에서	전국/NNG+에서/JKB
명태가	명태/NNG+가/JKS
가장	가장/MAG
많이	많이/MAG
잡히던	잡히/VV+던/ETM
항구였지만	항구/NNG+이/VCP+었/EP+지만/EC
자취를	자취/NNG+를/JKO
감추면서	감추/VV+면서/EC
지금은	지금/NNG+은/JX
축제로	축제/NNG+로/JKB
그	그/MMD
명맥을	명맥/NNG+을/JKO
유지하고	유지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


