# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.187
metadata : {}


# id : NWRW1800000033.187.1.1
‘색동옷’ 갈아입는 숭례문

‘색동옷’	‘/SS+색동옷/NNG+’/SS
당시의	당시/NNG+의/JKG
조선	조선/NNP
전기	전기/NNG
문양을	문양/NNG+을/JKO
기본으로	기본/NNG+으로/JKB
전기의	전기/NNG+의/JKG
색조를	색조/NNG+를/JKO
살려	살리/VV+어/EC
칠할	칠/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.187.8.2
1988년 마지막 보수할 때는 조선 전기 문양에 조선 중후기 색조였다.

1988년	1988/SN+년/NNB
마지막	마지막/NNG
보수할	보수/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
조선	조선/NNP
전기	전기/NNG
문양에	문양/NNG+에/JKB
중후기	중후기/NNG
색조였다.	색조/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.187.8.3
색조를 바꿈에 따라 이전에 비해 단청은 덜 화려할 것으로 보인다.

색조를	색조/NNG+를/JKO
바꿈에	바꾸/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
이전에	이전/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
단청은	단청/NNG+은/JX
덜	덜/MAG
화려할	화려하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.187.9.1
단청에 필요한 안료 가운데 석간주(石間주·산화철을 많이 함유해 빛이 붉은 흙)와 호분(胡粉·고운 조갯가루) 및 먹은 국산이고, 녹색과 청색 안료 등은 일본산이다.

단청에	단청/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
안료	안료/NNG
가운데	가운데/NNG
석간주(石間주·산화철을	석간주/NNG+(/SS+石間/SH+주/NA+·/SP+산화/NNG+철/NNG+을/JKO
많이	많이/MAG
함유해	함유/NNG+하/XSV+아/EC
빛이	빛/NNG+이/JKS
붉은	붉/VA+은/ETM
흙)와	흙/NNG+)/SS+와/JC
호분(胡粉·고운	호분/NNG+(/SS+胡粉/SH+·/SP+곱/VA+ㄴ/ETM
조갯가루)	조갯가루/NNG+)/SS
및	및/MAG
먹은	먹/NNG+은/JX
국산이고,	국산/NNG+이/VCP+고/EC+,/SP
녹색과	녹색/NNG+과/JC
청색	청색/NNG
등은	등/NNB+은/JX
일본산이다.	일본/NNP+산/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000033.187.9.2
안료를 나무에 고착하는 아교는 모두 일본산이다.

안료를	안료/NNG+를/JKO
나무에	나무/NNG+에/JKB
고착하는	고착/NNG+하/XSV+는/ETM
아교는	아교/NNG+는/JX
모두	모두/MAG
일본산이다.	일본/NNP+산/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000033.187.9.3
문화재청은 조선시대에도 안료를 중국이나 일본에서 수입해서 사용했다고 밝혔다.

문화재청은	문화재청/NNG+은/JX
조선시대에도	조선시대/NNG+에/JKB+도/JX
안료를	안료/NNG+를/JKO
중국이나	중국/NNP+이나/JC
일본에서	일본/NNP+에서/JKB
수입해서	수입/NNG+하/XSV+아서/EC
사용했다고	사용/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.187.9.4
하지만 황평우 한국문화유산정책연구소장은 “전통 아교 제작법을 복원해 사용했어야 했다”고 지적했다.

하지만	하지만/MAJ
황평우	황평우/NNP
한국문화유산정책연구소장은	한국문화유산정책연구소장/NNG+은/JX
“전통	“/SS+전통/NNG
아교	아교/NNG
제작법을	제작법/NNG+을/JKO
복원해	복원/NNG+하/XSV+아/EC
사용했어야	사용/NNG+하/XSV+았/EP+어야/EC
했다”고	하/VX+았/EP+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.187.9.5
최 단장은 “복원된 전통 아교의 접착력이 좋지 않아 사용할 수 없었다”며 “전통 아교 제작 기법은 중장기적으로 연구할 과제”라고 해명했다.

최	최/NNP
단장은	단장/NNG+은/JX
“복원된	“/SS+복원/NNG+되/XSV+ㄴ/ETM
전통	전통/NNG
아교의	아교/NNG+의/JKG
접착력이	접착력/NNG+이/JKS
좋지	좋/VA+지/EC
않아	않/VX+아/EC
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없었다”며	없/VA+었/EP+다/EF+”/SS+며/EC
“전통	“/SS+전통/NNG
아교	아교/NNG
제작	제작/NNG
기법은	기법/NNG+은/JX
중장기적으로	중장기/NNG+적/XSN+으로/JKB
연구할	연구/NNG+하/XSV+ㄹ/ETM
과제”라고	과제/NNG+”/SS+라고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


