# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.242
metadata : {}


# id : NWRW1800000054.242.1.1
수학·탐구가 당락 좌우… "의대 합격선(정시모집) 서울대 396점, 고대 392점"

수학·탐구가	수학/NNG+·/SP+탐구/NNG+가/JKS
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.242.6.2
다만 사회탐구 경제 과목은 1등급 비율이 11.75%에 달해, 한 문제만 틀린 수험생도 3등급으로 떨어졌다.

다만	다만/MAG
사회탐구	사회/NNG+탐구/NNG
경제	경제/NNG
과목은	과목/NNG+은/JX
1등급	1/SN+등급/NNG
비율이	비율/NNG+이/JKS
11.75%에	11/SN+./SP+75/SN+%/SW+에/JKB
달해,	달하/VV+아/EC+,/SP
한	한/MMN
문제만	문제/NNG+만/JX
틀린	틀리/VV+ㄴ/ETM
수험생도	수험/NNG+생/XSN+도/JX
3등급으로	3/SN+등급/NNG+으로/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.242.6.3
교육과정평가원 시기자 수능분석실장은 "경제 과목이 워낙 최상위권 학생들이 응시하기 때문에 1등급에 많이 몰렸다"고 밝혔다.

교육과정평가원	교육과정평가원/NNP
시기자	시기자/NNP
수능분석실장은	수능/NNG+분석실장/NNG+은/JX
"경제	"/SS+경제/NNG
과목이	과목/NNG+이/JKS
워낙	워낙/MAG
최상위권	최/XPN+상위/NNG+권/XSN
학생들이	학생/NNG+들/XSN+이/JKS
응시하기	응시/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
1등급에	1/SN+등급/NNG+에/JKB
많이	많이/MAG
몰렸다"고	몰리/VV+었/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.242.7.1
◇전 영역 만점자 재학생·졸업생 7명씩

◇전	◇/SW+전/MMN
영역	영역/NNG
만점자	만점자/NNG
재학생·졸업생	재학/NNG+생/XSN+·/SP+졸업/NNG+생/XSN
7명씩	7/SN+명/NNB+씩/XSN


# id : NWRW1800000054.242.8.1
성기선 한국교육과정평가원장은 이날 기자회견에서 올해 수능 국어·수학·탐구·영어·한국사 등 전 영역 만점자(영어·한국사는 1등급)가 재학생 7명, 졸업생 7명, 검정고시 출신 1명을 합쳐 총 15명이라고 밝혔다.

성기선	성기선/NNP
한국교육과정평가원장은	한국교육과정평가원장/NNG+은/JX
이날	이날/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
올해	올해/NNG
수능	수능/NNG
국어·수학·탐구·영어·한국사	국어/NNG+·/SP+수학/NNG+·/SP+탐구/NNG+·/SP+영어/NNP+·/SP+한국사/NNG
등	등/NNB
전	전/MMN
영역	영역/NNG
만점자(영어·한국사는	만점자/NNG+(/SS+영어/NNP+·/SP+한국사/NNG+는/JX
1등급)가	1/SN+등급/NNG+)/SS+가/JKS
재학생	재학/NNG+생/XSN
7명,	7/SN+명/NNB+,/SP
졸업생	졸업/NNG+생/XSN
검정고시	검정고시/NNG
출신	출신/NNG
1명을	1/SN+명/NNB+을/JKO
합쳐	합치/VV+어/EC
총	총/MMA
15명이라고	15/SN+명/NNB+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.242.8.2
평가원이 수능 전 영역 만점자 수를 공개한 것은 처음이다.

평가원이	평가원/NNG+이/JKS
수능	수능/NNG
전	전/MMN
영역	영역/NNG
만점자	만점자/NNG
수를	수/NNG+를/JKO
공개한	공개/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.242.9.1
성기선 원장은 "사교육 기관들이 수능 가채점 후 전 영역 만점자를 졸업생 9명, 재학생 2명 등으로 발표해 이 시험(수능)이 졸업생에게 절대적으로 유리하게 보이는 것 같아서 (우리가) 발표한다"면서 "(재학생과 졸업생 수가 같기 때문에) 졸업생에게 유리하다는 것은 아니라고 본다"고 밝혔다.

성기선	성기선/NNP
원장은	원장/NNG+은/JX
"사교육	"/SS+사교육/NNG
기관들이	기관/NNG+들/XSN+이/JKS
수능	수능/NNG
가채점	가/XPN+채점/NNG
후	후/NNG
전	전/MMN
영역	영역/NNG
만점자를	만점자/NNG+를/JKO
졸업생	졸업/NNG+생/XSN
9명,	9/SN+명/NNB+,/SP
재학생	재학/NNG+생/XSN
2명	2/SN+명/NNB
등으로	등/NNB+으로/JKB
발표해	발표/NNG+하/XSV+아/EC
이	이/MMD
시험(수능)이	시험/NNG+(/SS+수능/NNG+)/SS+이/JKS
졸업생에게	졸업/NNG+생/XSN+에게/JKB
절대적으로	절대/NNG+적/XSN+으로/JKB
유리하게	유리/NNG+하/XSA+게/EC
보이는	보이/VV+는/ETM
것	것/NNB
같아서	같/VA+아서/EC
(우리가)	(/SS+우리/NP+가/JKS+)/SS
발표한다"면서	발표/NNG+하/XSV+ㄴ다/EF+"/SS+면서/EC
"(재학생과	"/SS+(/SS+재학/NNG+생/XSN+과/JC
수가	수/NNG+가/JKS
같기	같/VA+기/ETN
때문에)	때문/NNB+에/JKB+)/SS
유리하다는	유리/NNG+하/XSA+다는/ETM
것은	것/NNB+은/JX
아니라고	아니/VCN+라고/EC
본다"고	보/VV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.242.9.2
성 원장은 과거 수능 시험들의 전 영역 만점자를 재학생·졸업생으로 구분해보지는 않았다고 밝혔다.

성	성/NNP
원장은	원장/NNG+은/JX
과거	과거/NNG
수능	수능/NNG
시험들의	시험/NNG+들/XSN+의/JKG
전	전/MMN
영역	영역/NNG
만점자를	만점자/NNG+를/JKO
재학생·졸업생으로	재학/NNG+생/XSN+·/SP+졸업/NNG+생/XSN+으로/JKB
구분해보지는	구분/NNG+하/XSV+아/EC+보/VX+지/EC+는/JX
않았다고	않/VX+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.242.10.1
이만기 유웨이중앙교육 평가연구소장은 이에 대해 "올해는 영어 영역이 절대평가로 전환돼 1등급 이상이면 무조건 만점으로 보기 때문에 과거 상대평가와 똑같이 비교하는 것은 어렵다"면서 "수능 시험에서 재학생·졸업생 유불리를 따지려면 만점자뿐 아니라 1등급 비율 등 다양하게 분석을 해봐야 한다"고 밝혔다.

이만기	이만기/NNP
유웨이중앙교육	유웨이중앙교육/NNP
평가연구소장은	평가/NNG+연구소장/NNG+은/JX
이에	이/NP+에/JKB
대해	대하/VV+아/EC
"올해는	"/SS+올해/NNG+는/JX
영어	영어/NNP
영역이	영역/NNG+이/JKS
절대평가로	절대/NNG+평가/NNG+로/JKB
전환돼	전환/NNG+되/XSV+어/EC
1등급	1/SN+등급/NNG
이상이면	이상/NNG+이/VCP+면/EC
무조건	무/XPN+조건/NNG
만점으로	만점/NNG+으로/JKB
보기	보/VV+기/ETN
때문에	때문/NNB+에/JKB
과거	과거/NNG
상대평가와	상대/NNG+평가/NNG+와/JC
똑같이	똑같이/MAG
비교하는	비교/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
어렵다"면서	어렵/VA+다/EF+"/SS+면서/EC
"수능	"/SS+수능/NNG
시험에서	시험/NNG+에서/JKB
재학생·졸업생	재학/NNG+생/XSN+·/SP+졸업/NNG+생/XSN
유불리를	유불리/NNG+를/JKO
따지려면	따지/VV+려면/EC
만점자뿐	만점자/NNG+뿐/JX
아니라	아니/VCN+라/EC
비율	비율/NNG
등	등/NNB
다양하게	다양/NNG+하/XSA+게/EC
분석을	분석/NNG+을/JKO
해봐야	하/VV+아/EC+보/VX+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.242.11.1
☞원점수

☞원점수	☞/SW+원점수/NNG


# id : NWRW1800000054.242.12.1
문항에 부여된 배점을 단순히 합산한 점수.

문항에	문항/NNG+에/JKB
부여된	부여/NNG+되/XSV+ㄴ/ETM
배점을	배점/NNG+을/JKO
단순히	단순히/MAG
합산한	합산/NNG+하/XSV+ㄴ/ETM
점수.	점수/NNG+./SF


# id : NWRW1800000054.242.13.1
☞표준점수

☞표준점수	☞/SW+표준/NNG+점수/NNG


# id : NWRW1800000054.242.14.1
개개인의 원점수가 전체 평균에서 얼마나 떨어진 위치에 있는지 보여주는 점수.

개개인의	개개인/NNG+의/JKG
원점수가	원점수/NNG+가/JKS
전체	전체/NNG
평균에서	평균/NNG+에서/JKB
얼마나	얼마나/MAG
떨어진	떨어지/VV+ㄴ/ETM
위치에	위치/NNG+에/JKB
있는지	있/VA+는지/EC
보여주는	보이/VV+어/EC+주/VX+는/ETM
점수.	점수/NNG+./SF


# id : NWRW1800000054.242.14.2
문제가 쉬워 평균이 높아질수록, 표준점수가 낮아진다.

문제가	문제/NNG+가/JKS
쉬워	쉽/VA+어/EC
평균이	평균/NNG+이/JKS
높아질수록,	높아지/VV+ㄹ수록/EC+,/SP
표준점수가	표준/NNG+점수/NNG+가/JKS
낮아진다.	낮/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.242.15.1
☞백분위

☞백분위	☞/SW+백분위/NNG


# id : NWRW1800000054.242.16.1
영역(과목) 내 수험생의 상대적 서열을 나타내는 수치.

영역(과목)	영역/NNG+(/SS+과목/NNG+)/SS
내	내/NNB
수험생의	수험/NNG+생/XSN+의/JKG
상대적	상대/NNG+적/XSN
서열을	서열/NNG+을/JKO
나타내는	나타내/VV+는/ETM
수치.	수치/NNG+./SF


# id : NWRW1800000054.242.16.2
수험생 A의 백분위가 80이라면 A보다 낮은 점수를 받은 학생 비율이 80%라는 의미다.

수험생	수험/NNG+생/XSN
A의	A/SL+의/JKG
백분위가	백분위/NNG+가/JKS
80이라면	80/SN+이/VCP+라면/EC
A보다	A/SL+보다/JKB
낮은	낮/VA+은/ETM
점수를	점수/NNG+를/JKO
받은	받/VV+은/ETM
학생	학생/NNG
비율이	비율/NNG+이/JKS
80%라는	80/SN+%/SW+이/VCP+라는/ETM
의미다.	의미/NNG+이/VCP+다/EF+./SF


