# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.61
metadata : {}


# id : NWRW1800000036.61.1.1
수입차에 내수시장 뺏길라… 현대차, 가격동결 정면승부

수입차에	수입차/NNG+에/JKB
견줘	견주/VV+어/EC
동결	동결/NNG
내지	내지/MAG
인하했다.	인하/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.61.6.2
주력 모델인 ‘2.4 모던’과 ‘3.0프리미엄’은 통합주행모드와 후방카메라 등을 새롭게 기본 적용하면서 가격은 종전 모델과 동일하게 유지했다.

주력	주력/NNG
모델인	모델/NNG+이/VCP+ㄴ/ETM
‘2.4	‘/SS+2/SN+./SP+4/SN
모던’과	모던/NNG+’/SS+과/JC
‘3.0프리미엄’은	‘/SS+3/SN+./SP+0/SN+프리미엄/NNG+’/SS+은/JX
통합주행모드와	통합/NNG+주행/NNG+모드/NNG+와/JC
후방카메라	후방/NNG+카메라/NNG
등을	등/NNB+을/JKO
새롭게	새롭/VA+게/EC
기본	기본/NNG
적용하면서	적용/NNG+하/XSV+면서/EC
가격은	가격/NNG+은/JX
종전	종전/NNG
모델과	모델/NNG+과/JKB
동일하게	동일/NNG+하/XSA+게/EC
유지했다.	유지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.61.6.3
최고급 모델인 ‘3.3 셀러브리티’는 옵션(선택사양) 제외 가격을 내렸다.

최고급	최/XPN+고급/NNG
모델인	모델/NNG+이/VCP+ㄴ/ETM
‘3.3	‘/SS+3/SN+./SP+3/SN
셀러브리티’는	셀러브리티/NNG+’/SS+는/JX
옵션(선택사양)	옵션/NNG+(/SS+선택/NNG+사양/NNG+)/SS
제외	제외/NNG
가격을	가격/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.61.7.1
류창승 현대차 판매전략팀장(부장)은 4일 <한겨레>와 한 통화에서 “올해 들어 가격 논란이 불거지면서 개선된 상품성만큼 가격은 올리지 않았지만, 고객들은 기본 가격(옵션 제외 가격) 인상 자체에 민감한 반응을 보였다.

류창승	류창승/NNP
현대차	현대차/NNP
판매전략팀장(부장)은	판매/NNG+전략/NNG+팀장/NNG+(/SS+부장/NNG+)/SS+은/JX
4일	4/SN+일/NNB
<한겨레>와	</SS+한겨레/NNP+>/SS+와/JKB
한	하/VV+ㄴ/ETM
통화에서	통화/NNG+에서/JKB
“올해	“/SS+올해/NNG
들어	들/VV+어/EC
가격	가격/NNG
논란이	논란/NNG+이/JKS
불거지면서	불거지/VV+면서/EC
개선된	개선/NNG+되/XSV+ㄴ/ETM
상품성만큼	상품/NNG+성/XSN+만큼/JKB
가격은	가격/NNG+은/JX
올리지	올리/VV+지/EC
않았지만,	않/VX+았/EP+지만/EC+,/SP
고객들은	고객/NNG+들/XSN+은/JX
기본	기본/NNG
가격(옵션	가격/NNG+(/SS+옵션/NNG
제외	제외/NNG
가격)	가격/NNG+)/SS
인상	인상/NNG
자체에	자체/NNG+에/JKB
민감한	민감/NNG+하/XSA+ㄴ/ETM
반응을	반응/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.61.7.2
고객들이 좀더 직접적으로 가격 변화를 느끼도록 기본 가격을 내렸다”고 말했다.

고객들이	고객/NNG+들/XSN+이/JKS
좀더	좀/MAG+더/MAG
직접적으로	직접/NNG+적/XSN+으로/JKB
가격	가격/NNG
변화를	변화/NNG+를/JKO
느끼도록	느끼/VV+도록/EC
기본	기본/NNG
가격을	가격/NNG+을/JKO
내렸다”고	내리/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.61.8.1
자동차 업계에선 현대차의 그랜저 가격 인하 배경을 올해 들어 판이 흔들린 내수시장 자체에서 찾고 있다.

자동차	자동차/NNG
업계에선	업계/NNG+에서/JKB+ㄴ/JX
현대차의	현대차/NNP+의/JKG
그랜저	그랜저/NNP
가격	가격/NNG
인하	인하/NNG
배경을	배경/NNG+을/JKO
올해	올해/NNG
들어	들/VV+어/EC
판이	판/NNG+이/JKS
흔들린	흔들리/VV+ㄴ/ETM
내수시장	내수/NNG+시장/NNG
자체에서	자체/NNG+에서/JKB
찾고	찾/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.61.8.2
한 수입브랜드의 마케팅 담당자는 “내수시장에서 수입차들이 가장 경쟁을 벌이는 차종이 바로 그랜저”라고 밝혔다.

한	한/MMN
수입브랜드의	수입/NNG+브랜드/NNG+의/JKG
마케팅	마케팅/NNG
담당자는	담당자/NNG+는/JX
“내수시장에서	“/SS+내수/NNG+시장/NNG+에서/JKB
수입차들이	수입차/NNG+들/XSN+이/JKS
가장	가장/MAG
경쟁을	경쟁/NNG+을/JKO
벌이는	벌이/VV+는/ETM
차종이	차종/NNG+이/JKS
바로	바로/MAG
그랜저”라고	그랜저/NNP+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.61.8.3
류 팀장도 “수년전보다 준대형 시장의 경쟁도가 훨씬 높아졌다”고 말했다.

류	류/NNP
팀장도	팀장/NNG+도/JX
“수년전보다	“/SS+수년/NNG+전/NNG+보다/JKB
준대형	준/XPN+대형/NNG
시장의	시장/NNG+의/JKG
경쟁도가	경쟁도/NNG+가/JKS
훨씬	훨씬/MAG
높아졌다”고	높아지/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.61.9.1
실제 올해 초 도요타의 캠리를 시작으로 독일 폴크스바겐의 파사트, 닛산 알티마, 곧 출시 예정인 혼다 어코드 등은 그랜저 시장을 넘보고 있는 대표 차종들이다.

실제	실제/MAG
올해	올해/NNG
초	초/NNB
도요타의	도요타/NNP+의/JKG
캠리를	캠리/NNG+를/JKO
시작으로	시작/NNG+으로/JKB
독일	독일/NNP
폴크스바겐의	폴크스바겐/NNP+의/JKG
파사트,	파사트/NNP+,/SP
닛산	닛산/NNP
알티마,	알티마/NNP+,/SP
곧	곧/MAG
출시	출시/NNG
예정인	예정/NNG+이/VCP+ㄴ/ETM
혼다	혼다/NNP
어코드	어코드/NNG
등은	등/NNB+은/JX
그랜저	그랜저/NNP
시장을	시장/NNG+을/JKO
넘보고	넘보/VV+고/EC
있는	있/VX+는/ETM
대표	대표/NNG
차종들이다.	차종/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000036.61.9.2
특히 이들 브랜드들은 편의 사양을 일부 줄이는 방식으로 종전 모델보다 신차 가격을 더 낮추는 매우 공격적인 전략을 취했다.

특히	특히/MAG
이들	이/NP+들/XSN
브랜드들은	브랜드/NNG+들/XSN+은/JX
편의	편의/NNG
사양을	사양/NNG+을/JKO
일부	일부/NNG
줄이는	줄이/VV+는/ETM
방식으로	방식/NNG+으로/JKB
종전	종전/NNG
모델보다	모델/NNG+보다/JKB
신차	신차/NNG
가격을	가격/NNG+을/JKO
더	더/MAG
낮추는	낮추/VV+는/ETM
매우	매우/MAG
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
전략을	전략/NNG+을/JKO
취했다.	취하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.61.10.1
한 예로 올 1월 출시된 캠리는 완전 변경 모델이었지만 가격 인상 폭은 미미했다.

한	한/MMN
예로	예/NNG+로/JKB
올	올/NNG
1월	1/SN+월/NNB
출시된	출시/NNG+되/XSV+ㄴ/ETM
캠리는	캠리/NNG+는/JX
완전	완전/NNG
변경	변경/NNG
모델이었지만	모델/NNG+이/VCP+었/EP+지만/EC
가격	가격/NNG
인상	인상/NNG
폭은	폭/NNG+은/JX
미미했다.	미미하/VA+았/EP+다/EF+./SF


# id : NWRW1800000036.61.10.2
캠리의 올 11월까지 누적 판매량은 6740여대로, 애초 목표치(6000대)를 훌쩍 넘어섰다.

캠리의	캠리/NNG+의/JKG
올	올/NNG
11월까지	11/SN+월/NNB+까지/JX
누적	누적/NNG
판매량은	판매량/NNG+은/JX
6740여대로,	6740/SN+여/XSN+대/NNB+로/JKB+,/SP
애초	애초/NNG
목표치(6000대)를	목표/NNG+치/XSN+(/SS+6000/SN+대/NNB+)/SS+를/JKO
훌쩍	훌쩍/MAG
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.61.10.3
이 달 12일 출시 예정인 어코드 역시 완전변경 모델임에도 가격 인상 폭이 크지 않을 것으로 알려졌다.

이	이/MMD
달	달/NNG
12일	12/SN+일/NNB
출시	출시/NNG
예정인	예정/NNG+이/VCP+ㄴ/ETM
어코드	어코드/NNG
역시	역시/MAG
완전변경	완전/NNG+변경/NNG
모델임에도	모델/NNG+이/VCP+ㅁ/ETN+에/JKB+도/JX
가격	가격/NNG
인상	인상/NNG
폭이	폭/NNG+이/JKS
크지	크/VA+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.61.10.4
조항삼 혼다코리아 홍보실장은 “내부 상품팀에서 여러 가격 안을 놓고 저울질 중이다.

조항삼	조항삼/NNP
혼다코리아	혼다코리아/NNP
홍보실장은	홍보실장/NNG+은/JX
“내부	“/SS+내부/NNG
상품팀에서	상품/NNG+팀/NNG+에서/JKB
여러	여러/MMN
가격	가격/NNG
안을	안/NNG+을/JKO
놓고	놓/VV+고/EC
저울질	저울/NNG+질/XSN
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.61.10.5
경쟁사에서 상품성은 개선하면서도 가격 인상 폭은 최대한 자제해오고 있기 때문에 이런 분위기가 반영될 소지가 있다”고 말했다.

경쟁사에서	경쟁사/NNG+에서/JKB
상품성은	상품/NNG+성/XSN+은/JX
개선하면서도	개선/NNG+하/XSV+면서/EC+도/JX
가격	가격/NNG
인상	인상/NNG
폭은	폭/NNG+은/JX
최대한	최대한/MAG
자제해오고	자제/NNG+하/XSV+아/EC+오/VX+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
이런	이런/MMD
분위기가	분위기/NNG+가/JKS
반영될	반영/NNG+되/XSV+ㄹ/ETM
소지가	소지/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.61.11.1
수입 브랜드들이 가격 인하 여력을 가질 수 있는 이유는 생산지를 미국으로 돌리고 있기 때문이다.

수입	수입/NNG
브랜드들이	브랜드/NNG+들/XSN+이/JKS
가격	가격/NNG
인하	인하/NNG
여력을	여력/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
이유는	이유/NNG+는/JX
생산지를	생산지/NNG+를/JKO
미국으로	미국/NNP+으로/JKB
돌리고	돌리/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.61.11.2
캠리와 파사트에 이어 어코드까지 모두 처음으로 미국 공장에서 생산돼 국내에 들어온다.

캠리와	캠리/NNG+와/JC
파사트에	파사트/NNP+에/JKB
이어	잇/VV+어/EC
어코드까지	어코드/NNG+까지/JX
모두	모두/MAG
처음으로	처음/NNG+으로/JKB
미국	미국/NNP
공장에서	공장/NNG+에서/JKB
생산돼	생산/NNG+되/XSV+어/EC
국내에	국내/NNG+에/JKB
들어온다.	들어오/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.61.11.3
한미 자유무역협정(FTA)에 따른 관세 인하분을 가격 인하 수단으로 적극 활용하고 있는 셈이다.

한미	한미/NNP
자유무역협정(FTA)에	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS+에/JKB
따른	따르/VV+ㄴ/ETM
관세	관세/NNG
인하분을	인하/NNG+분/XSN+을/JKO
가격	가격/NNG
인하	인하/NNG
수단으로	수단/NNG+으로/JKB
적극	적극/NNG
활용하고	활용/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.61.12.1
기아차 국내영업 담당자는 “수입 브랜드들의 전략을 보면, 미국이 거대한 수출 기지화하는 분위기”라며 “생산지 변경으로 발생한 원가 절감분을 고스란히 국내 시장 마케팅에 쏟아붓는 것 같다”고 말했다.

기아차	기아차/NNP
국내영업	국내/NNG+영업/NNG
담당자는	담당자/NNG+는/JX
“수입	“/SS+수입/NNG
브랜드들의	브랜드/NNG+들/XSN+의/JKG
전략을	전략/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
미국이	미국/NNP+이/JKS
거대한	거대/NNG+하/XSA+ㄴ/ETM
수출	수출/NNG
기지화하는	기지/NNG+화/XSN+하/XSV+는/ETM
분위기”라며	분위기/NNG+”/SS+라며/EC
“생산지	“/SS+생산지/NNG
변경으로	변경/NNG+으로/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
원가	원가/NNG
절감분을	절감분/NNG+을/JKO
고스란히	고스란히/MAG
국내	국내/NNG
시장	시장/NNG
마케팅에	마케팅/NNG+에/JKB
쏟아붓는	쏟아붓/VV+는/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.61.13.1
김필수 대림대 교수(자동차공학)는 “그랜저 가격 동결은 현대차가 수입 브랜드의 공세에 정면 대결로 나섰다는 의미”라며 “수입 브랜드들의 공격 범위가 준대형 차급을 넘어 중·소형 차급까지 넓어지고 있는 만큼, 현대·기아차의 가격 정책도 종전과 달리 좀더 유연해질 수 밖에 없을 것”으로 내다봤다.

김필수	김필수/NNP
대림대	대림대/NNP
교수(자동차공학)는	교수/NNG+(/SS+자동차/NNG+공학/NNG+)/SS+는/JX
“그랜저	“/SS+그랜저/NNP
가격	가격/NNG
동결은	동결/NNG+은/JX
현대차가	현대차/NNP+가/JKS
수입	수입/NNG
브랜드의	브랜드/NNG+의/JKG
공세에	공세/NNG+에/JKB
정면	정면/NNG
대결로	대결/NNG+로/JKB
나섰다는	나서/VV+었/EP+다는/ETM
의미”라며	의미/NNG+”/SS+이/VCP+라며/EC
“수입	“/SS+수입/NNG
브랜드들의	브랜드/NNG+들/XSN+의/JKG
공격	공격/NNG
범위가	범위/NNG+가/JKS
준대형	준/XPN+대형/NNG
차급을	차급/NNG+을/JKO
넘어	넘/VV+어/EC
중·소형	중·소형/NNG
차급까지	차급/NNG+까지/JX
넓어지고	넓어지/VV+고/EC
있는	있/VX+는/ETM
만큼,	만큼/NNB+,/SP
현대·기아차의	현대/NNP+·/SP+기아차/NNP+의/JKG
정책도	정책/NNG+도/JX
종전과	종전/NNG+과/JKB
달리	달리/MAG
좀더	좀/MAG+더/MAG
유연해질	유연하/VA+아/EC+지/VX+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없을	없/VA+을/ETM
것”으로	것/NNB+”/SS+으로/JKB
내다봤다.	내다보/VV+았/EP+다/EF+./SF


