# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.238
metadata : {}


# id : NWRW1800000022.238.1.1
[대구·경북] EXCO '전시&이벤트 기획 공모전' 수상자 발표

[대구·경북]	[/SS+대구/NNP+·/SP+경북/NNP+]/SS
전국의 대학생 및 일반인들을 대상으로 실시된 이번 공모전은 지난 4월30일부터 6월5일까지 약 한 달간 진행됐으며 최종수상작 선정은 1차 심사를 통과한 8개 팀의 프레젠테이션 심사를 통해 결정됐다.

전국의	전국/NNG+의/JKG
대학생	대학/NNG+생/XSN
및	및/MAG
일반인들을	일반인/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
실시된	실시/NNG+되/XSV+ㄴ/ETM
이번	이번/NNG
공모전은	공모전/NNG+은/JX
지난	지나/VV+ㄴ/ETM
4월30일부터	4/SN+월/NNB+30/SN+일/NNB+부터/JX
6월5일까지	6/SN+월/NNB+5/SN+일/NNB+까지/JX
약	약/MMA
한	한/MMN
달간	달/NNB+간/XSN
진행됐으며	진행/NNG+되/XSV+었/EP+으며/EC
최종수상작	최종/NNG+수상작/NNG
선정은	선정/NNG+은/JX
1차	1/SN+차/NNB
심사를	심사/NNG+를/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
8개	8/SN+개/NNB
팀의	팀/NNG+의/JKG
프레젠테이션	프레젠테이션/NNG
통해	통하/VV+아/EC
결정됐다.	결정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.238.6.2
엑스코측은 "수상작들에 대해선 절차를 거친 후 신규행사 아이템으로 적극 반영할 예정"이라고 말했다.

엑스코측은	엑스코/NNP+측/NNB+은/JX
"수상작들에	"/SS+수상작/NNG+들/XSN+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
절차를	절차/NNG+를/JKO
거친	거치/VV+ㄴ/ETM
후	후/NNG
신규행사	신규/NNG+행사/NNG
아이템으로	아이템/NNG+으로/JKB
적극	적극/NNG
반영할	반영/NNG+하/XSV+ㄹ/ETM
예정"이라고	예정/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


