# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.108
metadata : {}


# id : NWRW1800000049.108.1.1
“내 앨범 ‘The Epic’… 내년중 그래픽 노블로 낼겁니다”

“내	“/SS+나/NP+의/JKG
“프로듀서 테러스 마틴, 선더캣, 사운웨이브가 편곡의 60∼70%를 다져놓은 상태에서 마틴의 권유로 참여했어요.

“프로듀서	“/SS+프로듀서/NNG
테러스	테러스/NNP
마틴,	마틴/NNP+,/SP
선더캣,	선더캣/NNP+,/SP
사운웨이브가	사운웨이브/NNP+가/JKS
편곡의	편곡/NNG+의/JKG
60∼70%를	60/SN+∼/SO+70/SN+%/SW+를/JKO
다져놓은	다지/VV+어/EC+놓/VX+은/ETM
상태에서	상태/NNG+에서/JKB
마틴의	마틴/NNP+의/JKG
권유로	권유/NNG+로/JKB
참여했어요.	참여/NNG+하/XSV+았/EP+어요/EF+./SF


# id : NWRW1800000049.108.7.3
라마는 화성과 리듬 감각이 뛰어나더군요.

라마는	라마/NNP+는/JX
화성과	화성/NNG+과/JC
리듬	리듬/NNG
감각이	감각/NNG+이/JKS
뛰어나더군요.	뛰어나/VA+더군/EF+요/JX+./SF


# id : NWRW1800000049.108.7.4
크게 놀랐습니다.

크게	크/VA+게/EC
놀랐습니다.	놀라/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000049.108.7.5
마틴이 오래전부터 라마와 작업하며 ‘켄드릭이 힙합을 혁신할 것’이라고 했는데 정확한 예측이었죠.”

마틴이	마틴/NNP+이/JKS
오래전부터	오래전/NNG+부터/JX
라마와	라마/NNP+와/JKB
작업하며	작업/NNG+하/XSV+며/EC
‘켄드릭이	‘/SS+켄드릭/NNP+이/JKS
힙합을	힙합/NNG+을/JKO
혁신할	혁신/NNG+하/XSV+ㄹ/ETM
것’이라고	것/NNB+’/SS+이라고/JKQ
했는데	하/VV+았/EP+는데/EC
정확한	정확/NNG+하/XSA+ㄴ/ETM
예측이었죠.”	예측/NNG+이/VCP+었/EP+죠/EF+./SF+”/SS


# id : NWRW1800000049.108.8.1
워싱턴은 “5월부터 2집 작업에 돌입한다”고 했다.

워싱턴은	워싱턴/NNP+은/JX
“5월부터	“/SS+5/SN+월/NNB+부터/JX
2집	2/SN+집/NNB
작업에	작업/NNG+에/JKB
돌입한다”고	돌입/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.108.8.2
또 대작일까.

또	또/MAG
대작일까.	대작/NNG+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000049.108.8.3
제목은 ‘서사시―제2편’쯤?

제목은	제목/NNG+은/JX
‘서사시―제2편’쯤?	‘/SS+서사시/NNG+―/SS+제/XPN+2/SN+편/NNB+’/SS+쯤/XSN+?/SF


# id : NWRW1800000049.108.8.4
“아직 모르겠어요.

“아직	“/SS+아직/MAG
모르겠어요.	모르/VV+겠/EP+어요/EF+./SF


# id : NWRW1800000049.108.8.5
1집도 실은 원래 1장짜리로 계획했는데 3장이 된 거니까요.

1집도	1/SN+집/NNB+도/JX
실은	실은/MAG
원래	원래/MAG
1장짜리로	1/SN+장/NNB+짜리/XSN+로/JKB
계획했는데	계획/NNG+하/XSV+았/EP+는데/EC
3장이	3/SN+장/NNB+이/JKC
된	되/VV+ㄴ/ETM
거니까요.	거/NNB+이/VCP+니까/EC+요/JX+./SF


# id : NWRW1800000049.108.8.6
음악 창작이란 불과 기름을 섞는 일과 비슷해서 예측할 수 없어요.

음악	음악/NNG
창작이란	창작/NNG+이란/JX
불과	불/NNG+과/JC
기름을	기름/NNG+을/JKO
섞는	섞/VV+는/ETM
일과	일/NNG+과/JKB
비슷해서	비슷하/VA+아서/EC
예측할	예측/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없어요.	없/VA+어요/EF+./SF


# id : NWRW1800000049.108.8.7
이번엔 5장짜리가 나올지 또 누가 압니까.

이번엔	이번/NNG+에/JKB+ㄴ/JX
5장짜리가	5/SN+장/NNB+짜리/XSN+가/JKS
나올지	나오/VV+ㄹ지/EC
또	또/MAG
누가	누구/NP+가/JKS
압니까.	알/VV+ㅂ니까/EF+./SF


# id : NWRW1800000049.108.8.8
허허허.”

허허허.”	허허허/IC+./SF+”/SS


# id : NWRW1800000049.108.9.1
재연에 최소 30명의 연주자가 필요하다는 ‘The Epic’을 만드는 데 돈은 얼마나 들었을까.

재연에	재연/NNG+에/JKB
최소	최소/NNG
30명의	30/SN+명/NNB+의/JKG
연주자가	연주자/NNG+가/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
‘The	‘/SS+The/SL
Epic’을	Epic/SL+’/SS+을/JKO
만드는	만들/VV+는/ETM
데	데/NNB
돈은	돈/NNG+은/JX
얼마나	얼마나/MAG
들었을까.	들/VV+었/EP+을까/EF+./SF


# id : NWRW1800000049.108.9.2
막대한 제작비 탓에 파산하지나 않았을까.

막대한	막대하/VA+ㄴ/ETM
제작비	제작비/NNG
탓에	탓/NNG+에/JKB
파산하지나	파산/NNG+하/XSV+지/EC+나/JX
않았을까.	않/VX+았/EP+을까/EF+./SF


# id : NWRW1800000049.108.9.3
그는 “제 음악을 믿는 친구들이 자발적으로 도와줘 생각보다 적은 비용으로 제작했다”고 했다.

그는	그/NP+는/JX
“제	“/SS+저/NP+의/JKG
음악을	음악/NNG+을/JKO
믿는	믿/VV+는/ETM
친구들이	친구/NNG+들/XSN+이/JKS
자발적으로	자발/NNG+적/XSN+으로/JKB
도와줘	도와주/VV+어/EC
생각보다	생각/NNG+보다/JKB
적은	적/VA+은/ETM
비용으로	비용/NNG+으로/JKB
제작했다”고	제작/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.108.10.1
“제 음악을 사람들이 원하는 틀에 맞추고 싶지 않았어요.

“제	“/SS+저/NP+의/JKG
음악을	음악/NNG+을/JKO
사람들이	사람/NNG+들/XSN+이/JKS
원하는	원/NNG+하/XSV+는/ETM
틀에	틀/NNG+에/JKB
맞추고	맞추/VV+고/EC
싶지	싶/VX+지/EC
않았어요.	않/VX+았/EP+어요/EF+./SF


# id : NWRW1800000049.108.10.2
제 심장에 솔직한 것, 제 머릿속에 들려오는 음악이면 충분하다고 봤어요.

제	저/NP+의/JKG
심장에	심장/NNG+에/JKB
솔직한	솔직하/VA+ㄴ/ETM
것,	것/NNB+,/SP
머릿속에	머릿속/NNG+에/JKB
들려오는	들려오/VV+는/ETM
음악이면	음악/NNG+이/VCP+면/EC
충분하다고	충분하/VA+다고/EC
봤어요.	보/VV+았/EP+어요/EF+./SF


# id : NWRW1800000049.108.10.3
지구란 생각보다 큰 곳이잖아요.

지구란	지구/NNG+란/JX
생각보다	생각/NNG+보다/JKB
큰	크/VA+ㄴ/ETM
곳이잖아요.	곳/NNG+이/VCP+잖아/EF+요/JX+./SF


# id : NWRW1800000049.108.10.4
당신이 무엇을 만들든 포용할 수 있을 만큼.”

당신이	당신/NP+이/JKS
무엇을	무엇/NP+을/JKO
만들든	만들/VV+든/EC
포용할	포용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
만큼.”	만큼/NNB+./SF+”/SS


