# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.368
metadata : {}


# id : NWRW1800000040.368.1.1
정홍원, 부인 명의 땅 재산신고 9년간 누락남매간 경매 통한 소유권 이전…탈세 의혹도

정홍원,	정홍원/NNP+,/SP
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.368.7.1
정 후보자는 1995년부터 2011년까지 2007년을 제외하고 해마다 고위 공직자 재산신고를 해왔는데, 이 14필지 가운데 7필지만 재산신고를 했고 한림면 병동리 밭 등 나머지 7필지는 2004년 부인 최씨의 다른 남매들에게 소유권이 넘어갈 때까지 단 한 차례도 신고하지 않았다.

정	정/NNP
후보자는	후보자/NNG+는/JX
1995년부터	1995/SN+년/NNB+부터/JX
2011년까지	2011/SN+년/NNB+까지/JX
2007년을	2007/SN+년/NNB+을/JKO
제외하고	제외/NNG+하/XSV+고/EC
해마다	해마다/MAG
고위	고위/NNG
공직자	공직자/NNG
재산신고를	재산/NNG+신고/NNG+를/JKO
해왔는데,	하/VV+아/EC+오/VX+았/EP+는데/EC+,/SP
이	이/MMD
14필지	14/SN+필지/NNB
가운데	가운데/NNG
7필지만	7/SN+필지/NNB+만/JX
했고	하/VV+았/EP+고/EC
한림면	한림면/NNP
병동리	병동리/NNP
밭	밭/NNG
등	등/NNB
나머지	나머지/NNG
7필지는	7/SN+필지/NNB+는/JX
2004년	2004/SN+년/NNB
부인	부인/NNG
최씨의	최/NNP+씨/NNB+의/JKG
다른	다른/MMD
남매들에게	남매/NNG+들/XSN+에게/JKB
소유권이	소유/NNG+권/XSN+이/JKS
넘어갈	넘어가/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
단	단/MMA
한	한/MMN
차례도	차례/NNG+도/JX
신고하지	신고/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.368.8.1
이 땅들에 대한 소유권이 바뀌는 과정도 석연치 않다.

이	이/MMD
땅들에	땅/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
소유권이	소유/NNG+권/XSN+이/JKS
바뀌는	바뀌/VV+는/ETM
과정도	과정/NNG+도/JX
석연치	석연하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000040.368.8.2
지분을 나눠 땅을 상속받은 9남매 가운데 4명은 2003년 이 땅에 대해 경매를 신청했고, 법원은 신청을 받아들여 강제경매 개시를 결정했다.

지분을	지분/NNG+을/JKO
나눠	나누/VV+어/EC
땅을	땅/NNG+을/JKO
상속받은	상속/NNG+받/XSV+은/ETM
9남매	9/SN+남매/NNG
가운데	가운데/NNG
4명은	4/SN+명/NNB+은/JX
2003년	2003/SN+년/NNB
이	이/MMD
땅에	땅/NNG+에/JKB
대해	대하/VV+아/EC
경매를	경매/NNG+를/JKO
신청했고,	신청/NNG+하/XSV+았/EP+고/EC+,/SP
법원은	법원/NNG+은/JX
신청을	신청/NNG+을/JKO
받아들여	받아들이/VV+어/EC
강제경매	강제/NNG+경매/NNG
개시를	개시/NNG+를/JKO
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.368.8.3
그런데 강제경매 대상이 된 땅에 대한 채권자는 9남매 중 4명이었고, 채무자는 채권자 가운데 1명을 포함한 다른 남매 5명이었다.

그런데	그런데/MAJ
강제경매	강제/NNG+경매/NNG
대상이	대상/NNG+이/JKC
된	되/VV+ㄴ/ETM
땅에	땅/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
채권자는	채권자/NNG+는/JX
9남매	9/SN+남매/NNG
중	중/NNB
4명이었고,	4/SN+명/NNB+이/VCP+었/EP+고/EC+,/SP
채무자는	채무자/NNG+는/JX
채권자	채권자/NNG
가운데	가운데/NNG
1명을	1/SN+명/NNB+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
다른	다른/MMD
남매	남매/NNG
5명이었다.	5/SN+명/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.368.8.4
경매로 넘어간 땅 가운데 최저낙찰가가 7억3000만원인 9필지는 채무자에 이름을 올린 남매들이 7억9000만원에 낙찰받았다.

경매로	경매/NNG+로/JKB
넘어간	넘어가/VV+ㄴ/ETM
땅	땅/NNG
가운데	가운데/NNG
최저낙찰가가	최저/NNG+낙찰/NNG+가/XSN+가/JKS
7억3000만원인	7/SN+억/NR+3000/SN+만/NR+원/NNB+이/VCP+ㄴ/ETM
9필지는	9/SN+필지/NNB+는/JX
채무자에	채무자/NNG+에/JKB
이름을	이름/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
남매들이	남매/NNG+들/XSN+이/JKS
7억9000만원에	7/SN+억/NR+9000/SN+만/NR+원/NNB+에/JKB
낙찰받았다.	낙찰/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.368.8.5
정 후보자의 부인 최씨는 채권자에도, 채무자에도 이름을 올리지 않았다.

정	정/NNP
후보자의	후보자/NNG+의/JKG
부인	부인/NNG
최씨는	최/NNP+씨/NNB+는/JX
채권자에도,	채권자/NNG+에/JKB+도/JX+,/SP
채무자에도	채무자/NNG+에/JKB+도/JX
이름을	이름/NNG+을/JKO
올리지	올리/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.368.9.1
결국 다른 남매들에게 빚이 있어 땅을 팔겠다는 5명이 경매에 입찰해 자신의 돈으로 땅을 다시 사들였다는 이야기다.

결국	결국/NNG
다른	다른/MMD
남매들에게	남매/NNG+들/XSN+에게/JKB
빚이	빚/NNG+이/JKS
있어	있/VA+어/EC
땅을	땅/NNG+을/JKO
팔겠다는	팔/VV+겠/EP+다는/ETM
5명이	5/SN+명/NNB+이/JKS
경매에	경매/NNG+에/JKB
입찰해	입찰/NNG+하/XSV+아/EC
자신의	자신/NNG+의/JKG
돈으로	돈/NNG+으로/JKB
다시	다시/MAG
사들였다는	사들이/VV+었/EP+다는/ETM
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.368.9.2
경매에 부친 땅을 되살 돈이 있으면 애초부터 그 돈으로 빚을 갚으면 될 일을 일부러 복잡하게 만든 것이다.

경매에	경매/NNG+에/JKB
부친	부치/VV+ㄴ/ETM
땅을	땅/NNG+을/JKO
되살	되사/VV+ㄹ/ETM
돈이	돈/NNG+이/JKS
있으면	있/VA+으면/EC
애초부터	애초/NNG+부터/JX
그	그/MMD
돈으로	돈/NNG+으로/JKB
빚을	빚/NNG+을/JKO
갚으면	갚/VV+으면/EC
될	되/VV+ㄹ/ETM
일을	일/NNG+을/JKO
일부러	일부러/MAG
복잡하게	복잡하/VA+게/EC
만든	만들/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.368.10.1
부동산 소송을 전문으로 하는 한 변호사는 “상속재산 지분을 정리하는 과정에서 남매간에 실제로 채무관계가 없는데도 허위 채권을 발생시켜 경매로 땅을 나눠 가진 것으로 보인다.

부동산	부동산/NNG
소송을	소송/NNG+을/JKO
전문으로	전문/NNG+으로/JKB
하는	하/VV+는/ETM
한	한/MMN
변호사는	변호사/NNG+는/JX
“상속재산	“/SS+상속/NNG+재산/NNG
지분을	지분/NNG+을/JKO
정리하는	정리/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
남매간에	남매/NNG+간/XSN+에/JKB
실제로	실제로/MAG
채무관계가	채무/NNG+관계/NNG+가/JKS
없는데도	없/VA+는데/EC+도/JX
허위	허위/NNG
채권을	채권/NNG+을/JKO
발생시켜	발생/NNG+시키/XSV+어/EC
경매로	경매/NNG+로/JKB
땅을	땅/NNG+을/JKO
나눠	나누/VV+어/EC
가진	가지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.368.10.2
다른 남매들에게 땅을 증여하거나 팔 경우 내야 하는 증여세와 양도소득세를 깎으려는 의도인 것으로 보인다”고 말했다.

다른	다른/MMD
남매들에게	남매/NNG+들/XSN+에게/JKB
땅을	땅/NNG+을/JKO
증여하거나	증여/NNG+하/XSV+거나/EC
팔	팔/VV+ㄹ/ETM
경우	경우/NNG
내야	내/VV+어야/EC
하는	하/VX+는/ETM
증여세와	증여세/NNG+와/JC
양도소득세를	양도/NNG+소득세/NNG+를/JKO
깎으려는	깎/VV+으려는/ETM
의도인	의도/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.368.11.1
이에 대해 총리실 관계자는 “정 후보자의 부인은 부모로부터 부동산을 상속받으면서 상속을 포기하고 등기부 정리를 남매들에게 위임했으나, 정리가 늦어지면서 등기부에 지분이 남아있었던 것일 뿐 재산권을 행사한 적이 없다”며 “재산공개 당시 상속 부동산 전체 목록을 알지 못해 처가에 문의해 지분이 남아있는 부동산 목록을 전달받아 신고했으나 이 과정에서 일부가 누락된 것으로 보인다”고 해명했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
총리실	총리실/NNG
관계자는	관계자/NNG+는/JX
“정	“/SS+정/NNP
후보자의	후보자/NNG+의/JKG
부인은	부인/NNG+은/JX
부모로부터	부모/NNG+로부터/JKB
부동산을	부동산/NNG+을/JKO
상속받으면서	상속/NNG+받/XSV+으면서/EC
상속을	상속/NNG+을/JKO
포기하고	포기/NNG+하/XSV+고/EC
등기부	등기부/NNG
정리를	정리/NNG+를/JKO
남매들에게	남매/NNG+들/XSN+에게/JKB
위임했으나,	위임/NNG+하/XSV+았/EP+으나/EC+,/SP
정리가	정리/NNG+가/JKS
늦어지면서	늦어지/VV+면서/EC
등기부에	등기부/NNG+에/JKB
지분이	지분/NNG+이/JKS
남아있었던	남/VV+아/EC+있/VX+었/EP+던/ETM
것일	것/NNB+이/VCP+ㄹ/ETM
뿐	뿐/NNB
재산권을	재산/NNG+권/XSN+을/JKO
행사한	행사/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“재산공개	“/SS+재산/NNG+공개/NNG
당시	당시/NNG
상속	상속/NNG
부동산	부동산/NNG
전체	전체/NNG
목록을	목록/NNG+을/JKO
알지	알/VV+ㄹ지/EF
못해	못하/VX+아/EC
처가에	처가/NNG+에/JKB
문의해	문의/NNG+하/XSV+아/EC
남아있는	남/VV+아/EC+있/VX+는/ETM
전달받아	전달/NNG+받/XSV+아/EC
신고했으나	신고/NNG+하/XSV+았/EP+으나/EC
이	이/MMD
과정에서	과정/NNG+에서/JKB
일부가	일부/NNG+가/JKS
누락된	누락/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


